text	x	y
agnipurana_u	0.248516	-0.226695
bhagavatapurana_skandha-01_u	-0.082741	0.065557
bhagavatapurana_skandha-02_u	0.088185	0.025470
bhagavatapurana_skandha-03_u	0.048677	0.017756
bhagavatapurana_skandha-04_u	-0.006620	0.030971
bhagavatapurana_skandha-05_u	0.028085	0.131114
bhagavatapurana_skandha-06_u	0.013292	0.072104
bhagavatapurana_skandha-07_u	0.057818	0.005973
bhagavatapurana_skandha-08_u	-0.020611	0.056829
bhagavatapurana_skandha-09_u	-0.107213	0.109238
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	0.081096	-0.096136
bhagavatapurana_skandha-10_u	-0.097299	-0.011292
bhagavatapurana_skandha-11_u	0.089825	-0.018733
bhagavatapurana_skandha-12_u	0.066283	0.108061
bhavisyapurana	0.071057	-0.227363
brahmandapurana	0.016225	-0.035596
brahmandapurana_khanda-1_u	0.237606	0.391805
brahmandapurana_khanda-2_u	-0.110400	-0.074279
brahmandapurana_khanda-3_u	0.082308	-0.054320
brahmapurana_pu	0.022778	-0.175801
devibhagavatapurana	0.008511	-0.274360
devibhagavatapurana_devigita_adhyaya-31-40	0.290703	-0.123331
devipurana	0.171031	-0.169774
garudapurana_khanda-1_u	0.172358	-0.158059
garudapurana_khanda-2_u	0.151826	-0.226050
garudapurana_khanda-3_u	0.220683	-0.152326
harivamsa	-0.218317	-0.001229
harivamsa_appendix-29-30_mathura	-0.205854	-0.037642
harivamsa_appendix-31	-0.159542	-0.144524
harivamsa_appendix-41	0.055334	0.218495
harivamsa_appendix-42_pradurbhava	-0.202372	0.183012
kalikapurana	0.094262	-0.113441
karatoyamahatmya_pu	0.417687	-0.383772
kirfel_ppl_textgruppe_IIA_col1	0.309322	0.436234
kirfel_ppl_textgruppe_IIB_col1	0.259453	0.481279
kirfel_ppl_textgruppe_III_col1	0.149840	0.639924
kirfel_ppl_textgruppe_II_col1	-0.088174	0.296562
kirfel_ppl_textgruppe_I_col1	-0.127273	0.429491
kirfel_ppl_textgruppe_Ia_col1	0.097919	0.660929
kirfel_ppl_ungrouped_col1	-0.147090	0.367463
kurmapurana_khanda-1_u	0.120539	-0.093990
kurmapurana_khanda-2_u	0.253384	-0.272749
lingapurana_khanda-1_u	0.155835	-0.021246
lingapurana_khanda-2_u	0.216870	-0.208405
mahabharata_01-adiparvan	-0.287765	0.045126
mahabharata_02-appendix-21_sisupala	-0.242353	0.083079
mahabharata_02-sabhaparvan	-0.399185	0.038314
mahabharata_03-aranyakaparvan	-0.308089	0.005381
mahabharata_04-virataparvan	-0.420781	0.016076
mahabharata_05-udyogaparvan	-0.328427	0.017179
mahabharata_06-bhismaparvan	-0.430096	0.060438
mahabharata_07-appendix-08_sodasarajika	-0.211806	0.163596
mahabharata_07-dronaparvan	-0.440917	0.003877
mahabharata_08-karnaparvan	-0.442744	0.006748
mahabharata_09-salyaparvan	-0.434376	0.055593
mahabharata_10-sauptikaparvan	-0.353760	0.050515
mahabharata_11-striparvan	-0.376482	-0.001766
mahabharata_12-appendix-29_moksadharma	0.049857	-0.055854
mahabharata_12-santiparvan	-0.073816	-0.019408
mahabharata_13-anusasanaparvan	-0.103126	0.029368
mahabharata_13-appendix-15_umamahesvara	0.125904	-0.173868
mahabharata_14-appendix-04_vaisnavadharma	0.114235	-0.074476
mahabharata_14-asvamedhikaparvan	-0.200169	-0.008548
mahabharata_15-asramavasikaparvan	-0.397800	0.089639
mahabharata_16-mausalaparvan	-0.382775	-0.005738
mahabharata_17-mahaprasthanikaparvan	-0.542425	0.026720
mahabharata_18-svargarohanaparvan	-0.367469	0.019196
markandeyapurana	-0.097292	0.037270
markandeyapurana_adhyaya-1-80_u	-0.061604	0.021413
markandeyapurana_adhyaya-81-93_devimahatmya_u	-0.115482	0.083800
markandeyapurana_adhyaya-94-141_u	-0.177679	0.044880
matsyapurana_pu	0.050856	0.031918
naradapurana_khanda-1_u	0.233736	-0.196732
naradapurana_khanda-2_u	0.038075	-0.288570
nilamatapurana_au	0.047568	-0.184795
nrsimhapurana_pu	-0.080226	-0.200053
padmapurana_a	0.016282	-0.232859
pranavakalpa	0.362872	-0.160462
ramayana_01-balakanda	-0.328580	0.020703
ramayana_02-ayodhyakanda_a	-0.317567	-0.093564
ramayana_03-aranyakanda_a	-0.321928	-0.160454
ramayana_04-kiskindhakanda	-0.300067	-0.056841
ramayana_05-sundarakanda	-0.327721	-0.104098
ramayana_06-yuddhakanda	-0.345557	-0.119551
ramayana_07-uttarakanda	-0.270515	-0.053632
saurapurana	0.101645	-0.147704
sivadharmasastra	0.313753	-0.273299
sivadharmottara	0.256696	-0.225083
sivapurana_dharmasamhita	0.017211	-0.209726
sivapurana_karvanamahatmya_au	0.151078	-0.238172
sivapurana_rudrasamhita	0.036533	-0.254405
sivapurana_sanatkumarasamhita	0.156808	-0.158954
sivapurana_satarudrasamhita_au	0.053358	-0.153100
sivapurana_umasamhita	0.125747	-0.056760
sivapurana_vayaviyasamhita_au	0.213736	-0.176545
sivapurana_vidyesvarasamhita_au	0.313883	-0.389727
skandamahapurana_himavatkhanda	0.050954	-0.089692
skandamahapurana_kasikhanda	0.149409	-0.203422
skandamahapurana_revakhanda	0.056156	-0.100919
skandamahapurana_sutasamhita_khanda-4	0.353858	-0.230790
skandapurana	-0.109813	0.006686
skandapurana_adhyaya-1-31_pu	-0.029499	0.045967
skandapurana_pasupata_adhyaya174-183_u	0.417855	-0.070315
vamanapurana_saromahatmya_u	0.091050	-0.191990
vamanapurana_u	-0.077265	-0.130913
vayupurana	0.191895	0.172681
vayupurana_01_frame-and-cosmogony_iast	0.326425	0.466719
vayupurana_02_pashupata-yoga_iast	0.483344	0.033617
vayupurana_03_kalpas-and-shiva-lineages_iast	0.219995	0.311735
vayupurana_04_bhuvana-vinyasa_iast	0.096466	0.294714
vayupurana_05_jyotis-and-purvardha-close_iast	0.301857	0.453001
