text	x	y
agnipurana_u	0.340377	-0.058693
bhagavatapurana_skandha-01_u	-0.012698	-0.219014
bhagavatapurana_skandha-02_u	0.195991	-0.097510
bhagavatapurana_skandha-03_u	0.093088	-0.105304
bhagavatapurana_skandha-04_u	0.010343	-0.179324
bhagavatapurana_skandha-05_u	0.139326	-0.039615
bhagavatapurana_skandha-06_u	0.004043	-0.156067
bhagavatapurana_skandha-07_u	0.058147	-0.197424
bhagavatapurana_skandha-08_u	-0.017373	-0.127291
bhagavatapurana_skandha-09_u	-0.108232	-0.100712
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	0.081355	-0.174409
bhagavatapurana_skandha-10_u	-0.079189	-0.226020
bhagavatapurana_skandha-11_u	0.179686	-0.228588
bhagavatapurana_skandha-12_u	0.168240	-0.030391
bhavisyapurana	0.165173	-0.138587
brahmandapurana	0.050745	0.208137
brahmandapurana_khanda-1_u	0.127925	0.460332
brahmandapurana_khanda-2_u	-0.072234	0.133150
brahmandapurana_khanda-3_u	0.120205	0.078304
brahmapurana_pu	0.008397	-0.113970
devibhagavatapurana	-0.018274	-0.280117
devibhagavatapurana_devigita_adhyaya-31-40	0.331868	-0.104528
devipurana	0.262352	-0.086072
garudapurana_khanda-1_u	0.324780	-0.052389
garudapurana_khanda-2_u	0.267113	-0.174110
garudapurana_khanda-3_u	0.335148	-0.073676
harivamsa	-0.285375	0.076246
harivamsa_appendix-29-30_mathura	-0.209511	-0.069523
harivamsa_appendix-31	-0.256231	-0.132608
harivamsa_appendix-41	0.001608	0.234345
harivamsa_appendix-42_pradurbhava	-0.176532	0.202714
kalikapurana	0.112491	-0.095149
karatoyamahatmya_pu	0.406732	-0.043615
kirfel_ppl_textgruppe_IIA_col1	0.194754	0.371106
kirfel_ppl_textgruppe_IIB_col1	0.173691	0.571897
kirfel_ppl_textgruppe_III_col1	0.186228	0.409238
kirfel_ppl_textgruppe_II_col1	-0.039318	0.230942
kirfel_ppl_textgruppe_I_col1	-0.198226	0.340488
kirfel_ppl_textgruppe_Ia_col1	0.027865	0.565340
kirfel_ppl_ungrouped_col1	-0.192243	0.304584
kurmapurana_khanda-1_u	0.161094	0.058283
kurmapurana_khanda-2_u	0.348881	-0.091077
lingapurana_khanda-1_u	0.200386	0.065071
lingapurana_khanda-2_u	0.329798	-0.072627
mahabharata_01-adiparvan	-0.385623	-0.027962
mahabharata_02-appendix-21_sisupala	-0.318308	0.193576
mahabharata_02-sabhaparvan	-0.349441	-0.073525
mahabharata_03-aranyakaparvan	-0.357692	-0.082171
mahabharata_04-virataparvan	-0.402496	-0.057626
mahabharata_05-udyogaparvan	-0.322328	-0.102513
mahabharata_06-bhismaparvan	-0.348949	0.000691
mahabharata_07-appendix-08_sodasarajika	-0.274348	0.125273
mahabharata_07-dronaparvan	-0.401813	-0.006679
mahabharata_08-karnaparvan	-0.415305	-0.034743
mahabharata_09-salyaparvan	-0.451529	0.017464
mahabharata_10-sauptikaparvan	-0.401352	-0.041431
mahabharata_11-striparvan	-0.383354	-0.066935
mahabharata_12-appendix-29_moksadharma	-0.029830	0.007587
mahabharata_12-santiparvan	-0.104389	-0.084397
mahabharata_13-anusasanaparvan	-0.059819	-0.061455
mahabharata_13-appendix-15_umamahesvara	0.209939	-0.071158
mahabharata_14-appendix-04_vaisnavadharma	0.274617	-0.050741
mahabharata_14-asvamedhikaparvan	-0.307337	-0.062671
mahabharata_15-asramavasikaparvan	-0.475013	-0.057064
mahabharata_16-mausalaparvan	-0.465847	0.053188
mahabharata_17-mahaprasthanikaparvan	-0.613040	0.078892
mahabharata_18-svargarohanaparvan	-0.434769	0.102689
markandeyapurana	-0.061441	-0.110354
markandeyapurana_adhyaya-1-80_u	-0.009649	-0.095840
markandeyapurana_adhyaya-81-93_devimahatmya_u	-0.124381	-0.062478
markandeyapurana_adhyaya-94-141_u	-0.191969	-0.110677
matsyapurana_pu	0.100005	0.057069
naradapurana_khanda-1_u	0.360136	-0.146231
naradapurana_khanda-2_u	0.069151	-0.323608
nilamatapurana_au	0.107387	-0.075576
nrsimhapurana_pu	-0.072310	-0.228601
padmapurana_a	0.063381	-0.258413
pranavakalpa	0.370853	-0.076035
ramayana_01-balakanda	-0.482521	0.027098
ramayana_02-ayodhyakanda_a	-0.428834	-0.185334
ramayana_03-aranyakanda_a	-0.374363	-0.095110
ramayana_04-kiskindhakanda	-0.380888	-0.086864
ramayana_05-sundarakanda	-0.328591	-0.098757
ramayana_06-yuddhakanda	-0.405334	-0.017090
ramayana_07-uttarakanda	-0.440335	-0.012346
saurapurana	0.171685	-0.161858
sivadharmasastra	0.452451	-0.168094
sivadharmottara	0.429279	-0.185447
sivapurana_dharmasamhita	0.097842	-0.091692
sivapurana_karvanamahatmya_au	0.223005	-0.097432
sivapurana_rudrasamhita	-0.076742	-0.230526
sivapurana_sanatkumarasamhita	0.192650	-0.013290
sivapurana_satarudrasamhita_au	-0.035202	-0.184370
