text	x	y
agnipurana_u	0.272459	-0.196371
bhagavatapurana_skandha-01_u	-0.012861	-0.033550
bhagavatapurana_skandha-02_u	0.234773	0.037730
bhagavatapurana_skandha-03_u	0.057411	-0.053342
bhagavatapurana_skandha-04_u	-0.016575	-0.101522
bhagavatapurana_skandha-05_u	0.162048	0.025656
bhagavatapurana_skandha-06_u	-0.021640	-0.058599
bhagavatapurana_skandha-07_u	0.011237	-0.122435
bhagavatapurana_skandha-08_u	-0.042185	-0.059308
bhagavatapurana_skandha-09_u	-0.117858	-0.055568
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	0.147866	0.074956
bhagavatapurana_skandha-10_u	-0.112841	-0.106721
bhagavatapurana_skandha-11_u	0.108232	-0.151999
bhagavatapurana_skandha-12_u	0.144780	-0.051918
bhavisyapurana	-0.019631	-0.292315
brahmandapurana	-0.023319	-0.120139
brahmandapurana_khanda-1_u	0.215749	0.264379
brahmandapurana_khanda-2_u	-0.165132	-0.122313
brahmandapurana_khanda-3_u	0.084744	-0.078072
brahmapurana_pu	-0.131422	-0.277940
devibhagavatapurana	-0.171219	-0.326198
devibhagavatapurana_devigita_adhyaya-31-40	0.321867	-0.108116
devipurana	0.139591	-0.233447
garudapurana_khanda-1_u	0.227928	-0.164811
garudapurana_khanda-2_u	0.142375	-0.226848
garudapurana_khanda-3_u	0.226639	-0.258197
harivamsa	-0.317519	0.028616
harivamsa_appendix-29-30_mathura	-0.200529	-0.032176
harivamsa_appendix-31	-0.237249	-0.021350
harivamsa_appendix-41	0.063852	0.124919
harivamsa_appendix-42_pradurbhava	-0.110317	0.181567
kalikapurana	0.038029	-0.212954
karatoyamahatmya_pu	0.575830	0.282231
kirfel_ppl_textgruppe_IIA_col1	0.247527	0.098196
kirfel_ppl_textgruppe_IIB_col1	0.207207	0.183902
kirfel_ppl_textgruppe_III_col1	0.271221	0.171785
kirfel_ppl_textgruppe_II_col1	-0.027755	0.022062
kirfel_ppl_textgruppe_I_col1	-0.135826	0.139069
kirfel_ppl_textgruppe_Ia_col1	0.122444	0.243003
kirfel_ppl_ungrouped_col1	-0.116472	0.130265
kurmapurana_khanda-1_u	0.054484	-0.163217
kurmapurana_khanda-2_u	0.203428	-0.207927
lingapurana_khanda-1_u	0.136934	-0.230152
lingapurana_khanda-2_u	0.224455	-0.208889
mahabharata_01-adiparvan	-0.384346	0.063575
mahabharata_02-appendix-21_sisupala	-0.258929	0.220418
mahabharata_02-sabhaparvan	-0.295657	0.115814
mahabharata_03-aranyakaparvan	-0.400660	0.011216
mahabharata_04-virataparvan	-0.346140	0.170336
mahabharata_05-udyogaparvan	-0.313780	0.057860
mahabharata_06-bhismaparvan	-0.315656	0.169823
mahabharata_07-appendix-08_sodasarajika	-0.177004	0.182523
mahabharata_07-dronaparvan	-0.327018	0.199019
mahabharata_08-karnaparvan	-0.351760	0.190118
mahabharata_09-salyaparvan	-0.403644	0.187927
mahabharata_10-sauptikaparvan	-0.335156	0.187103
mahabharata_11-striparvan	-0.310491	0.186467
mahabharata_12-appendix-29_moksadharma	0.042417	0.127182
mahabharata_12-santiparvan	-0.183635	-0.048930
mahabharata_13-anusasanaparvan	-0.164648	-0.085593
mahabharata_13-appendix-15_umamahesvara	0.133471	-0.098096
mahabharata_14-appendix-04_vaisnavadharma	0.160495	-0.098603
mahabharata_14-asvamedhikaparvan	-0.325921	0.042677
mahabharata_15-asramavasikaparvan	-0.385308	0.194994
mahabharata_16-mausalaparvan	-0.244518	0.388168
mahabharata_17-mahaprasthanikaparvan	-0.211374	0.664633
mahabharata_18-svargarohanaparvan	-0.190830	0.496033
markandeyapurana	-0.197296	-0.165445
markandeyapurana_adhyaya-1-80_u	-0.147169	-0.152181
markandeyapurana_adhyaya-81-93_devimahatmya_u	-0.066390	0.064289
markandeyapurana_adhyaya-94-141_u	-0.256404	-0.091646
matsyapurana_pu	0.041209	-0.107407
naradapurana_khanda-1_u	0.262486	-0.271965
naradapurana_khanda-2_u	-0.087535	-0.289493
nilamatapurana_au	0.062383	-0.101499
nrsimhapurana_pu	-0.227171	-0.247850
padmapurana_a	-0.126109	-0.325101
pranavakalpa	0.355794	-0.090157
ramayana_01-balakanda	-0.429596	0.072739
ramayana_02-ayodhyakanda_a	-0.440558	0.025317
ramayana_03-aranyakanda_a	-0.384496	0.059666
ramayana_04-kiskindhakanda	-0.373492	0.109957
ramayana_05-sundarakanda	-0.316284	0.078850
ramayana_06-yuddhakanda	-0.360604	0.159232
ramayana_07-uttarakanda	-0.424778	0.035798
saurapurana	-0.008686	-0.297642
sivadharmasastra	0.381938	-0.237938
sivadharmottara	0.374263	-0.218204
sivapurana_dharmasamhita	-0.006044	-0.202732
sivapurana_karvanamahatmya_au	0.209575	0.038891
sivapurana_rudrasamhita	-0.200961	-0.282340
sivapurana_sanatkumarasamhita	0.147630	-0.152045
sivapurana_satarudrasamhita_au	-0.080673	-0.178166
sivapurana_umasamhita	0.063823	-0.177056
sivapurana_vayaviyasamhita_au	0.187062	-0.196331
sivapurana_vidyesvarasamhita_au	0.416047	-0.328021
skandamahapurana_himavatkhanda	-0.062772	-0.201811
skandamahapurana_kasikhanda	0.054121	-0.233649
skandamahapurana_revakhanda	-0.060086	-0.200763
