map	code_a	code_b	name_a	name_b	d2	d3	dz	delta	delta_vs_median	rank_ab	rank_ba	bhp_pair	words_a	words_b	sub3k
C3_no	Bh2	Mt	bhagavatapurana_skandha-02_u	matsyapurana_pu	0.0295	0.7138	0.7132	1.0293	0.9937	25	101	1	3875	52429	0
C3_no	Bh4	SP1	bhagavatapurana_skandha-04_u	skandapurana_adhyaya-1-31_pu	0.0189	0.6704	0.6701	0.9888	0.9546	77	77	1	14031	8675	0
C3_no	Bh10c	Rv	bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	skandamahapurana_revakhanda	0.0161	0.6519	0.6517	1.1408	1.1012	59	109	1	6870	37889	0
C3_no	Bh2	Vi3	bhagavatapurana_skandha-02_u	visnupurana_amsa-3_u	0.0421	0.6362	0.6348	1.1826	1.1416	78	99	1	3875	4756	0
C3_no	Bh3	Mt	bhagavatapurana_skandha-03_u	matsyapurana_pu	0.0138	0.5868	0.5866	0.8839	0.8532	37	81	1	13740	52429	0
C3_no	Bh8	SP1	bhagavatapurana_skandha-08_u	skandapurana_adhyaya-1-31_pu	0.0142	0.5749	0.5747	0.9521	0.9191	67	64	1	9037	8675	0
C3_no	Bh10c	Hm	bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	skandamahapurana_himavatkhanda	0.0195	0.5320	0.5316	1.1778	1.1370	71	108	1	6870	19730	0
C3_no	Bh10c	Kā	bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	kalikapurana	0.0308	0.5314	0.5305	1.0405	1.0045	28	97	1	6870	74038	0
C3_no	Bh7	Mt	bhagavatapurana_skandha-07_u	matsyapurana_pu	0.0262	0.5276	0.5269	0.8197	0.7913	19	60	1	7247	52429	0
C3_no	Bh10	SP	bhagavatapurana_skandha-10_u	skandapurana	0.0181	0.5221	0.5218	0.7101	0.6855	18	35	1	40850	78281	0
C3_no	Bh1	MBh13	bhagavatapurana_skandha-01_u	mahabharata_13-anusasanaparvan	0.0349	0.5167	0.5155	0.7327	0.7073	14	40	1	7558	51657	0
C3_no	Bh10	MBh13	bhagavatapurana_skandha-10_u	mahabharata_13-anusasanaparvan	0.0452	0.5042	0.5022	0.7644	0.7380	30	47	1	40850	51657	0
C3_no	Bh11	Bḍ3	bhagavatapurana_skandha-11_u	brahmandapurana_khanda-3_u	0.0428	0.4767	0.4748	0.9721	0.9385	56	72	1	12864	33709	0
C3_no	Bh4	Mā1	bhagavatapurana_skandha-04_u	markandeyapurana_adhyaya-1-80_u	0.0461	0.4633	0.4610	0.8248	0.7962	28	50	1	14031	26794	0
C3_no	Bh5	Vi	bhagavatapurana_skandha-05_u	visnupurana_u	0.0254	0.4589	0.4582	0.9515	0.9185	13	82	1	9252	25313	0
C3_no	Bh1	MāD	bhagavatapurana_skandha-01_u	markandeyapurana_adhyaya-81-93_devimahatmya_u	0.0258	0.4444	0.4437	1.0967	1.0587	95	41	1	7558	4826	0
C3_no	Bh10c	Bḍ3	bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	brahmandapurana_khanda-3_u	0.0390	0.4391	0.4374	1.0404	1.0043	27	90	1	6870	33709	0
C3_no	Bh10c	MA12	bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	mahabharata_12-appendix-29_moksadharma	0.0449	0.4272	0.4248	1.2943	1.2494	100	92	1	6870	6223	0
C3_no	Bh1	Mā	bhagavatapurana_skandha-01_u	markandeyapurana	0.0231	0.4076	0.4069	0.7675	0.7409	19	39	1	7558	44018	0
C3_no	Bh10	MBh12	bhagavatapurana_skandha-10_u	mahabharata_12-santiparvan	0.0289	0.4069	0.4059	0.7316	0.7063	22	41	1	40850	104812	0
C3_no	Bh4	Vi5	bhagavatapurana_skandha-04_u	visnupurana_amsa-5_u	0.0096	0.3900	0.3899	1.1022	1.0640	95	49	1	14031	2796	1
C3_no	Bh8	Mā1	bhagavatapurana_skandha-08_u	markandeyapurana_adhyaya-1-80_u	0.0431	0.3681	0.3656	0.8977	0.8666	46	70	1	9037	26794	0
C3_no	Bh10c	Vd	bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	visnudharma_pu	0.0232	0.3547	0.3539	0.9918	0.9575	12	90	1	6870	21324	0
C3_no	Bh9	MāD	bhagavatapurana_skandha-09_u	markandeyapurana_adhyaya-81-93_devimahatmya_u	0.0265	0.3539	0.3529	1.1806	1.1397	104	71	1	8496	4826	0
C3_no	Sn	Kś	sivapurana_sanatkumarasamhita	skandamahapurana_kasikhanda	0.0454	0.3412	0.3382	0.8455	0.8162	31	57	0	19427	116560	0
C3_no	V1	V5	vayupurana_01_frame-and-cosmogony_iast	vayupurana_05_jyotis-and-purvardha-close_iast	0.0445	0.3291	0.3261	1.7172	1.6577	119	122	0	983	648	1
C3_no	Bh6	Vi5	bhagavatapurana_skandha-06_u	visnupurana_amsa-5_u	0.0366	0.3050	0.3028	1.0648	1.0279	93	30	1	8389	2796	1
C3_no	Rv	Vd	skandamahapurana_revakhanda	visnudharma_pu	0.0104	0.2980	0.2978	0.7820	0.7549	28	45	0	37889	21324	0
C3_no	Kv	Kś	sivapurana_karvanamahatmya_au	skandamahapurana_kasikhanda	0.0365	0.2994	0.2972	1.0674	1.0304	11	101	0	2167	116560	1
C3_no	Bh8	Vi5	bhagavatapurana_skandha-08_u	visnupurana_amsa-5_u	0.0284	0.2959	0.2945	1.0750	1.0377	91	33	1	9037	2796	1
C3_no	SP1	Vi5	skandapurana_adhyaya-1-31_pu	visnupurana_amsa-5_u	0.0238	0.2812	0.2802	1.0771	1.0398	93	36	0	8675	2796	1
C3_no	ŚDhU	V10	sivadharmottara	vayupurana_10_gaya-mahatmya_iast	0.0360	0.2532	0.2506	1.2868	1.2422	101	64	0	6111	4780	0
C3_no	G2	Kś	garudapurana_khanda-2_u	skandamahapurana_kasikhanda	0.0196	0.2496	0.2488	0.7154	0.6906	8	27	0	23604	116560	0
C3_no	Bh12	Vi1	bhagavatapurana_skandha-12_u	visnupurana_amsa-1_u	0.0005	0.2467	0.2467	0.9481	0.9153	59	48	1	5347	6267	0
C3_no	L2	ŚDhU	lingapurana_khanda-2_u	sivadharmottara	0.0428	0.2441	0.2403	0.8971	0.8660	51	8	0	19056	6111	0
C3_no	MA13	Kś	mahabharata_13-appendix-15_umamahesvara	skandamahapurana_kasikhanda	0.0424	0.2315	0.2276	0.8459	0.8166	13	58	0	20042	116560	0
C3_no	N2	Ru	naradapurana_khanda-2_u	sivapurana_rudrasamhita	0.0273	0.2209	0.2192	0.8276	0.7989	37	24	0	22236	80914	0
C3_no	Dv	Kś	devipurana	skandamahapurana_kasikhanda	0.0386	0.2193	0.2159	0.6880	0.6641	11	16	0	38835	116560	0
C3_no	V7	V9	vayupurana_07_shraddha-kalpa_iast	vayupurana_09_upasamhara_iast	0.0232	0.2118	0.2105	1.4573	1.4068	97	119	0	894	1575	1
C3_no	Mā1	SP1	markandeyapurana_adhyaya-1-80_u	skandapurana_adhyaya-1-31_pu	0.0335	0.2118	0.2091	0.8202	0.7918	46	30	0	26794	8675	0
C3_no	MBh11	MBh18	mahabharata_11-striparvan	mahabharata_18-svargarohanaparvan	0.0181	0.2030	0.2022	1.1454	1.1057	86	24	0	7051	1708	1
C3_no	Bh2	Bh7	bhagavatapurana_skandha-02_u	bhagavatapurana_skandha-07_u	0.0390	0.1903	0.1863	0.7712	0.7445	3	12	1	3875	7247	0
C3_no	G3	N1	garudapurana_khanda-3_u	naradapurana_khanda-1_u	0.0438	0.1902	0.1851	0.8841	0.8535	8	61	0	25512	107130	0
C3_no	ŚDh	V10	sivadharmasastra	vayupurana_10_gaya-mahatmya_iast	0.0375	0.1836	0.1797	1.3463	1.2997	105	83	0	6210	4780	0
C3_no	Hm	Vd	skandamahapurana_himavatkhanda	visnudharma_pu	0.0045	0.1778	0.1777	0.8472	0.8179	31	62	0	19730	21324	0
C3_no	L2	N1	lingapurana_khanda-2_u	naradapurana_khanda-1_u	0.0200	0.1784	0.1773	0.6152	0.5939	2	9	0	19056	107130	0
C3_no	K2	V10	kurmapurana_khanda-2_u	vayupurana_10_gaya-mahatmya_iast	0.0335	0.1787	0.1755	1.2230	1.1806	108	35	0	13784	4780	0
C3_no	K1	U	kurmapurana_khanda-1_u	sivapurana_umasamhita	0.0360	0.1739	0.1701	0.7748	0.7479	11	44	0	17386	15381	0
C3_no	DB	N2	devibhagavatapurana	naradapurana_khanda-2_u	0.0282	0.1723	0.1700	0.6359	0.6138	13	4	0	178378	22236	0
C3_no	G1	Sn	garudapurana_khanda-1_u	sivapurana_sanatkumarasamhita	0.0233	0.1670	0.1654	0.9177	0.8859	58	45	0	63853	19427	0
C3_no	Nī	Dh	nilamatapurana_au	sivapurana_dharmasamhita	0.0431	0.1653	0.1596	0.8777	0.8472	20	54	0	12271	27878	0
C3_no	K1	MA14	kurmapurana_khanda-1_u	mahabharata_14-appendix-04_vaisnavadharma	0.0268	0.1532	0.1508	1.0257	0.9902	82	67	0	17386	12641	0
C3_no	Br	Nī	brahmapurana_pu	nilamatapurana_au	0.0303	0.1486	0.1455	0.7652	0.7387	49	4	0	75411	12271	0
C3_no	Kā	K1	kalikapurana	kurmapurana_khanda-1_u	0.0301	0.1431	0.1399	0.8102	0.7821	46	18	0	74038	17386	0
C3_no	MBh16	MBh18	mahabharata_16-mausalaparvan	mahabharata_18-svargarohanaparvan	0.0296	0.1410	0.1379	1.3244	1.2785	97	84	0	2698	1708	1
C3_no	G3	Vā	garudapurana_khanda-3_u	sivapurana_vayaviyasamhita_au	0.0235	0.1393	0.1373	0.9453	0.9125	20	67	0	25512	30180	0
C3_no	Nī	Sr	nilamatapurana_au	vamanapurana_saromahatmya_u	0.0372	0.1416	0.1366	1.0945	1.0566	75	55	0	12271	5002	0
C3_no	Bh2	Bh11	bhagavatapurana_skandha-02_u	bhagavatapurana_skandha-11_u	0.0439	0.1414	0.1344	0.7864	0.7591	6	11	1	3875	12864	0
C3_no	A	V10	agnipurana_u	vayupurana_10_gaya-mahatmya_iast	0.0382	0.1387	0.1333	1.1208	1.0820	91	15	0	91768	4780	0
C3_no	L2	Vā	lingapurana_khanda-2_u	sivapurana_vayaviyasamhita_au	0.0344	0.1340	0.1295	0.6419	0.6197	4	2	0	19056	30180	0
C3_no	Mā	SP	markandeyapurana	skandapurana	0.0413	0.1347	0.1282	0.6388	0.6167	16	16	0	44018	78281	0
C3_no	MBh13	Mā1	mahabharata_13-anusasanaparvan	markandeyapurana_adhyaya-1-80_u	0.0448	0.1344	0.1267	0.6626	0.6396	19	13	0	51657	26794	0
C3_no	Bh2	Bh3	bhagavatapurana_skandha-02_u	bhagavatapurana_skandha-03_u	0.0367	0.1318	0.1266	0.6912	0.6672	2	8	1	3875	13740	0
C3_no	A	L2	agnipurana_u	lingapurana_khanda-2_u	0.0378	0.1287	0.1230	0.6882	0.6644	6	8	0	91768	19056	0
C3_no	Dv	Sn	devipurana	sivapurana_sanatkumarasamhita	0.0223	0.1243	0.1223	0.8738	0.8435	42	38	0	38835	19427	0
C3_no	Kā	Rv	kalikapurana	skandamahapurana_revakhanda	0.0385	0.1272	0.1212	0.6668	0.6437	18	7	0	74038	37889	0
C3_no	Pd	RvV	padmapurana_a	vayupurana_revakhanda	0.0370	0.1261	0.1205	0.4930	0.4759	5	2	0	344712	44637	0
C3_no	Hm	Rv	skandamahapurana_himavatkhanda	skandamahapurana_revakhanda	0.0098	0.1205	0.1201	0.8209	0.7925	26	41	0	19730	37889	0
C3_no	MBh2	MBh18	mahabharata_02-sabhaparvan	mahabharata_18-svargarohanaparvan	0.0350	0.1226	0.1175	0.9857	0.9515	82	1	0	23218	1708	1
C3_no	A	ŚDhU	agnipurana_u	sivadharmottara	0.0082	0.1176	0.1173	0.8575	0.8277	22	2	0	91768	6111	0
C3_no	Pd	Ru	padmapurana_a	sivapurana_rudrasamhita	0.0314	0.1201	0.1159	0.5840	0.5637	20	2	0	344712	80914	0
C3_no	MBh12	SP	mahabharata_12-santiparvan	skandapurana	0.0400	0.1226	0.1159	0.6285	0.6067	11	15	0	104812	78281	0
C3_no	MBh10	MBh18	mahabharata_10-sauptikaparvan	mahabharata_18-svargarohanaparvan	0.0394	0.1183	0.1116	1.0903	1.0525	89	10	0	7144	1708	1
C3_no	MA13	Sn	mahabharata_13-appendix-15_umamahesvara	sivapurana_sanatkumarasamhita	0.0313	0.1149	0.1106	0.8522	0.8227	16	32	0	20042	19427	0
C3_no	MBh13	Mā	mahabharata_13-anusasanaparvan	markandeyapurana	0.0137	0.1095	0.1086	0.6339	0.6120	14	15	0	51657	44018	0
C3_no	Bḍ3	MA14	brahmandapurana_khanda-3_u	mahabharata_14-appendix-04_vaisnavadharma	0.0298	0.1082	0.1040	1.0303	0.9946	87	68	0	33709	12641	0
C3_no	Bh4	Bh8	bhagavatapurana_skandha-04_u	bhagavatapurana_skandha-08_u	0.0281	0.0995	0.0954	0.5631	0.5436	6	2	1	14031	9037	0
C3_no	R5	R6	ramayana_05-sundarakanda	ramayana_06-yuddhakanda	0.0278	0.0865	0.0819	0.5588	0.5394	3	1	0	23653	38653	0
C3_no	RvV	Vt	vayupurana_revakhanda	visnudharmottarapurana_khanda-3_adhyaya-343-353_pu	0.0129	0.0804	0.0794	1.0522	1.0157	96	11	0	44637	2221	1
C3_no	MBh11	MBh16	mahabharata_11-striparvan	mahabharata_16-mausalaparvan	0.0171	0.0665	0.0643	1.0440	1.0078	68	28	0	7051	2698	1
C3_no	MBh6	MBh9	mahabharata_06-bhismaparvan	mahabharata_09-salyaparvan	0.0057	0.0634	0.0631	0.4695	0.4533	3	1	0	46323	29536	0
C3_no	Bh3	Bh7	bhagavatapurana_skandha-03_u	bhagavatapurana_skandha-07_u	0.0144	0.0614	0.0597	0.6019	0.5810	6	4	1	13740	7247	0
C3_no	HV	MBh14	harivamsa	mahabharata_14-asvamedhikaparvan	0.0194	0.0594	0.0562	0.6865	0.6627	29	11	0	35339	24006	0
C3_no	MBh5	R1	mahabharata_05-udyogaparvan	ramayana_01-balakanda	0.0025	0.0484	0.0483	0.7104	0.6858	26	8	0	59871	14974	0
C3_no	Pl2A	V5	kirfel_ppl_textgruppe_IIA_col1	vayupurana_05_jyotis-and-purvardha-close_iast	0.0096	0.0294	0.0278	1.4806	1.4293	120	72	0	4868	648	1
C3_no	MBh7	MBh8	mahabharata_07-dronaparvan	mahabharata_08-karnaparvan	0.0038	0.0129	0.0123	0.3026	0.2921	1	1	0	74729	38944	0
C3_with	Bh2	Nī	bhagavatapurana_skandha-02_u	nilamatapurana_au	0.0320	0.9544	0.9539	1.4460	1.3646	113	121	1	4065	14221	0
C3_with	Bh2	Rv	bhagavatapurana_skandha-02_u	skandamahapurana_revakhanda	0.0410	0.9179	0.9170	1.2073	1.1394	53	113	1	4065	65925	0
C3_with	Bh2	Sr	bhagavatapurana_skandha-02_u	vamanapurana_saromahatmya_u	0.0126	0.8160	0.8159	1.2503	1.1800	69	107	1	4065	11429	0
C3_with	Bh10c	Nī	bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	nilamatapurana_au	0.0421	0.8058	0.8047	1.3505	1.2745	89	113	1	6892	14221	0
C3_with	Bh11	Nī	bhagavatapurana_skandha-11_u	nilamatapurana_au	0.0359	0.8031	0.8023	1.2764	1.2045	111	102	1	14006	14221	0
C3_with	Bh2	Dh	bhagavatapurana_skandha-02_u	sivapurana_dharmasamhita	0.0310	0.8025	0.8019	1.1852	1.1185	47	112	1	4065	47196	0
C3_with	Bh11	Rv	bhagavatapurana_skandha-11_u	skandamahapurana_revakhanda	0.0118	0.7655	0.7654	1.0791	1.0183	66	96	1	14006	65925	0
C3_with	Bh2	Hm	bhagavatapurana_skandha-02_u	skandamahapurana_himavatkhanda	0.0480	0.7662	0.7647	1.1844	1.1177	45	103	1	4065	22437	0
C3_with	Bh10c	RvV	bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	vayupurana_revakhanda	0.0540	0.7600	0.7581	1.2254	1.1564	45	113	1	6892	73003	0
C3_with	Bh10c	Bhv	bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	bhavisyapurana	0.0478	0.7013	0.6997	1.2048	1.1370	39	117	1	6892	278151	0
C3_with	Bh3	Dh	bhagavatapurana_skandha-03_u	sivapurana_dharmasamhita	0.0436	0.6794	0.6780	0.9294	0.8771	33	63	1	14668	47196	0
C3_with	Bh11	Sr	bhagavatapurana_skandha-11_u	vamanapurana_saromahatmya_u	0.0258	0.6648	0.6643	1.1717	1.1057	95	92	1	14006	11429	0
C3_with	Bh3	Br	bhagavatapurana_skandha-03_u	brahmapurana_pu	0.0366	0.6638	0.6628	0.8512	0.8033	16	75	1	14668	142373	0
C3_with	Bh11	Dh	bhagavatapurana_skandha-11_u	sivapurana_dharmasamhita	0.0310	0.6510	0.6503	0.9943	0.9384	43	84	1	14006	47196	0
C3_with	Bh3	Hm	bhagavatapurana_skandha-03_u	skandamahapurana_himavatkhanda	0.0347	0.6417	0.6408	1.0482	0.9892	60	72	1	14668	22437	0
C3_with	Bh10c	Pd	bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	padmapurana_a	0.0552	0.6298	0.6274	1.1072	1.0448	11	110	1	6892	461813	0
C3_with	Bh7	Dh	bhagavatapurana_skandha-07_u	sivapurana_dharmasamhita	0.0445	0.6275	0.6259	0.9521	0.8985	35	77	1	7763	47196	0
C3_with	Bh2	Vd	bhagavatapurana_skandha-02_u	visnudharma_pu	0.0246	0.6246	0.6241	1.0216	0.9641	11	96	1	4065	42898	0
