build	lens	text	pct_range
with	W1	agnipurana_u	3.97
with	W1	bhagavatapurana_skandha-01_u	10.32
with	W1	bhagavatapurana_skandha-02_u	28.57
with	W1	bhagavatapurana_skandha-03_u	8.73
with	W1	bhagavatapurana_skandha-04_u	3.97
with	W1	bhagavatapurana_skandha-05_u	20.63
with	W1	bhagavatapurana_skandha-06_u	6.35
with	W1	bhagavatapurana_skandha-07_u	15.08
with	W1	bhagavatapurana_skandha-08_u	4.76
with	W1	bhagavatapurana_skandha-09_u	18.25
with	W1	bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	25.40
with	W1	bhagavatapurana_skandha-10_u	12.70
with	W1	bhagavatapurana_skandha-11_u	22.22
with	W1	bhagavatapurana_skandha-12_u	16.67
with	W1	bhavisyapurana	23.02
with	W1	brahmandapurana	22.22
with	W1	brahmandapurana_khanda-1_u	23.81
with	W1	brahmandapurana_khanda-2_u	16.67
with	W1	brahmandapurana_khanda-3_u	20.63
with	W1	brahmapurana_pu	26.98
with	W1	devibhagavatapurana	36.51
with	W1	devibhagavatapurana_devigita_adhyaya-31-40	26.98
with	W1	devipurana	15.87
with	W1	garudapurana_khanda-1_u	7.14
with	W1	garudapurana_khanda-2_u	19.84
with	W1	garudapurana_khanda-3_u	3.17
with	W1	harivamsa	5.56
with	W1	harivamsa_appendix-29-30_mathura	7.14
with	W1	harivamsa_appendix-31	6.35
with	W1	harivamsa_appendix-41	19.84
with	W1	harivamsa_appendix-42_pradurbhava	41.27
with	W1	kalikapurana	30.95
with	W1	karatoyamahatmya_pu	39.68
with	W1	kirfel_ppl_textgruppe_IIA_col1	26.19
with	W1	kirfel_ppl_textgruppe_IIB_col1	26.98
with	W1	kirfel_ppl_textgruppe_III_col1	36.51
with	W1	kirfel_ppl_textgruppe_II_col1	23.02
with	W1	kirfel_ppl_textgruppe_I_col1	11.11
with	W1	kirfel_ppl_textgruppe_Ia_col1	50.00
with	W1	kirfel_ppl_ungrouped_col1	5.56
with	W1	kurmapurana_khanda-1_u	15.08
with	W1	kurmapurana_khanda-2_u	4.76
with	W1	lingapurana_khanda-1_u	14.29
with	W1	lingapurana_khanda-2_u	8.73
with	W1	mahabharata_01-adiparvan	11.90
with	W1	mahabharata_02-appendix-21_sisupala	27.78
with	W1	mahabharata_02-sabhaparvan	6.35
with	W1	mahabharata_03-aranyakaparvan	15.87
with	W1	mahabharata_04-virataparvan	5.56
with	W1	mahabharata_05-udyogaparvan	7.14
with	W1	mahabharata_06-bhismaparvan	15.08
with	W1	mahabharata_07-appendix-08_sodasarajika	10.32
with	W1	mahabharata_07-dronaparvan	16.67
with	W1	mahabharata_08-karnaparvan	14.29
with	W1	mahabharata_09-salyaparvan	11.11
with	W1	mahabharata_10-sauptikaparvan	9.52
with	W1	mahabharata_11-striparvan	7.94
with	W1	mahabharata_12-appendix-29_moksadharma	26.19
with	W1	mahabharata_12-santiparvan	4.76
with	W1	mahabharata_13-anusasanaparvan	7.14
with	W1	mahabharata_13-appendix-15_umamahesvara	16.67
with	W1	mahabharata_14-appendix-04_vaisnavadharma	11.90
with	W1	mahabharata_14-asvamedhikaparvan	8.73
with	W1	mahabharata_15-asramavasikaparvan	16.67
with	W1	mahabharata_16-mausalaparvan	18.25
with	W1	mahabharata_17-mahaprasthanikaparvan	35.71
with	W1	mahabharata_18-svargarohanaparvan	24.60
with	W1	markandeyapurana	21.43
with	W1	markandeyapurana_adhyaya-1-80_u	22.22
with	W1	markandeyapurana_adhyaya-81-93_devimahatmya_u	5.56
with	W1	markandeyapurana_adhyaya-94-141_u	15.87
with	W1	matsyapurana_pu	29.37
with	W1	naradapurana_khanda-1_u	9.52
with	W1	naradapurana_khanda-2_u	46.03
with	W1	nilamatapurana_au	8.73
with	W1	nrsimhapurana_pu	22.22
with	W1	padmapurana_a	36.51
with	W1	pranavakalpa	6.35
with	W1	ramayana_01-balakanda	10.32
with	W1	ramayana_02-ayodhyakanda_a	14.29
with	W1	ramayana_03-aranyakanda_a	7.94
with	W1	ramayana_04-kiskindhakanda	9.52
with	W1	ramayana_05-sundarakanda	8.73
