build	lens	mfw	axis	BhP_mean_pct	MBh_mean_pct	Ram_mean_pct	rho_ref	rho_logT
with	W1	30	2	81.5629	29.3651	26.4172	0.7033	-0.0569
with	W1	80	1	55.9829	12.8307	6.1224	0.9288	-0.1333
with	W1	500	1	53.3578	11.5961	8.2766	1.0000	-0.0650
with	W1	1500	1	47.2527	11.1993	11.4512	0.9354	0.1533
with	W1	5000	2	55.8608	13.9330	6.6893	0.9564	-0.2424
with	C3	250	2	36.0806	10.8025	11.7914	0.9797	-0.0122
with	C3	500	1	51.0379	11.7725	17.1202	0.8620	0.0483
with	C3	2000	1	38.3394	11.6843	9.8639	0.9814	-0.0507
with	C3	5000	1	31.4408	18.5185	7.0295	0.9080	-0.3032
with	C3	12000	2	13.3700	19.8413	13.9456	0.9014	-0.1258
noreuse	W1	30	1	74.7077	21.7778	14.6286	0.7458	-0.1035
noreuse	W1	80	1	55.3846	12.6222	7.5429	0.9431	-0.2946
noreuse	W1	500	1	55.7538	13.5111	4.8000	1.0000	-0.4439
noreuse	W1	1500	1	63.2615	34.6222	18.1714	0.7065	-0.8910
noreuse	W1	5000	2	46.8308	11.5556	10.1714	0.7297	0.0841
noreuse	C3	250	1	33.6000	11.2889	19.3143	0.8447	0.0188
noreuse	C3	500	1	44.8000	9.8667	16.3429	0.9129	-0.0651
noreuse	C3	2000	1	38.8923	12.7111	7.7714	0.9563	-0.3838
noreuse	C3	5000	2	39.0154	9.8222	14.0571	0.8345	0.1039
noreuse	C3	12000	2	7.8769	19.5111	21.6000	0.7939	0.0050
