text	x	y
agnipurana_u	0.340375	-0.058861
bhagavatapurana_skandha-01_u	-0.012540	-0.219311
bhagavatapurana_skandha-02_u	0.196458	-0.098081
bhagavatapurana_skandha-03_u	0.093327	-0.105561
bhagavatapurana_skandha-04_u	0.010468	-0.179518
bhagavatapurana_skandha-05_u	0.139619	-0.039949
bhagavatapurana_skandha-06_u	0.004463	-0.156415
bhagavatapurana_skandha-07_u	0.058632	-0.197797
bhagavatapurana_skandha-08_u	-0.016955	-0.127565
bhagavatapurana_skandha-09_u	-0.107836	-0.101013
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	0.081813	-0.175038
bhagavatapurana_skandha-10_u	-0.078776	-0.226324
bhagavatapurana_skandha-11_u	0.180122	-0.228936
bhagavatapurana_skandha-12_u	0.168678	-0.030783
bhavisyapurana	0.165020	-0.138195
brahmandapurana	0.050616	0.208351
brahmandapurana_khanda-1_u	0.127746	0.460473
brahmandapurana_khanda-2_u	-0.072402	0.133413
brahmandapurana_khanda-3_u	0.120359	0.078277
brahmapurana_pu	0.008208	-0.113588
devibhagavatapurana	-0.018369	-0.279751
devibhagavatapurana_devigita_adhyaya-31-40	0.332084	-0.104720
devipurana	0.262334	-0.085898
garudapurana_khanda-1_u	0.325002	-0.053982
garudapurana_khanda-2_u	0.267020	-0.174185
garudapurana_khanda-3_u	0.335011	-0.074154
harivamsa	-0.285483	0.076326
harivamsa_appendix-29-30_mathura	-0.209594	-0.069448
harivamsa_appendix-31	-0.256244	-0.132681
harivamsa_appendix-41	0.001479	0.234381
harivamsa_appendix-42_pradurbhava	-0.176546	0.202671
kalikapurana	0.112399	-0.094887
karatoyamahatmya_pu	0.407504	-0.044406
kirfel_ppl_textgruppe_IIA_col1	0.194721	0.371084
kirfel_ppl_textgruppe_IIB_col1	0.173574	0.571913
kirfel_ppl_textgruppe_III_col1	0.186160	0.409251
kirfel_ppl_textgruppe_II_col1	-0.039461	0.231113
kirfel_ppl_textgruppe_I_col1	-0.198412	0.340668
kirfel_ppl_textgruppe_Ia_col1	0.027689	0.565454
kirfel_ppl_ungrouped_col1	-0.192397	0.304729
kurmapurana_khanda-1_u	0.160936	0.058627
kurmapurana_khanda-2_u	0.348795	-0.090839
lingapurana_khanda-1_u	0.200221	0.065410
lingapurana_khanda-2_u	0.329739	-0.072397
mahabharata_01-adiparvan	-0.385763	-0.027913
mahabharata_02-appendix-21_sisupala	-0.318385	0.193597
mahabharata_02-sabhaparvan	-0.349461	-0.073692
mahabharata_03-aranyakaparvan	-0.357829	-0.082099
mahabharata_04-virataparvan	-0.402477	-0.057880
mahabharata_05-udyogaparvan	-0.322397	-0.102622
mahabharata_06-bhismaparvan	-0.348884	0.000407
mahabharata_07-appendix-08_sodasarajika	-0.274436	0.125225
mahabharata_07-dronaparvan	-0.401694	-0.007047
mahabharata_08-karnaparvan	-0.415195	-0.035104
mahabharata_09-salyaparvan	-0.451549	0.017281
mahabharata_10-sauptikaparvan	-0.401382	-0.041613
mahabharata_11-striparvan	-0.383330	-0.067272
mahabharata_12-appendix-29_moksadharma	-0.029867	0.007404
mahabharata_12-santiparvan	-0.104528	-0.084333
mahabharata_13-anusasanaparvan	-0.060053	-0.061191
mahabharata_13-appendix-15_umamahesvara	0.209814	-0.071009
mahabharata_14-appendix-04_vaisnavadharma	0.274427	-0.050475
mahabharata_14-asvamedhikaparvan	-0.307441	-0.062692
mahabharata_15-asramavasikaparvan	-0.475048	-0.057261
mahabharata_16-mausalaparvan	-0.465701	0.052738
mahabharata_17-mahaprasthanikaparvan	-0.612808	0.078052
mahabharata_18-svargarohanaparvan	-0.434726	0.102284
markandeyapurana	-0.061557	-0.110159
markandeyapurana_adhyaya-1-80_u	-0.009746	-0.095707
markandeyapurana_adhyaya-81-93_devimahatmya_u	-0.124266	-0.062568
markandeyapurana_adhyaya-94-141_u	-0.192114	-0.110437
matsyapurana_pu	0.099863	0.057335
naradapurana_khanda-1_u	0.360167	-0.146128
naradapurana_khanda-2_u	0.069014	-0.323357
nilamatapurana_au	0.107311	-0.075362
nrsimhapurana_pu	-0.072444	-0.228279
padmapurana_a	0.063273	-0.258071
pranavakalpa	0.371023	-0.076292
ramayana_01-balakanda	-0.482664	0.027239
ramayana_02-ayodhyakanda_a	-0.428857	-0.185406
ramayana_03-aranyakanda_a	-0.374362	-0.095207
ramayana_04-kiskindhakanda	-0.380888	-0.087001
ramayana_05-sundarakanda	-0.328546	-0.098947
ramayana_06-yuddhakanda	-0.405271	-0.017328
ramayana_07-uttarakanda	-0.440513	-0.012194
saurapurana	0.171538	-0.161493
sivadharmasastra	0.452447	-0.167923
sivadharmottara	0.429293	-0.185386
sivapurana_dharmasamhita	0.097734	-0.091445
sivapurana_karvanamahatmya_au	0.223172	-0.097325
sivapurana_rudrasamhita	-0.076898	-0.230180
sivapurana_sanatkumarasamhita	0.192511	-0.012970
sivapurana_satarudrasamhita_au	-0.035335	-0.184036
sivapurana_umasamhita	0.145277	-0.015612
sivapurana_vayaviyasamhita_au	0.276073	-0.055647
sivapurana_vidyesvarasamhita_au	0.535551	-0.112695
skandamahapurana_himavatkhanda	0.040690	-0.103022
skandamahapurana_kasikhanda	0.176838	-0.227610
skandamahapurana_revakhanda	0.064695	-0.143279
skandamahapurana_sutasamhita_khanda-4	0.442681	-0.198875
skandapurana	-0.181311	-0.021692
skandapurana_adhyaya-1-31_pu	-0.092276	-0.006759
skandapurana_pasupata_adhyaya174-183_u	0.369297	0.088557
vamanapurana_saromahatmya_u	0.036793	-0.077320
vamanapurana_u	-0.096359	-0.140177
vayu_ba	0.057751	0.419950
vayupurana	0.090758	0.339796
vayupurana_01_frame-and-cosmogony_iast	0.189829	0.499596
vayupurana_02_pashupata-yoga_iast	0.340857	0.236600
vayupurana_03_kalpas-and-shiva-lineages_iast	0.041851	0.375043
vayupurana_04_bhuvana-vinyasa_iast	0.164032	0.396555
vayupurana_05_jyotis-and-purvardha-close_iast	0.170124	0.430384
vayupurana_06_prthu-and-prajapati-lineages_iast	0.017461	0.479128
vayupurana_07_shraddha-kalpa_iast	0.207400	0.215473
vayupurana_08_manu-candra-vishnu-vamsha_iast	-0.198766	0.345651
vayupurana_09_upasamhara_iast	0.195567	0.451939
vayupurana_10_gaya-mahatmya_iast	0.207230	-0.092908
vayupurana_revakhanda	0.110895	-0.199873
visnudharma_pu	0.180349	-0.244206
visnudharmottarapurana_khanda-3_adhyaya-343-353_pu	-0.056236	-0.082445
visnupurana_amsa-1_u	0.025359	0.055581
visnupurana_amsa-2_u	0.158809	0.091426
visnupurana_amsa-3_u	0.227150	0.013063
visnupurana_amsa-4_u	-0.031779	0.097779
visnupurana_amsa-5_u	-0.173010	-0.155279
visnupurana_amsa-6_u	0.177937	-0.127422
visnupurana_u	0.027752	-0.035720
