text	x	y
agnipurana_u	0.241109	-0.293853
bhagavatapurana_skandha-01_u	-0.160916	-0.027619
bhagavatapurana_skandha-02_u	-0.101759	0.174162
bhagavatapurana_skandha-03_u	-0.194798	-0.080097
bhagavatapurana_skandha-04_u	-0.216405	-0.096620
bhagavatapurana_skandha-05_u	-0.136408	-0.013624
bhagavatapurana_skandha-06_u	-0.089890	-0.045135
bhagavatapurana_skandha-07_u	-0.067217	-0.013121
bhagavatapurana_skandha-08_u	-0.106391	-0.074253
bhagavatapurana_skandha-09_u	-0.121371	-0.061142
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	-0.199436	0.067072
bhagavatapurana_skandha-10_u	-0.253370	-0.244187
bhagavatapurana_skandha-11_u	-0.139409	0.003675
bhagavatapurana_skandha-12_u	-0.108608	0.106324
bhavisyapurana	0.236922	-0.257955
brahmandapurana	0.184080	-0.212057
brahmandapurana_khanda-1_u	0.206613	0.004176
brahmandapurana_khanda-2_u	0.111264	-0.174536
brahmandapurana_khanda-3_u	0.205419	-0.249417
brahmapurana_pu	-0.048622	-0.115740
devibhagavatapurana	0.178343	-0.230422
devibhagavatapurana_devigita_adhyaya-31-40	0.198163	0.163977
devipurana	0.211484	-0.141943
garudapurana_khanda-1_u	0.272935	-0.285880
garudapurana_khanda-2_u	0.221883	-0.093874
garudapurana_khanda-3_u	0.225703	0.008125
harivamsa	-0.185494	-0.126709
harivamsa_appendix-29-30_mathura	-0.187472	-0.063169
harivamsa_appendix-31	-0.200449	0.028334
harivamsa_appendix-41	-0.110467	0.150042
harivamsa_appendix-42_pradurbhava	-0.189173	-0.037050
kalikapurana	0.160901	-0.144486
karatoyamahatmya_pu	0.023216	0.549146
kirfel_ppl_textgruppe_IIA_col1	-0.022870	0.346410
kirfel_ppl_textgruppe_IIB_col1	-0.012640	0.234259
kirfel_ppl_textgruppe_III_col1	-0.085410	0.412174
kirfel_ppl_textgruppe_II_col1	-0.127053	0.112346
kirfel_ppl_textgruppe_I_col1	-0.139689	0.078372
kirfel_ppl_textgruppe_Ia_col1	-0.083090	0.328340
kirfel_ppl_ungrouped_col1	-0.177903	0.104332
kurmapurana_khanda-1_u	0.123029	-0.009490
kurmapurana_khanda-2_u	0.152782	-0.003029
lingapurana_khanda-1_u	0.201476	-0.109838
lingapurana_khanda-2_u	0.240232	-0.035617
mahabharata_01-adiparvan	-0.227847	-0.067940
mahabharata_02-appendix-21_sisupala	-0.209291	0.081078
mahabharata_02-sabhaparvan	-0.276488	-0.026238
mahabharata_03-aranyakaparvan	-0.221117	-0.091434
mahabharata_04-virataparvan	-0.313469	-0.000232
mahabharata_05-udyogaparvan	-0.265347	-0.048685
mahabharata_06-bhismaparvan	-0.294337	-0.042038
mahabharata_07-appendix-08_sodasarajika	-0.211540	0.208648
mahabharata_07-dronaparvan	-0.333719	-0.077056
mahabharata_08-karnaparvan	-0.325094	-0.058753
mahabharata_09-salyaparvan	-0.290793	-0.039753
mahabharata_10-sauptikaparvan	-0.297932	0.081308
mahabharata_11-striparvan	-0.308244	0.112744
mahabharata_12-appendix-29_moksadharma	-0.098261	0.296086
mahabharata_12-santiparvan	-0.135060	-0.037689
mahabharata_13-anusasanaparvan	-0.118928	-0.046955
mahabharata_13-appendix-15_umamahesvara	-0.055995	0.078667
mahabharata_14-appendix-04_vaisnavadharma	-0.035468	0.099864
mahabharata_14-asvamedhikaparvan	-0.215247	0.027053
mahabharata_15-asramavasikaparvan	-0.276324	0.111054
mahabharata_16-mausalaparvan	-0.318092	0.240537
mahabharata_17-mahaprasthanikaparvan	-0.268165	0.487627
mahabharata_18-svargarohanaparvan	-0.261115	0.371671
markandeyapurana	0.091775	-0.144606
markandeyapurana_adhyaya-1-80_u	0.115847	-0.131092
markandeyapurana_adhyaya-81-93_devimahatmya_u	0.018499	0.107590
markandeyapurana_adhyaya-94-141_u	-0.004299	0.014294
matsyapurana_pu	0.127094	-0.208242
naradapurana_khanda-1_u	0.295824	-0.303942
naradapurana_khanda-2_u	0.143184	-0.125039
nilamatapurana_au	0.083511	0.043328
nrsimhapurana_pu	-0.066467	-0.064352
padmapurana_a	0.220397	-0.549502
pranavakalpa	0.215554	0.017071
ramayana_01-balakanda	-0.222020	0.031143
ramayana_02-ayodhyakanda_a	-0.263258	-0.059759
ramayana_03-aranyakanda_a	-0.256574	-0.041921
ramayana_04-kiskindhakanda	-0.239381	-0.017018
ramayana_05-sundarakanda	-0.263629	-0.082216
ramayana_06-yuddhakanda	-0.297795	-0.082381
ramayana_07-uttarakanda	-0.228978	-0.008071
saurapurana	0.218074	-0.135974
sivadharmasastra	0.224518	0.056655
sivadharmottara	0.146150	-0.042700
sivapurana_dharmasamhita	0.307375	-0.578155
sivapurana_karvanamahatmya_au	0.056342	0.335948
sivapurana_rudrasamhita	0.156679	-0.211264
sivapurana_sanatkumarasamhita	0.324067	-0.385721
sivapurana_satarudrasamhita_au	0.055913	0.056743
sivapurana_umasamhita	0.179713	-0.185780
sivapurana_vayaviyasamhita_au	0.234959	-0.099586
sivapurana_vidyesvarasamhita_au	0.297052	0.009823
skandamahapurana_himavatkhanda	0.067358	-0.049776
skandamahapurana_kasikhanda	0.226335	-0.299197
skandamahapurana_revakhanda	0.041594	-0.011260
skandamahapurana_sutasamhita_khanda-4	0.245117	0.076296
skandapurana	0.006269	-0.157431
skandapurana_adhyaya-1-31_pu	0.064970	-0.038458
skandapurana_pasupata_adhyaya174-183_u	0.138859	0.319117
vamanapurana_saromahatmya_u	0.084734	0.099296
vamanapurana_u	0.045509	-0.181842
vayu_ba	0.179508	-0.016234
vayupurana	0.193505	-0.054659
vayupurana_01_frame-and-cosmogony_iast	0.169352	0.210877
vayupurana_02_pashupata-yoga_iast	0.168497	0.377097
vayupurana_03_kalpas-and-shiva-lineages_iast	0.152678	0.117171
vayupurana_04_bhuvana-vinyasa_iast	0.129373	0.115528
vayupurana_05_jyotis-and-purvardha-close_iast	0.195508	0.131618
vayupurana_06_prthu-and-prajapati-lineages_iast	0.134753	0.101586
vayupurana_07_shraddha-kalpa_iast	0.198184	0.132221
vayupurana_08_manu-candra-vishnu-vamsha_iast	0.043787	0.013684
vayupurana_09_upasamhara_iast	0.211015	0.182624
vayupurana_10_gaya-mahatmya_iast	0.211680	0.217352
vayupurana_revakhanda	0.142531	-0.082468
visnudharma_pu	-0.031006	-0.052186
visnudharmottarapurana_khanda-3_adhyaya-343-353_pu	-0.071486	0.292579
visnupurana_amsa-1_u	0.124644	0.036443
visnupurana_amsa-2_u	0.166136	0.117676
visnupurana_amsa-3_u	0.184134	0.064524
visnupurana_amsa-4_u	0.066394	-0.027645
visnupurana_amsa-5_u	-0.001243	-0.138634
visnupurana_amsa-6_u	0.129077	0.184936
visnupurana_u	0.140734	-0.186078
