text	x	y
agnipurana_u	38.969907	-0.756884
bhagavatapurana_skandha-01_u	-13.460660	4.041122
bhagavatapurana_skandha-02_u	-5.543052	9.707709
bhagavatapurana_skandha-03_u	-17.783743	4.200089
bhagavatapurana_skandha-04_u	-19.494827	4.540342
bhagavatapurana_skandha-05_u	-10.474441	2.447882
bhagavatapurana_skandha-06_u	-6.658641	4.824615
bhagavatapurana_skandha-07_u	-3.167248	3.185466
bhagavatapurana_skandha-08_u	-8.401830	2.550649
bhagavatapurana_skandha-09_u	-11.719522	2.550280
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	-15.922465	-4.205886
bhagavatapurana_skandha-10_u	-22.758510	-0.702387
bhagavatapurana_skandha-11_u	-13.327413	6.548832
bhagavatapurana_skandha-12_u	-8.796689	8.957622
bhavisyapurana	28.588222	-13.832604
brahmandapurana	21.384560	0.510942
brahmandapurana_khanda-1_u	22.401416	8.434233
brahmandapurana_khanda-2_u	14.126956	-1.062353
brahmandapurana_khanda-3_u	28.425200	-4.788560
brahmapurana_pu	-9.561813	3.892554
devibhagavatapurana	19.581507	-13.296517
devibhagavatapurana_devigita_adhyaya-31-40	29.681491	8.107527
devipurana	30.722661	-1.603861
garudapurana_khanda-1_u	41.426894	-4.348556
garudapurana_khanda-2_u	30.069221	5.545999
garudapurana_khanda-3_u	28.569832	0.602599
harivamsa	-24.022739	0.894719
harivamsa_appendix-29-30_mathura	-22.667486	-0.702826
harivamsa_appendix-31	-24.500135	1.746324
harivamsa_appendix-41	-15.673098	5.978045
harivamsa_appendix-42_pradurbhava	-23.821062	-0.019727
kalikapurana	18.156015	1.439458
karatoyamahatmya_pu	13.224280	17.717896
kirfel_ppl_textgruppe_IIA_col1	-3.927416	19.472715
kirfel_ppl_textgruppe_IIB_col1	-4.467340	19.653848
kirfel_ppl_textgruppe_III_col1	-13.756813	15.544097
kirfel_ppl_textgruppe_II_col1	-17.749367	6.541028
kirfel_ppl_textgruppe_I_col1	-21.251714	7.165353
kirfel_ppl_textgruppe_Ia_col1	-13.694721	18.195477
kirfel_ppl_ungrouped_col1	-24.528348	9.011837
kurmapurana_khanda-1_u	9.848167	7.180535
kurmapurana_khanda-2_u	15.819768	6.952744
lingapurana_khanda-1_u	19.093244	0.485874
lingapurana_khanda-2_u	29.109570	2.129174
mahabharata_01-adiparvan	-30.553422	2.640193
mahabharata_02-appendix-21_sisupala	-26.185431	2.784781
mahabharata_02-sabhaparvan	-35.874827	2.058034
mahabharata_03-aranyakaparvan	-30.195929	2.732479
mahabharata_04-virataparvan	-38.578007	0.379403
mahabharata_05-udyogaparvan	-35.283242	2.654754
mahabharata_06-bhismaparvan	-39.685416	-0.574316
mahabharata_07-appendix-08_sodasarajika	-27.472117	5.485452
mahabharata_07-dronaparvan	-43.166123	-2.005698
mahabharata_08-karnaparvan	-41.710992	-1.391296
mahabharata_09-salyaparvan	-38.607962	0.352220
mahabharata_10-sauptikaparvan	-39.512413	0.705330
mahabharata_11-striparvan	-39.753902	2.536311
mahabharata_12-appendix-29_moksadharma	-15.373496	9.808795
mahabharata_12-santiparvan	-20.013794	5.740560
mahabharata_13-anusasanaparvan	-17.525621	5.496987
mahabharata_13-appendix-15_umamahesvara	-8.993173	4.914472
mahabharata_14-appendix-04_vaisnavadharma	-4.362445	8.448001
mahabharata_14-asvamedhikaparvan	-29.290261	4.648353
mahabharata_15-asramavasikaparvan	-37.343565	4.519424
mahabharata_16-mausalaparvan	-41.157208	1.825273
mahabharata_17-mahaprasthanikaparvan	-43.539964	9.510183
mahabharata_18-svargarohanaparvan	-38.135486	6.849953
markandeyapurana	8.793921	6.291983
markandeyapurana_adhyaya-1-80_u	13.412987	6.435994
markandeyapurana_adhyaya-81-93_devimahatmya_u	6.378620	6.136600
markandeyapurana_adhyaya-94-141_u	-1.762809	5.991669
matsyapurana_pu	11.517207	2.456823
naradapurana_khanda-1_u	45.595453	-9.075418
naradapurana_khanda-2_u	17.203132	-0.746110
nilamatapurana_au	9.886879	4.113557
nrsimhapurana_pu	-11.339591	2.459952
padmapurana_a	24.935194	-106.128235
pranavakalpa	41.649812	-0.741774
ramayana_01-balakanda	-30.140364	1.856611
ramayana_02-ayodhyakanda_a	-33.011227	-0.160652
ramayana_03-aranyakanda_a	-31.142168	-0.799236
ramayana_04-kiskindhakanda	-29.910062	0.643026
ramayana_05-sundarakanda	-31.456643	-3.605419
ramayana_06-yuddhakanda	-36.515831	-2.168939
ramayana_07-uttarakanda	-31.462726	1.051117
saurapurana	26.153649	-2.583667
sivadharmasastra	28.628716	2.607058
sivadharmottara	19.716184	-1.122083
sivapurana_dharmasamhita	26.649548	-156.001448
sivapurana_karvanamahatmya_au	8.927000	11.343338
sivapurana_rudrasamhita	20.305670	-21.122700
sivapurana_sanatkumarasamhita	24.420569	-155.284603
sivapurana_satarudrasamhita_au	6.838500	4.459127
sivapurana_umasamhita	49.117749	-49.608102
sivapurana_vayaviyasamhita_au	24.869482	-5.431037
sivapurana_vidyesvarasamhita_au	35.469910	-8.072769
skandamahapurana_himavatkhanda	8.653534	0.794433
skandamahapurana_kasikhanda	32.848139	-3.162712
skandamahapurana_revakhanda	1.543129	6.487475
skandamahapurana_sutasamhita_khanda-4	31.875481	1.695600
skandapurana	-1.648069	-0.594432
skandapurana_adhyaya-1-31_pu	4.966509	-0.716329
skandapurana_pasupata_adhyaya174-183_u	17.068383	9.185217
vamanapurana_saromahatmya_u	7.617748	7.524427
vamanapurana_u	4.724504	0.725420
vayu_ba	15.477000	15.243392
vayupurana	16.806940	14.035973
vayupurana_01_frame-and-cosmogony_iast	17.532078	18.091673
vayupurana_02_pashupata-yoga_iast	24.058276	17.146021
vayupurana_03_kalpas-and-shiva-lineages_iast	17.293455	15.692295
vayupurana_04_bhuvana-vinyasa_iast	16.729879	7.727748
vayupurana_05_jyotis-and-purvardha-close_iast	21.941287	17.178223
vayupurana_06_prthu-and-prajapati-lineages_iast	14.006509	14.985956
vayupurana_07_shraddha-kalpa_iast	23.721268	14.606215
vayupurana_08_manu-candra-vishnu-vamsha_iast	3.167473	10.272018
vayupurana_09_upasamhara_iast	23.009031	15.765981
vayupurana_10_gaya-mahatmya_iast	30.481671	13.809441
vayupurana_revakhanda	13.094876	4.098088
visnudharma_pu	-4.669699	3.698843
visnudharmottarapurana_khanda-3_adhyaya-343-353_pu	-6.048479	4.859610
visnupurana_amsa-1_u	14.622880	5.189212
visnupurana_amsa-2_u	21.527712	5.603188
visnupurana_amsa-3_u	27.431868	1.802153
visnupurana_amsa-4_u	10.912938	-7.337775
visnupurana_amsa-5_u	5.076576	-6.828879
