text	x	y
agnipurana_u	785.152155	-2905.880264
bhagavatapurana_skandha-01_u	-135.180005	867.541753
bhagavatapurana_skandha-02_u	141.848727	1820.535233
bhagavatapurana_skandha-03_u	-521.149323	224.845915
bhagavatapurana_skandha-04_u	-593.815483	229.342627
bhagavatapurana_skandha-05_u	-234.294452	774.711862
bhagavatapurana_skandha-06_u	-55.741081	668.988812
bhagavatapurana_skandha-07_u	131.363144	986.177757
bhagavatapurana_skandha-08_u	-28.307012	662.416021
bhagavatapurana_skandha-09_u	-85.308537	667.467545
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	-217.635523	1583.115447
bhagavatapurana_skandha-10_u	-954.125068	-1075.385691
bhagavatapurana_skandha-11_u	-395.510330	513.951602
bhagavatapurana_skandha-12_u	-169.112484	1324.071449
bhavisyapurana	1140.662316	-3314.404231
brahmandapurana	878.867501	-3166.159012
brahmandapurana_khanda-1_u	764.157808	-937.193444
brahmandapurana_khanda-2_u	449.091101	-1949.656607
brahmandapurana_khanda-3_u	876.566339	-1508.770269
brahmapurana_pu	-898.814676	-2235.312538
devibhagavatapurana	925.763341	-3123.359012
devibhagavatapurana_devigita_adhyaya-31-40	676.690388	1590.874729
devipurana	832.088572	-1420.386243
garudapurana_khanda-1_u	1131.402431	-2571.882812
garudapurana_khanda-2_u	777.868297	-658.533745
garudapurana_khanda-3_u	884.348586	13.827258
harivamsa	-1266.142959	-1290.411946
harivamsa_appendix-29-30_mathura	-842.917948	19.633421
harivamsa_appendix-31	-728.339113	659.500373
harivamsa_appendix-41	-403.924832	1225.978566
harivamsa_appendix-42_pradurbhava	-817.918027	226.593006
kalikapurana	654.825584	-1909.584659
karatoyamahatmya_pu	212.254120	3312.307355
kirfel_ppl_textgruppe_IIA_col1	-51.539058	2119.456992
kirfel_ppl_textgruppe_IIB_col1	-257.600503	1053.461115
kirfel_ppl_textgruppe_III_col1	-74.136052	2564.908127
kirfel_ppl_textgruppe_II_col1	-360.494693	1150.147273
kirfel_ppl_textgruppe_I_col1	-771.614903	297.173069
kirfel_ppl_textgruppe_Ia_col1	-196.551470	2023.482920
kirfel_ppl_ungrouped_col1	-693.138277	827.448621
kurmapurana_khanda-1_u	402.190347	-469.996106
kurmapurana_khanda-2_u	417.368613	-240.501436
lingapurana_khanda-1_u	713.503133	-1780.365879
lingapurana_khanda-2_u	842.084182	-186.360282
mahabharata_01-adiparvan	-1553.570754	-1218.337622
mahabharata_02-appendix-21_sisupala	-560.582305	1231.321368
mahabharata_02-sabhaparvan	-1265.451168	-72.957901
mahabharata_03-aranyakaparvan	-1672.433087	-1589.180360
mahabharata_04-virataparvan	-1254.030019	461.912169
mahabharata_05-udyogaparvan	-1624.717193	-875.057848
mahabharata_06-bhismaparvan	-1531.028406	-499.126448
mahabharata_07-appendix-08_sodasarajika	-478.103168	1843.846536
mahabharata_07-dronaparvan	-1758.312598	-821.112115
mahabharata_08-karnaparvan	-1509.151465	-324.948396
mahabharata_09-salyaparvan	-1425.318691	-213.335474
mahabharata_10-sauptikaparvan	-862.997026	1284.046896
mahabharata_11-striparvan	-853.801925	1421.920911
mahabharata_12-appendix-29_moksadharma	-296.142293	1962.959303
mahabharata_12-santiparvan	-1338.777049	-1697.268183
mahabharata_13-anusasanaparvan	-1121.209155	-1200.910076
mahabharata_13-appendix-15_umamahesvara	-544.783329	429.643110
mahabharata_14-appendix-04_vaisnavadharma	-377.758388	703.418142
mahabharata_14-asvamedhikaparvan	-1163.593953	33.028690
mahabharata_15-asramavasikaparvan	-889.393139	1143.057437
mahabharata_16-mausalaparvan	-488.098654	2294.141716
mahabharata_17-mahaprasthanikaparvan	-232.625541	3335.728033
mahabharata_18-svargarohanaparvan	-349.850837	2758.054236
markandeyapurana	272.094298	-1643.802334
markandeyapurana_adhyaya-1-80_u	385.318340	-1105.239708
markandeyapurana_adhyaya-81-93_devimahatmya_u	296.084831	1512.295312
markandeyapurana_adhyaya-94-141_u	72.973844	398.392137
matsyapurana_pu	266.483585	-2857.023078
naradapurana_khanda-1_u	1315.182240	-3301.022152
naradapurana_khanda-2_u	625.102986	-472.125310
nilamatapurana_au	359.660308	612.462524
nrsimhapurana_pu	-615.268275	-704.103088
padmapurana_a	1037.979706	-4196.358975
pranavakalpa	834.424679	597.136517
ramayana_01-balakanda	-910.150891	541.969553
ramayana_02-ayodhyakanda_a	-1224.358323	-123.765729
ramayana_03-aranyakanda_a	-1033.950470	317.032950
ramayana_04-kiskindhakanda	-970.157633	436.474984
ramayana_05-sundarakanda	-1017.807058	135.995620
ramayana_06-yuddhakanda	-1365.295672	-274.745772
ramayana_07-uttarakanda	-1063.748727	178.292923
saurapurana	930.790086	-1047.446580
sivadharmasastra	725.522424	829.030155
sivadharmottara	448.636341	207.877017
sivapurana_dharmasamhita	1328.758167	-1856.274124
sivapurana_karvanamahatmya_au	366.969720	2478.519553
sivapurana_rudrasamhita	858.533357	-2307.803749
sivapurana_sanatkumarasamhita	1268.520888	-924.529937
sivapurana_satarudrasamhita_au	368.534019	886.629945
sivapurana_umasamhita	809.520892	-1277.675427
sivapurana_vayaviyasamhita_au	928.865362	-795.773381
sivapurana_vidyesvarasamhita_au	1055.068899	470.948924
skandamahapurana_himavatkhanda	357.162245	63.712242
skandamahapurana_kasikhanda	1024.524908	-2880.052991
skandamahapurana_revakhanda	-226.798832	-940.027366
skandamahapurana_sutasamhita_khanda-4	906.406884	393.284774
skandapurana	-69.235628	-1862.923500
skandapurana_adhyaya-1-31_pu	226.923264	203.977978
skandapurana_pasupata_adhyaya174-183_u	489.715246	2082.738348
vamanapurana_saromahatmya_u	318.052741	809.572586
vamanapurana_u	208.110862	-1439.243726
vayu_ba	676.375769	-1608.764276
vayupurana	821.619744	-2303.859417
vayupurana_01_frame-and-cosmogony_iast	564.070498	1099.890984
vayupurana_02_pashupata-yoga_iast	560.070198	2281.782912
vayupurana_03_kalpas-and-shiva-lineages_iast	576.353879	621.671285
vayupurana_04_bhuvana-vinyasa_iast	555.731526	1128.838574
vayupurana_05_jyotis-and-purvardha-close_iast	713.047156	628.380042
vayupurana_06_prthu-and-prajapati-lineages_iast	585.151184	576.941656
vayupurana_07_shraddha-kalpa_iast	679.094475	939.446981
vayupurana_08_manu-candra-vishnu-vamsha_iast	254.900726	71.375583
vayupurana_09_upasamhara_iast	736.682560	1065.009946
vayupurana_10_gaya-mahatmya_iast	790.759145	1610.974220
vayupurana_revakhanda	334.101774	-1528.197947
visnudharma_pu	-515.364151	-733.391413
visnudharmottarapurana_khanda-3_adhyaya-343-353_pu	-22.121807	2318.045206
visnupurana_amsa-1_u	529.557446	504.715176
visnupurana_amsa-2_u	580.436302	1154.721641
visnupurana_amsa-3_u	605.432340	1022.473562
visnupurana_amsa-4_u	400.877472	801.852871
visnupurana_amsa-5_u	238.794885	265.993840
visnupurana_amsa-6_u	482.556454	1692.023000
visnupurana_u	529.668080	-1810.990334
