text	x	y
agnipurana_u	0.103513	-0.063661
bhagavatapurana_skandha-01_u	-0.044548	-0.069499
bhagavatapurana_skandha-02_u	-0.004336	-0.064820
bhagavatapurana_skandha-03_u	-0.074571	-0.057695
bhagavatapurana_skandha-04_u	-0.080138	-0.061652
bhagavatapurana_skandha-05_u	-0.042707	-0.047295
bhagavatapurana_skandha-06_u	0.007282	-0.056782
bhagavatapurana_skandha-07_u	0.019403	-0.078817
bhagavatapurana_skandha-08_u	0.006641	-0.062901
bhagavatapurana_skandha-09_u	-0.006463	-0.027362
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	-0.070344	-0.071708
bhagavatapurana_skandha-10_u	-0.102637	-0.089879
bhagavatapurana_skandha-11_u	-0.059233	-0.066439
bhagavatapurana_skandha-12_u	-0.048558	-0.012597
bhavisyapurana	0.104779	-0.071685
brahmandapurana	0.103545	0.063232
brahmandapurana_khanda-1_u	0.118386	0.170045
brahmandapurana_khanda-2_u	0.066001	0.044334
brahmandapurana_khanda-3_u	0.119002	-0.006629
brahmapurana_pu	-0.053963	-0.019091
devibhagavatapurana	0.079690	-0.083430
devibhagavatapurana_devigita_adhyaya-31-40	0.116890	-0.049366
devipurana	0.111878	-0.048798
garudapurana_khanda-1_u	0.128526	-0.070473
garudapurana_khanda-2_u	0.108788	-0.060700
garudapurana_khanda-3_u	0.111407	-0.034394
harivamsa	-0.117799	0.020413
harivamsa_appendix-29-30_mathura	-0.108977	-0.022491
harivamsa_appendix-31	-0.114444	-0.045672
harivamsa_appendix-41	-0.064900	0.077783
harivamsa_appendix-42_pradurbhava	-0.093098	0.051303
kalikapurana	0.091552	-0.050244
karatoyamahatmya_pu	0.028619	-0.047296
kirfel_ppl_textgruppe_IIA_col1	-0.022458	0.170716
kirfel_ppl_textgruppe_IIB_col1	-0.015574	0.214888
kirfel_ppl_textgruppe_III_col1	-0.051257	0.173157
kirfel_ppl_textgruppe_II_col1	-0.078239	0.095417
kirfel_ppl_textgruppe_I_col1	-0.094517	0.150334
