text	x	y
agnipurana_u	0.009290	-0.034024
bhagavatapurana_skandha-01_u	0.001750	-0.023827
bhagavatapurana_skandha-02_u	0.011737	-0.036831
bhagavatapurana_skandha-03_u	-0.016398	-0.026239
bhagavatapurana_skandha-04_u	-0.015076	-0.026156
bhagavatapurana_skandha-05_u	-0.003834	-0.022829
bhagavatapurana_skandha-06_u	0.022222	-0.010892
bhagavatapurana_skandha-07_u	0.023466	-0.026120
bhagavatapurana_skandha-08_u	0.023935	-0.010715
bhagavatapurana_skandha-09_u	0.020233	-0.005515
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	-0.032103	-0.028389
bhagavatapurana_skandha-10_u	-0.020238	-0.018781
bhagavatapurana_skandha-11_u	-0.013191	-0.025391
bhagavatapurana_skandha-12_u	-0.019690	-0.004074
bhavisyapurana	0.016898	-0.017933
brahmandapurana	0.027995	0.027658
brahmandapurana_khanda-1_u	0.037076	0.052827
brahmandapurana_khanda-2_u	0.020675	0.019283
brahmandapurana_khanda-3_u	0.039338	0.023618
brahmapurana_pu	-0.023185	-0.001785
devibhagavatapurana	0.010112	-0.020169
devibhagavatapurana_devigita_adhyaya-31-40	0.029940	-0.020305
devipurana	0.023963	-0.008554
garudapurana_khanda-1_u	0.031672	-0.021096
garudapurana_khanda-2_u	0.019314	-0.027602
garudapurana_khanda-3_u	0.014618	-0.020317
harivamsa	-0.024737	0.016327
harivamsa_appendix-29-30_mathura	-0.025004	0.000799
harivamsa_appendix-31	-0.023903	-0.015912
harivamsa_appendix-41	-0.025825	0.032861
harivamsa_appendix-42_pradurbhava	-0.026818	0.046400
kalikapurana	0.013174	-0.010585
karatoyamahatmya_pu	-0.009628	-0.090921
kirfel_ppl_textgruppe_IIA_col1	-0.035417	0.046768
kirfel_ppl_textgruppe_IIB_col1	-0.033252	0.075294
kirfel_ppl_textgruppe_III_col1	-0.056478	0.081556
kirfel_ppl_textgruppe_II_col1	-0.039512	0.029276
kirfel_ppl_textgruppe_I_col1	-0.042495	0.052123
kirfel_ppl_textgruppe_Ia_col1	-0.074383	0.128504
kirfel_ppl_ungrouped_col1	-0.046425	0.040462
kurmapurana_khanda-1_u	0.028949	-0.005503
kurmapurana_khanda-2_u	0.021816	-0.045479
lingapurana_khanda-1_u	0.013531	0.011724
lingapurana_khanda-2_u	0.022321	-0.021843
mahabharata_01-adiparvan	-0.035081	0.004708
mahabharata_02-appendix-21_sisupala	-0.029290	0.023372
mahabharata_02-sabhaparvan	-0.044947	0.008132
mahabharata_03-aranyakaparvan	-0.031588	0.001297
mahabharata_04-virataparvan	-0.038953	0.001791
mahabharata_05-udyogaparvan	-0.036640	-0.003361
mahabharata_06-bhismaparvan	-0.042379	0.018043
mahabharata_07-appendix-08_sodasarajika	-0.041080	0.015964
mahabharata_07-dronaparvan	-0.038601	0.003599
mahabharata_08-karnaparvan	-0.042997	0.004115
mahabharata_09-salyaparvan	-0.046592	0.018682
mahabharata_10-sauptikaparvan	-0.036267	0.002584
mahabharata_11-striparvan	-0.041149	-0.009848
mahabharata_12-appendix-29_moksadharma	-0.035685	-0.028490
mahabharata_12-santiparvan	-0.028489	-0.005367
mahabharata_13-anusasanaparvan	-0.028613	0.007152
mahabharata_13-appendix-15_umamahesvara	-0.019890	-0.010651
mahabharata_14-appendix-04_vaisnavadharma	-0.042006	-0.013705
mahabharata_14-asvamedhikaparvan	-0.032909	-0.000455
mahabharata_15-asramavasikaparvan	-0.053651	0.017894
mahabharata_16-mausalaparvan	-0.049618	0.005770
mahabharata_17-mahaprasthanikaparvan	-0.089699	-0.021449
mahabharata_18-svargarohanaparvan	-0.047616	0.007394
markandeyapurana	0.012372	0.007665
markandeyapurana_adhyaya-1-80_u	0.019754	0.009151
markandeyapurana_adhyaya-81-93_devimahatmya_u	0.017877	0.027725
markandeyapurana_adhyaya-94-141_u	-0.004892	-0.003358
matsyapurana_pu	0.015862	0.010028
naradapurana_khanda-1_u	0.026946	-0.020628
naradapurana_khanda-2_u	0.009856	-0.045834
nilamatapurana_au	0.003476	-0.015169
nrsimhapurana_pu	-0.021047	-0.020547
padmapurana_a	0.027447	-0.067564
pranavakalpa	0.078710	-0.036364
ramayana_01-balakanda	-0.035841	-0.006057
ramayana_02-ayodhyakanda_a	-0.042283	-0.018718
ramayana_03-aranyakanda_a	-0.041315	-0.029880
ramayana_04-kiskindhakanda	-0.031465	-0.002683
ramayana_05-sundarakanda	-0.038728	-0.008603
ramayana_06-yuddhakanda	-0.040050	-0.011624
ramayana_07-uttarakanda	-0.031004	-0.008418
saurapurana	0.028535	-0.014245
sivadharmasastra	0.052170	-0.042310
sivadharmottara	0.021122	-0.016395
sivapurana_dharmasamhita	0.108918	0.018056
sivapurana_karvanamahatmya_au	0.008116	-0.034794
sivapurana_rudrasamhita	0.019607	-0.022556
sivapurana_sanatkumarasamhita	0.117520	0.016402
sivapurana_satarudrasamhita_au	0.017520	-0.027650
sivapurana_umasamhita	0.018813	0.001184
sivapurana_vayaviyasamhita_au	0.032356	-0.016219
sivapurana_vidyesvarasamhita_au	0.030392	-0.058169
skandamahapurana_himavatkhanda	0.004967	-0.020081
skandamahapurana_kasikhanda	0.025108	-0.026000
skandamahapurana_revakhanda	-0.013251	-0.012324
skandamahapurana_sutasamhita_khanda-4	0.043430	-0.010486
skandapurana	0.008031	0.002475
skandapurana_adhyaya-1-31_pu	0.017968	0.005658
skandapurana_pasupata_adhyaya174-183_u	0.026799	-0.018346
vamanapurana_saromahatmya_u	0.018897	-0.009129
vamanapurana_u	0.010446	-0.015797
vayu_ba	0.032433	0.046654
vayupurana	0.030136	0.034209
vayupurana_01_frame-and-cosmogony_iast	0.043332	0.064735
vayupurana_02_pashupata-yoga_iast	0.038606	-0.017221
vayupurana_03_kalpas-and-shiva-lineages_iast	0.040211	0.033244
vayupurana_04_bhuvana-vinyasa_iast	0.049891	0.067958
vayupurana_05_jyotis-and-purvardha-close_iast	0.044023	0.046365
vayupurana_06_prthu-and-prajapati-lineages_iast	0.047898	0.104861
vayupurana_07_shraddha-kalpa_iast	0.033937	0.012945
vayupurana_08_manu-candra-vishnu-vamsha_iast	0.020112	0.039317
vayupurana_09_upasamhara_iast	0.042176	0.038965
vayupurana_10_gaya-mahatmya_iast	0.035343	-0.055147
vayupurana_revakhanda	0.013584	-0.030044
visnudharma_pu	-0.020716	-0.018033
visnudharmottarapurana_khanda-3_adhyaya-343-353_pu	-0.021766	-0.027679
visnupurana_amsa-1_u	0.014465	0.018327
visnupurana_amsa-2_u	0.016064	0.028788
visnupurana_amsa-3_u	0.007145	0.014192
visnupurana_amsa-4_u	0.024382	0.037936
visnupurana_amsa-5_u	0.004361	-0.016206
visnupurana_amsa-6_u	0.026407	0.000622
visnupurana_u	0.012140	0.011953
