text	x	y
agnipurana_u	58.057106	-55.105026
bhagavatapurana_skandha-01_u	-36.902775	-64.055207
bhagavatapurana_skandha-02_u	12.008502	-89.013070
bhagavatapurana_skandha-03_u	-30.068824	-60.643339
bhagavatapurana_skandha-04_u	-28.845474	-63.528015
bhagavatapurana_skandha-05_u	7.095857	-68.540168
bhagavatapurana_skandha-06_u	1.128309	-44.889166
bhagavatapurana_skandha-07_u	8.361777	-75.754734
bhagavatapurana_skandha-08_u	4.695107	-58.593501
bhagavatapurana_skandha-09_u	-13.458735	-25.780187
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	-24.964670	-70.299603
bhagavatapurana_skandha-10_u	-55.954259	-69.249962
bhagavatapurana_skandha-11_u	-19.217191	-63.470872
bhagavatapurana_skandha-12_u	-12.685600	-26.938110
bhavisyapurana	42.649115	-48.487043
brahmandapurana	50.285250	61.110709
brahmandapurana_khanda-1_u	72.485523	132.822346
brahmandapurana_khanda-2_u	18.623357	44.228371
brahmandapurana_khanda-3_u	78.778523	22.503950
brahmapurana_pu	-28.302571	-7.447628
devibhagavatapurana	17.826558	-55.488319
devibhagavatapurana_devigita_adhyaya-31-40	97.873201	-36.050292
devipurana	59.323460	-28.517246
garudapurana_khanda-1_u	70.538872	-49.970640
garudapurana_khanda-2_u	49.674327	-47.397862
garudapurana_khanda-3_u	48.372498	-24.957487
harivamsa	-76.252520	24.569634
harivamsa_appendix-29-30_mathura	-73.898491	-5.134997
harivamsa_appendix-31	-66.432328	-41.498549
harivamsa_appendix-41	-20.893824	62.513075
harivamsa_appendix-42_pradurbhava	-43.056958	54.197375
kalikapurana	38.912862	-27.025029
karatoyamahatmya_pu	58.565945	-104.074739
kirfel_ppl_textgruppe_IIA_col1	16.336473	136.476783
kirfel_ppl_textgruppe_IIB_col1	27.190093	167.766860
kirfel_ppl_textgruppe_III_col1	-11.053788	146.095491
kirfel_ppl_textgruppe_II_col1	-50.832005	69.273850
kirfel_ppl_textgruppe_I_col1	-73.358907	119.903661
kirfel_ppl_textgruppe_Ia_col1	-17.696570	196.764830
kirfel_ppl_ungrouped_col1	-79.802377	102.728327
kurmapurana_khanda-1_u	64.231983	1.216977
kurmapurana_khanda-2_u	77.422466	-67.593340
lingapurana_khanda-1_u	49.327028	29.112321
lingapurana_khanda-2_u	72.106635	-30.803106
mahabharata_01-adiparvan	-101.121812	12.377287
mahabharata_02-appendix-21_sisupala	-77.329354	32.411824
mahabharata_02-sabhaparvan	-127.882341	13.100987
mahabharata_03-aranyakaparvan	-97.863674	2.709903
mahabharata_04-virataparvan	-135.411836	14.249506
mahabharata_05-udyogaparvan	-112.809596	0.824457
mahabharata_06-bhismaparvan	-123.017181	25.611648
mahabharata_07-appendix-08_sodasarajika	-65.738438	34.206335
mahabharata_07-dronaparvan	-124.524181	-3.651693
mahabharata_08-karnaparvan	-132.596777	-3.892920
mahabharata_09-salyaparvan	-136.066480	30.396487
mahabharata_10-sauptikaparvan	-106.542395	-0.020874
mahabharata_11-striparvan	-111.698757	-15.745964
mahabharata_12-appendix-29_moksadharma	-15.893530	-26.583109
mahabharata_12-santiparvan	-50.816753	-0.750522
mahabharata_13-anusasanaparvan	-60.763616	18.815125
mahabharata_13-appendix-15_umamahesvara	16.190041	-7.596580
mahabharata_14-appendix-04_vaisnavadharma	-23.819462	-11.744258
mahabharata_14-asvamedhikaparvan	-83.218385	15.787729
mahabharata_15-asramavasikaparvan	-134.431374	31.496079
mahabharata_16-mausalaparvan	-125.507840	13.437727
mahabharata_17-mahaprasthanikaparvan	-189.247335	-18.086683
mahabharata_18-svargarohanaparvan	-109.075524	24.132975
markandeyapurana	4.803512	3.540830
markandeyapurana_adhyaya-1-80_u	20.803092	5.749921
markandeyapurana_adhyaya-81-93_devimahatmya_u	0.592276	5.960675
markandeyapurana_adhyaya-94-141_u	-37.351919	-3.174349
matsyapurana_pu	29.023966	15.653141
naradapurana_khanda-1_u	76.373088	-52.360168
naradapurana_khanda-2_u	22.703860	-80.232210
nilamatapurana_au	10.354375	-28.310270
