text	x	y
agnipurana_u	0.002670	-0.003743
bhagavatapurana_skandha-01_u	0.000045	-0.002290
bhagavatapurana_skandha-02_u	0.001304	-0.003104
bhagavatapurana_skandha-03_u	-0.001519	-0.002438
bhagavatapurana_skandha-04_u	-0.001563	-0.002690
bhagavatapurana_skandha-05_u	0.000551	-0.001004
bhagavatapurana_skandha-06_u	0.003082	-0.001191
bhagavatapurana_skandha-07_u	0.003056	-0.002659
bhagavatapurana_skandha-08_u	0.003164	-0.001140
bhagavatapurana_skandha-09_u	0.002622	-0.000349
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	-0.001451	-0.001661
bhagavatapurana_skandha-10_u	-0.002031	-0.001947
bhagavatapurana_skandha-11_u	-0.001170	-0.002355
bhagavatapurana_skandha-12_u	-0.001993	-0.000309
bhavisyapurana	0.002830	-0.003201
brahmandapurana	0.004568	0.003911
brahmandapurana_khanda-1_u	0.005286	0.007088
brahmandapurana_khanda-2_u	0.003369	0.002512
brahmandapurana_khanda-3_u	0.005420	0.002880
brahmapurana_pu	-0.003745	-0.000709
devibhagavatapurana	0.001818	-0.003590
devibhagavatapurana_devigita_adhyaya-31-40	0.004005	-0.002824
devipurana	0.003806	-0.001403
garudapurana_khanda-1_u	0.004546	-0.002731
garudapurana_khanda-2_u	0.003443	-0.003542
garudapurana_khanda-3_u	0.002990	-0.002808
harivamsa	-0.004396	0.002147
harivamsa_appendix-29-30_mathura	-0.003929	-0.000217
harivamsa_appendix-31	-0.004004	-0.002236
harivamsa_appendix-41	-0.003443	0.004221
harivamsa_appendix-42_pradurbhava	-0.003870	0.005342
kalikapurana	0.002475	-0.002247
karatoyamahatmya_pu	0.000703	-0.006351
kirfel_ppl_textgruppe_IIA_col1	-0.003356	0.006137
kirfel_ppl_textgruppe_IIB_col1	-0.002607	0.009213
kirfel_ppl_textgruppe_III_col1	-0.004902	0.008907
kirfel_ppl_textgruppe_II_col1	-0.004713	0.003990
kirfel_ppl_textgruppe_I_col1	-0.004985	0.006825
kirfel_ppl_textgruppe_Ia_col1	-0.004903	0.012568
kirfel_ppl_ungrouped_col1	-0.005125	0.005248
kurmapurana_khanda-1_u	0.003867	-0.001344
kurmapurana_khanda-2_u	0.002915	-0.006170
lingapurana_khanda-1_u	0.001908	0.000985
lingapurana_khanda-2_u	0.003268	-0.003560
mahabharata_01-adiparvan	-0.006039	0.000504
mahabharata_02-appendix-21_sisupala	-0.004485	0.002885
mahabharata_02-sabhaparvan	-0.006733	0.001175
mahabharata_03-aranyakaparvan	-0.005755	-0.000051
mahabharata_04-virataparvan	-0.006077	0.000292
mahabharata_05-udyogaparvan	-0.006094	-0.000396
mahabharata_06-bhismaparvan	-0.006664	0.002338
mahabharata_07-appendix-08_sodasarajika	-0.005149	0.001946
mahabharata_07-dronaparvan	-0.006104	0.000680
mahabharata_08-karnaparvan	-0.006274	0.000769
mahabharata_09-salyaparvan	-0.007211	0.002362
mahabharata_10-sauptikaparvan	-0.005758	0.000378
mahabharata_11-striparvan	-0.005475	-0.000945
mahabharata_12-appendix-29_moksadharma	-0.003942	-0.002663
mahabharata_12-santiparvan	-0.004793	-0.000861
mahabharata_13-anusasanaparvan	-0.004585	0.000951
mahabharata_13-appendix-15_umamahesvara	-0.002535	-0.001487
mahabharata_14-appendix-04_vaisnavadharma	-0.003821	-0.001407
mahabharata_14-asvamedhikaparvan	-0.005774	-0.000222
mahabharata_15-asramavasikaparvan	-0.007073	0.002253
mahabharata_16-mausalaparvan	-0.006581	0.000920
mahabharata_17-mahaprasthanikaparvan	-0.008368	-0.001392
mahabharata_18-svargarohanaparvan	-0.005713	0.001065
markandeyapurana	0.002270	0.000667
markandeyapurana_adhyaya-1-80_u	0.003358	0.000978
markandeyapurana_adhyaya-81-93_devimahatmya_u	0.002966	0.002431
markandeyapurana_adhyaya-94-141_u	-0.000699	-0.000780
matsyapurana_pu	0.002822	0.001002
naradapurana_khanda-1_u	0.004129	-0.003022
naradapurana_khanda-2_u	0.002118	-0.005315
nilamatapurana_au	0.001075	-0.002475
nrsimhapurana_pu	-0.003138	-0.003149
padmapurana_a	0.002773	-0.006517
pranavakalpa	0.006931	-0.002567
ramayana_01-balakanda	-0.005698	-0.000997
ramayana_02-ayodhyakanda_a	-0.006173	-0.002264
ramayana_03-aranyakanda_a	-0.005457	-0.003374
ramayana_04-kiskindhakanda	-0.005372	-0.000562
ramayana_05-sundarakanda	-0.005244	-0.001020
ramayana_06-yuddhakanda	-0.005587	-0.001263
ramayana_07-uttarakanda	-0.005418	-0.001485
saurapurana	0.004044	-0.002522
sivadharmasastra	0.005042	-0.003747
sivadharmottara	0.002054	-0.001865
sivapurana_dharmasamhita	0.007806	0.001967
sivapurana_karvanamahatmya_au	0.001454	-0.004770
sivapurana_rudrasamhita	0.002821	-0.003553
sivapurana_sanatkumarasamhita	0.008439	0.001744
sivapurana_satarudrasamhita_au	0.001792	-0.003778
sivapurana_umasamhita	0.003422	-0.000351
sivapurana_vayaviyasamhita_au	0.004372	-0.002785
sivapurana_vidyesvarasamhita_au	0.003762	-0.006889
skandamahapurana_himavatkhanda	0.000653	-0.003028
skandamahapurana_kasikhanda	0.003750	-0.003203
skandamahapurana_revakhanda	-0.001634	-0.002437
skandamahapurana_sutasamhita_khanda-4	0.005081	-0.001623
skandapurana	0.000706	-0.000388
skandapurana_adhyaya-1-31_pu	0.002298	-0.000082
skandapurana_pasupata_adhyaya174-183_u	0.002474	-0.002104
vamanapurana_saromahatmya_u	0.002493	-0.002011
vamanapurana_u	0.001724	-0.002902
vayu_ba	0.004971	0.006572
vayupurana	0.004850	0.005073
vayupurana_01_frame-and-cosmogony_iast	0.005342	0.007931
vayupurana_02_pashupata-yoga_iast	0.004389	-0.001722
vayupurana_03_kalpas-and-shiva-lineages_iast	0.005085	0.004300
vayupurana_04_bhuvana-vinyasa_iast	0.005104	0.006803
vayupurana_05_jyotis-and-purvardha-close_iast	0.005932	0.006094
vayupurana_06_prthu-and-prajapati-lineages_iast	0.005822	0.010339
vayupurana_07_shraddha-kalpa_iast	0.004820	0.001756
vayupurana_08_manu-candra-vishnu-vamsha_iast	0.002951	0.004862
vayupurana_09_upasamhara_iast	0.005574	0.005263
vayupurana_10_gaya-mahatmya_iast	0.004200	-0.004889
vayupurana_revakhanda	0.002212	-0.004398
visnudharma_pu	-0.002963	-0.002553
visnudharmottarapurana_khanda-3_adhyaya-343-353_pu	-0.001717	-0.003079
visnupurana_amsa-1_u	0.002114	0.002196
visnupurana_amsa-2_u	0.002602	0.003643
visnupurana_amsa-3_u	0.001854	0.001483
visnupurana_amsa-4_u	0.003104	0.003497
visnupurana_amsa-5_u	0.001038	-0.001996
visnupurana_amsa-6_u	0.003363	0.000318
visnupurana_u	0.002140	0.001291
