text	x	y
agnipurana_u	0.047680	-0.042578
bhagavatapurana_skandha-01_u	-0.024509	-0.044838
bhagavatapurana_skandha-02_u	0.006172	-0.063447
bhagavatapurana_skandha-03_u	-0.033808	-0.041425
bhagavatapurana_skandha-04_u	-0.033359	-0.042871
bhagavatapurana_skandha-05_u	-0.008457	-0.047562
bhagavatapurana_skandha-06_u	0.013513	-0.029199
bhagavatapurana_skandha-07_u	0.019517	-0.048839
bhagavatapurana_skandha-08_u	0.015632	-0.036503
bhagavatapurana_skandha-09_u	0.002905	-0.013511
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	-0.032006	-0.048817
bhagavatapurana_skandha-10_u	-0.049670	-0.046677
bhagavatapurana_skandha-11_u	-0.024900	-0.047851
bhagavatapurana_skandha-12_u	-0.026036	-0.014564
bhavisyapurana	0.043869	-0.035602
brahmandapurana	0.047384	0.048385
brahmandapurana_khanda-1_u	0.064014	0.102358
brahmandapurana_khanda-2_u	0.025646	0.036590
brahmandapurana_khanda-3_u	0.066253	0.015264
brahmapurana_pu	-0.033684	-0.003642
devibhagavatapurana	0.027677	-0.039149
devibhagavatapurana_devigita_adhyaya-31-40	0.070692	-0.031053
devipurana	0.056008	-0.025223
garudapurana_khanda-1_u	0.063857	-0.037896
garudapurana_khanda-2_u	0.053657	-0.035794
garudapurana_khanda-3_u	0.056474	-0.017264
harivamsa	-0.063237	0.022064
harivamsa_appendix-29-30_mathura	-0.057921	-0.003027
harivamsa_appendix-31	-0.059106	-0.034086
harivamsa_appendix-41	-0.033239	0.052941
harivamsa_appendix-42_pradurbhava	-0.047059	0.044799
kalikapurana	0.041830	-0.022279
karatoyamahatmya_pu	0.031506	-0.081625
kirfel_ppl_textgruppe_IIA_col1	-0.006066	0.105730
kirfel_ppl_textgruppe_IIB_col1	0.001932	0.137832
kirfel_ppl_textgruppe_III_col1	-0.027251	0.121816
kirfel_ppl_textgruppe_II_col1	-0.048896	0.054645
kirfel_ppl_textgruppe_I_col1	-0.060627	0.097282
kirfel_ppl_textgruppe_Ia_col1	-0.023467	0.161750
kirfel_ppl_ungrouped_col1	-0.062920	0.080757
kurmapurana_khanda-1_u	0.052158	0.000229
kurmapurana_khanda-2_u	0.064395	-0.049727
lingapurana_khanda-1_u	0.039180	0.022194
lingapurana_khanda-2_u	0.062438	-0.027467
mahabharata_01-adiparvan	-0.084795	0.009267
mahabharata_02-appendix-21_sisupala	-0.067400	0.024123
mahabharata_02-sabhaparvan	-0.103730	0.007657
mahabharata_03-aranyakaparvan	-0.081994	-0.000208
mahabharata_04-virataparvan	-0.105046	0.002703
mahabharata_05-udyogaparvan	-0.091401	-0.001935
mahabharata_06-bhismaparvan	-0.102094	0.016829
mahabharata_07-appendix-08_sodasarajika	-0.070492	0.028039
mahabharata_07-dronaparvan	-0.103049	-0.006844
mahabharata_08-karnaparvan	-0.105933	-0.006559
mahabharata_09-salyaparvan	-0.109159	0.020128
mahabharata_10-sauptikaparvan	-0.087779	-0.000099
mahabharata_11-striparvan	-0.093018	-0.014076
mahabharata_12-appendix-29_moksadharma	-0.033415	-0.018481
mahabharata_12-santiparvan	-0.053792	-0.001860
mahabharata_13-anusasanaparvan	-0.056189	0.015447
mahabharata_13-appendix-15_umamahesvara	-0.009794	-0.006215
mahabharata_14-appendix-04_vaisnavadharma	-0.032334	-0.008370
mahabharata_14-asvamedhikaparvan	-0.072570	0.009128
mahabharata_15-asramavasikaparvan	-0.109775	0.024933
mahabharata_16-mausalaparvan	-0.101322	0.005038
mahabharata_17-mahaprasthanikaparvan	-0.146055	-0.020110
mahabharata_18-svargarohanaparvan	-0.098609	0.013709
markandeyapurana	0.016913	0.004986
markandeyapurana_adhyaya-1-80_u	0.029715	0.008268
markandeyapurana_adhyaya-81-93_devimahatmya_u	0.022713	0.004635
markandeyapurana_adhyaya-94-141_u	-0.019555	-0.004695
matsyapurana_pu	0.029689	0.011498
naradapurana_khanda-1_u	0.063192	-0.040723
naradapurana_khanda-2_u	0.032944	-0.059000
nilamatapurana_au	0.018563	-0.027203
nrsimhapurana_pu	-0.034140	-0.035691
padmapurana_a	0.055617	-0.081565
pranavakalpa	0.107806	-0.044846
ramayana_01-balakanda	-0.078876	0.000631
ramayana_02-ayodhyakanda_a	-0.079969	-0.018515
ramayana_03-aranyakanda_a	-0.074812	-0.037442
ramayana_04-kiskindhakanda	-0.075946	-0.005989
ramayana_05-sundarakanda	-0.077187	-0.028154
ramayana_06-yuddhakanda	-0.083165	-0.021791
ramayana_07-uttarakanda	-0.070323	-0.006217
saurapurana	0.051877	-0.028129
sivadharmasastra	0.078910	-0.056033
sivadharmottara	0.044199	-0.034002
sivapurana_dharmasamhita	0.093292	-0.033225
sivapurana_karvanamahatmya_au	0.034393	-0.040298
sivapurana_rudrasamhita	0.037643	-0.039791
sivapurana_sanatkumarasamhita	0.118809	-0.018381
sivapurana_satarudrasamhita_au	0.017199	-0.044423
sivapurana_umasamhita	0.038398	0.002333
sivapurana_vayaviyasamhita_au	0.071274	-0.024704
sivapurana_vidyesvarasamhita_au	0.093298	-0.050217
skandamahapurana_himavatkhanda	0.013653	-0.019978
skandamahapurana_kasikhanda	0.047743	-0.053519
skandamahapurana_revakhanda	-0.003600	-0.019223
skandamahapurana_sutasamhita_khanda-4	0.089832	-0.021239
skandapurana	-0.001370	0.003401
skandapurana_adhyaya-1-31_pu	0.026345	0.010603
skandapurana_pasupata_adhyaya174-183_u	0.065466	0.010318
vamanapurana_saromahatmya_u	0.040323	-0.012331
vamanapurana_u	0.014703	-0.034295
vayu_ba	0.054059	0.094735
vayupurana	0.053752	0.074011
vayupurana_01_frame-and-cosmogony_iast	0.078914	0.108470
vayupurana_02_pashupata-yoga_iast	0.090282	0.010289
vayupurana_03_kalpas-and-shiva-lineages_iast	0.053937	0.072911
vayupurana_04_bhuvana-vinyasa_iast	0.065701	0.075253
vayupurana_05_jyotis-and-purvardha-close_iast	0.072695	0.086104
vayupurana_06_prthu-and-prajapati-lineages_iast	0.057623	0.126265
vayupurana_07_shraddha-kalpa_iast	0.069622	0.040182
vayupurana_08_manu-candra-vishnu-vamsha_iast	0.014132	0.071122
vayupurana_09_upasamhara_iast	0.077554	0.084847
vayupurana_10_gaya-mahatmya_iast	0.067715	-0.052133
vayupurana_revakhanda	0.039443	-0.047240
visnudharma_pu	-0.023334	-0.029010
visnudharmottarapurana_khanda-3_adhyaya-343-353_pu	-0.022903	-0.043531
visnupurana_amsa-1_u	0.029758	0.033359
visnupurana_amsa-2_u	0.042278	0.034147
visnupurana_amsa-3_u	0.034839	0.009896
visnupurana_amsa-4_u	0.023797	0.005534
visnupurana_amsa-5_u	-0.002427	-0.043068
visnupurana_amsa-6_u	0.046185	-0.015097
visnupurana_u	0.022387	0.003534
