text	x	y
agnipurana_u	0.403974	-0.256476
bhagavatapurana_skandha-01_u	-0.282814	-0.233025
bhagavatapurana_skandha-02_u	-0.059056	-0.221487
bhagavatapurana_skandha-03_u	-0.233176	-0.244177
bhagavatapurana_skandha-04_u	-0.253168	-0.270232
bhagavatapurana_skandha-05_u	-0.104043	-0.146622
bhagavatapurana_skandha-06_u	-0.068732	-0.170235
bhagavatapurana_skandha-07_u	-0.000736	-0.265806
bhagavatapurana_skandha-08_u	-0.061165	-0.241982
bhagavatapurana_skandha-09_u	-0.158591	-0.078286
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	-0.116856	-0.250064
bhagavatapurana_skandha-10_u	-0.381585	-0.351768
bhagavatapurana_skandha-11_u	-0.144300	-0.257812
bhagavatapurana_skandha-12_u	-0.111386	-0.029279
bhavisyapurana	0.385107	-0.350970
brahmandapurana	0.482941	0.520372
brahmandapurana_khanda-1_u	0.353759	0.668470
brahmandapurana_khanda-2_u	0.213867	0.431292
brahmandapurana_khanda-3_u	0.474519	0.112958
brahmapurana_pu	-0.246499	-0.186359
devibhagavatapurana	0.150077	-0.361296
devibhagavatapurana_devigita_adhyaya-31-40	0.436037	-0.163177
devipurana	0.389049	-0.133541
garudapurana_khanda-1_u	0.487506	-0.236615
garudapurana_khanda-2_u	0.347194	-0.201116
garudapurana_khanda-3_u	0.244773	-0.118212
harivamsa	-0.616272	0.188173
harivamsa_appendix-29-30_mathura	-0.413816	-0.120309
harivamsa_appendix-31	-0.322230	-0.224534
harivamsa_appendix-41	-0.090587	0.234390
harivamsa_appendix-42_pradurbhava	-0.201198	0.230587
kalikapurana	0.311968	-0.222424
karatoyamahatmya_pu	0.162143	-0.190455
kirfel_ppl_textgruppe_IIA_col1	0.091870	0.394837
kirfel_ppl_textgruppe_IIB_col1	0.083177	0.574622
kirfel_ppl_textgruppe_III_col1	-0.061018	0.381343
kirfel_ppl_textgruppe_II_col1	-0.239776	0.276520
kirfel_ppl_textgruppe_I_col1	-0.316717	0.516229
kirfel_ppl_textgruppe_Ia_col1	-0.091334	0.597704
kirfel_ppl_ungrouped_col1	-0.312429	0.403286
kurmapurana_khanda-1_u	0.399881	0.047444
kurmapurana_khanda-2_u	0.449055	-0.337418
lingapurana_khanda-1_u	0.485743	0.246853
lingapurana_khanda-2_u	0.461051	-0.174749
mahabharata_01-adiparvan	-0.700494	0.047924
mahabharata_02-appendix-21_sisupala	-0.354484	0.175210
mahabharata_02-sabhaparvan	-0.650315	0.019002
mahabharata_03-aranyakaparvan	-0.776429	-0.024915
mahabharata_04-virataparvan	-0.596332	0.074280
mahabharata_05-udyogaparvan	-0.650968	-0.007506
mahabharata_06-bhismaparvan	-0.505091	0.112159
mahabharata_07-appendix-08_sodasarajika	-0.274172	0.174946
mahabharata_07-dronaparvan	-0.514793	0.007390
mahabharata_08-karnaparvan	-0.469610	0.008444
mahabharata_09-salyaparvan	-0.607671	0.103620
mahabharata_10-sauptikaparvan	-0.516791	0.007228
mahabharata_11-striparvan	-0.471190	0.012577
mahabharata_12-appendix-29_moksadharma	-0.077969	-0.073440
mahabharata_12-santiparvan	-0.418848	-0.036985
mahabharata_13-anusasanaparvan	-0.387493	0.074963
mahabharata_13-appendix-15_umamahesvara	0.054892	-0.028545
mahabharata_14-appendix-04_vaisnavadharma	0.011659	-0.072686
mahabharata_14-asvamedhikaparvan	-0.513127	0.048433
mahabharata_15-asramavasikaparvan	-0.534302	0.098739
mahabharata_16-mausalaparvan	-0.412725	0.020760
mahabharata_17-mahaprasthanikaparvan	-0.399791	-0.052605
mahabharata_18-svargarohanaparvan	-0.339255	0.075251
markandeyapurana	0.076642	0.022525
markandeyapurana_adhyaya-1-80_u	0.187732	0.035460
markandeyapurana_adhyaya-81-93_devimahatmya_u	0.087630	0.035521
markandeyapurana_adhyaya-94-141_u	-0.195278	-0.027853
matsyapurana_pu	0.386724	0.172820
naradapurana_khanda-1_u	0.590783	-0.305457
naradapurana_khanda-2_u	0.114632	-0.382756
nilamatapurana_au	0.102874	-0.170668
nrsimhapurana_pu	-0.220287	-0.402881
padmapurana_a	0.216639	-0.408793
pranavakalpa	0.381072	-0.165383
ramayana_01-balakanda	-0.417659	0.041912
ramayana_02-ayodhyakanda_a	-0.518720	-0.154713
ramayana_03-aranyakanda_a	-0.414988	-0.192778
ramayana_04-kiskindhakanda	-0.432048	-0.026087
ramayana_05-sundarakanda	-0.414816	-0.138991
ramayana_06-yuddhakanda	-0.392522	-0.095905
ramayana_07-uttarakanda	-0.487004	-0.059276
saurapurana	0.435473	-0.225878
sivadharmasastra	0.373527	-0.209103
sivadharmottara	0.297373	-0.157244
sivapurana_dharmasamhita	0.270441	-0.081093
sivapurana_karvanamahatmya_au	0.161522	-0.190526
sivapurana_rudrasamhita	0.140658	-0.308588
sivapurana_sanatkumarasamhita	0.349493	-0.038874
sivapurana_satarudrasamhita_au	0.063949	-0.267350
sivapurana_umasamhita	0.364348	0.080493
sivapurana_vayaviyasamhita_au	0.557213	-0.164663
sivapurana_vidyesvarasamhita_au	0.467754	-0.279361
skandamahapurana_himavatkhanda	0.044698	-0.164316
skandamahapurana_kasikhanda	0.339333	-0.437320
skandamahapurana_revakhanda	0.086768	-0.225246
skandamahapurana_sutasamhita_khanda-4	0.444590	-0.091145
skandapurana	-0.063449	0.050090
skandapurana_adhyaya-1-31_pu	0.123573	0.079134
skandapurana_pasupata_adhyaya174-183_u	0.294558	0.094319
vamanapurana_saromahatmya_u	0.200704	-0.098712
vamanapurana_u	0.000289	-0.368876
vayu_ba	0.299059	0.724318
vayupurana	0.394542	0.682540
vayupurana_01_frame-and-cosmogony_iast	0.313668	0.566901
vayupurana_02_pashupata-yoga_iast	0.316782	0.115173
vayupurana_03_kalpas-and-shiva-lineages_iast	0.207300	0.462750
vayupurana_04_bhuvana-vinyasa_iast	0.214717	0.345197
vayupurana_05_jyotis-and-purvardha-close_iast	0.357051	0.543387
vayupurana_06_prthu-and-prajapati-lineages_iast	0.197554	0.668533
vayupurana_07_shraddha-kalpa_iast	0.356172	0.258899
vayupurana_08_manu-candra-vishnu-vamsha_iast	-0.030909	0.500063
vayupurana_09_upasamhara_iast	0.350186	0.511935
vayupurana_10_gaya-mahatmya_iast	0.199605	-0.165612
vayupurana_revakhanda	0.242966	-0.322944
visnudharma_pu	-0.079467	-0.272375
visnudharmottarapurana_khanda-3_adhyaya-343-353_pu	-0.018588	-0.204073
visnupurana_amsa-1_u	0.193688	0.190771
visnupurana_amsa-2_u	0.308504	0.240065
visnupurana_amsa-3_u	0.340125	0.051206
visnupurana_amsa-4_u	0.053893	0.090216
visnupurana_amsa-5_u	-0.100142	-0.290968
visnupurana_amsa-6_u	0.241437	-0.053067
visnupurana_u	0.216726	0.033753
