text	x	y
agnipurana_u	9.345607	-2.934010
bhagavatapurana_skandha-01_u	-1.174983	-6.286084
bhagavatapurana_skandha-02_u	4.953302	-6.041570
bhagavatapurana_skandha-03_u	1.860728	-4.053174
bhagavatapurana_skandha-04_u	-0.195301	-5.415728
bhagavatapurana_skandha-05_u	3.346104	-2.940615
bhagavatapurana_skandha-06_u	-0.534251	-4.722225
bhagavatapurana_skandha-07_u	1.057007	-6.647902
bhagavatapurana_skandha-08_u	-0.732442	-3.383883
bhagavatapurana_skandha-09_u	-3.447691	-1.547433
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	1.234639	-7.862117
bhagavatapurana_skandha-10_u	-3.127314	-5.973309
bhagavatapurana_skandha-11_u	3.329642	-8.039014
bhagavatapurana_skandha-12_u	4.717169	-2.165179
bhavisyapurana	4.065601	-3.192360
brahmandapurana	2.360695	6.529032
brahmandapurana_khanda-1_u	5.764725	13.467827
brahmandapurana_khanda-2_u	-1.115461	5.059142
brahmandapurana_khanda-3_u	3.718279	1.962186
brahmapurana_pu	0.368625	-1.221191
devibhagavatapurana	-1.458097	-5.030213
devibhagavatapurana_devigita_adhyaya-31-40	8.256364	-5.293619
devipurana	6.787613	-3.171552
garudapurana_khanda-1_u	8.852167	-3.020080
garudapurana_khanda-2_u	7.235407	-5.855013
garudapurana_khanda-3_u	8.679753	-4.335003
harivamsa	-7.303349	3.640566
harivamsa_appendix-29-30_mathura	-6.086641	-0.605367
harivamsa_appendix-31	-7.001033	-2.307268
harivamsa_appendix-41	1.520709	6.224330
harivamsa_appendix-42_pradurbhava	-5.144130	6.014190
kalikapurana	3.004901	-1.577999
karatoyamahatmya_pu	11.506259	-12.889106
kirfel_ppl_textgruppe_IIA_col1	6.765814	9.908643
kirfel_ppl_textgruppe_IIB_col1	7.578610	17.509395
kirfel_ppl_textgruppe_III_col1	7.267959	11.809933
kirfel_ppl_textgruppe_II_col1	-0.268106	8.094346
kirfel_ppl_textgruppe_I_col1	-3.639913	11.714709
kirfel_ppl_textgruppe_Ia_col1	3.795225	16.796830
kirfel_ppl_ungrouped_col1	-4.029935	11.272418
kurmapurana_khanda-1_u	4.739970	1.433745
kurmapurana_khanda-2_u	8.649421	-4.295231
lingapurana_khanda-1_u	5.938070	1.939099
lingapurana_khanda-2_u	9.553981	-3.157550
mahabharata_01-adiparvan	-10.346961	0.784496
mahabharata_02-appendix-21_sisupala	-8.354010	6.722242
mahabharata_02-sabhaparvan	-10.173825	-1.236547
mahabharata_03-aranyakaparvan	-9.865834	-0.876670
mahabharata_04-virataparvan	-12.008845	-1.165468
mahabharata_05-udyogaparvan	-9.563204	-2.275878
mahabharata_06-bhismaparvan	-12.173194	0.243646
mahabharata_07-appendix-08_sodasarajika	-7.486258	4.730339
mahabharata_07-dronaparvan	-13.223470	0.160930
mahabharata_08-karnaparvan	-13.912926	-0.513465
mahabharata_09-salyaparvan	-13.446126	1.605116
mahabharata_10-sauptikaparvan	-11.629583	-0.471750
mahabharata_11-striparvan	-11.699669	-1.876826
mahabharata_12-appendix-29_moksadharma	0.107637	-2.505267
mahabharata_12-santiparvan	-3.112775	-2.178605
mahabharata_13-anusasanaparvan	-1.399425	-1.212095
mahabharata_13-appendix-15_umamahesvara	5.132873	-3.834895
mahabharata_14-appendix-04_vaisnavadharma	7.695241	-4.312017
mahabharata_14-asvamedhikaparvan	-8.444076	-0.667867
mahabharata_15-asramavasikaparvan	-13.707963	-0.612441
mahabharata_16-mausalaparvan	-13.564059	1.233415
mahabharata_17-mahaprasthanikaparvan	-18.813064	-0.936675
mahabharata_18-svargarohanaparvan	-11.693670	2.958256
markandeyapurana	-1.551390	-1.213251
markandeyapurana_adhyaya-1-80_u	-0.291440	-1.566401
markandeyapurana_adhyaya-81-93_devimahatmya_u	-2.392378	-0.418127
markandeyapurana_adhyaya-94-141_u	-4.513178	-0.608596
matsyapurana_pu	2.762085	2.187116
naradapurana_khanda-1_u	9.587639	-4.804856
naradapurana_khanda-2_u	0.794598	-7.480474
nilamatapurana_au	2.746817	-2.893276
nrsimhapurana_pu	-2.462632	-3.907544
padmapurana_a	1.134998	-5.602686
pranavakalpa	10.282316	-6.481310
ramayana_01-balakanda	-13.394673	2.954864
ramayana_02-ayodhyakanda_a	-13.143996	-3.699262
ramayana_03-aranyakanda_a	-11.475037	-1.716848
ramayana_04-kiskindhakanda	-11.238939	-2.093984
ramayana_05-sundarakanda	-10.389956	-2.261489
ramayana_06-yuddhakanda	-12.407260	0.251576
ramayana_07-uttarakanda	-12.180256	1.501529
saurapurana	4.036192	-3.182022
sivadharmasastra	11.525005	-8.613772
sivadharmottara	10.623450	-8.016638
sivapurana_dharmasamhita	2.071832	-1.919600
sivapurana_karvanamahatmya_au	5.269086	-4.843088
sivapurana_rudrasamhita	-2.074312	-3.660544
sivapurana_sanatkumarasamhita	4.873252	-0.657975
sivapurana_satarudrasamhita_au	-0.706562	-3.152859
sivapurana_umasamhita	4.168485	-0.162179
sivapurana_vayaviyasamhita_au	7.861034	-3.038067
sivapurana_vidyesvarasamhita_au	14.062012	-6.199661
skandamahapurana_himavatkhanda	0.625811	-1.689261
skandamahapurana_kasikhanda	3.838027	-6.060528
skandamahapurana_revakhanda	1.756507	-2.720970
skandamahapurana_sutasamhita_khanda-4	11.003753	-8.867761
skandapurana	-4.649891	1.624879
skandapurana_adhyaya-1-31_pu	-2.091654	1.533467
skandapurana_pasupata_adhyaya174-183_u	10.166114	-0.904712
vamanapurana_saromahatmya_u	1.203709	-1.275297
vamanapurana_u	-3.340010	-2.031912
vayu_ba	3.552007	12.823331
vayupurana	3.966127	10.273074
vayupurana_01_frame-and-cosmogony_iast	7.039960	14.341729
vayupurana_02_pashupata-yoga_iast	10.737859	2.432469
vayupurana_03_kalpas-and-shiva-lineages_iast	3.851688	10.868146
vayupurana_04_bhuvana-vinyasa_iast	5.429664	8.786320
vayupurana_05_jyotis-and-purvardha-close_iast	6.402593	11.827064
vayupurana_06_prthu-and-prajapati-lineages_iast	2.674024	15.090328
vayupurana_07_shraddha-kalpa_iast	7.023188	4.756661
vayupurana_08_manu-candra-vishnu-vamsha_iast	-3.600716	11.592497
vayupurana_09_upasamhara_iast	7.263906	12.256574
vayupurana_10_gaya-mahatmya_iast	6.181103	-2.258672
vayupurana_revakhanda	3.572271	-4.749905
visnudharma_pu	4.004166	-6.229968
visnudharmottarapurana_khanda-3_adhyaya-343-353_pu	-2.853929	-2.334305
visnupurana_amsa-1_u	1.370250	2.008223
visnupurana_amsa-2_u	5.124668	2.078396
visnupurana_amsa-3_u	6.627437	-0.609521
visnupurana_amsa-4_u	-0.104758	3.639593
visnupurana_amsa-5_u	-4.958221	-3.089209
visnupurana_amsa-6_u	4.238534	-4.998692
visnupurana_u	1.056503	0.012814
