text	x	y
agnipurana_u	57.163265	90.375250
bhagavatapurana_skandha-01_u	-5.757804	-28.596898
bhagavatapurana_skandha-02_u	41.141340	-145.081757
bhagavatapurana_skandha-03_u	19.017957	-2.385112
bhagavatapurana_skandha-04_u	-6.284344	14.405995
bhagavatapurana_skandha-05_u	22.252962	-48.779421
bhagavatapurana_skandha-06_u	9.733859	-19.435432
bhagavatapurana_skandha-07_u	10.170585	-44.768228
bhagavatapurana_skandha-08_u	-3.108547	-5.501022
bhagavatapurana_skandha-09_u	-26.035220	-19.003290
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	24.381247	-146.214583
bhagavatapurana_skandha-10_u	-32.080183	54.475291
bhagavatapurana_skandha-11_u	40.007687	-6.519328
bhagavatapurana_skandha-12_u	33.203822	-59.740630
bhavisyapurana	35.164820	82.310243
brahmandapurana	12.886202	81.891545
brahmandapurana_khanda-1_u	26.790811	53.375677
brahmandapurana_khanda-2_u	-6.815228	79.208444
brahmandapurana_khanda-3_u	25.746308	69.839752
brahmapurana_pu	3.852376	77.151470
devibhagavatapurana	10.023294	82.621904
devibhagavatapurana_devigita_adhyaya-31-40	79.580568	-119.814919
devipurana	54.321840	78.438292
garudapurana_khanda-1_u	64.748044	91.385435
garudapurana_khanda-2_u	52.846251	63.876848
garudapurana_khanda-3_u	63.740077	40.616989
harivamsa	-74.069074	58.792946
harivamsa_appendix-29-30_mathura	-55.023128	37.785775
harivamsa_appendix-31	-48.674612	10.318683
harivamsa_appendix-41	-6.868072	-40.146940
harivamsa_appendix-42_pradurbhava	-48.164371	-0.581672
kalikapurana	22.974950	79.395860
karatoyamahatmya_pu	78.647324	-307.232744
kirfel_ppl_textgruppe_IIA_col1	51.411379	-123.019008
kirfel_ppl_textgruppe_IIB_col1	36.189938	-36.394347
kirfel_ppl_textgruppe_III_col1	46.903185	-163.182889
kirfel_ppl_textgruppe_II_col1	-5.594494	-28.996546
kirfel_ppl_textgruppe_I_col1	-48.609405	19.431407
kirfel_ppl_textgruppe_Ia_col1	17.384533	-107.475920
kirfel_ppl_ungrouped_col1	-37.749393	-0.420779
kurmapurana_khanda-1_u	35.651948	59.732060
kurmapurana_khanda-2_u	70.812112	46.840449
lingapurana_khanda-1_u	45.126445	74.832570
lingapurana_khanda-2_u	61.263829	57.593881
mahabharata_01-adiparvan	-84.996250	61.926956
mahabharata_02-appendix-21_sisupala	-68.965723	-49.829767
mahabharata_02-sabhaparvan	-98.847442	32.634070
mahabharata_03-aranyakaparvan	-82.933416	64.610194
mahabharata_04-virataparvan	-113.009436	-16.050239
mahabharata_05-udyogaparvan	-91.088652	50.966906
mahabharata_06-bhismaparvan	-95.381515	45.093698
mahabharata_07-appendix-08_sodasarajika	-52.602481	-98.394062
mahabharata_07-dronaparvan	-120.683093	36.337541
mahabharata_08-karnaparvan	-120.102283	27.039172
mahabharata_09-salyaparvan	-115.686395	28.652924
mahabharata_10-sauptikaparvan	-100.586694	-68.984881
mahabharata_11-striparvan	-92.026121	-74.452812
mahabharata_12-appendix-29_moksadharma	-9.355770	-101.949499
mahabharata_12-santiparvan	-35.788458	63.938189
mahabharata_13-anusasanaparvan	-25.856216	64.893881
mahabharata_13-appendix-15_umamahesvara	32.736396	25.319877
mahabharata_14-appendix-04_vaisnavadharma	41.614334	11.983167
mahabharata_14-asvamedhikaparvan	-72.091612	34.595881
mahabharata_15-asramavasikaparvan	-91.581646	-43.161404
mahabharata_16-mausalaparvan	-77.679964	-193.121269
mahabharata_17-mahaprasthanikaparvan	-59.417449	-286.676866
mahabharata_18-svargarohanaparvan	-52.232202	-228.849621
markandeyapurana	-6.247778	74.840282
markandeyapurana_adhyaya-1-80_u	-0.330585	70.623275
markandeyapurana_adhyaya-81-93_devimahatmya_u	-8.795228	-107.082148
markandeyapurana_adhyaya-94-141_u	-20.549016	30.643484
matsyapurana_pu	17.992121	81.462571
naradapurana_khanda-1_u	66.584602	85.733950
naradapurana_khanda-2_u	23.136104	59.146387
nilamatapurana_au	18.014000	24.393296
nrsimhapurana_pu	-6.505321	73.267424
padmapurana_a	17.816564	77.976022
pranavakalpa	74.820383	-37.624533
ramayana_01-balakanda	-89.869635	19.156398
ramayana_02-ayodhyakanda_a	-100.300533	24.092360
ramayana_03-aranyakanda_a	-96.893654	5.369936
ramayana_04-kiskindhakanda	-102.985850	-18.388235
ramayana_05-sundarakanda	-99.619020	-1.791243
ramayana_06-yuddhakanda	-114.695152	18.572068
ramayana_07-uttarakanda	-94.604133	17.963110
saurapurana	39.347561	77.982351
sivadharmasastra	77.440248	-21.792017
sivadharmottara	85.950784	-10.178224
sivapurana_dharmasamhita	23.182111	78.362498
sivapurana_karvanamahatmya_au	76.298059	-160.467053
sivapurana_rudrasamhita	-1.840725	78.705474
sivapurana_sanatkumarasamhita	45.606556	59.354113
sivapurana_satarudrasamhita_au	14.501769	6.818506
sivapurana_umasamhita	36.730582	76.793906
sivapurana_vayaviyasamhita_au	51.730570	68.054863
sivapurana_vidyesvarasamhita_au	101.838421	14.960393
skandamahapurana_himavatkhanda	22.541969	43.101395
skandamahapurana_kasikhanda	38.258565	84.694461
skandamahapurana_revakhanda	19.790243	75.415780
skandamahapurana_sutasamhita_khanda-4	86.413127	-8.068861
skandapurana	-32.052385	76.235230
skandapurana_adhyaya-1-31_pu	-5.788656	37.139971
skandapurana_pasupata_adhyaya174-183_u	72.207934	-125.143566
vamanapurana_saromahatmya_u	20.036427	36.635884
vamanapurana_u	-7.183081	72.241701
vayu_ba	9.094891	68.531533
vayupurana	24.125277	76.666310
vayupurana_01_frame-and-cosmogony_iast	50.216328	-39.906792
vayupurana_02_pashupata-yoga_iast	68.100292	-199.572167
vayupurana_03_kalpas-and-shiva-lineages_iast	9.857138	2.860668
vayupurana_04_bhuvana-vinyasa_iast	51.370217	-99.013145
vayupurana_05_jyotis-and-purvardha-close_iast	34.813059	2.350211
vayupurana_06_prthu-and-prajapati-lineages_iast	7.008494	-8.919436
vayupurana_07_shraddha-kalpa_iast	48.164897	-19.282863
vayupurana_08_manu-candra-vishnu-vamsha_iast	-36.734927	26.536155
vayupurana_09_upasamhara_iast	47.422599	-58.278938
vayupurana_10_gaya-mahatmya_iast	61.722823	-51.549550
vayupurana_revakhanda	23.995810	78.069110
visnudharma_pu	27.859820	67.804964
visnudharmottarapurana_khanda-3_adhyaya-343-353_pu	23.040044	-128.760009
visnupurana_amsa-1_u	13.704818	11.876516
visnupurana_amsa-2_u	39.519451	-46.081685
visnupurana_amsa-3_u	56.728569	-19.096709
visnupurana_amsa-4_u	0.511627	-43.124004
visnupurana_amsa-5_u	-30.104604	3.429326
visnupurana_amsa-6_u	56.561621	-97.491262
visnupurana_u	9.300813	75.823222
