text	x	y
agnipurana_u	0.045417	0.082259
bhagavatapurana_skandha-01_u	-0.072089	-0.094477
bhagavatapurana_skandha-02_u	-0.032513	-0.148154
bhagavatapurana_skandha-03_u	-0.043461	-0.125780
bhagavatapurana_skandha-04_u	-0.057029	-0.138207
bhagavatapurana_skandha-05_u	0.036212	-0.213901
bhagavatapurana_skandha-06_u	-0.082872	-0.172614
bhagavatapurana_skandha-07_u	-0.086907	-0.225733
bhagavatapurana_skandha-08_u	-0.110521	-0.157779
bhagavatapurana_skandha-09_u	-0.062798	-0.129531
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	0.244791	-0.318452
bhagavatapurana_skandha-10_u	-0.080046	-0.162243
bhagavatapurana_skandha-11_u	-0.059340	-0.164915
bhagavatapurana_skandha-12_u	-0.004659	-0.060165
bhavisyapurana	0.026505	0.004279
brahmandapurana	0.021651	0.045769
brahmandapurana_khanda-1_u	0.029076	0.094220
brahmandapurana_khanda-2_u	0.005401	0.033081
brahmandapurana_khanda-3_u	0.041621	0.023824
brahmapurana_pu	0.004221	0.009915
devibhagavatapurana	0.007779	-0.018767
devibhagavatapurana_devigita_adhyaya-31-40	0.087819	-0.061879
devipurana	0.030405	0.027482
garudapurana_khanda-1_u	0.049287	0.057903
garudapurana_khanda-2_u	0.011596	-0.009900
garudapurana_khanda-3_u	0.046951	0.018293
harivamsa	-0.033302	0.032353
harivamsa_appendix-29-30_mathura	-0.018486	0.024414
harivamsa_appendix-31	-0.013810	-0.027652
harivamsa_appendix-41	-0.020477	0.077232
harivamsa_appendix-42_pradurbhava	-0.065277	0.113805
kalikapurana	0.023023	0.005861
karatoyamahatmya_pu	0.096981	-0.051221
kirfel_ppl_textgruppe_IIA_col1	0.019451	0.054686
kirfel_ppl_textgruppe_IIB_col1	0.041950	0.078343
kirfel_ppl_textgruppe_III_col1	0.030489	0.067297
kirfel_ppl_textgruppe_II_col1	0.018765	0.052742
kirfel_ppl_textgruppe_I_col1	0.005351	0.069035
kirfel_ppl_textgruppe_Ia_col1	0.031460	0.131123
kirfel_ppl_ungrouped_col1	-0.015485	0.085682
kurmapurana_khanda-1_u	0.017605	0.002594
kurmapurana_khanda-2_u	0.045917	-0.024737
lingapurana_khanda-1_u	0.024150	0.051650
lingapurana_khanda-2_u	0.065172	0.032531
mahabharata_01-adiparvan	-0.037815	-0.009896
mahabharata_02-appendix-21_sisupala	-0.068005	0.079111
mahabharata_02-sabhaparvan	-0.048788	0.011615
mahabharata_03-aranyakaparvan	-0.051579	-0.002834
mahabharata_04-virataparvan	-0.075212	-0.005557
mahabharata_05-udyogaparvan	-0.045460	0.003008
