text	x	y
agnipurana_u	87.962892	-22.543473
bhagavatapurana_skandha-01_u	-16.726886	-82.317145
bhagavatapurana_skandha-02_u	41.171315	-95.854794
bhagavatapurana_skandha-03_u	13.906294	-63.794054
bhagavatapurana_skandha-04_u	-2.219051	-70.299803
bhagavatapurana_skandha-05_u	37.626539	-61.201511
bhagavatapurana_skandha-06_u	-7.662141	-71.219154
bhagavatapurana_skandha-07_u	1.197182	-91.061299
bhagavatapurana_skandha-08_u	-9.135434	-57.132288
bhagavatapurana_skandha-09_u	-22.555966	-34.140239
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	23.556050	-105.978305
bhagavatapurana_skandha-10_u	-28.844174	-71.382820
bhagavatapurana_skandha-11_u	26.412877	-106.770900
bhagavatapurana_skandha-12_u	45.560819	-45.811145
bhavisyapurana	41.249732	-9.936449
brahmandapurana	25.764569	61.968827
brahmandapurana_khanda-1_u	51.884641	111.589733
brahmandapurana_khanda-2_u	-7.953375	54.782011
brahmandapurana_khanda-3_u	43.056531	17.909174
brahmapurana_pu	-9.077916	-4.494083
devibhagavatapurana	-19.248423	-43.182505
devibhagavatapurana_devigita_adhyaya-31-40	73.803155	-73.096623
devipurana	69.662038	-19.024500
garudapurana_khanda-1_u	90.335511	-22.166071
garudapurana_khanda-2_u	65.570829	-40.848027
garudapurana_khanda-3_u	89.114814	-16.878767
harivamsa	-73.932334	37.517411
harivamsa_appendix-29-30_mathura	-57.036786	5.935708
harivamsa_appendix-31	-76.448322	-17.572623
harivamsa_appendix-41	9.026212	42.819665
harivamsa_appendix-42_pradurbhava	-22.293551	52.558893
kalikapurana	20.393502	-10.147983
karatoyamahatmya_pu	129.937386	-65.561274
kirfel_ppl_textgruppe_IIA_col1	57.343662	77.767077
kirfel_ppl_textgruppe_IIB_col1	61.217424	133.577546
kirfel_ppl_textgruppe_III_col1	64.497352	83.279035
kirfel_ppl_textgruppe_II_col1	2.870869	76.612919
kirfel_ppl_textgruppe_I_col1	-35.922853	111.234250
kirfel_ppl_textgruppe_Ia_col1	29.336466	150.729187
kirfel_ppl_ungrouped_col1	-39.598898	105.180543
kurmapurana_khanda-1_u	44.572931	21.644088
kurmapurana_khanda-2_u	88.158733	-30.103307
lingapurana_khanda-1_u	58.359772	33.279001
lingapurana_khanda-2_u	86.045575	-9.370229
mahabharata_01-adiparvan	-107.091080	11.192936
mahabharata_02-appendix-21_sisupala	-57.809212	75.651637
mahabharata_02-sabhaparvan	-102.143164	-12.735095
mahabharata_03-aranyakaparvan	-104.615499	-2.144349
mahabharata_04-virataparvan	-108.790177	-8.868929
mahabharata_05-udyogaparvan	-93.092905	-23.295097
mahabharata_06-bhismaparvan	-84.459189	2.170341
mahabharata_07-appendix-08_sodasarajika	-57.312117	49.789833
mahabharata_07-dronaparvan	-103.557266	-0.181207
mahabharata_08-karnaparvan	-105.407237	-5.210448
mahabharata_09-salyaparvan	-117.928485	24.338734
mahabharata_10-sauptikaparvan	-106.235202	-2.106780
mahabharata_11-striparvan	-105.961579	-26.443899
mahabharata_12-appendix-29_moksadharma	-20.830456	-25.829256
mahabharata_12-santiparvan	-34.709803	-25.233081
mahabharata_13-anusasanaparvan	-22.816217	-4.464146
mahabharata_13-appendix-15_umamahesvara	50.328285	-22.868163
mahabharata_14-appendix-04_vaisnavadharma	69.968870	-11.186576
