text	x	y
agnipurana_u	0.006400	0.003745
bhagavatapurana_skandha-01_u	-0.003715	-0.020062
bhagavatapurana_skandha-02_u	0.002905	-0.022286
bhagavatapurana_skandha-03_u	0.000393	-0.023181
bhagavatapurana_skandha-04_u	-0.000768	-0.025014
bhagavatapurana_skandha-05_u	0.004856	-0.027513
bhagavatapurana_skandha-06_u	-0.001246	-0.023763
bhagavatapurana_skandha-07_u	-0.000085	-0.026770
bhagavatapurana_skandha-08_u	-0.003894	-0.023484
bhagavatapurana_skandha-09_u	-0.001213	-0.022488
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	0.016670	-0.026440
bhagavatapurana_skandha-10_u	-0.002749	-0.024986
bhagavatapurana_skandha-11_u	0.001205	-0.023511
bhagavatapurana_skandha-12_u	0.001663	-0.013932
bhavisyapurana	0.003643	-0.000223
brahmandapurana	0.004493	0.009815
brahmandapurana_khanda-1_u	0.008285	0.025246
brahmandapurana_khanda-2_u	0.001961	0.007466
brahmandapurana_khanda-3_u	0.004404	-0.001596
brahmapurana_pu	-0.000478	0.003704
devibhagavatapurana	0.000165	-0.003842
devibhagavatapurana_devigita_adhyaya-31-40	0.009848	-0.011129
devipurana	0.004021	-0.005353
garudapurana_khanda-1_u	0.007012	0.004496
garudapurana_khanda-2_u	0.004854	-0.002566
garudapurana_khanda-3_u	0.009707	0.011468
harivamsa	-0.006869	0.004394
harivamsa_appendix-29-30_mathura	-0.004582	0.002335
harivamsa_appendix-31	-0.005077	-0.010057
harivamsa_appendix-41	-0.005019	0.017409
harivamsa_appendix-42_pradurbhava	-0.013220	0.012596
kalikapurana	0.004553	-0.003906
karatoyamahatmya_pu	0.007813	-0.016024
kirfel_ppl_textgruppe_IIA_col1	0.006303	0.012639
kirfel_ppl_textgruppe_IIB_col1	0.010741	0.019362
kirfel_ppl_textgruppe_III_col1	0.005848	0.018972
kirfel_ppl_textgruppe_II_col1	0.002957	0.009949
kirfel_ppl_textgruppe_I_col1	0.003274	0.014813
kirfel_ppl_textgruppe_Ia_col1	0.009779	0.042249
kirfel_ppl_ungrouped_col1	0.001986	0.015198
kurmapurana_khanda-1_u	0.002834	-0.006274
kurmapurana_khanda-2_u	0.007909	-0.005558
lingapurana_khanda-1_u	0.004880	0.014067
lingapurana_khanda-2_u	0.007783	0.003490
mahabharata_01-adiparvan	-0.008971	0.000704
mahabharata_02-appendix-21_sisupala	-0.012890	0.004825
mahabharata_02-sabhaparvan	-0.010221	0.005471
mahabharata_03-aranyakaparvan	-0.010201	-0.000493
mahabharata_04-virataparvan	-0.011367	-0.003772
mahabharata_05-udyogaparvan	-0.009608	0.003558
mahabharata_06-bhismaparvan	-0.015499	0.007295
mahabharata_07-appendix-08_sodasarajika	-0.006257	0.002874
mahabharata_07-dronaparvan	-0.015200	-0.001110
mahabharata_08-karnaparvan	-0.015707	0.000970
mahabharata_09-salyaparvan	-0.014907	0.010848
mahabharata_10-sauptikaparvan	-0.009180	0.001258
mahabharata_11-striparvan	-0.009968	-0.000760
mahabharata_12-appendix-29_moksadharma	0.002141	0.001943
mahabharata_12-santiparvan	-0.003760	0.003996
mahabharata_13-anusasanaparvan	-0.003035	0.008102
mahabharata_13-appendix-15_umamahesvara	0.006775	0.003095
mahabharata_14-appendix-04_vaisnavadharma	0.006073	0.013623
mahabharata_14-asvamedhikaparvan	-0.007875	0.003859
mahabharata_15-asramavasikaparvan	-0.011924	0.013109
mahabharata_16-mausalaparvan	-0.014186	0.011090
mahabharata_17-mahaprasthanikaparvan	-0.011439	0.006168
mahabharata_18-svargarohanaparvan	-0.012363	0.007713
markandeyapurana	-0.001608	0.000292
markandeyapurana_adhyaya-1-80_u	0.000383	0.003386
markandeyapurana_adhyaya-81-93_devimahatmya_u	-0.005046	-0.003647
markandeyapurana_adhyaya-94-141_u	-0.005438	-0.006225
matsyapurana_pu	0.002751	0.008613
naradapurana_khanda-1_u	0.005718	-0.006656
naradapurana_khanda-2_u	0.003429	-0.015947
nilamatapurana_au	0.004535	0.010286
nrsimhapurana_pu	0.000065	-0.010615
padmapurana_a	-0.000883	-0.013466
pranavakalpa	0.018895	-0.024762
ramayana_01-balakanda	-0.011972	-0.002762
ramayana_02-ayodhyakanda_a	-0.008963	-0.002011
ramayana_03-aranyakanda_a	-0.009484	-0.008223
ramayana_04-kiskindhakanda	-0.010264	0.001988
ramayana_05-sundarakanda	-0.012846	-0.004826
ramayana_06-yuddhakanda	-0.013578	-0.001843
ramayana_07-uttarakanda	-0.009972	-0.004985
saurapurana	0.004185	-0.012150
sivadharmasastra	0.005004	-0.012443
sivadharmottara	0.001727	0.000534
sivapurana_dharmasamhita	0.003223	-0.013701
sivapurana_karvanamahatmya_au	0.001645	0.000867
sivapurana_rudrasamhita	-0.001394	-0.010134
sivapurana_sanatkumarasamhita	0.005914	-0.004721
sivapurana_satarudrasamhita_au	-0.003200	-0.014983
sivapurana_umasamhita	0.002631	0.000494
sivapurana_vayaviyasamhita_au	0.005243	-0.000619
sivapurana_vidyesvarasamhita_au	0.012295	-0.004472
skandamahapurana_himavatkhanda	-0.005228	0.002000
skandamahapurana_kasikhanda	0.005862	-0.020162
skandamahapurana_revakhanda	0.000449	0.003242
skandamahapurana_sutasamhita_khanda-4	0.012946	-0.005900
skandapurana	-0.007387	0.005177
skandapurana_adhyaya-1-31_pu	-0.004173	0.011615
