text	x	y
agnipurana_u	0.098876	-0.008290
bhagavatapurana_skandha-01_u	-0.026098	-0.131651
bhagavatapurana_skandha-02_u	0.045306	-0.159748
bhagavatapurana_skandha-03_u	0.014431	-0.119332
bhagavatapurana_skandha-04_u	-0.006449	-0.125841
bhagavatapurana_skandha-05_u	0.044850	-0.117199
bhagavatapurana_skandha-06_u	-0.012061	-0.130033
bhagavatapurana_skandha-07_u	0.000923	-0.161014
bhagavatapurana_skandha-08_u	-0.021762	-0.126822
bhagavatapurana_skandha-09_u	-0.029673	-0.095537
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	0.048719	-0.167387
bhagavatapurana_skandha-10_u	-0.037847	-0.134209
bhagavatapurana_skandha-11_u	0.031919	-0.164588
bhagavatapurana_skandha-12_u	0.039921	-0.094257
bhavisyapurana	0.049324	-0.007925
brahmandapurana	0.039771	0.082871
brahmandapurana_khanda-1_u	0.075556	0.162157
brahmandapurana_khanda-2_u	-0.002190	0.073583
brahmandapurana_khanda-3_u	0.055937	0.007915
brahmapurana_pu	-0.007718	0.008239
devibhagavatapurana	-0.009273	-0.050364
devibhagavatapurana_devigita_adhyaya-31-40	0.100467	-0.087053
devipurana	0.079348	-0.031277
garudapurana_khanda-1_u	0.108071	-0.005480
garudapurana_khanda-2_u	0.070999	-0.034421
garudapurana_khanda-3_u	0.120519	0.028125
harivamsa	-0.090012	0.044126
harivamsa_appendix-29-30_mathura	-0.071028	0.010062
harivamsa_appendix-31	-0.085897	-0.047239
harivamsa_appendix-41	-0.011862	0.066116
harivamsa_appendix-42_pradurbhava	-0.056642	0.068989
kalikapurana	0.035868	-0.015865
karatoyamahatmya_pu	0.144840	-0.120923
kirfel_ppl_textgruppe_IIA_col1	0.068603	0.112479
kirfel_ppl_textgruppe_IIB_col1	0.075021	0.183306
kirfel_ppl_textgruppe_III_col1	0.081886	0.128328
kirfel_ppl_textgruppe_II_col1	0.006324	0.099562
kirfel_ppl_textgruppe_I_col1	-0.035867	0.150357
kirfel_ppl_textgruppe_Ia_col1	0.058760	0.229221
kirfel_ppl_ungrouped_col1	-0.043477	0.143297
kurmapurana_khanda-1_u	0.053479	-0.004927
kurmapurana_khanda-2_u	0.106697	-0.040052
lingapurana_khanda-1_u	0.079850	0.064264
lingapurana_khanda-2_u	0.110773	0.000030
mahabharata_01-adiparvan	-0.127992	0.014160
mahabharata_02-appendix-21_sisupala	-0.100641	0.057025
mahabharata_02-sabhaparvan	-0.123660	0.005850
mahabharata_03-aranyakaparvan	-0.131252	-0.002923
mahabharata_04-virataparvan	-0.141133	-0.020425
mahabharata_05-udyogaparvan	-0.114092	-0.003793
mahabharata_06-bhismaparvan	-0.126835	0.021323
mahabharata_07-appendix-08_sodasarajika	-0.080872	0.038842
mahabharata_07-dronaparvan	-0.147642	-0.004462
mahabharata_08-karnaparvan	-0.150115	-0.001956
mahabharata_09-salyaparvan	-0.150635	0.053050
mahabharata_10-sauptikaparvan	-0.130065	0.006130
mahabharata_11-striparvan	-0.129475	-0.018802
mahabharata_12-appendix-29_moksadharma	-0.014393	-0.004555
mahabharata_12-santiparvan	-0.042153	-0.002909
mahabharata_13-anusasanaparvan	-0.030087	0.021926
mahabharata_13-appendix-15_umamahesvara	0.062910	0.005693
mahabharata_14-appendix-04_vaisnavadharma	0.073946	0.048774
mahabharata_14-asvamedhikaparvan	-0.109725	0.012808
mahabharata_15-asramavasikaparvan	-0.158238	0.044747
mahabharata_16-mausalaparvan	-0.158239	0.050982
mahabharata_17-mahaprasthanikaparvan	-0.175608	0.027743
mahabharata_18-svargarohanaparvan	-0.138477	0.038711
markandeyapurana	-0.025583	-0.012054
markandeyapurana_adhyaya-1-80_u	-0.006621	-0.002469
markandeyapurana_adhyaya-81-93_devimahatmya_u	-0.036310	-0.030963
markandeyapurana_adhyaya-94-141_u	-0.065500	-0.029816
matsyapurana_pu	0.031621	0.048025
naradapurana_khanda-1_u	0.095137	-0.052497
naradapurana_khanda-2_u	0.018823	-0.091424
nilamatapurana_au	0.032233	0.039460
nrsimhapurana_pu	-0.026996	-0.053883
padmapurana_a	0.005487	-0.071031
pranavakalpa	0.131760	-0.138028
ramayana_01-balakanda	-0.157838	0.017982
ramayana_02-ayodhyakanda_a	-0.139757	-0.021218
