text	x	y
agnipurana_u	0.182028	0.002892
bhagavatapurana_skandha-01_u	-0.044234	-0.250097
bhagavatapurana_skandha-02_u	0.070895	-0.262446
bhagavatapurana_skandha-03_u	0.024572	-0.241632
bhagavatapurana_skandha-04_u	-0.012520	-0.252555
bhagavatapurana_skandha-05_u	0.074442	-0.224034
bhagavatapurana_skandha-06_u	-0.014483	-0.242895
bhagavatapurana_skandha-07_u	0.007948	-0.273215
bhagavatapurana_skandha-08_u	-0.032167	-0.232676
bhagavatapurana_skandha-09_u	-0.043169	-0.182722
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	0.069341	-0.219281
bhagavatapurana_skandha-10_u	-0.068331	-0.262377
bhagavatapurana_skandha-11_u	0.050961	-0.278829
bhagavatapurana_skandha-12_u	0.066947	-0.179503
bhavisyapurana	0.090185	-0.013889
brahmandapurana	0.075131	0.151741
brahmandapurana_khanda-1_u	0.126463	0.257196
brahmandapurana_khanda-2_u	-0.000337	0.124431
brahmandapurana_khanda-3_u	0.100782	0.028656
brahmapurana_pu	-0.008165	0.006476
devibhagavatapurana	-0.007213	-0.081324
devibhagavatapurana_devigita_adhyaya-31-40	0.144158	-0.110893
devipurana	0.140091	-0.038501
garudapurana_khanda-1_u	0.192602	0.005142
garudapurana_khanda-2_u	0.117771	-0.050740
garudapurana_khanda-3_u	0.160547	0.040998
harivamsa	-0.168288	0.074522
harivamsa_appendix-29-30_mathura	-0.122579	0.023985
harivamsa_appendix-31	-0.123361	-0.059606
harivamsa_appendix-41	-0.016706	0.099665
harivamsa_appendix-42_pradurbhava	-0.101707	0.129454
kalikapurana	0.062391	-0.026509
karatoyamahatmya_pu	0.171716	-0.098888
kirfel_ppl_textgruppe_IIA_col1	0.104801	0.147874
kirfel_ppl_textgruppe_IIB_col1	0.111711	0.246150
kirfel_ppl_textgruppe_III_col1	0.110839	0.150239
kirfel_ppl_textgruppe_II_col1	0.019227	0.154502
kirfel_ppl_textgruppe_I_col1	-0.042379	0.218387
