text	x	y
agnipurana_u	0.502721	-0.094077
bhagavatapurana_skandha-01_u	-0.092551	-0.310769
bhagavatapurana_skandha-02_u	0.139298	-0.232505
bhagavatapurana_skandha-03_u	0.069468	-0.223767
bhagavatapurana_skandha-04_u	-0.035750	-0.313871
bhagavatapurana_skandha-05_u	0.149011	-0.124892
bhagavatapurana_skandha-06_u	-0.059077	-0.273003
bhagavatapurana_skandha-07_u	0.021089	-0.307059
bhagavatapurana_skandha-08_u	-0.049666	-0.200163
bhagavatapurana_skandha-09_u	-0.180295	-0.099833
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	0.005759	-0.250777
bhagavatapurana_skandha-10_u	-0.209302	-0.384131
bhagavatapurana_skandha-11_u	0.106677	-0.400428
bhagavatapurana_skandha-12_u	0.221914	-0.107410
bhavisyapurana	0.309472	-0.181954
brahmandapurana	0.266201	0.640375
brahmandapurana_khanda-1_u	0.302991	0.632505
brahmandapurana_khanda-2_u	-0.091651	0.491256
brahmandapurana_khanda-3_u	0.313878	0.180315
brahmapurana_pu	0.044387	-0.129388
devibhagavatapurana	-0.080412	-0.334681
devibhagavatapurana_devigita_adhyaya-31-40	0.297031	-0.208116
devipurana	0.404723	-0.129112
garudapurana_khanda-1_u	0.474142	-0.109416
garudapurana_khanda-2_u	0.355561	-0.285362
garudapurana_khanda-3_u	0.264111	-0.135237
harivamsa	-0.553958	0.335915
harivamsa_appendix-29-30_mathura	-0.298225	-0.026369
harivamsa_appendix-31	-0.264800	-0.110598
harivamsa_appendix-41	0.050819	0.223758
harivamsa_appendix-42_pradurbhava	-0.166677	0.292706
kalikapurana	0.210645	-0.098679
karatoyamahatmya_pu	0.222604	-0.167764
kirfel_ppl_textgruppe_IIA_col1	0.262379	0.264326
kirfel_ppl_textgruppe_IIB_col1	0.255524	0.525888
kirfel_ppl_textgruppe_III_col1	0.208401	0.244944
kirfel_ppl_textgruppe_II_col1	0.014901	0.326331
kirfel_ppl_textgruppe_I_col1	-0.194501	0.549021
kirfel_ppl_textgruppe_Ia_col1	0.118257	0.514804
kirfel_ppl_ungrouped_col1	-0.193657	0.478672
kurmapurana_khanda-1_u	0.306391	0.054102
kurmapurana_khanda-2_u	0.427132	-0.202381
lingapurana_khanda-1_u	0.497142	0.177443
lingapurana_khanda-2_u	0.473227	-0.093839
mahabharata_01-adiparvan	-0.681159	0.078054
mahabharata_02-appendix-21_sisupala	-0.284137	0.293121
mahabharata_02-sabhaparvan	-0.586459	-0.039592
mahabharata_03-aranyakaparvan	-0.725313	-0.046114
mahabharata_04-virataparvan	-0.587968	-0.012239
mahabharata_05-udyogaparvan	-0.608581	-0.131670
mahabharata_06-bhismaparvan	-0.506446	0.061629
mahabharata_07-appendix-08_sodasarajika	-0.269015	0.204264
mahabharata_07-dronaparvan	-0.533961	0.063756
mahabharata_08-karnaparvan	-0.529802	0.025480
mahabharata_09-salyaparvan	-0.621460	0.147443
mahabharata_10-sauptikaparvan	-0.521598	0.014271
mahabharata_11-striparvan	-0.468725	-0.057058
mahabharata_12-appendix-29_moksadharma	-0.023629	-0.093209
mahabharata_12-santiparvan	-0.244565	-0.154399
mahabharata_13-anusasanaparvan	-0.110270	-0.069955
mahabharata_13-appendix-15_umamahesvara	0.160916	-0.112549
mahabharata_14-appendix-04_vaisnavadharma	0.267900	-0.128460
mahabharata_14-asvamedhikaparvan	-0.509545	-0.039775
mahabharata_15-asramavasikaparvan	-0.548937	0.000507
mahabharata_16-mausalaparvan	-0.431059	0.078763
mahabharata_17-mahaprasthanikaparvan	-0.367987	0.001023
mahabharata_18-svargarohanaparvan	-0.288692	0.084740
markandeyapurana	-0.144559	-0.173734
markandeyapurana_adhyaya-1-80_u	-0.042384	-0.180283
markandeyapurana_adhyaya-81-93_devimahatmya_u	-0.060192	-0.027623
markandeyapurana_adhyaya-94-141_u	-0.241685	-0.106276
matsyapurana_pu	0.344824	0.296240
naradapurana_khanda-1_u	0.565884	-0.235195
naradapurana_khanda-2_u	0.028299	-0.360050
nilamatapurana_au	0.120131	-0.063966
nrsimhapurana_pu	-0.155528	-0.314895
padmapurana_a	0.077120	-0.376631
pranavakalpa	0.360991	-0.226700
ramayana_01-balakanda	-0.474124	0.151534
ramayana_02-ayodhyakanda_a	-0.558009	-0.135130
ramayana_03-aranyakanda_a	-0.537843	-0.052766
ramayana_04-kiskindhakanda	-0.565499	-0.072300
ramayana_05-sundarakanda	-0.498282	-0.083756
ramayana_06-yuddhakanda	-0.599325	0.073915
ramayana_07-uttarakanda	-0.588608	0.104587
saurapurana	0.326550	-0.223676
sivadharmasastra	0.350062	-0.193945
sivadharmottara	0.398501	-0.269778
sivapurana_dharmasamhita	0.183510	-0.158256
sivapurana_karvanamahatmya_au	0.136320	-0.119126
sivapurana_rudrasamhita	-0.104646	-0.254479
sivapurana_sanatkumarasamhita	0.318437	-0.023553
sivapurana_satarudrasamhita_au	-0.019348	-0.193615
sivapurana_umasamhita	0.375784	-0.010308
sivapurana_vayaviyasamhita_au	0.475314	-0.153113
sivapurana_vidyesvarasamhita_au	0.546269	-0.194381
skandamahapurana_himavatkhanda	0.043866	-0.065711
skandamahapurana_kasikhanda	0.277640	-0.465918
skandamahapurana_revakhanda	0.121595	-0.123150
skandamahapurana_sutasamhita_khanda-4	0.357473	-0.280274
skandapurana	-0.280832	0.121849
skandapurana_adhyaya-1-31_pu	-0.094679	0.088494
skandapurana_pasupata_adhyaya174-183_u	0.303825	-0.051148
vamanapurana_saromahatmya_u	0.058081	-0.042518
vamanapurana_u	-0.180539	-0.154937
vayu_ba	0.214433	0.750493
vayupurana	0.315941	0.734719
vayupurana_01_frame-and-cosmogony_iast	0.278171	0.501563
vayupurana_02_pashupata-yoga_iast	0.313027	0.083634
vayupurana_03_kalpas-and-shiva-lineages_iast	0.176635	0.436192
vayupurana_04_bhuvana-vinyasa_iast	0.200306	0.329062
vayupurana_05_jyotis-and-purvardha-close_iast	0.292308	0.494204
vayupurana_06_prthu-and-prajapati-lineages_iast	0.115394	0.640572
vayupurana_07_shraddha-kalpa_iast	0.297223	0.254378
vayupurana_08_manu-candra-vishnu-vamsha_iast	-0.163857	0.540551
vayupurana_09_upasamhara_iast	0.324290	0.489331
vayupurana_10_gaya-mahatmya_iast	0.202746	-0.052799
vayupurana_revakhanda	0.198961	-0.218823
visnudharma_pu	0.207443	-0.449659
visnudharmottarapurana_khanda-3_adhyaya-343-353_pu	-0.067361	-0.091878
visnupurana_amsa-1_u	0.076367	0.015208
visnupurana_amsa-2_u	0.251153	0.045681
visnupurana_amsa-3_u	0.319213	-0.070556
visnupurana_amsa-4_u	0.002382	0.113631
visnupurana_amsa-5_u	-0.232814	-0.212806
visnupurana_amsa-6_u	0.151837	-0.251601
visnupurana_u	0.096967	-0.095336
