text	x	y
agnipurana_u	-0.203988	-0.259752
bhagavatapurana_skandha-01_u	0.082089	0.041414
bhagavatapurana_skandha-02_u	0.247993	-0.041340
bhagavatapurana_skandha-03_u	0.024507	-0.019164
bhagavatapurana_skandha-04_u	-0.023311	-0.001210
bhagavatapurana_skandha-05_u	0.114969	-0.048837
bhagavatapurana_skandha-06_u	0.054024	0.007954
bhagavatapurana_skandha-07_u	0.089518	-0.031100
bhagavatapurana_skandha-08_u	0.032526	0.026466
bhagavatapurana_skandha-09_u	0.040683	0.062885
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	0.177990	-0.038140
bhagavatapurana_skandha-10_u	-0.131794	0.048875
bhagavatapurana_skandha-11_u	0.028716	-0.076997
bhagavatapurana_skandha-12_u	0.158791	-0.064697
bhavisyapurana	-0.323289	-0.180597
brahmandapurana	-0.242506	-0.063919
brahmandapurana_khanda-1_u	0.220759	-0.016039
brahmandapurana_khanda-2_u	-0.180557	0.022997
brahmandapurana_khanda-3_u	-0.178070	-0.118815
brahmapurana_pu	-0.272236	-0.069648
devibhagavatapurana	-0.305469	-0.097905
devibhagavatapurana_devigita_adhyaya-31-40	0.180085	-0.182689
devipurana	-0.205561	-0.183757
garudapurana_khanda-1_u	-0.168062	-0.226101
garudapurana_khanda-2_u	-0.140057	-0.196439
garudapurana_khanda-3_u	-0.000942	-0.183451
harivamsa	-0.185822	0.181768
harivamsa_appendix-29-30_mathura	-0.137168	0.112831
harivamsa_appendix-31	-0.067732	0.124848
harivamsa_appendix-41	0.131903	0.044215
harivamsa_appendix-42_pradurbhava	-0.008809	0.220995
kalikapurana	-0.226415	-0.148354
karatoyamahatmya_pu	0.345073	-0.046183
kirfel_ppl_textgruppe_IIA_col1	0.222644	-0.064063
kirfel_ppl_textgruppe_IIB_col1	0.122183	-0.061721
kirfel_ppl_textgruppe_III_col1	0.278537	-0.030235
kirfel_ppl_textgruppe_II_col1	0.064710	0.020512
kirfel_ppl_textgruppe_I_col1	0.003918	0.089424
kirfel_ppl_textgruppe_Ia_col1	0.215862	0.010796
kirfel_ppl_ungrouped_col1	0.065926	0.084384
kurmapurana_khanda-1_u	-0.095791	-0.102034
kurmapurana_khanda-2_u	-0.036340	-0.192043
lingapurana_khanda-1_u	-0.151168	-0.169133
lingapurana_khanda-2_u	-0.090182	-0.242676
mahabharata_01-adiparvan	-0.177571	0.199103
mahabharata_02-appendix-21_sisupala	0.160424	0.207725
mahabharata_02-sabhaparvan	-0.096481	0.230331
mahabharata_03-aranyakaparvan	-0.231892	0.217165
mahabharata_04-virataparvan	-0.087856	0.304523
mahabharata_05-udyogaparvan	-0.166183	0.232983
mahabharata_06-bhismaparvan	-0.119677	0.342850
mahabharata_07-appendix-08_sodasarajika	0.172699	0.136347
mahabharata_07-dronaparvan	-0.133374	0.369788
mahabharata_08-karnaparvan	-0.117805	0.357925
mahabharata_09-salyaparvan	-0.134923	0.351921
mahabharata_10-sauptikaparvan	0.047632	0.286810
mahabharata_11-striparvan	0.066450	0.251232
mahabharata_12-appendix-29_moksadharma	0.174174	0.005171
mahabharata_12-santiparvan	-0.183381	0.053587
mahabharata_13-anusasanaparvan	-0.178490	0.032967
mahabharata_13-appendix-15_umamahesvara	-0.072247	-0.097536
mahabharata_14-appendix-04_vaisnavadharma	-0.006653	-0.114880
mahabharata_14-asvamedhikaparvan	-0.116686	0.165427
mahabharata_15-asramavasikaparvan	0.008953	0.214041
mahabharata_16-mausalaparvan	0.228859	0.209965
mahabharata_17-mahaprasthanikaparvan	0.321590	0.124235
mahabharata_18-svargarohanaparvan	0.295640	0.179300
markandeyapurana	-0.218880	0.009209
markandeyapurana_adhyaya-1-80_u	-0.176862	-0.028726
markandeyapurana_adhyaya-81-93_devimahatmya_u	0.133091	0.081388
markandeyapurana_adhyaya-94-141_u	-0.067670	0.069005
matsyapurana_pu	-0.234986	-0.061026
naradapurana_khanda-1_u	-0.252061	-0.297062
naradapurana_khanda-2_u	-0.213568	-0.110527
nilamatapurana_au	-0.012534	-0.090928
nrsimhapurana_pu	-0.236264	-0.018581
padmapurana_a	-0.337520	-0.105773
pranavakalpa	0.081408	-0.185870
ramayana_01-balakanda	-0.072495	0.199523
ramayana_02-ayodhyakanda_a	-0.146488	0.207980
ramayana_03-aranyakanda_a	-0.133761	0.248249
ramayana_04-kiskindhakanda	-0.096652	0.225704
ramayana_05-sundarakanda	-0.116571	0.215625
ramayana_06-yuddhakanda	-0.164697	0.329710
ramayana_07-uttarakanda	-0.148637	0.220882
saurapurana	-0.187813	-0.143594
sivadharmasastra	0.097006	-0.225848
sivadharmottara	0.099193	-0.212795
sivapurana_dharmasamhita	-0.178270	-0.093530
sivapurana_karvanamahatmya_au	0.274435	-0.073349
sivapurana_rudrasamhita	-0.221836	-0.064367
sivapurana_sanatkumarasamhita	-0.059351	-0.135732
sivapurana_satarudrasamhita_au	0.119702	-0.047945
sivapurana_umasamhita	-0.075989	-0.106804
sivapurana_vayaviyasamhita_au	-0.135347	-0.212383
sivapurana_vidyesvarasamhita_au	-0.032009	-0.290761
skandamahapurana_himavatkhanda	-0.083735	-0.047013
skandamahapurana_kasikhanda	-0.218259	-0.184653
skandamahapurana_revakhanda	-0.193122	-0.109246
skandamahapurana_sutasamhita_khanda-4	0.027599	-0.238146
skandapurana	-0.220871	0.081000
skandapurana_adhyaya-1-31_pu	0.013171	0.004499
skandapurana_pasupata_adhyaya174-183_u	0.287276	-0.129324
vamanapurana_saromahatmya_u	0.137418	-0.073264
vamanapurana_u	-0.227627	0.015886
vayupurana	-0.015612	-0.074231
vayupurana_01_frame-and-cosmogony_iast	0.352178	-0.027629
vayupurana_02_pashupata-yoga_iast	0.341323	-0.038957
vayupurana_03_kalpas-and-shiva-lineages_iast	0.240623	0.006243
vayupurana_04_bhuvana-vinyasa_iast	0.223209	-0.012132
vayupurana_05_jyotis-and-purvardha-close_iast	0.337894	-0.006109
vayupurana_06_prthu-and-prajapati-lineages_iast	0.308528	0.026113
vayupurana_07_shraddha-kalpa_iast	0.338558	-0.023951
vayupurana_08_manu-candra-vishnu-vamsha_iast	0.317276	0.034853
vayupurana_09_upasamhara_iast	0.328906	-0.032945
vayupurana_10_gaya-mahatmya_iast	0.155665	-0.127352
vayupurana_revakhanda	-0.227043	-0.118123
visnudharma_pu	-0.119758	-0.128599
visnudharmottarapurana_khanda-3_adhyaya-343-353_pu	0.254039	-0.009855
visnupurana_amsa-1_u	0.093850	-0.049888
visnupurana_amsa-2_u	0.331849	-0.053146
visnupurana_amsa-3_u	0.155566	-0.123907
visnupurana_amsa-4_u	0.088455	0.017287
visnupurana_amsa-5_u	0.245260	0.003209
visnupurana_amsa-6_u	0.327523	-0.027139
visnupurana_u	-0.066051	-0.059458
