text	x	y
agnipurana_u	0.255575	-0.209667
bhagavatapurana_skandha-01_u	-0.108436	-0.056140
bhagavatapurana_skandha-02_u	0.026230	-0.081940
bhagavatapurana_skandha-03_u	-0.126818	-0.043719
bhagavatapurana_skandha-04_u	-0.135650	-0.065694
bhagavatapurana_skandha-05_u	-0.030215	-0.011865
bhagavatapurana_skandha-06_u	-0.000199	-0.040352
bhagavatapurana_skandha-07_u	0.040317	-0.115670
bhagavatapurana_skandha-08_u	0.010086	-0.082273
bhagavatapurana_skandha-09_u	-0.059559	-0.025190
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	-0.122281	-0.160625
bhagavatapurana_skandha-10_u	-0.193763	-0.114920
bhagavatapurana_skandha-11_u	-0.080890	-0.041477
bhagavatapurana_skandha-12_u	-0.011078	0.051365
bhavisyapurana	0.170850	-0.172776
brahmandapurana	0.187386	-0.095131
brahmandapurana_khanda-1_u	0.324570	0.423568
brahmandapurana_khanda-2_u	0.075804	-0.109821
brahmandapurana_khanda-3_u	0.246332	-0.145340
brahmapurana_pu	-0.094342	-0.087869
devibhagavatapurana	0.095083	-0.204785
devibhagavatapurana_devigita_adhyaya-31-40	0.322312	-0.093382
devipurana	0.223181	-0.186167
garudapurana_khanda-1_u	0.289383	-0.206783
garudapurana_khanda-2_u	0.230105	-0.151822
garudapurana_khanda-3_u	0.276635	-0.049501
harivamsa	-0.298687	-0.034443
harivamsa_appendix-29-30_mathura	-0.263086	-0.080924
harivamsa_appendix-31	-0.266608	-0.079795
harivamsa_appendix-41	-0.082615	0.212685
harivamsa_appendix-42_pradurbhava	-0.198592	0.080315
kalikapurana	0.160993	-0.146703
karatoyamahatmya_pu	0.275329	-0.073950
kirfel_ppl_textgruppe_IIA_col1	0.098645	0.492617
kirfel_ppl_textgruppe_IIB_col1	0.052094	0.515868
kirfel_ppl_textgruppe_III_col1	0.025910	0.576417
kirfel_ppl_textgruppe_II_col1	-0.116149	0.226715
kirfel_ppl_textgruppe_I_col1	-0.196986	0.383822
kirfel_ppl_textgruppe_Ia_col1	-0.053882	0.592457
kirfel_ppl_ungrouped_col1	-0.211692	0.349651
kurmapurana_khanda-1_u	0.193221	-0.102621
kurmapurana_khanda-2_u	0.239458	-0.146365
lingapurana_khanda-1_u	0.216942	-0.011518
lingapurana_khanda-2_u	0.262644	-0.146218
mahabharata_01-adiparvan	-0.348531	0.062437
mahabharata_02-appendix-21_sisupala	-0.333739	0.054028
mahabharata_02-sabhaparvan	-0.446003	0.070587
mahabharata_03-aranyakaparvan	-0.378053	0.017110
mahabharata_04-virataparvan	-0.491733	0.045514
mahabharata_05-udyogaparvan	-0.413030	0.051213
mahabharata_06-bhismaparvan	-0.453637	0.065146
mahabharata_07-appendix-08_sodasarajika	-0.279799	0.151798
mahabharata_07-dronaparvan	-0.466925	0.007390
mahabharata_08-karnaparvan	-0.466127	0.009607
mahabharata_09-salyaparvan	-0.459808	0.068371
mahabharata_10-sauptikaparvan	-0.411177	0.037538
mahabharata_11-striparvan	-0.441542	-0.014278
mahabharata_12-appendix-29_moksadharma	-0.099522	0.090363
mahabharata_12-santiparvan	-0.230385	0.052876
mahabharata_13-anusasanaparvan	-0.230844	0.076645
mahabharata_13-appendix-15_umamahesvara	-0.036000	-0.026025
mahabharata_14-appendix-04_vaisnavadharma	-0.052797	0.045243
mahabharata_14-asvamedhikaparvan	-0.333480	0.088593
mahabharata_15-asramavasikaparvan	-0.469363	0.124365
mahabharata_16-mausalaparvan	-0.455854	0.017058
mahabharata_17-mahaprasthanikaparvan	-0.592250	0.191177
mahabharata_18-svargarohanaparvan	-0.450319	0.175736
markandeyapurana	0.013296	-0.043727
markandeyapurana_adhyaya-1-80_u	0.065746	-0.058703
markandeyapurana_adhyaya-81-93_devimahatmya_u	0.019367	-0.046955
markandeyapurana_adhyaya-94-141_u	-0.108497	0.000891
matsyapurana_pu	0.134276	-0.047508
naradapurana_khanda-1_u	0.310172	-0.210061
naradapurana_khanda-2_u	0.104586	-0.267920
nilamatapurana_au	0.072041	-0.172078
nrsimhapurana_pu	-0.135971	-0.152791
padmapurana_a	0.199994	-0.342873
pranavakalpa	0.405106	-0.163236
ramayana_01-balakanda	-0.344920	0.012259
ramayana_02-ayodhyakanda_a	-0.360236	-0.089398
ramayana_03-aranyakanda_a	-0.379021	-0.190765
ramayana_04-kiskindhakanda	-0.367564	-0.094535
ramayana_05-sundarakanda	-0.394904	-0.172027
ramayana_06-yuddhakanda	-0.413804	-0.137093
ramayana_07-uttarakanda	-0.350447	-0.059074
saurapurana	0.209081	-0.121095
sivadharmasastra	0.398403	-0.282883
sivadharmottara	0.242020	-0.242428
sivapurana_dharmasamhita	0.293213	-0.232539
sivapurana_karvanamahatmya_au	0.119801	-0.130372
sivapurana_rudrasamhita	0.123266	-0.198396
sivapurana_sanatkumarasamhita	0.394868	-0.127680
sivapurana_satarudrasamhita_au	0.105856	-0.115909
sivapurana_umasamhita	0.177462	-0.029067
sivapurana_vayaviyasamhita_au	0.295877	-0.156539
