unit	code	with_est	with_lo	with_hi	noreuse_est	noreuse_lo	noreuse_hi	shift	residue_words	ci_separated
brahmandapurana	Bḍ	62.7	59.9	64.3	44.0	40.4	47.2	-18.700000000000003	56028	True
vayupurana_09_upasamhara_iast	V9	92.9	89.7	96.8	80.8	68.8	90.4	-12.100000000000009	1575	False
brahmandapurana_khanda-2_u	Bḍ2	39.7	36.5	40.5	28.0	25.6	34.4	-11.700000000000003	23124	True
sivapurana_dharmasamhita	Dh	53.2	48.4	58.7	43.2	39.6	48.8	-10.0	27878	False
naradapurana_khanda-2_u	N2	57.9	51.6	63.5	48.0	43.2	57.6	-9.899999999999999	22236	False
mahabharata_12-appendix-29_moksadharma	MA12	61.1	47.6	72.6	52.0	37.6	64.8	-9.100000000000001	6223	False
mahabharata_13-appendix-15_umamahesvara	MA13	80.2	77.8	82.5	72.0	68.8	73.6	-8.200000000000003	20042	True
visnupurana_amsa-6_u	Vi6	73.8	61.1	80.2	66.4	39.2	88.0	-7.3999999999999915	945	False
markandeyapurana_adhyaya-1-80_u	Mā1	42.9	40.5	47.6	36.0	33.6	36.8	-6.899999999999999	26794	True
markandeyapurana	Mā	38.1	35.7	40.5	32.0	28.0	35.2	-6.100000000000001	44018	True
mahabharata_14-appendix-04_vaisnavadharma	MA14	75.4	68.3	80.2	69.6	62.4	73.6	-5.800000000000011	12641	False
brahmandapurana_khanda-3_u	Bḍ3	69.0	65.9	76.2	63.2	58.4	68.8	-5.799999999999997	33709	False
sivapurana_karvanamahatmya_au	Kv	81.0	65.9	88.1	75.2	66.8	89.6	-5.799999999999997	2167	False
kirfel_ppl_textgruppe_IIB_col1	Pl2B	93.7	90.5	96.0	88.0	83.2	90.4	-5.700000000000003	13668	True
sivapurana_vayaviyasamhita_au	Vā	88.1	84.1	88.9	83.2	80.0	85.6	-4.8999999999999915	30180	False
visnudharma_pu	Vd	55.6	48.4	59.5	51.2	46.4	62.0	-4.399999999999999	21324	False
vayupurana_revakhanda	RvV	60.3	55.6	62.7	56.0	47.2	60.8	-4.299999999999997	44637	False
lingapurana_khanda-2_u	L2	88.1	84.1	89.7	84.0	80.0	88.8	-4.099999999999994	19056	False
kirfel_ppl_textgruppe_I_col1	Pl1	28.6	25.8	33.3	24.8	23.2	29.6	-3.8000000000000007	22022	False
mahabharata_13-anusasanaparvan	MBh13	34.9	34.1	37.3	31.2	28.0	35.2	-3.6999999999999993	51657	False
markandeyapurana_adhyaya-81-93_devimahatmya_u	MāD	32.5	27.0	38.5	28.8	25.6	38.4	-3.6999999999999993	4826	False
devibhagavatapurana	DB	46.0	42.4	48.4	42.4	40.8	46.4	-3.6000000000000014	178378	False
padmapurana_a	Pd	47.6	46.8	48.4	44.0	40.0	46.4	-3.6000000000000014	344712	True
bhavisyapurana	Bhv	64.3	63.5	66.7	60.8	57.6	63.2	-3.5	211387	True
