unit	code	with_est	with_lo	with_hi	noreuse_est	noreuse_lo	noreuse_hi	shift	residue_words	ci_separated
vayupurana_revakhanda	RvV	62.7	57.9	65.1	39.2	38.4	42.4	-23.5	44637	True
saurapurana	Sau	71.4	65.9	78.6	48.8	46.8	52.0	-22.60000000000001	24834	True
bhavisyapurana	Bhv	69.8	66.7	73.8	47.2	43.2	50.4	-22.599999999999994	211387	True
padmapurana_a	Pd	55.6	52.4	57.1	33.6	31.2	35.2	-22.0	344712	True
naradapurana_khanda-2_u	N2	57.1	51.6	59.5	38.4	37.6	42.4	-18.700000000000003	22236	True
skandamahapurana_kasikhanda	Kś	73.8	68.3	77.8	56.8	56.8	62.4	-17.0	116560	True
visnudharma_pu	Vd	76.2	66.7	81.7	59.2	56.8	64.0	-17.0	21324	True
kurmapurana_khanda-2_u	K2	93.7	89.7	95.2	76.8	76.0	85.6	-16.900000000000006	13784	True
garudapurana_khanda-2_u	G2	87.3	85.7	88.9	70.4	65.6	75.2	-16.89999999999999	23604	True
mahabharata_13-appendix-15_umamahesvara	MA13	83.3	74.6	85.7	66.4	65.6	75.2	-16.89999999999999	20042	False
devipurana	Dv	85.7	85.7	88.9	69.6	65.6	74.4	-16.10000000000001	38835	True
skandamahapurana_revakhanda	Rv	56.3	52.4	57.9	41.6	39.2	43.2	-14.699999999999996	37889	True
lingapurana_khanda-1_u	L1	81.7	75.4	84.1	67.2	64.8	75.2	-14.5	32408	True
mahabharata_14-appendix-04_vaisnavadharma	MA14	88.1	85.7	88.9	73.6	72.8	79.6	-14.5	12641	True
devibhagavatapurana	DB	40.5	38.9	43.7	27.2	26.4	30.4	-13.3	178378	True
nrsimhapurana_pu	Nṛ	34.1	30.2	37.3	20.8	20.0	24.8	-13.3	28647	True
brahmapurana_pu	Br	45.2	43.7	48.4	32.0	31.2	36.8	-13.200000000000003	75411	True
sivapurana_vayaviyasamhita_au	Vā	88.1	85.7	88.9	75.2	75.2	80.8	-12.899999999999991	30180	True
markandeyapurana_adhyaya-1-80_u	Mā1	42.9	38.9	46.8	31.2	30.4	35.2	-11.7	26794	True
skandamahapurana_himavatkhanda	Hm	51.6	46.8	56.3	40.8	40.0	45.6	-10.800000000000004	19730	True
kurmapurana_khanda-1_u	K1	68.3	65.1	77.0	57.6	56.8	64.0	-10.699999999999996	17386	True
sivapurana_dharmasamhita	Dh	60.3	57.1	63.5	49.6	48.0	52.0	-10.699999999999996	27878	True
bhagavatapurana_skandha-11_u	Bh11	75.4	66.2	84.1	64.8	64.0	72.8	-10.600000000000009	12864	False
mahabharata_03-aranyakaparvan	MBh3	14.3	13.5	15.9	4.0	2.4	6.4	-10.3	90122	True
sivapurana_rudrasamhita	Ru	32.5	31.7	34.9	22.4	21.6	26.4	-10.100000000000001	80914	True
markandeyapurana	Mā	34.9	31.7	37.3	24.8	22.4	28.0	-10.099999999999998	44018	True
kalikapurana	Kā	63.5	59.5	65.1	53.6	52.0	60.0	-9.899999999999999	74038	False
brahmandapurana	Bḍ	53.2	50.0	55.6	44.0	43.2	50.4	-9.200000000000003	56028	False
garudapurana_khanda-3_u	G3	91.3	88.9	95.2	82.4	80.8	86.4	-8.899999999999991	25512	True
lingapurana_khanda-2_u	L2	89.7	88.9	94.4	81.6	80.0	86.4	-8.100000000000009	19056	True
naradapurana_khanda-1_u	N1	94.4	93.7	96.8	86.4	85.6	88.8	-8.0	107130	True
skandapurana	SP	26.2	22.2	27.8	18.4	17.6	21.6	-7.800000000000001	78281	True
sivapurana_sanatkumarasamhita	Sn	78.6	69.8	84.1	71.2	67.2	75.2	-7.3999999999999915	19427	False
vayupurana_10_gaya-mahatmya_iast	V10	81.7	67.0	86.5	74.4	75.2	86.4	-7.299999999999997	4780	False
ramayana_03-aranyakanda_a	R3	12.7	10.3	14.3	5.6	4.0	9.6	-7.1	19816	True
brahmandapurana_khanda-2_u	Bḍ2	34.9	31.7	37.3	28.0	26.8	32.8	-6.899999999999999	23124	False
visnupurana_amsa-3_u	Vi3	84.9	77.0	87.3	78.4	78.4	88.8	-6.5	4756	False
skandamahapurana_sutasamhita_khanda-4	Sū	98.4	97.6	100.0	92.0	91.2	95.2	-6.400000000000006	20612	True
mahabharata_14-asvamedhikaparvan	MBh14	18.3	15.9	19.8	12.0	9.6	16.8	-6.300000000000001	24006	False
markandeyapurana_adhyaya-94-141_u	Mā9	24.6	21.4	27.8	18.4	16.8	24.4	-6.200000000000003	12398	False
harivamsa	HV	19.0	19.0	20.6	12.8	10.4	16.8	-6.199999999999999	35339	True
mahabharata_13-anusasanaparvan	MBh13	36.5	31.7	38.1	30.4	26.4	31.2	-6.100000000000001	51657	True
garudapurana_khanda-1_u	G1	89.7	88.9	92.1	84.0	80.8	84.8	-5.700000000000003	63853	True
sivapurana_karvanamahatmya_au	Kv	84.9	66.7	88.1	79.2	80.0	90.4	-5.700000000000003	2167	False
pranavakalpa	Pk	96.8	93.7	96.8	91.2	91.2	95.2	-5.599999999999994	15693	False
sivadharmasastra	ŚDh	100.0	97.6	100.0	94.4	95.2	99.2	-5.599999999999994	6210	False
sivapurana_umasamhita	U	65.9	63.5	69.8	60.8	58.4	64.0	-5.1000000000000085	15381	False
sivadharmottara	ŚDhU	98.4	96.8	100.0	93.6	93.6	98.4	-4.800000000000011	6111	False
ramayana_02-ayodhyakanda_a	R2	5.6	3.2	7.9	0.8	0.0	2.4	-4.8	29349	True
mahabharata_01-adiparvan	MBh1	10.3	7.5	13.5	5.6	4.0	7.2	-4.700000000000001	63171	True
ramayana_04-kiskindhakanda	R4	11.9	7.1	13.5	7.2	6.4	10.4	-4.7	17542	False
bhagavatapurana_skandha-07_u	Bh7	54.8	46.8	61.1	50.4	51.2	64.0	-4.399999999999999	7247	False
matsyapurana_pu	Mt	60.3	57.9	63.5	56.0	52.0	60.8	-4.299999999999997	52429	False
agnipurana_u	A	92.1	89.3	94.4	88.0	85.6	88.8	-4.099999999999994	91768	True
sivapurana_vidyesvarasamhita_au	Vy	100.0	100.0	100.0	96.0	95.2	99.2	-4.0	14686	True
mahabharata_12-santiparvan	MBh12	29.4	28.6	31.7	26.4	24.8	29.3	-3.0	104812	False
ramayana_07-uttarakanda	R7	4.8	2.4	7.1	2.4	0.8	4.0	-2.4	21833	False
ramayana_05-sundarakanda	R5	15.9	14.3	18.3	13.6	10.4	16.8	-2.3000000000000007	23653	False
visnupurana_amsa-1_u	Vi1	47.6	43.7	54.8	45.6	46.8	60.0	-2.0	6267	False
