unit	est	lo	hi	tokens	lines
agnipurana_u	87.2	86.0	90.0	544996	1918
bhagavatapurana_skandha-01_u	32.8	27.2	39.2	44575	1077
bhagavatapurana_skandha-02_u	62.4	47.6	73.6	22468	546
bhagavatapurana_skandha-03_u	50.4	45.6	62.4	79055	1898
bhagavatapurana_skandha-04_u	39.2	37.6	44.8	80594	1924
bhagavatapurana_skandha-05_u	46.4	38.4	58.0	56071	525
bhagavatapurana_skandha-06_u	42.4	39.2	51.2	48089	1176
bhagavatapurana_skandha-07_u	56.8	45.6	68.8	41025	1036
bhagavatapurana_skandha-08_u	38.4	37.6	42.8	52509	1283
bhagavatapurana_skandha-09_u	29.6	27.2	36.8	50010	1268
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	60.8	47.2	71.2	39901	431
bhagavatapurana_skandha-10_u	30.4	27.2	33.6	232014	1979
bhagavatapurana_skandha-11_u	63.2	57.2	71.2	72617	1864
bhagavatapurana_skandha-12_u	59.2	46.4	70.4	30848	785
bhavisyapurana	60.0	56.8	61.6	1223375	1916
brahmandapurana	42.4	38.4	45.6	330610	1681
brahmandapurana_khanda-1_u	87.2	81.6	93.6	23784	635
brahmandapurana_khanda-2_u	27.2	24.8	32.8	135157	1706
brahmandapurana_khanda-3_u	61.6	58.4	68.8	201475	1686
brahmapurana_pu	44.8	40.4	47.2	426335	1948
devibhagavatapurana	41.6	40.0	46.0	1013058	1873
devibhagavatapurana_devigita_adhyaya-31-40	92.8	91.2	98.0	25297	641
devipurana	79.2	76.0	80.8	233411	1918
garudapurana_khanda-1_u	80.0	79.2	81.6	364251	1817
garudapurana_khanda-2_u	76.0	74.4	81.6	131868	1683
garudapurana_khanda-3_u	84.8	80.8	87.2	138019	1480
harivamsa	19.2	19.2	21.6	206422	1770
harivamsa_appendix-29-30_mathura	20.0	19.2	23.2	111626	1506
harivamsa_appendix-31	23.2	22.4	24.8	87880	1151
harivamsa_appendix-41	55.2	47.2	74.4	37626	956
harivamsa_appendix-42_pradurbhava	21.6	20.8	25.6	65759	1803
kalikapurana	64.8	60.0	68.0	429178	1838
karatoyamahatmya_pu	98.4	95.2	98.4	4886	117
kirfel_ppl_textgruppe_IIA_col1	94.4	89.2	96.0	27926	658
kirfel_ppl_textgruppe_IIB_col1	89.6	84.8	92.0	78256	1886
kirfel_ppl_textgruppe_III_col1	74.4	64.8	84.8	16364	401
kirfel_ppl_textgruppe_II_col1	32.8	27.2	39.2	46427	1121
kirfel_ppl_textgruppe_I_col1	24.8	24.0	30.4	130314	1578
kirfel_ppl_textgruppe_Ia_col1	67.2	59.2	78.0	31907	772
kirfel_ppl_ungrouped_col1	24.8	24.0	27.2	71880	1735
kurmapurana_khanda-1_u	69.6	66.0	74.4	105348	1398
kurmapurana_khanda-2_u	88.0	84.0	91.2	80929	1057
lingapurana_khanda-1_u	76.0	72.8	80.0	186654	1586
lingapurana_khanda-2_u	83.2	80.8	86.8	112392	1359
mahabharata_01-adiparvan	16.8	16.0	17.6	367933	1906
mahabharata_02-appendix-21_sisupala	17.6	14.4	21.6	25298	679
mahabharata_02-sabhaparvan	4.8	2.4	6.4	137084	1737
mahabharata_03-aranyakaparvan	14.4	12.8	16.0	524433	1906
mahabharata_04-virataparvan	4.8	2.4	6.4	108336	1370
mahabharata_05-udyogaparvan	12.0	11.2	16.0	351698	1726
mahabharata_06-bhismaparvan	4.0	2.4	6.4	278863	1737
mahabharata_07-appendix-08_sodasarajika	20.0	19.2	24.8	24062	635
mahabharata_07-dronaparvan	2.4	2.4	4.8	450708	1877
mahabharata_08-karnaparvan	1.6	1.6	4.0	231278	1829
mahabharata_09-salyaparvan	2.4	0.8	4.8	174960	1465
mahabharata_10-sauptikaparvan	8.8	7.2	12.8	41918	1062
mahabharata_11-striparvan	8.0	4.0	11.2	41610	1071
mahabharata_12-appendix-29_moksadharma	52.0	38.4	66.4	36033	802
mahabharata_12-santiparvan	36.0	33.2	37.6	600340	1909
mahabharata_13-anusasanaparvan	30.4	27.2	33.6	293255	1888
mahabharata_13-appendix-15_umamahesvara	72.0	69.6	74.4	114977	1566
mahabharata_14-appendix-04_vaisnavadharma	68.8	61.2	72.8	70663	1846
mahabharata_14-asvamedhikaparvan	21.6	20.0	24.0	138618	1767
mahabharata_15-asramavasikaparvan	6.4	4.0	9.6	60781	1555
mahabharata_16-mausalaparvan	7.2	3.2	12.8	15853	385
mahabharata_17-mahaprasthanikaparvan	0.8	0.8	3.2	5749	147
mahabharata_18-svargarohanaparvan	8.0	2.4	18.4	9846	252
markandeyapurana	31.2	28.0	35.2	245884	1655
markandeyapurana_adhyaya-1-80_u	36.8	34.0	37.6	149457	1337
markandeyapurana_adhyaya-81-93_devimahatmya_u	26.4	24.8	36.0	26803	734
markandeyapurana_adhyaya-94-141_u	23.2	20.0	24.8	69620	1875
matsyapurana_pu	53.6	49.6	62.4	304802	1967
naradapurana_khanda-1_u	86.4	86.4	88.0	619961	1904
naradapurana_khanda-2_u	48.8	44.0	58.4	126197	1562
nilamatapurana_au	48.8	42.4	60.8	73353	1936
nrsimhapurana_pu	33.6	29.6	36.8	165277	1353
padmapurana_a	44.0	40.8	46.4	2126477	1954
pranavakalpa	97.6	96.0	97.6	98087	1226
ramayana_01-balakanda	10.4	8.8	15.2	87563	1105
ramayana_02-ayodhyakanda_a	14.4	11.2	16.8	168948	1393
ramayana_03-aranyakanda_a	12.8	11.2	17.6	115750	1441
ramayana_04-kiskindhakanda	15.2	12.8	16.8	102961	1281
ramayana_05-sundarakanda	12.0	10.4	16.0	137946	1690
ramayana_06-yuddhakanda	10.4	9.6	11.2	230633	1885
ramayana_07-uttarakanda	17.6	16.8	18.4	125796	1575
saurapurana	68.0	60.8	71.2	147781	1885
sivadharmasastra	95.2	90.4	97.6	36278	916
sivadharmottara	88.8	82.8	92.8	36569	862
sivapurana_dharmasamhita	44.0	38.4	48.0	173684	1371
sivapurana_karvanamahatmya_au	74.4	62.8	87.2	12515	336
sivapurana_rudrasamhita	48.0	44.8	54.4	454267	1975
sivapurana_sanatkumarasamhita	76.8	72.0	80.0	120247	1552
sivapurana_satarudrasamhita_au	54.4	46.4	74.4	31847	881
sivapurana_umasamhita	71.2	66.4	76.0	94702	1296
sivapurana_vayaviyasamhita_au	82.4	81.6	86.4	174554	1479
sivapurana_vidyesvarasamhita_au	96.0	92.0	96.8	83069	1036
skandamahapurana_himavatkhanda	53.6	46.0	60.0	114433	1449
skandamahapurana_kasikhanda	72.8	72.8	77.6	687146	1862
skandamahapurana_revakhanda	56.8	48.8	62.4	220984	1967
skandamahapurana_sutasamhita_khanda-4	96.8	95.2	96.8	119470	1500
skandapurana	28.0	25.6	32.0	444567	1841
skandapurana_adhyaya-1-31_pu	36.8	36.0	41.6	48253	1218
skandapurana_pasupata_adhyaya174-183_u	99.2	97.6	99.2	17492	434
vamanapurana_saromahatmya_u	64.0	50.4	74.4	30410	774
vamanapurana_u	34.4	32.0	36.8	242448	1907
vayupurana	80.8	79.2	84.8	124594	1640
vayupurana_01_frame-and-cosmogony_iast	96.8	81.6	100.0	5850	142
vayupurana_02_pashupata-yoga_iast	100.0	98.4	100.0	7281	175
vayupurana_03_kalpas-and-shiva-lineages_iast	84.0	78.4	91.2	19614	514
vayupurana_04_bhuvana-vinyasa_iast	66.4	52.8	71.2	30614	794
vayupurana_05_jyotis-and-purvardha-close_iast	92.8	81.6	96.0	3856	117
vayupurana_06_prthu-and-prajapati-lineages_iast	91.2	78.4	98.4	8282	226
vayupurana_07_shraddha-kalpa_iast	83.2	70.4	96.0	5233	139
vayupurana_08_manu-candra-vishnu-vamsha_iast	46.4	32.0	76.0	6430	224
vayupurana_09_upasamhara_iast	80.0	68.0	90.4	9449	259
vayupurana_10_gaya-mahatmya_iast	91.2	84.8	96.0	27967	690
vayupurana_revakhanda	50.4	44.8	58.4	258893	1716
visnudharma_pu	51.2	47.2	63.2	122394	1501
visnudharmottarapurana_khanda-3_adhyaya-343-353_pu	58.4	39.6	74.4	13095	438
visnupurana_amsa-1_u	58.4	45.2	71.2	35468	992
visnupurana_amsa-2_u	77.6	66.4	89.6	9186	261
visnupurana_amsa-3_u	70.4	60.0	80.0	27026	675
visnupurana_amsa-4_u	26.4	24.8	34.4	52873	850
visnupurana_amsa-5_u	39.2	34.8	60.8	15582	475
visnupurana_amsa-6_u	66.4	38.8	88.0	5445	144
visnupurana_u	40.0	38.4	46.4	145590	1699
