unit	est	lo	hi	tokens	lines
agnipurana_u	88.9	87.3	88.9	652105	1786
bhagavatapurana_skandha-01_u	25.4	23.0	30.2	48643	1180
bhagavatapurana_skandha-02_u	50.0	41.3	65.1	23606	574
bhagavatapurana_skandha-03_u	46.0	42.9	51.6	84536	1018
bhagavatapurana_skandha-04_u	37.3	34.1	41.3	85412	1022
bhagavatapurana_skandha-05_u	42.9	38.1	49.2	60278	599
bhagavatapurana_skandha-06_u	40.5	35.7	46.0	52480	1288
bhagavatapurana_skandha-07_u	45.2	41.3	56.0	44167	1115
bhagavatapurana_skandha-08_u	34.1	29.4	38.1	56554	1385
bhagavatapurana_skandha-09_u	27.0	24.6	31.7	56718	1436
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	58.7	46.0	66.7	40060	435
bhagavatapurana_skandha-10_u	24.6	23.8	28.6	248760	1591
bhagavatapurana_skandha-11_u	59.5	51.6	65.1	79390	1016
bhagavatapurana_skandha-12_u	51.6	45.2	63.1	34794	884
bhavisyapurana	65.1	64.3	67.5	1615559	1927
brahmandapurana	61.9	59.5	63.5	765560	1922
brahmandapurana_khanda-1_u	82.5	81.0	85.7	225342	1876
brahmandapurana_khanda-2_u	39.7	36.5	40.5	342640	1720
brahmandapurana_khanda-3_u	69.0	66.7	75.4	255717	1602
brahmapurana_pu	43.7	40.5	46.0	816964	1956
devibhagavatapurana	46.8	43.7	49.2	1166932	1880
devibhagavatapurana_devigita_adhyaya-31-40	92.1	88.1	96.8	28455	720
devipurana	81.7	77.8	83.3	268394	1658
garudapurana_khanda-1_u	80.2	77.8	81.7	467994	1938
garudapurana_khanda-2_u	78.6	77.0	81.0	166282	1409
garudapurana_khanda-3_u	85.7	81.0	88.1	143890	1553
harivamsa	19.0	19.0	22.2	359238	1833
harivamsa_appendix-29-30_mathura	19.8	19.0	23.0	122590	1646
harivamsa_appendix-31	23.0	19.8	24.6	100405	1310
harivamsa_appendix-41	52.4	46.8	64.3	54023	1368
harivamsa_appendix-42_pradurbhava	22.2	19.0	24.6	117360	1552
kalikapurana	64.3	61.1	65.9	505432	1849
karatoyamahatmya_pu	95.2	88.1	98.4	5809	140
kirfel_ppl_textgruppe_IIA_col1	96.8	92.1	98.8	27926	658
kirfel_ppl_textgruppe_IIB_col1	93.7	91.3	96.4	78256	1886
kirfel_ppl_textgruppe_III_col1	76.2	61.9	87.3	16364	401
kirfel_ppl_textgruppe_II_col1	32.5	28.2	38.9	46427	1121
kirfel_ppl_textgruppe_I_col1	29.4	25.8	34.1	130314	1578
kirfel_ppl_textgruppe_Ia_col1	67.5	58.7	78.6	31907	772
kirfel_ppl_ungrouped_col1	27.0	24.6	31.7	71880	1735
kurmapurana_khanda-1_u	65.9	62.7	68.3	192680	1662
kurmapurana_khanda-2_u	90.5	89.3	92.9	156275	1335
lingapurana_khanda-1_u	74.6	67.5	77.8	402292	1688
lingapurana_khanda-2_u	87.3	83.3	88.9	141726	1728
mahabharata_01-adiparvan	17.5	15.9	19.0	441972	1889
mahabharata_02-appendix-21_sisupala	17.5	15.1	19.5	47304	1238
mahabharata_02-sabhaparvan	6.3	3.2	7.9	150302	1904
mahabharata_03-aranyakaparvan	15.1	15.1	18.3	627500	1992
mahabharata_04-virataparvan	4.8	3.2	7.9	116557	1474
mahabharata_05-udyogaparvan	14.3	13.1	15.1	376933	1854
mahabharata_06-bhismaparvan	6.3	4.8	7.1	330739	1650
mahabharata_07-appendix-08_sodasarajika	20.6	19.8	26.2	27036	710
mahabharata_07-dronaparvan	1.6	0.8	2.4	488708	1744
mahabharata_08-karnaparvan	1.6	1.6	3.2	246779	1958
mahabharata_09-salyaparvan	4.0	2.4	6.3	202398	1696
mahabharata_10-sauptikaparvan	10.3	7.1	15.5	45299	1147
mahabharata_11-striparvan	7.9	4.0	11.9	44795	1152
mahabharata_12-appendix-29_moksadharma	61.9	48.4	74.6	38813	874
mahabharata_12-santiparvan	38.9	38.1	41.3	738584	1872
mahabharata_13-anusasanaparvan	34.9	34.1	37.3	387096	1979
mahabharata_13-appendix-15_umamahesvara	80.2	77.0	81.0	131895	1779
mahabharata_14-appendix-04_vaisnavadharma	75.4	66.7	79.4	95541	1235
mahabharata_14-asvamedhikaparvan	23.8	21.4	27.4	157429	1337
mahabharata_15-asramavasikaparvan	5.6	4.0	8.7	64916	1660
mahabharata_16-mausalaparvan	3.2	1.6	9.5	17423	425
mahabharata_17-mahaprasthanikaparvan	0.8	0.8	1.6	6020	154
mahabharata_18-svargarohanaparvan	11.1	2.4	19.0	11222	286
markandeyapurana	38.1	35.7	40.5	354092	1865
markandeyapurana_adhyaya-1-80_u	42.1	39.7	46.8	228983	2000
markandeyapurana_adhyaya-81-93_devimahatmya_u	33.3	27.4	39.7	34612	935
markandeyapurana_adhyaya-94-141_u	24.6	23.0	28.6	90493	1196
matsyapurana_pu	53.2	48.4	56.3	768971	1935
naradapurana_khanda-1_u	86.5	83.3	87.3	779646	1920
naradapurana_khanda-2_u	57.1	50.8	63.5	146756	1821
