unit	est	lo	hi	tokens	lines
agnipurana_u	88.0	86.4	88.8	91760	1912
bhagavatapurana_skandha-01_u	48.8	47.6	56.8	7558	473
bhagavatapurana_skandha-02_u	84.0	84.8	88.8	3875	243
bhagavatapurana_skandha-03_u	58.4	56.8	64.0	13740	859
bhagavatapurana_skandha-04_u	48.0	44.0	52.0	14031	877
bhagavatapurana_skandha-05_u	74.4	72.8	80.8	9252	579
bhagavatapurana_skandha-06_u	44.8	44.8	56.8	8389	525
bhagavatapurana_skandha-07_u	51.2	51.2	64.0	7247	453
bhagavatapurana_skandha-08_u	42.4	42.4	52.0	9037	565
bhagavatapurana_skandha-09_u	34.4	33.6	42.4	8496	531
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	72.0	70.8	79.6	6870	430
bhagavatapurana_skandha-10_u	36.0	33.6	37.6	40850	1277
bhagavatapurana_skandha-11_u	64.8	64.0	72.8	12864	804
bhagavatapurana_skandha-12_u	71.2	71.2	84.0	5347	335
bhavisyapurana	47.2	43.2	50.4	211387	1888
brahmandapurana	44.8	43.2	50.4	56028	1751
brahmandapurana_khanda-1_u	80.0	80.8	88.8	4098	257
brahmandapurana_khanda-2_u	28.0	26.8	32.8	23124	1446
brahmandapurana_khanda-3_u	64.0	62.4	64.8	33709	1054
brahmapurana_pu	32.0	31.2	36.8	75411	1572
devibhagavatapurana	27.2	26.4	30.4	178378	1859
devibhagavatapurana_devigita_adhyaya-31-40	90.4	88.8	95.2	4526	283
devipurana	69.6	65.6	74.4	38835	1214
garudapurana_khanda-1_u	84.0	80.8	84.8	63142	1974
garudapurana_khanda-2_u	70.4	65.6	75.2	23463	1467
garudapurana_khanda-3_u	82.4	80.0	86.4	25425	1590
harivamsa	12.0	10.4	16.8	35339	1105
harivamsa_appendix-29-30_mathura	23.2	22.4	30.4	19078	1193
harivamsa_appendix-31	20.8	18.4	24.8	15263	954
harivamsa_appendix-41	60.8	60.4	65.6	6262	392
harivamsa_appendix-42_pradurbhava	36.0	33.6	42.4	10991	687
kalikapurana	53.6	52.0	60.0	74038	1543
karatoyamahatmya_pu	100.0	100.0	100.0	845	53
kirfel_ppl_textgruppe_IIA_col1	84.8	85.6	90.4	4868	305
kirfel_ppl_textgruppe_IIB_col1	79.2	76.4	85.6	13668	855
kirfel_ppl_textgruppe_III_col1	87.2	86.8	94.4	2819	177
kirfel_ppl_textgruppe_II_col1	44.0	43.2	56.8	7899	494
kirfel_ppl_textgruppe_I_col1	31.2	31.2	37.6	22022	1377
kirfel_ppl_textgruppe_Ia_col1	64.8	64.8	76.8	5654	354
kirfel_ppl_ungrouped_col1	34.4	33.6	42.0	12262	767
kurmapurana_khanda-1_u	57.6	56.8	64.0	17386	1087
kurmapurana_khanda-2_u	76.8	76.0	85.6	13784	862
lingapurana_khanda-1_u	68.0	64.8	75.2	32408	1013
lingapurana_khanda-2_u	81.6	79.2	86.4	19056	1191
mahabharata_01-adiparvan	5.6	4.0	7.2	63171	1975
mahabharata_02-appendix-21_sisupala	16.8	16.8	30.4	4319	270
mahabharata_02-sabhaparvan	16.8	16.0	16.8	23218	1452
mahabharata_03-aranyakaparvan	4.0	2.4	6.4	90122	1878
mahabharata_04-virataparvan	9.6	8.0	16.0	18288	1143
mahabharata_05-udyogaparvan	14.4	11.6	16.8	59871	1871
mahabharata_06-bhismaparvan	14.4	11.2	16.8	46323	1448
mahabharata_07-appendix-08_sodasarajika	27.2	27.6	39.2	4171	261
mahabharata_07-dronaparvan	11.2	9.6	16.0	74729	1557
mahabharata_08-karnaparvan	8.8	7.2	12.0	38944	1217
mahabharata_09-salyaparvan	3.2	2.4	7.2	29536	1846
mahabharata_10-sauptikaparvan	10.4	9.2	16.8	7144	447
mahabharata_11-striparvan	16.0	13.6	20.4	7051	441
mahabharata_12-appendix-29_moksadharma	56.8	52.8	65.6	6223	389
mahabharata_12-santiparvan	25.6	24.8	29.2	104812	1638
mahabharata_13-anusasanaparvan	29.6	26.4	31.2	51657	1615
mahabharata_13-appendix-15_umamahesvara	66.4	65.2	75.2	20042	1253
mahabharata_14-appendix-04_vaisnavadharma	73.6	72.8	80.0	12641	791
mahabharata_14-asvamedhikaparvan	11.2	9.6	16.8	24006	1501
mahabharata_15-asramavasikaparvan	4.0	4.0	10.4	10674	668
mahabharata_16-mausalaparvan	20.0	20.0	33.6	2698	169
mahabharata_17-mahaprasthanikaparvan	22.4	22.4	43.2	1004	63
mahabharata_18-svargarohanaparvan	25.6	26.8	42.4	1708	107
markandeyapurana	24.0	22.4	28.0	44018	1376
markandeyapurana_adhyaya-1-80_u	31.2	30.4	35.2	26794	1675
markandeyapurana_adhyaya-81-93_devimahatmya_u	40.0	41.6	52.0	4826	302
markandeyapurana_adhyaya-94-141_u	17.6	16.8	24.0	12398	775
matsyapurana_pu	56.0	52.0	60.8	52429	1639
naradapurana_khanda-1_u	86.4	85.6	88.8	107130	1674
naradapurana_khanda-2_u	38.4	37.6	42.4	22236	1390
nilamatapurana_au	60.8	57.2	64.8	12271	767
nrsimhapurana_pu	21.6	20.0	24.8	28647	1791
padmapurana_a	32.8	31.2	35.2	344712	1959
