unit	est	lo	hi	tokens	lines
agnipurana_u	92.1	89.3	94.4	109702	1715
bhagavatapurana_skandha-01_u	42.1	37.3	47.6	8223	514
bhagavatapurana_skandha-02_u	81.0	66.7	85.7	4065	255
bhagavatapurana_skandha-03_u	58.7	54.8	63.9	14668	917
bhagavatapurana_skandha-04_u	46.0	41.3	52.4	14853	929
bhagavatapurana_skandha-05_u	65.9	61.1	69.0	10029	627
bhagavatapurana_skandha-06_u	45.2	38.9	51.6	9118	570
bhagavatapurana_skandha-07_u	54.8	46.8	61.1	7763	486
bhagavatapurana_skandha-08_u	42.1	37.3	47.6	9674	605
bhagavatapurana_skandha-09_u	28.6	27.8	34.9	9595	600
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	57.9	52.4	62.7	6892	431
bhagavatapurana_skandha-10_u	31.7	31.0	34.9	43653	1365
bhagavatapurana_skandha-11_u	75.4	66.2	84.1	14006	876
bhagavatapurana_skandha-12_u	69.8	64.3	84.1	6024	377
bhavisyapurana	69.8	66.7	73.8	278151	1932
brahmandapurana	53.2	50.0	55.6	130370	1630
brahmandapurana_khanda-1_u	65.1	61.9	66.7	38667	1209
brahmandapurana_khanda-2_u	34.9	31.7	37.3	58466	1828
brahmandapurana_khanda-3_u	63.5	61.1	65.1	42995	1344
brahmapurana_pu	45.2	43.7	48.4	142373	1780
devibhagavatapurana	40.5	38.9	43.7	204479	1826
devibhagavatapurana_devigita_adhyaya-31-40	90.5	88.9	96.8	5062	317
devipurana	85.7	85.7	88.9	44581	1394
garudapurana_khanda-1_u	89.7	88.9	92.1	81106	1690
garudapurana_khanda-2_u	87.3	85.7	88.9	29625	1852
garudapurana_khanda-3_u	91.3	88.9	95.2	26514	1658
harivamsa	19.0	19.0	20.6	59806	1869
harivamsa_appendix-29-30_mathura	22.2	21.4	26.2	20906	1307
harivamsa_appendix-31	21.4	19.8	21.4	17338	1084
harivamsa_appendix-41	43.7	38.1	50.0	8832	552
harivamsa_appendix-42_pradurbhava	27.0	22.2	27.8	19232	1202
kalikapurana	63.5	59.5	65.1	87009	1813
karatoyamahatmya_pu	97.6	88.9	99.2	997	63
kirfel_ppl_textgruppe_IIA_col1	78.6	65.9	85.7	4868	305
kirfel_ppl_textgruppe_IIB_col1	72.2	65.9	81.7	13668	855
