text	x	y
agnipurana_u	0.521926	-0.093746
bhagavatapurana_skandha-01_u	-0.057072	-0.516103
bhagavatapurana_skandha-02_u	0.215625	-0.713562
bhagavatapurana_skandha-03_u	0.073185	-0.477905
bhagavatapurana_skandha-04_u	-0.009707	-0.487858
bhagavatapurana_skandha-05_u	0.266459	-0.424454
bhagavatapurana_skandha-06_u	-0.026292	-0.436471
bhagavatapurana_skandha-07_u	0.012078	-0.593501
bhagavatapurana_skandha-08_u	-0.066528	-0.428023
bhagavatapurana_skandha-09_u	0.010135	-0.321434
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary	0.211437	-0.570343
bhagavatapurana_skandha-10_u	-0.063963	-0.485854
bhagavatapurana_skandha-11_u	0.032644	-0.662457
bhagavatapurana_skandha-12_u	0.291614	-0.401281
bhavisyapurana	0.209905	0.085879
brahmandapurana	0.189456	0.299981
brahmandapurana_khanda-1_u	0.288203	0.515676
brahmandapurana_khanda-2_u	0.012480	0.299576
brahmandapurana_khanda-3_u	0.310969	0.080024
brahmapurana_pu	-0.083619	0.105806
devibhagavatapurana	-0.114067	-0.066155
devibhagavatapurana_devigita_adhyaya-31-40	0.268406	-0.289783
devipurana	0.397622	0.014196
garudapurana_khanda-1_u	0.594060	-0.058101
garudapurana_khanda-2_u	0.238837	-0.012786
garudapurana_khanda-3_u	0.413409	0.100907
kalikapurana	0.045631	0.041569
karatoyamahatmya_pu	0.804759	-0.297396
kurmapurana_khanda-1_u	0.215229	0.059918
kurmapurana_khanda-2_u	0.462489	-0.060707
lingapurana_khanda-1_u	0.287730	0.290323
lingapurana_khanda-2_u	0.453059	0.054222
mahabharata_01-adiparvan	-0.567011	0.080987
mahabharata_02-sabhaparvan	-0.582743	0.001581
mahabharata_03-aranyakaparvan	-0.603953	0.043600
mahabharata_04-virataparvan	-0.577465	-0.034685
mahabharata_05-udyogaparvan	-0.501919	-0.052462
mahabharata_06-bhismaparvan	-0.364114	-0.002893
mahabharata_07-dronaparvan	-0.419299	-0.015508
mahabharata_08-karnaparvan	-0.424882	-0.039537
mahabharata_09-salyaparvan	-0.484821	0.198885
mahabharata_10-sauptikaparvan	-0.476522	0.052351
mahabharata_11-striparvan	-0.476401	-0.122364
mahabharata_12-santiparvan	-0.213618	-0.084497
mahabharata_13-anusasanaparvan	-0.167781	0.036503
mahabharata_14-asvamedhikaparvan	-0.542946	0.067553
mahabharata_15-asramavasikaparvan	-0.717342	0.091078
mahabharata_16-mausalaparvan	-0.582325	0.235081
mahabharata_17-mahaprasthanikaparvan	-0.662156	-0.069937
mahabharata_18-svargarohanaparvan	-0.615631	0.111012
markandeyapurana_adhyaya-1-93_u	-0.143510	0.018603
matsyapurana_adhyaya-1-176_pu	0.037698	0.166572
naradapurana_khanda-1_u	0.419468	-0.116737
naradapurana_khanda-2_u	-0.080559	-0.233698
nilamatapurana_au	0.063022	0.237416
nrsimhapurana_pu	-0.174581	-0.008313
padmapurana_a	-0.026349	-0.054821
pranavakalpa	0.653523	-0.428552
ramayana_01-balakanda	-0.570679	0.183066
ramayana_02-ayodhyakanda_a	-0.664193	-0.084484
ramayana_03-aranyakanda_a	-0.558051	-0.106681
ramayana_04-kiskindhakanda	-0.592335	0.000695
ramayana_05-sundarakanda	-0.532194	-0.133940
ramayana_06-yuddhakanda	-0.491438	0.013555
ramayana_07-uttarakanda	-0.668447	0.147386
saurapurana	0.205982	-0.049610
sivapurana_dharmasamhita	0.159377	0.001437
sivapurana_karvanamahatmya_au	0.071617	-0.019827
sivapurana_rudrasamhita	-0.165844	0.050453
sivapurana_sanatkumarasamhita	0.295150	0.017864
sivapurana_satarudrasamhita_au	-0.169131	-0.075134
sivapurana_umasamhita	0.245427	0.129156
sivapurana_vayaviyasamhita_au	0.299005	-0.023602
sivapurana_vidyesvarasamhita_au	0.787289	-0.065181
skandamahapurana_himavatkhanda	0.135113	0.059071
skandamahapurana_kasikhanda	0.209256	-0.268853
skandamahapurana_revakhanda	0.019369	0.118870
skandamahapurana_sutasamhita_khanda-4	0.503441	-0.068520
skandapurana	-0.319397	0.207247
skandapurana_adhyaya-1-31_pu	-0.263493	0.218729
skandapurana_pasupata_adhyaya174-183_u	0.478345	-0.014485
vamanapurana_saromahatmya_u	-0.022549	0.156535
vamanapurana_u	-0.162918	0.073857
vayu_ba	0.200537	0.514268
vayupurana	0.218880	0.455759
vayupurana_01_frame-and-cosmogony_iast	0.294127	0.544518
vayupurana_02_pashupata-yoga_iast	0.722211	0.199359
vayupurana_03_kalpas-and-shiva-lineages_iast	0.053786	0.433047
vayupurana_04_bhuvana-vinyasa_iast	0.439902	0.398419
vayupurana_05_jyotis-and-purvardha-close_iast	0.356609	0.542952
vayupurana_06_prthu-and-prajapati-lineages_iast	0.236344	0.589724
vayupurana_07_shraddha-kalpa_iast	0.514808	0.419614
vayupurana_08_manu-candra-vishnu-vamsha_iast	-0.074053	0.548724
vayupurana_09_upasamhara_iast	0.335945	0.414001
vayupurana_10_gaya-mahatmya_iast	0.176268	0.063654
vayupurana_revakhanda	0.034318	0.037938
visnudharma_pu	0.029284	-0.169438
visnudharmottarapurana_khanda-3_adhyaya-343-353_pu	0.038822	-0.010069
visnupurana_u	0.019622	-0.077447
