a	b	containment	matched_a	matched_b	units_a	units_b
devibhagavatapurana	devibhagavatapurana_devigita_adhyaya-31-40	1.18407	862	676	28831	728
vayupurana	vayupurana_09_upasamhara_iast	1.07330	1391	1296	15778	1296
vayupurana	vayupurana_02_pashupata-yoga_iast	1.07111	482	450	15778	450
vayupurana	vayupurana_03_kalpas-and-shiva-lineages_iast	1.05582	2005	1899	15778	1899
vayupurana	vayupurana_01_frame-and-cosmogony_iast	1.05576	1458	1381	15778	1381
vayupurana	vayupurana_05_jyotis-and-purvardha-close_iast	1.04271	2124	2037	15778	2037
vayupurana	vayupurana_06_prthu-and-prajapati-lineages_iast	1.03490	2046	1977	15778	1977
vayupurana	vayupurana_08_manu-candra-vishnu-vamsha_iast	1.02761	2866	2789	15778	2789
vayupurana	vayupurana_04_bhuvana-vinyasa_iast	1.02673	1690	1646	15778	1646
vayupurana	vayupurana_07_shraddha-kalpa_iast	1.01756	1449	1424	15778	1424
vayupurana	vayupurana_10_gaya-mahatmya_iast	1.01538	924	910	15778	910
vayu_ba	vayupurana	1.00563	9763	9818	9763	15778
skandapurana	skandapurana_pasupata_adhyaya174-183_u	1.00292	688	686	14008	686
skandapurana	skandapurana_adhyaya-1-31_pu	0.97239	2219	2185	14008	2282
brahmandapurana	brahmandapurana_khanda-1_u	0.94926	5276	5229	18962	5558
brahmandapurana	brahmandapurana_khanda-3_u	0.93702	5966	5945	18962	6367
brahmandapurana	brahmandapurana_khanda-2_u	0.93214	7871	7835	18962	8444
vayu_ba	vayupurana_05_jyotis-and-purvardha-close_iast	0.90820	1850	1794	9763	2037
brahmandapurana	vayu_ba	0.85179	8237	8316	18962	9763
vayu_ba	vayupurana_07_shraddha-kalpa_iast	0.83357	1187	1184	9763	1424
brahmandapurana_khanda-1_u	vayupurana_05_jyotis-and-purvardha-close_iast	0.81787	1666	1651	5558	2037
vayu_ba	vayupurana_09_upasamhara_iast	0.81559	1057	1002	9763	1296
