Source,Target,Weight,Type
agnipurana_u,bhavisyapurana,2,undirected
agnipurana_u,devipurana,2,undirected
agnipurana_u,garudapurana_khanda-1_u,20,undirected
agnipurana_u,naradapurana_khanda-1_u,17,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-02_u,1,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-03_u,3,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-04_u,6,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-10_u,13,undirected
bhagavatapurana_skandha-01_u,brahmapurana_pu,1,undirected
bhagavatapurana_skandha-01_u,mahabharata_03-aranyakaparvan,2,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-01_u,1,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-03_u,12,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-04_u,7,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-11_u,2,undirected
bhagavatapurana_skandha-02_u,mahabharata_12-santiparvan,2,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-01_u,3,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-02_u,12,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-04_u,22,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-05_u,6,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,5,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-10_u,14,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-11_u,11,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-12_u,1,undirected
bhagavatapurana_skandha-03_u,mahabharata_12-santiparvan,1,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-01_u,6,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-02_u,7,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-03_u,22,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-05_u,12,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-06_u,1,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-07_u,2,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,2,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-10_u,20,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-11_u,2,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-12_u,3,undirected
bhagavatapurana_skandha-04_u,brahmapurana_pu,1,undirected
bhagavatapurana_skandha-04_u,mahabharata_03-aranyakaparvan,2,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-03_u,6,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-04_u,12,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-10_u,5,undirected
bhagavatapurana_skandha-05_u,mahabharata_12-santiparvan,1,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-04_u,1,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-07_u,10,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-08_u,14,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-09_u,1,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-10_u,5,undirected
bhagavatapurana_skandha-06_u,brahmandapurana,3,undirected
bhagavatapurana_skandha-06_u,brahmapurana_pu,1,undirected
bhagavatapurana_skandha-06_u,matsyapurana_adhyaya-176_pu,6,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-04_u,2,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-06_u,10,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-10_u,10,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-11_u,1,undirected
bhagavatapurana_skandha-07_u,mahabharata_12-santiparvan,2,undirected
bhagavatapurana_skandha-07_u,matsyapurana_adhyaya-176_pu,1,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-06_u,14,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-10_u,9,undirected
bhagavatapurana_skandha-08_u,matsyapurana_adhyaya-176_pu,6,undirected
bhagavatapurana_skandha-08_u,skandapurana,1,undirected
bhagavatapurana_skandha-09_u,bhagavatapurana_skandha-06_u,1,undirected
bhagavatapurana_skandha-09_u,bhagavatapurana_skandha-10_u,4,undirected
bhagavatapurana_skandha-09_u,brahmandapurana_khanda-2_u,10,undirected
bhagavatapurana_skandha-09_u,brahmandapurana,1,undirected
bhagavatapurana_skandha-09_u,matsyapurana_adhyaya-176_pu,8,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,bhagavatapurana_skandha-03_u,5,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,bhagavatapurana_skandha-04_u,2,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,bhagavatapurana_skandha-10_u,12,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,brahmapurana_pu,4,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,mahabharata_03-aranyakaparvan,1,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-01_u,13,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-03_u,14,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-04_u,20,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-05_u,5,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-06_u,5,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-07_u,10,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-08_u,9,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-09_u,4,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,12,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-11_u,4,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-12_u,5,undirected
bhagavatapurana_skandha-10_u,brahmapurana_pu,5,undirected
bhagavatapurana_skandha-10_u,mahabharata_03-aranyakaparvan,2,undirected
bhagavatapurana_skandha-11_u,bhagavatapurana_skandha-02_u,2,undirected
bhagavatapurana_skandha-11_u,bhagavatapurana_skandha-03_u,11,undirected
bhagavatapurana_skandha-11_u,bhagavatapurana_skandha-04_u,2,undirected
bhagavatapurana_skandha-11_u,bhagavatapurana_skandha-07_u,1,undirected
bhagavatapurana_skandha-11_u,bhagavatapurana_skandha-10_u,4,undirected
bhagavatapurana_skandha-11_u,brahmapurana_pu,2,undirected
bhagavatapurana_skandha-11_u,mahabharata_03-aranyakaparvan,1,undirected
bhagavatapurana_skandha-11_u,mahabharata_12-santiparvan,8,undirected
bhagavatapurana_skandha-12_u,bhagavatapurana_skandha-03_u,1,undirected
bhagavatapurana_skandha-12_u,bhagavatapurana_skandha-04_u,3,undirected
bhagavatapurana_skandha-12_u,bhagavatapurana_skandha-10_u,5,undirected
bhagavatapurana_skandha-12_u,brahmapurana_pu,9,undirected
bhagavatapurana_skandha-12_u,mahabharata_03-aranyakaparvan,2,undirected
bhagavatapurana_skandha-12_u,mahabharata_12-santiparvan,4,undirected
bhavisyapurana_brahmaparvan_adhyaya-5,bhavisyapurana,5,undirected
bhavisyapurana_brahmaparvan_adhyaya-5,brahmapurana_pu,11,undirected
bhavisyapurana_brahmaparvan_adhyaya-5,mahabharata_03-aranyakaparvan,2,undirected
bhavisyapurana_brahmaparvan_adhyaya-5,mahabharata_12-santiparvan,4,undirected
bhavisyapurana_brahmaparvan_adhyaya-5,matsyapurana_adhyaya-176_pu,2,undirected
bhavisyapurana,agnipurana_u,2,undirected
bhavisyapurana,bhavisyapurana_brahmaparvan_adhyaya-5,5,undirected
bhavisyapurana,brahmandapurana,3,undirected
bhavisyapurana,devibhagavatapurana,12,undirected
bhavisyapurana,devipurana,4,undirected
bhavisyapurana,garudapurana_khanda-1_u,2,undirected
bhavisyapurana,garudapurana_khanda-2_u,9,undirected
bhavisyapurana,lingapurana_khanda-2_u,1,undirected
bhavisyapurana,matsyapurana_adhyaya-176_pu,12,undirected
bhavisyapurana,naradapurana_khanda-1_u,12,undirected
bhavisyapurana,naradapurana_khanda-2_u,8,undirected
bhavisyapurana,nilamatapurana_au,4,undirected
bhavisyapurana,sivapurana_karvanamahatmya_au,1,undirected
bhavisyapurana,sivapurana_vidyesvarasamhita_au,1,undirected
bhavisyapurana,vayupurana_10_gaya-mahatmya_iast,2,undirected
bhavisyapurana,vayupurana_revakhanda,4,undirected
brahmandapurana_khanda-1_u,brahmandapurana,5,undirected
brahmandapurana_khanda-1_u,vayu_ba,19,undirected
brahmandapurana_khanda-1_u,vayupurana_01_frame-and-cosmogony_iast,4,undirected
brahmandapurana_khanda-1_u,vayupurana_05_jyotis-and-purvardha-close_iast,9,undirected
brahmandapurana_khanda-1_u,vayupurana_09_upasamhara_iast,1,undirected
brahmandapurana_khanda-1_u,vayupurana,11,undirected
brahmandapurana_khanda-2_u,bhagavatapurana_skandha-09_u,10,undirected
brahmandapurana_khanda-2_u,brahmandapurana,24,undirected
brahmandapurana_khanda-2_u,devibhagavatapurana,2,undirected
brahmandapurana_khanda-2_u,matsyapurana_adhyaya-1-32_pu,3,undirected
brahmandapurana_khanda-2_u,matsyapurana_adhyaya-176_pu,7,undirected
brahmandapurana_khanda-2_u,sivapurana_umasamhita,1,undirected
brahmandapurana_khanda-2_u,vamanapurana_u,1,undirected
brahmandapurana_khanda-2_u,vayu_ba,1,undirected
brahmandapurana_khanda-2_u,vayupurana_07_shraddha-kalpa_iast,4,undirected
brahmandapurana_khanda-2_u,vayupurana_08_manu-candra-vishnu-vamsha_iast,4,undirected
brahmandapurana_khanda-2_u,vayupurana,8,undirected
brahmandapurana_khanda-2_u,visnupurana_u,2,undirected
brahmandapurana_khanda-3_u,brahmandapurana,12,undirected
