"agnipurana_u" "bhagavatapurana_skandha-01_u" "bhagavatapurana_skandha-02_u" "bhagavatapurana_skandha-03_u" "bhagavatapurana_skandha-04_u" "bhagavatapurana_skandha-05_u" "bhagavatapurana_skandha-06_u" "bhagavatapurana_skandha-07_u" "bhagavatapurana_skandha-08_u" "bhagavatapurana_skandha-09_u" "bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary" "bhagavatapurana_skandha-10_u" "bhagavatapurana_skandha-11_u" "bhagavatapurana_skandha-12_u" "bhavisyapurana_brahmaparvan_adhyaya-5" "bhavisyapurana" "brahmandapurana_khanda-1_u" "brahmandapurana_khanda-2_u" "brahmandapurana_khanda-3_u" "brahmandapurana" "brahmapurana_pu" "devibhagavatapurana_u" "devibhagavatapurana" "devipurana" "garudapurana_khanda-1_u" "garudapurana_khanda-2_u" "garudapurana_khanda-3_u" "kalikapurana" "karatoyamahatmya_pu" "kurmapurana_khanda-1_u" "kurmapurana_khanda-2_u" "lingapurana_khanda-1_u" "lingapurana_khanda-2_u" "mahabharata_01-adiparvan" "mahabharata_02-sabhaparvan" "mahabharata_03-aranyakaparvan" "mahabharata_04-virataparvan" "mahabharata_05-udyogaparvan" "mahabharata_06-bhismaparvan" "mahabharata_07-dronaparvan" "mahabharata_08-karnaparvan" "mahabharata_09-salyaparvan" "mahabharata_10-sauptikaparvan" "mahabharata_11-striparvan" "mahabharata_12-santiparvan" "mahabharata_13-anusasanaparvan" "mahabharata_14-asvamedhikaparvan" "mahabharata_15-asramavasikaparvan" "mahabharata_16-mausalaparvan" "mahabharata_17-mahaprasthanikaparvan" "mahabharata_18-svargarohanaparvan" "markandeyapurana_adhyaya-1-93_u" "matsyapurana_adhyaya-1-32_pu" "matsyapurana_adhyaya-176_pu" "naradapurana_khanda-1_u" "naradapurana_khanda-2_u" "nilamatapurana_au" "nrsimhapurana_pu" "padmapurana_a" "pranavakalpa" "ramayana_01-balakanda" "ramayana_02-ayodhyakanda_a" "ramayana_03-aranyakanda_a" "ramayana_04-kiskindhakanda" "ramayana_05-sundarakanda" "ramayana_06-yuddhakanda" "ramayana_07-uttarakanda" "saurapurana" "sivapurana_dharmasamhita" "sivapurana_karvanamahatmya_au" "sivapurana_rudrasamhita" "sivapurana_sanatkumarasamhita" "sivapurana_satarudrasamhita_au" "sivapurana_umasamhita" "sivapurana_vayaviyasamhita_au" "sivapurana_vidyesvarasamhita_au" "skandamahpurana_kasikhanda" "skandapurana_adhyaya-1-31_pu" "skandapurana_himavatkhanda_au" "skandapurana_pasupata_adhyaya174-183_u" "skandapurana_revakhanda" "skandapurana" "sutasamhita_khanda-4_iast" "vamanapurana_saromahatmya_u" "vamanapurana_u" "vayu_ba" "vayupurana_01_frame-and-cosmogony_iast" "vayupurana_02_pashupata-yoga_iast" "vayupurana_03_kalpas-and-shiva-lineages_iast" "vayupurana_04_bhuvana-vinyasa_iast" "vayupurana_05_jyotis-and-purvardha-close_iast" "vayupurana_06_prthu-and-prajapati-lineages_iast" "vayupurana_07_shraddha-kalpa_iast" "vayupurana_08_manu-candra-vishnu-vamsha_iast" "vayupurana_09_upasamhara_iast" "vayupurana_10_gaya-mahatmya_iast" "vayupurana_revakhanda" "vayupurana" "visnudharma_pu" "visnudharmottarapurana_khanda-3_adhyaya-343-353_pu" "visnupurana_u"
"agnipurana_u" 0 0.406148114585568 0.437468325421725 0.403969272224284 0.390465146909844 0.435252614624992 0.382790529174074 0.392302126868939 0.387152814090581 0.389563938819602 0.464464083453703 0.385220607029713 0.405708718811488 0.399654747882786 0.574119714023163 0.283159415093558 0.375449876448602 0.333301411312555 0.32285258143347 0.309035502354272 0.332936399350539 0.393573490182502 0.337263962913964 0.28637860146128 0.22306024903688 0.314720621361447 0.394114329557832 0.29667385493583 0.541069783849825 0.347451357901298 0.331330566514704 0.307982791499777 0.308368195504826 0.393928316775019 0.419904013635408 0.384226394501563 0.429533496143864 0.407321559621137 0.430235954133341 0.427827571612852 0.428009687167175 0.420377487261394 0.422235797722955 0.443781216517019 0.381060194362904 0.378488577807299 0.408811259854629 0.464456055585157 0.474215315220168 0.577216596323625 0.509652115682865 0.322446431105872 0.352605387282705 0.295863223080928 0.233358104216366 0.346674224655035 0.384997580801437 0.355281335341604 0.358866009054374 0.406127427508731 0.427967508678383 0.413703021833865 0.418555826357376 0.418459575563411 0.42479949101789 0.426269873529379 0.412883663876015 0.327714042165445 0.433172380206319 0.454950355372582 0.376910575216066 0.455528661268775 0.41123636318497 0.325188184012437 0.32402431556368 0.358517943184751 0.303209165060824 0.380771397831324 0.367945934126591 0.460976149989355 0.341878766391793 0.352675985551625 0.410237752135625 0.397512422181841 0.3238563173376 0.349865220775983 0.41742107006833 0.448541786202502 0.3977872697298 0.445535729976665 0.380190393440496 0.410341117258904 0.37868479780832 0.391133875390606 0.403832609957807 0.417363275245602 0.348910162257188 0.32933142685016 0.358541299160226 0.449683722575633 0.326510124081007
"bhagavatapurana_skandha-01_u" 0.406148114585568 0 0.324324438371366 0.28967011286108 0.277805380704519 0.36226819033262 0.285149621644933 0.29379713846366 0.301472985140995 0.311023253907653 0.41300053732038 0.262246214172788 0.302945013060617 0.328453570978244 0.592184347178651 0.375680544712988 0.405696206102516 0.34470217741771 0.39836747370046 0.356805451080591 0.338842759055631 0.432917440730152 0.376309380338125 0.409085758634426 0.392285066836181 0.400008540544309 0.447053629907076 0.382780019495901 0.577931286887479 0.36357314130677 0.384463683793901 0.375507511730478 0.426130665007946 0.337721879362482 0.363429702240675 0.331537392280041 0.384580995690207 0.352718173089382 0.398422753790043 0.397705955660178 0.403044594025483 0.390701405018949 0.386358010282699 0.401291874813008 0.337159195217476 0.345044865205406 0.357751024526738 0.40339554867131 0.434886101205139 0.538919236343157 0.469410926187144 0.346475239317608 0.378376394390457 0.338064982545147 0.369080237963497 0.38724352048573 0.435771791101803 0.357441450616842 0.391393298196117 0.428196637275571 0.402977908772585 0.379188023716626 0.401871803671867 0.401519369555757 0.409069517081603 0.415611901195883 0.382129058138847 0.37160338436069 0.451186865565752 0.469657086603166 0.403279706692227 0.477716203171484 0.39580983019238 0.370040910655299 0.39913160748937 0.455033979054476 0.363552769529241 0.38622626954376 0.385627416659299 0.465297641468182 0.390409762627537 0.342268190276042 0.451504940581349 0.408876370465092 0.356326233586754 0.385085083263301 0.431600816118286 0.493560767556435 0.410062815219547 0.484305356766748 0.421948194619304 0.440162752122522 0.431229363117172 0.392824866101227 0.428142160651506 0.47688574908624 0.401290859362968 0.371414551493891 0.357159499870522 0.467478095140846 0.346468411938841
"bhagavatapurana_skandha-02_u" 0.437468325421725 0.324324438371366 0 0.31263950113751 0.324698551537334 0.37210247173722 0.331198119748535 0.332301286444409 0.343288833697979 0.366489261966292 0.450523981107984 0.351144123423229 0.337218813058284 0.364065796955203 0.604764208092409 0.421366335996347 0.441394271062588 0.399884808534445 0.43506691462554 0.406633384065036 0.397386785281839 0.450449484070594 0.425071767033934 0.442840538633224 0.426005933316613 0.437705062758824 0.470675020000551 0.415328102295407 0.583532633571947 0.39081770165685 0.409881380465423 0.407331918494635 0.445488290275796 0.413635282940726 0.438357550004403 0.408829869565006 0.452911280021004 0.429091144922898 0.45853974305948 0.456385510944344 0.462290996423585 0.454138638012304 0.448678171640039 0.458316444923457 0.393473512601575 0.408278218222797 0.420329424108629 0.470300652878869 0.491290216714611 0.572614089102917 0.511378281125271 0.397661690948986 0.422116565172019 0.392092264074075 0.403350497035034 0.428087528981784 0.47139763561411 0.399195560184992 0.434712526543749 0.437678708460038 0.452380836360207 0.444709818325551 0.44853581297043 0.443155210943162 0.455851566983472 0.46021836148357 0.436613378739696 0.406945694814372 0.484167502674132 0.498494160527405 0.445606221097413 0.496611064144462 0.428292036231691 0.410094554935342 0.417902330722985 0.475010403359684 0.395706220881707 0.425607384617552 0.424246197724212 0.469800250589455 0.431069904109693 0.397901375471389 0.46195739638367 0.439226383328042 0.406352204428251 0.428559356511516 0.45683396296491 0.493264577036833 0.437838527084953 0.510053180043014 0.457416259188513 0.471166621471885 0.463152590127595 0.444083997293853 0.454750449291962 0.504869375564561 0.435248720507704 0.414951310762882 0.389657474852323 0.486335901179062 0.389966761782439
"bhagavatapurana_skandha-03_u" 0.403969272224284 0.28967011286108 0.31263950113751 0 0.218475508825682 0.316773945582276 0.297122132813639 0.309770794943763 0.308527207898537 0.334563136562807 0.37558112432433 0.253530254340754 0.255832155864693 0.305961754627748 0.577356073031986 0.392671201494738 0.414698435881491 0.36746781613301 0.400991201341808 0.368635179401143 0.31732895145542 0.433518555941695 0.396950761334498 0.412936247052088 0.40262419787458 0.409449499426318 0.454318961829933 0.384191690273945 0.569371869102272 0.372313120234336 0.388098527430838 0.375600624545083 0.423449610996455 0.332469490318079 0.369340037971297 0.322237629704691 0.380193668449414 0.352941810032281 0.392958255780738 0.387967394033361 0.395264549998747 0.382766251583371 0.380381388695553 0.399726750750038 0.310675040706536 0.326187916375432 0.345743477689244 0.411857546671873 0.440255391445714 0.539304104624543 0.475285499930097 0.357853800576245 0.386198987967645 0.347001623402918 0.379169402993593 0.392366994747071 0.448724347486082 0.336069346718173 0.398369584391493 0.429108225367207 0.386743731386576 0.364207884835516 0.38123010056416 0.381063912894436 0.381833343801998 0.390677097439307 0.364568596489205 0.386346333643415 0.463958146733696 0.485155135714941 0.412280756767512 0.480843499042846 0.40892981232719 0.375669974191343 0.390766617538543 0.459051259647132 0.361242548872028 0.394878807883112 0.398552074583206 0.458488864954276 0.388738459834949 0.351252332480974 0.459837331210651 0.418491519817199 0.371245315111567 0.397988397507666 0.431773806089751 0.48521514397194 0.416806303382448 0.499120991272572 0.432909877189162 0.447625341778285 0.439386466627377 0.419298691027216 0.431373648741872 0.490445949069312 0.4130900511853 0.384131206688763 0.323371417692934 0.457239317147903 0.353749911150652
"bhagavatapurana_skandha-04_u" 0.390465146909844 0.277805380704519 0.324698551537334 0.218475508825682 0 0.317017619980868 0.280425039037866 0.294163051298556 0.294891607716117 0.310818519617998 0.380656443633361 0.227060829228984 0.270261800329038 0.300438030965827 0.574135194270686 0.37977187401672 0.406132314451204 0.347944509145072 0.392778114331956 0.354672819789358 0.303155139061711 0.428562814062713 0.380195651010058 0.399321473092554 0.390204210178343 0.399984974072093 0.452149557246675 0.372240339587189 0.562510961699095 0.355548026269246 0.384168641823973 0.366300372481684 0.417973021263552 0.311409208263009 0.353067215249256 0.304850997324873 0.370007572781803 0.337715262110124 0.383448258532014 0.379622027336108 0.38382111166513 0.369522712093897 0.368230915218125 0.383324763446227 0.302459329514883 0.316606067567218 0.332259248419346 0.3946700917239 0.430151258338232 0.530390278596568 0.461863188222105 0.346710432922474 0.368882593976593 0.331281955415581 0.365820383384305 0.378958455769075 0.432575061923085 0.320151869804002 0.387615181315203 0.431046542332152 0.368838820130116 0.343783336882356 0.367678779855503 0.367661990824638 0.370186371684877 0.380198544602766 0.349242130850925 0.373387893794211 0.455862087117305 0.47863551596917 0.396156823276814 0.480659193993307 0.401429827449031 0.365379636843272 0.38840313179651 0.453644099547897 0.352562799609904 0.383990815829585 0.385321352453561 0.471014847611829 0.369533481005245 0.338321424583057 0.451973452668144 0.404582880009287 0.351154105240836 0.385469973334214 0.434514816148346 0.48881976116894 0.410424514884192 0.486041276003646 0.428855982422894 0.435774453198359 0.428564078414204 0.400735861333354 0.430890172550733 0.478053471803896 0.396987915173777 0.370309292336416 0.31435330903624 0.444891892254507 0.342295646033277
"bhagavatapurana_skandha-05_u" 0.435252614624992 0.36226819033262 0.37210247173722 0.316773945582276 0.317017619980868 0 0.360325572902186 0.377525974261128 0.363175839663584 0.392486726185375 0.406228213218149 0.335243932851896 0.345875000618254 0.352715431761578 0.598027683922267 0.427800411733281 0.444184979374947 0.410608944125183 0.424428384937621 0.408009970510806 0.386126214272376 0.468861020843037 0.442204028656415 0.443981520734686 0.432453635719002 0.446038792194597 0.481209227982724 0.432710988510027 0.58106916460621 0.41919201156317 0.429366609046541 0.421717861774412 0.457254921534206 0.39780617405665 0.41998493487528 0.387921362742939 0.435190628467464 0.409776992684239 0.44313033440018 0.443561489230389 0.447558738909825 0.438972217308144 0.436025859056036 0.443328686567387 0.381348996626399 0.390542146203152 0.410129941903152 0.460330806809993 0.486185254609732 0.570050956053695 0.51615025924533 0.407378421667106 0.428418899681021 0.385550272065748 0.420004260154564 0.441503465685651 0.477904916415574 0.393709394810282 0.423664253286959 0.435542397600777 0.440428286063308 0.421007092171683 0.428303158537488 0.426063948364468 0.429137240547894 0.439786773531603 0.423409481193538 0.425761880682197 0.474047017865712 0.521058244314419 0.455024713801763 0.481383157736822 0.457169384647602 0.420734018758828 0.431007565075851 0.48772865210495 0.395459600953463 0.436113620432155 0.444401098578647 0.508317119928633 0.42501428505375 0.408948597634184 0.485801488557781 0.459845923606078 0.411146464373866 0.428587375581854 0.466618705973743 0.50685000714556 0.452972012194052 0.485984053998597 0.450266093035436 0.47964220795515 0.471638081570788 0.449464565746621 0.464334621598022 0.529411906256853 0.444542957615898 0.417200946424604 0.384780646931908 0.482673632570468 0.392634310065016
"bhagavatapurana_skandha-06_u" 0.382790529174074 0.285149621644933 0.331198119748535 0.297122132813639 0.280425039037866 0.360325572902186 0 0.262595435072622 0.252385777132158 0.290712692552496 0.431602975103331 0.286423714792344 0.299161746056507 0.341825724297706 0.587521022544745 0.358549076674879 0.386735184416493 0.323120676819935 0.365263620214441 0.3292187770901 0.334915771271752 0.406961618099058 0.355600664374727 0.380788994293264 0.366262571429395 0.380400591154058 0.42192775786562 0.360471066264024 0.57123159629871 0.328551734071811 0.358532010446505 0.34066996902591 0.395892414328049 0.352893867982057 0.385209371138018 0.34405624065051 0.405212767355208 0.371666326352722 0.409019818770692 0.415265616538167 0.416506525229866 0.402006754974361 0.403852828722214 0.418781877950819 0.337215281403387 0.343555346545352 0.369852568233501 0.422852489860571 0.459431344213273 0.548414058403945 0.482191693295585 0.317957363934986 0.353436356391283 0.312453064114734 0.346611212324754 0.370731059147332 0.423483399954069 0.346189796518318 0.382250193016247 0.414178158670619 0.405255154059323 0.390304982909679 0.405944023697934 0.403378991693905 0.41200424683927 0.413625691403612 0.384372256407645 0.342422938831203 0.433349897344954 0.466199250509008 0.371838771976266 0.458201338130647 0.379606783629103 0.343086891236318 0.366332581975801 0.437145068000903 0.336614302631016 0.361942060071576 0.37390398097739 0.453864829383445 0.382413039139765 0.32773403885414 0.420822809231533 0.387656985357841 0.326912331038019 0.363809297678337 0.413104958155171 0.465372847305533 0.384237565764137 0.468923316871669 0.409999754954279 0.412382302527828 0.410035820210433 0.379536426081261 0.410078426028584 0.464934220022785 0.380935469399821 0.347267404441954 0.35140741429871 0.45696032960698 0.319095853973039
"bhagavatapurana_skandha-07_u" 0.392302126868939 0.29379713846366 0.332301286444409 0.309770794943763 0.294163051298556 0.377525974261128 0.262595435072622 0 0.286384722444601 0.311551989640651 0.42444421538372 0.303444983473185 0.299818071635623 0.356656835667405 0.588766768348789 0.370315325857552 0.402258982497953 0.346373153528898 0.380341438759674 0.350468392106939 0.355271496209347 0.419070666745873 0.368474835981889 0.391216679875845 0.378831105529948 0.380505861057839 0.428797484399683 0.368542412129974 0.574626952946414 0.353391323675441 0.364586326693944 0.359031879413231 0.405429661549964 0.375098436025382 0.402098467960495 0.366685350666671 0.421398351190492 0.391037929373469 0.434612850014418 0.432187007240883 0.435382189127147 0.425446010279337 0.419655474802051 0.438189880530213 0.350565985626538 0.368526525304745 0.383921870178591 0.439056793779649 0.469477014253284 0.550700194340862 0.492103675605034 0.333802001028189 0.376486105504551 0.334620051272425 0.354918425022283 0.375646773901837 0.434908859419083 0.364346706724703 0.387578974605231 0.413254344774047 0.426866809468419 0.408627930229516 0.420926905133116 0.419849553195954 0.432389462905329 0.432903289994349 0.403323733365049 0.354371564318792 0.437374514924855 0.471880226784624 0.387291992305226 0.461355146856853 0.395210554704937 0.358220883209419 0.377631163490422 0.436826577301243 0.34165477477768 0.378944642959989 0.38564965124594 0.463096683712624 0.390027918012135 0.347595619522972 0.428796277341559 0.392806963730552 0.347373649195297 0.382398170791263 0.423358276667706 0.473181406372575 0.404584967078117 0.487332856113642 0.417968295985641 0.435220140521733 0.41563609938843 0.398727551764313 0.420444101422928 0.464816764010866 0.389782036630051 0.367987252343882 0.360992054718066 0.467220533712301 0.331398924099337
"bhagavatapurana_skandha-08_u" 0.387152814090581 0.301472985140995 0.343288833697979 0.308527207898537 0.294891607716117 0.363175839663584 0.252385777132158 0.286384722444601 0 0.289637160844659 0.432370197418064 0.275957440636362 0.333481057086788 0.345986669396736 0.590002544731653 0.356803097622924 0.395292467252757 0.327312954213582 0.365150448448903 0.334448539565659 0.34248985103624 0.419463364295801 0.362373484283423 0.38464960153724 0.369349807228898 0.394043896028792 0.428369281216607 0.355991157660215 0.572646278239602 0.332133225260194 0.374264605866008 0.345736097812328 0.39704122553188 0.364082573423911 0.390144279547169 0.353953759360176 0.40965171914166 0.386608692478481 0.411460462371132 0.411491700189983 0.413680474815394 0.402006931370922 0.411654015435546 0.42985179298699 0.364880507066958 0.362489325279299 0.386181803839664 0.434047161807542 0.461607217099948 0.556806811563004 0.488927765005419 0.331872615161455 0.365150539505726 0.311109286022615 0.351252619869685 0.378291767962244 0.416486986356252 0.351014172876209 0.376308351850245 0.417508446269098 0.409908692966104 0.401969458256071 0.408942795065882 0.400919781301407 0.406418921269016 0.402558559825055 0.384079495404896 0.342658365858125 0.433360649814526 0.474727191009352 0.370410270515392 0.450248777335783 0.378434600105413 0.353777187095085 0.373189116442265 0.443338465552834 0.348855278880264 0.361770964394941 0.36354314185529 0.470599337834515 0.383766555061009 0.323796891369005 0.433141099283038 0.384803187545944 0.321471257565938 0.370176771434471 0.424629316104776 0.48415443553261 0.389015388335464 0.457918765084574 0.415845027199127 0.420300983901121 0.423392092927906 0.379809823093981 0.417099424805346 0.468037031144076 0.384631155202518 0.352754747437105 0.358656103992936 0.457275897461303 0.325528351523461
"bhagavatapurana_skandha-09_u" 0.389563938819602 0.311023253907653 0.366489261966292 0.334563136562807 0.310818519617998 0.392486726185375 0.290712692552496 0.311551989640651 0.289637160844659 0 0.443985681954756 0.295969278948815 0.360649298341477 0.364860136470562 0.600039530138983 0.363206827316089 0.388695902765533 0.307195164870709 0.382581686941508 0.332084547511572 0.350693761600903 0.430057889569291 0.365498508533337 0.401545013791236 0.38117386948201 0.398257802502595 0.439107698665503 0.359520627852533 0.57936951736394 0.345312673017821 0.385707008386657 0.362321784425403 0.413374124244943 0.347532776254725 0.388565049569513 0.350590659938477 0.400671856434788 0.375952232469613 0.417508773609664 0.413165398821118 0.41690789659785 0.399017684590253 0.408426122596833 0.422911634527154 0.368389450856901 0.366122161181653 0.384698671834258 0.421061371131338 0.450134737147761 0.548640171690331 0.487961518291486 0.327281086398318 0.347284687930188 0.320082760591767 0.366748568302863 0.376189186096488 0.425610536596408 0.358666491576901 0.394865388714384 0.432740027665285 0.385585613638564 0.381840236777418 0.409550061281236 0.40054057257429 0.411528573279759 0.418317666948365 0.381542962012223 0.363922929309226 0.440004993261411 0.478529207942928 0.38845586122042 0.470557979886698 0.392528668026362 0.354603234713966 0.388528885720535 0.459655969903126 0.3548760159393 0.374047083436473 0.389774822932869 0.479479315810235 0.390936827602456 0.348471024971595 0.454455359075044 0.393883716915616 0.335273047944945 0.356364169324266 0.424563492932786 0.48955565226434 0.390305845579023 0.476683318504672 0.412520900970462 0.41197840937622 0.420178809628491 0.330546664069021 0.423563418949189 0.471403410577815 0.393261631061715 0.346171886259811 0.389345873859066 0.47791593962915 0.325558294185694
