"agnipurana_u" "bhagavatapurana_skandha-01_u" "bhagavatapurana_skandha-02_u" "bhagavatapurana_skandha-03_u" "bhagavatapurana_skandha-04_u" "bhagavatapurana_skandha-05_u" "bhagavatapurana_skandha-06_u" "bhagavatapurana_skandha-07_u" "bhagavatapurana_skandha-08_u" "bhagavatapurana_skandha-09_u" "bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary" "bhagavatapurana_skandha-10_u" "bhagavatapurana_skandha-11_u" "bhagavatapurana_skandha-12_u" "bhavisyapurana_brahmaparvan_adhyaya-5" "bhavisyapurana" "brahmandapurana_khanda-1_u" "brahmandapurana_khanda-2_u" "brahmandapurana_khanda-3_u" "brahmandapurana" "brahmapurana_pu" "devibhagavatapurana_u" "devibhagavatapurana" "devipurana" "garudapurana_khanda-1_u" "garudapurana_khanda-2_u" "garudapurana_khanda-3_u" "kalikapurana" "karatoyamahatmya_pu" "kurmapurana_khanda-1_u" "kurmapurana_khanda-2_u" "lingapurana_khanda-1_u" "lingapurana_khanda-2_u" "mahabharata_01-adiparvan" "mahabharata_02-sabhaparvan" "mahabharata_03-aranyakaparvan" "mahabharata_04-virataparvan" "mahabharata_05-udyogaparvan" "mahabharata_06-bhismaparvan" "mahabharata_07-dronaparvan" "mahabharata_08-karnaparvan" "mahabharata_09-salyaparvan" "mahabharata_10-sauptikaparvan" "mahabharata_11-striparvan" "mahabharata_12-santiparvan" "mahabharata_13-anusasanaparvan" "mahabharata_14-asvamedhikaparvan" "mahabharata_15-asramavasikaparvan" "mahabharata_16-mausalaparvan" "mahabharata_17-mahaprasthanikaparvan" "mahabharata_18-svargarohanaparvan" "markandeyapurana_adhyaya-1-93_u" "matsyapurana_adhyaya-1-32_pu" "matsyapurana_adhyaya-176_pu" "naradapurana_khanda-1_u" "naradapurana_khanda-2_u" "nilamatapurana_au" "nrsimhapurana_pu" "padmapurana_a" "pranavakalpa" "ramayana_01-balakanda" "ramayana_02-ayodhyakanda_a" "ramayana_03-aranyakanda_a" "ramayana_04-kiskindhakanda" "ramayana_05-sundarakanda" "ramayana_06-yuddhakanda" "ramayana_07-uttarakanda" "saurapurana" "sivapurana_dharmasamhita" "sivapurana_karvanamahatmya_au" "sivapurana_rudrasamhita" "sivapurana_sanatkumarasamhita" "sivapurana_satarudrasamhita_au" "sivapurana_umasamhita" "sivapurana_vayaviyasamhita_au" "sivapurana_vidyesvarasamhita_au" "skandamahpurana_kasikhanda" "skandapurana_adhyaya-1-31_pu" "skandapurana_himavatkhanda_au" "skandapurana_pasupata_adhyaya174-183_u" "skandapurana_revakhanda" "skandapurana" "sutasamhita_khanda-4_iast" "vamanapurana_saromahatmya_u" "vamanapurana_u" "vayu_ba" "vayupurana_01_frame-and-cosmogony_iast" "vayupurana_02_pashupata-yoga_iast" "vayupurana_03_kalpas-and-shiva-lineages_iast" "vayupurana_04_bhuvana-vinyasa_iast" "vayupurana_05_jyotis-and-purvardha-close_iast" "vayupurana_06_prthu-and-prajapati-lineages_iast" "vayupurana_07_shraddha-kalpa_iast" "vayupurana_08_manu-candra-vishnu-vamsha_iast" "vayupurana_09_upasamhara_iast" "vayupurana_10_gaya-mahatmya_iast" "vayupurana_revakhanda" "vayupurana" "visnudharma_pu" "visnudharmottarapurana_khanda-3_adhyaya-343-353_pu" "visnupurana_u"
"a ṃ  " 1.65001417916406 1.1544197521772 1.18013129434979 1.18811881188119 1.26334335164266 0.794979079497908 1.15562535206459 1.26721314809918 1.1440300407332 1.09883160208067 1.0474054395401 1.14199871133562 1.15145654807553 1.14602964396679 1.36636910184004 1.45921587695191 0.899631221666314 1.1078510464465 0.874955065630355 0.978600680625252 1.40162187981345 1.42852828365196 1.55032727468627 1.20629128291754 1.3523262941486 1.5298962076464 1.57807258771267 1.46493050455026 1.47457117062895 1.37901067990029 1.77730168700646 1.33072278613931 1.52036344929746 1.2601203165726 1.20192027592314 1.27186164824339 1.20200609637071 1.34744701572137 1.14484222510088 1.18001438514328 1.22086887069629 1.16215560140794 1.25939703944819 1.35500293714509 1.36570723109902 1.25668027149525 1.38058418290938 1.16645564505267 1.32560483870968 1.34587554269175 1.203125 1.09463779879736 1.21781258295726 1.1455518446767 1.36444946489822 1.55343963174203 1.47429094616809 1.45537971423364 1.85218789417897 1.14534719758376 1.39962011460949 1.3914078440263 1.48222872322539 1.35827311808287 1.19075387199104 1.31228445910668 1.43724884439386 1.3902381552784 0.510157168992337 1.68945203956875 1.44901462072728 0.609971876105865 1.46543805258928 1.28347912589341 1.40522949332254 1.99094591374792 1.22466718048138 1.37328339575531 1.53106832005915 1.42778870016437 1.54048772388788 1.32851886135698 1.27241123393617 1.50751821423035 1.48471753461817 0.902383554098594 0.796300650521201 1.46239554317549 1.01981622424355 0.832234673698088 0.852284986838131 0.671925211802512 1.19745845552297 0.951121695363464 1.0424775765781 1.56070313783473 1.53652039268149 0.967372576090023 1.38442195842104 1.39195979899497 1.05998010125759
"a ḥ  " 0.785498156708672 1.01449008524663 1.11941714415816 0.962858190580963 0.94724841952534 0.639569635385535 1.00370414625403 1.05770599841344 0.956275458248472 1.08618318076175 0.753435097881236 0.916304452299839 1.07698976359575 0.947384505679214 0.63763891419202 0.805290751698994 1.06562062026793 0.964488132736587 0.826094391841663 0.960027686450943 0.857739350711384 0.88490229832986 0.83464771955238 0.694697411728298 0.987257864159827 0.772659274224642 0.635218035115288 0.795507802936506 0.782425519109239 1.04466348022961 1.03979720028715 1.10211760588029 0.888789721277031 0.934213492700716 0.927511914333322 0.872372904532934 0.889679715302491 0.91963084913973 0.880975243850862 0.89591681853989 0.857175457112702 0.880394638739098 0.815701774781059 0.841981593890738 0.913549004127423 0.968723927210409 0.944610230411679 0.945556423587727 1.00806451612903 0.882778581765557 0.9375 0.878625739228386 0.944606671975931 0.914103976228338 0.83981967567716 0.661936565899264 0.84066837297376 0.929176539580147 0.82361335300606 1.16809039054611 0.892569699311055 0.903045416761127 0.884360603920777 1.04652580871368 0.878195558872924 0.942476978486649 0.966295788715709 1.02769314719658 0.935658052017642 0.883627875958653 0.78392169778607 0.894470209159822 1.12670800321506 0.826638409221154 0.943318411205843 0.744341196092447 0.843040922965141 1.04004609622587 0.918775414188258 1.08292777258517 0.794475244725748 0.949685197793707 1.10249599625015 0.992094248953651 0.839668170204713 1.0276467400478 1.02672623246336 0.868152274837512 1.2831817338036 0.834981322786201 1.01626893367281 0.979797298815704 0.891984359726295 1.0606979275482 1.00016923337282 0.887136520453425 0.735400228557165 1.01106390438858 0.829513439969797 0.723618090452261 0.889104473909772
"  s a" 0.516507024880991 0.570765746690479 0.50089173908094 0.555293624600555 0.547206964452275 0.464734010759115 0.565010327228035 0.506478449240282 0.625318228105906 0.564435801356543 0.439866733445115 0.548928308254216 0.571282495859869 0.562827891814802 0.528329386044817 0.660489995511337 0.773964719423109 0.738909928010236 0.701848678493276 0.729307261925362 0.696517412935323 0.727854791459032 0.703633093202204 0.698565796387573 0.527984059221007 0.568056219573007 0.776041824060923 0.736399946837905 0.677099006921457 0.783954993482288 0.78573671931084 0.72453622681134 0.674339760634177 0.783125620468847 0.822059868796681 0.786698406231076 0.77255732240191 0.807633446180958 0.925396398960492 0.857520383459609 0.809752688478763 0.857420283321485 0.782763698364721 0.640297630702957 0.747244734783159 0.733984260491127 0.882486715551956 0.835106812855257 0.705645161290323 0.622286541244573 0.7265625 0.644391803468783 0.630475179187682 0.678937358554717 0.597762083137341 0.664910225224957 0.644026884741037 0.651810408362193 0.515379847995564 0.596781383331969 0.760575622947653 0.716012997808509 0.674535122230068 0.756882831793652 0.678764694905766 0.799475884361999 0.78046967550115 0.648199056638873 0.45752442191171 0.650216738912971 0.676119768958558 0.488443128271032 0.74061315880124 0.625520365905085 0.66887124228586 0.653800333571599 0.602883473840154 0.864304235090752 0.789730147528313 0.883101814548619 0.632035234225482 0.818562237505451 0.716768876215773 0.843538469487935 0.734946219600669 0.772012117658556 0.848028842385767 0.733519034354689 0.655513272693521 0.759448472863107 0.736848919000561 0.620238657048473 0.676625122189638 0.7195505913464 0.87155187002877 0.593771268980732 0.689766801486792 0.718783984046502 0.686690387403078 0.542713567839196 0.572433351615188
"  t a" 0.327359729522121 0.335094728702152 0.356695632375821 0.413850908900414 0.431132759871489 0.376569037656904 0.334568048751344 0.364094949453858 0.391420570264766 0.398425271545795 0.67939812294493 0.446048748536013 0.345659253331555 0.562827891814802 0.455456367280015 0.436216948146598 0.447466704249172 0.480959452446162 0.417758760893313 0.444713618273058 0.713047491775212 0.456041798797983 0.469737192590753 0.36846363879603 0.28930633381973 0.417431357731476 0.474449246018555 0.653159297420939 0.421306048751128 0.450065177121687 0.390905419956928 0.480180259012951 0.396670447431869 0.732499317731467 0.532503699560714 0.621209880195237 0.516539784074358 0.490191531790567 0.550077537525236 0.571079372461644 0.542687623013949 0.690964576144816 0.567697434705107 0.419032700215391 0.55655706367027 0.562834013574763 0.667273110502202 0.655962932033081 0.730846774193548 0.535455861070912 0.546875 0.599665380091772 0.596186178214317 0.497249896406272 0.374130624119465 0.415122841866744 0.676280250535822 0.58722372352144 0.451186966596583 0.364800815116036 0.637434807803747 0.50300385400136 0.546084266451461 0.56937711515595 0.531232506064564 0.474896656767444 0.662586234930664 0.411738686487447 0.249529951520801 0.594642658663999 0.571074551635383 0.23560745748822 0.56837754047537 0.456300076770866 0.502028359540788 0.468906361686919 0.439911406573433 0.62710073946029 0.629095674967235 0.560801882231605 0.602643464369771 0.593648875050682 0.367173157298543 0.649770061489175 0.56713875658455 0.455522685074136 0.487499020299397 0.496750232126277 0.495405606088732 0.418863985937157 0.414275234108661 0.398885368210522 0.412390029325513 0.513547274839106 0.473853443899137 0.401323664014645 0.519714030523692 0.453759782611673 0.601210256191077 0.623115577889447 0.60881332388924
"c a  " 0.570745768964976 0.37744186474693 0.330133191666983 0.247262821520247 0.262203337133382 0.219665271966527 0.37382858508441 0.370197099444704 0.407331975560081 0.309886322313396 0.261306970363434 0.346017065903436 0.364553810587621 0.445678194875974 0.473674621971215 0.532608457794556 0.624417666909387 0.532344009331436 0.435558006344907 0.530887696833362 0.58209491914752 0.431880643894778 0.619756796149921 0.44712079353464 0.583133079105392 0.573711077867399 0.724063944879272 0.449429556726054 0.421306048751128 0.373682164337823 0.389783740129218 0.599623731186559 0.55100004338583 0.592288190228333 0.653686160729891 0.564000524651651 0.566842350256018 0.612159718035524 0.614714308133859 0.474817887330799 0.526998887526029 0.606436287344165 0.509571417499806 0.532602310554141 0.60686262557156 0.670394840688209 0.5940561108461 0.662697664394817 0.604838709677419 0.665701881331404 0.484375 0.586413106498584 0.658127599327493 0.608458206571207 0.420367629975771 0.330076185151924 0.743908275589404 0.419615332799734 0.258703329130869 0.288383686762552 0.405640332238748 0.471831784175924 0.40687312956051 0.518308485014787 0.452509796603844 0.464919836247119 0.411140275487213 0.405124410399296 0.170897895641311 0.661331554962765 0.512458159648418 0.212791715557542 0.513836261338845 0.553615259020577 0.50652749345751 0.521324755777937 0.30591215126524 0.672236627292807 0.657996437812952 0.386759918780417 0.5934445134989 0.571616545667358 0.378891449552752 0.567095540743037 0.443491152256884 0.591890763394721 0.648953679755467 0.445682451253482 0.570818637460553 0.630355965721819 0.622491692918483 0.798894357176566 0.603311339198436 0.539845570563441 0.543239126755796 0.497547466497688 0.497872390216505 0.604830425600105 0.41707180687189 0.412060301507538 0.558928664937699
"ā ṃ  " 0.393712710863442 0.511847992193397 0.485713201533032 0.535386872020535 0.472587832936056 0.463239689181112 0.469419456156223 0.423082399365376 0.443928207739308 0.515423168745751 0.465997430481458 0.449608594893044 0.504595823191402 0.430397799623084 0.455456367280015 0.43669730450697 0.520674292783376 0.455524096787951 0.383207284428452 0.473092230489704 0.462198178471182 0.431880643894778 0.462105272609189 0.372332023455306 0.352592094342795 0.345974512011433 0.414614245565259 0.53861596681566 0.406259404152874 0.428110778237702 0.487930725053841 0.399894994749737 0.368779556596815 0.507054063354072 0.509781988091493 0.478605096376834 0.497019385257594 0.496684134860641 0.459905252602096 0.452465033105659 0.412542430898251 0.474225374091863 0.54638456172983 0.452320344625024 0.417358614738701 0.520441067039484 0.424880467701319 0.462002640015086 0.453629032258065 0.463096960926194 0.390625 0.411151788228668 0.388239978762941 0.437749908802102 0.411097339197651 0.566184735611949 0.507730403479202 0.397822279632609 0.563674936369242 0.414835839633198 0.525561779666474 0.524729842061513 0.530616362352466 0.495441934205311 0.59304441127076 0.469908246507281 0.502891918886902 0.36957267642548 0.147118040032594 0.372346337668112 0.491275008088772 0.165763349537166 0.400447812607647 0.475222473319421 0.400047990761778 0.433643078389326 0.482691574230947 0.472486315182944 0.434183553449609 0.322299932317014 0.395554887447471 0.438198551068338 0.385727120034374 0.361701028264352 0.426458063905624 0.459298348480407 0.547064816991927 0.380687093779016 0.418832374234268 0.287024829707757 0.469296163638717 0.430346749365154 0.559017595307918 0.395935452294161 0.377390421391098 0.558567438804008 0.500602595254904 0.436639356162395 0.451976193783457 0.371859296482412 0.43187436782908
"  c a" 0.547343265172394 0.209894500395854 0.212499525670702 0.287076326680287 0.261166960306768 0.230125523012552 0.186060802621921 0.172894249740659 0.186163441955193 0.178658951129662 0.313568364436121 0.300095047897733 0.298978582463628 0.445678194875974 0.491892876662416 0.410384450544377 0.449815610833157 0.373822651340366 0.36226699566187 0.390032877660495 0.612149607947318 0.335236024281961 0.459935413006587 0.308826041965526 0.406837031933995 0.340319653717041 0.50043818560938 0.356221014416721 0.541679205537165 0.276716902600224 0.384175340990668 0.656282814140707 0.516911176809654 0.566975038859643 0.656599200661843 0.546977253002096 0.533057044611619 0.617956685062375 0.676425134393944 0.519884125687936 0.574778218330148 0.67362543998058 0.554134697357204 0.536518504014098 0.633258249816237 0.685502965251313 0.612360360760126 0.712534683871663 0.680443548387097 0.578871201157742 0.546875 0.287243030132357 0.464560658348819 0.426593661126321 0.380425266005844 0.250382115223352 0.466113157292382 0.425162655424093 0.31121038258894 0.215605469283044 0.486124525143262 0.520006801178871 0.468744745956488 0.608250251532059 0.523651800709088 0.53475757988939 0.451209031149102 0.300949562010905 0.0830709622597838 0.422363009892186 0.335303172974941 0.13084129556164 0.261224021127569 0.387098169393294 0.382801310747681 0.390755301405766 0.259397207066197 0.496494766157688 0.455018987129079 0.315853933670674 0.590527772978867 0.371795558343597 0.316393890863638 0.391412184157495 0.341292622149323 0.336256141005481 0.354259738223999 0.357474466109564 0.34457954334509 0.343331136014063 0.337677469468778 0.361805883278276 0.400171065493646 0.310465991190071 0.297850736165172 0.274589875378441 0.309683257212617 0.337614809579769 0.529976813514409 0.386934673366834 0.486995537941279
"a m  " 0.0947113094664504 0.648095299467899 0.59575759875536 0.625491120540626 0.589698414343455 0.463239689181112 0.225321338954987 0.26442649960336 0.229124236252546 0.230833689070183 0.624959170785881 0.583102833281716 0.596845720382781 0.595935414862731 0.510111131353616 0.33192624501697 0.213359014711985 0.243562799636197 0.227551137930192 0.224721693487916 0.586281107944635 0.422820210806077 0.34081760309826 0.297220887987699 0.38477742398024 0.345974512011433 0.264120153516062 0.312327310627523 0.436352693349383 0.372767397717657 0.424555814788227 0.315015750787539 0.349565831799334 0.613052884710461 0.514442851982615 0.630279656074099 0.638166884394192 0.594768816954969 0.524808018151495 0.592170372012784 0.527355449696209 0.52320843375583 0.643261257071999 0.638339533972978 0.663559952985014 0.541863034703588 0.674483875619848 0.525309124215404 0.569556451612903 0.665701881331404 0.5 0.273659449699339 0.355057074595169 0.339468679277358 0.36978159881615 0.324723598365677 0.560792392367397 0.629621117864756 0.396589765051521 0.241077845400872 0.673652694610778 0.804333862313912 0.727664010222267 0.65779444495259 0.63794551222243 0.655809668869327 0.689879445309052 0.327406666363512 0.234627908672672 0.550183394464822 0.289164527797083 0.252370043396472 0.564071650017224 0.264372911778381 0.3475580950667 0.406004288777698 0.314852979955567 0.333237299529434 0.546426051013207 0.837979824024237 0.489563678054669 0.58737578126793 0.271473770555838 0.326822714824575 0.330568085039271 0.21188134644599 0.241398228701309 0.334261838440111 0.245962502320401 0.321357943309163 0.266473913606352 0.141576215195847 0.259652981427175 0.188471119357737 0.236926721949568 0.352038301767232 0.392759496238167 0.241603458052216 0.724444112021712 0.50251256281407 0.233989367126285
"a r a" 0.304920858238645 0.301953491797544 0.402231245019542 0.33946251768034 0.323349569903617 0.478182904961148 0.3209122100268 0.406809999389785 0.393011710794297 0.317791585637718 0.398493129804238 0.339965327096483 0.278972580663088 0.295420974889217 0.182182546912006 0.336409571047108 0.281868790078219 0.326035013437062 0.351098841653026 0.318509546057565 0.371390083026078 0.392618767177071 0.347102713671313 0.335260003803912 0.376821499800198 0.318728376592999 0.348735305672237 0.38699906966333 0.812518808305748 0.517757907013973 0.473348887293611 0.437521876093805 0.474145144195906 0.320567331005051 0.262756201862015 0.334325892396179 0.306320104509212 0.263877939062283 0.43277376864292 0.41749363214052 0.422169609493111 0.35371837775042 0.269317213051228 0.309379283336597 0.298400756595651 0.312986222292376 0.274563748710382 0.266695401524743 0.30241935483871 0.376266280752533 0.3046875 0.28359865489423 0.315237589593841 0.363552007593332 0.366577053855812 0.349702336701498 0.450506689972325 0.393859906329495 0.409288998125517 0.446676309780483 0.412079067671109 0.421295246731656 0.418978445811897 0.403975730967408 0.366789512968837 0.466582639667173 0.389654131146779 0.500204629166477 0.374770524393376 0.383461153717906 0.490839737851245 0.51172449758805 0.68320128602595 0.35411913540867 0.475783411693249 0.437455325232309 0.426669926108012 0.431191779506386 0.392512686090668 0.567247880877945 0.43436997282944 0.436974532769265 0.400374985352135 0.529633648529944 0.47345677065262 0.284729440402264 0.261776001254017 0.31569173630455 0.371264154445888 0.407877389584707 0.325810210158374 0.240454841681836 0.300891984359726 0.250564317595751 0.353697749196141 0.43887441620315 0.485781482189312 0.315563700313098 0.411016964244373 0.386934673366834 0.405691812025786
"ḥ   s" 0.325019479142863 0.410583101651538 0.364284901149774 0.399182775420399 0.371022903927868 0.303347280334728 0.421624020620316 0.400707849398938 0.455066191446029 0.44111369349713 0.285260109313416 0.374139852123982 0.407900147822124 0.37182295115367 0.856257970486427 0.319436979647301 0.574699144215035 0.451670255021556 0.364710029351305 0.462479090961527 0.362588352734708 0.428860499531878 0.319717589031584 0.309470772742072 0.350422296839147 0.26577833983642 0.309449699314013 0.329115340762037 0.331026181161601 0.449150410501521 0.334260588657574 0.484336716835842 0.289445467110442 0.364272068915055 0.376364759208119 0.369349180789936 0.339354625583735 0.392338728377313 0.406972259387626 0.408300119515664 0.392574949368172 0.382761430825516 0.341005967604433 0.311337380066575 0.367053052837411 0.410174307168467 0.386607945153811 0.397349209342421 0.388104838709677 0.332850940665702 0.3828125 0.337932976626302 0.392664365985311 0.409593664667987 0.328122514331755 0.275360853559173 0.337099694113241 0.347896376013377 0.326696479778926 0.292022597636527 0.371836971218853 0.35186654575682 0.30868556441037 0.397877984084881 0.352794364620265 0.388763439608643 0.419850874544145 0.434475260540469 0.3576490283551 0.300100033344448 0.163806699389316 0.304054683280252 0.3961419221495 0.230312597990982 0.256825561079492 0.270669525851799 0.298442598182182 0.443676174013253 0.377054138522028 0.483449898475521 0.309623224434208 0.442023608252943 0.476543885004492 0.440500180850514 0.350440021449074 0.523484626387001 0.606630613684458 0.352831940575673 0.504687209949879 0.547956493078444 0.489794156993052 0.569675723049956 0.334494134897361 0.454376109459351 0.568624132678964 0.354385223779014 0.30383281784462 0.49156168421168 0.300605128095538 0.231155778894472 0.258518287826214
