Source,Target,Weight,Type
agnipurana_u,bhavisyapurana,1,undirected
agnipurana_u,garudapurana_khanda-1_u,6,undirected
agnipurana_u,naradapurana_khanda-1_u,4,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-02_u,1,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-03_u,1,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-04_u,2,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-10_u,4,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-01_u,1,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-03_u,3,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-04_u,2,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-01_u,1,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-02_u,3,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-04_u,5,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-05_u,2,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,2,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-10_u,4,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-11_u,4,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-12_u,2,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-01_u,2,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-02_u,2,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-03_u,5,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-05_u,3,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-06_u,2,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-07_u,2,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-08_u,1,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,1,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-10_u,6,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-11_u,1,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-12_u,1,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-03_u,2,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-04_u,3,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-10_u,1,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-04_u,2,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-07_u,3,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-08_u,5,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-09_u,1,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-10_u,1,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-04_u,2,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-06_u,3,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-11_u,1,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-04_u,1,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-06_u,5,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-10_u,3,undirected
bhagavatapurana_skandha-09_u,bhagavatapurana_skandha-06_u,1,undirected
bhagavatapurana_skandha-09_u,bhagavatapurana_skandha-10_u,3,undirected
bhagavatapurana_skandha-09_u,brahmandapurana_khanda-2_u,2,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,bhagavatapurana_skandha-03_u,2,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,bhagavatapurana_skandha-04_u,1,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,bhagavatapurana_skandha-10_u,3,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-01_u,4,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-03_u,4,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-04_u,6,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-05_u,1,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-06_u,1,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-08_u,3,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-09_u,3,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,3,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-11_u,1,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-12_u,3,undirected
bhagavatapurana_skandha-11_u,bhagavatapurana_skandha-03_u,4,undirected
bhagavatapurana_skandha-11_u,bhagavatapurana_skandha-04_u,1,undirected
bhagavatapurana_skandha-11_u,bhagavatapurana_skandha-07_u,1,undirected
bhagavatapurana_skandha-11_u,bhagavatapurana_skandha-10_u,1,undirected
bhagavatapurana_skandha-11_u,mahabharata_12-santiparvan,2,undirected
bhagavatapurana_skandha-12_u,bhagavatapurana_skandha-03_u,2,undirected
bhagavatapurana_skandha-12_u,bhagavatapurana_skandha-04_u,1,undirected
bhagavatapurana_skandha-12_u,bhagavatapurana_skandha-10_u,3,undirected
bhavisyapurana,agnipurana_u,1,undirected
bhavisyapurana,devibhagavatapurana,6,undirected
bhavisyapurana,devipurana,3,undirected
bhavisyapurana,garudapurana_khanda-1_u,1,undirected
bhavisyapurana,garudapurana_khanda-2_u,3,undirected
bhavisyapurana,garudapurana_khanda-3_u,2,undirected
bhavisyapurana,kalikapurana,1,undirected
bhavisyapurana,matsyapurana_adhyaya-1-176_pu,1,undirected
bhavisyapurana,naradapurana_khanda-1_u,5,undirected
bhavisyapurana,naradapurana_khanda-2_u,3,undirected
bhavisyapurana,nilamatapurana_au,2,undirected
bhavisyapurana,padmapurana_a,1,undirected
bhavisyapurana,sivapurana_rudrasamhita,1,undirected
bhavisyapurana,sivapurana_vayaviyasamhita_au,2,undirected
bhavisyapurana,sivapurana_vidyesvarasamhita_au,2,undirected
bhavisyapurana,vayupurana_10_gaya-mahatmya_iast,1,undirected
bhavisyapurana,vayupurana_revakhanda,2,undirected
brahmandapurana_khanda-1_u,brahmandapurana,1,undirected
brahmandapurana_khanda-1_u,vayu_ba,5,undirected
brahmandapurana_khanda-1_u,vayupurana_01_frame-and-cosmogony_iast,2,undirected
brahmandapurana_khanda-1_u,vayupurana_05_jyotis-and-purvardha-close_iast,3,undirected
brahmandapurana_khanda-1_u,vayupurana_06_prthu-and-prajapati-lineages_iast,1,undirected
brahmandapurana_khanda-1_u,vayupurana_09_upasamhara_iast,1,undirected
brahmandapurana_khanda-1_u,vayupurana,3,undirected
brahmandapurana_khanda-2_u,bhagavatapurana_skandha-09_u,2,undirected
brahmandapurana_khanda-2_u,brahmandapurana,6,undirected
brahmandapurana_khanda-2_u,matsyapurana_adhyaya-1-176_pu,3,undirected
brahmandapurana_khanda-2_u,sivapurana_umasamhita,1,undirected
brahmandapurana_khanda-2_u,vayupurana_07_shraddha-kalpa_iast,1,undirected
brahmandapurana_khanda-2_u,vayupurana_08_manu-candra-vishnu-vamsha_iast,1,undirected
brahmandapurana_khanda-2_u,vayupurana,2,undirected
brahmandapurana_khanda-2_u,visnupurana_u,1,undirected
brahmandapurana_khanda-3_u,brahmandapurana,3,undirected
brahmandapurana_khanda-3_u,matsyapurana_adhyaya-1-176_pu,2,undirected
brahmandapurana_khanda-3_u,naradapurana_khanda-1_u,1,undirected
brahmandapurana,brahmandapurana_khanda-1_u,1,undirected
brahmandapurana,brahmandapurana_khanda-2_u,6,undirected
brahmandapurana,brahmandapurana_khanda-3_u,3,undirected
brahmandapurana,kurmapurana_khanda-1_u,1,undirected
brahmandapurana,lingapurana_khanda-1_u,3,undirected
brahmandapurana,markandeyapurana_adhyaya-1-93_u,1,undirected
brahmandapurana,matsyapurana_adhyaya-1-176_pu,3,undirected
brahmandapurana,sivapurana_umasamhita,3,undirected
brahmandapurana,vayu_ba,2,undirected
brahmandapurana,vayupurana_04_bhuvana-vinyasa_iast,1,undirected
brahmandapurana,vayupurana,4,undirected
brahmandapurana,visnupurana_u,2,undirected
brahmapurana_pu,karatoyamahatmya_pu,1,undirected
brahmapurana_pu,mahabharata_03-aranyakaparvan,3,undirected
brahmapurana_pu,mahabharata_12-santiparvan,1,undirected
brahmapurana_pu,mahabharata_13-anusasanaparvan,3,undirected
brahmapurana_pu,nilamatapurana_au,1,undirected
brahmapurana_pu,nrsimhapurana_pu,3,undirected
brahmapurana_pu,sivapurana_karvanamahatmya_au,1,undirected
brahmapurana_pu,skandamahapurana_revakhanda,2,undirected
brahmapurana_pu,skandapurana,1,undirected
brahmapurana_pu,vamanapurana_saromahatmya_u,3,undirected
brahmapurana_pu,vamanapurana_u,1,undirected
brahmapurana_pu,vayupurana_revakhanda,1,undirected
brahmapurana_pu,visnudharma_pu,3,undirected
brahmapurana_pu,visnudharmottarapurana_khanda-3_adhyaya-343-353_pu,2,undirected
devibhagavatapurana_devigita_adhyaya-31-40,devibhagavatapurana,3,undirected
devibhagavatapurana_devigita_adhyaya-31-40,kalikapurana,2,undirected
devibhagavatapurana_devigita_adhyaya-31-40,naradapurana_khanda-1_u,1,undirected
devibhagavatapurana,bhavisyapurana,6,undirected
devibhagavatapurana,devibhagavatapurana_devigita_adhyaya-31-40,3,undirected
devibhagavatapurana,garudapurana_khanda-3_u,3,undirected
devibhagavatapurana,kalikapurana,2,undirected
devibhagavatapurana,naradapurana_khanda-2_u,2,undirected
devibhagavatapurana,sivapurana_rudrasamhita,5,undirected
devibhagavatapurana,sivapurana_umasamhita,1,undirected
devipurana,bhavisyapurana,3,undirected
devipurana,matsyapurana_adhyaya-1-176_pu,2,undirected
devipurana,naradapurana_khanda-1_u,1,undirected
garudapurana_khanda-1_u,agnipurana_u,6,undirected
garudapurana_khanda-1_u,bhavisyapurana,1,undirected
garudapurana_khanda-1_u,garudapurana_khanda-2_u,2,undirected
garudapurana_khanda-1_u,naradapurana_khanda-1_u,3,undirected
garudapurana_khanda-2_u,bhavisyapurana,3,undirected
garudapurana_khanda-2_u,garudapurana_khanda-1_u,2,undirected
garudapurana_khanda-2_u,naradapurana_khanda-1_u,1,undirected
garudapurana_khanda-3_u,bhavisyapurana,2,undirected
garudapurana_khanda-3_u,devibhagavatapurana,3,undirected
garudapurana_khanda-3_u,lingapurana_khanda-1_u,1,undirected
kalikapurana,bhavisyapurana,1,undirected
kalikapurana,devibhagavatapurana_devigita_adhyaya-31-40,2,undirected
kalikapurana,devibhagavatapurana,2,undirected
kalikapurana,matsyapurana_adhyaya-1-176_pu,3,undirected
karatoyamahatmya_pu,brahmapurana_pu,1,undirected
karatoyamahatmya_pu,skandamahapurana_revakhanda,3,undirected
