"agnipurana_u" "bhagavatapurana_skandha-01_u" "bhagavatapurana_skandha-02_u" "bhagavatapurana_skandha-03_u" "bhagavatapurana_skandha-04_u" "bhagavatapurana_skandha-05_u" "bhagavatapurana_skandha-06_u" "bhagavatapurana_skandha-07_u" "bhagavatapurana_skandha-08_u" "bhagavatapurana_skandha-09_u" "bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary" "bhagavatapurana_skandha-10_u" "bhagavatapurana_skandha-11_u" "bhagavatapurana_skandha-12_u" "bhavisyapurana" "brahmandapurana_khanda-1_u" "brahmandapurana_khanda-2_u" "brahmandapurana_khanda-3_u" "brahmandapurana" "brahmapurana_pu" "devibhagavatapurana_devigita_adhyaya-31-40" "devibhagavatapurana" "devipurana" "garudapurana_khanda-1_u" "garudapurana_khanda-2_u" "garudapurana_khanda-3_u" "kalikapurana" "karatoyamahatmya_pu" "kurmapurana_khanda-1_u" "kurmapurana_khanda-2_u" "lingapurana_khanda-1_u" "lingapurana_khanda-2_u" "mahabharata_01-adiparvan" "mahabharata_02-sabhaparvan" "mahabharata_03-aranyakaparvan" "mahabharata_04-virataparvan" "mahabharata_05-udyogaparvan" "mahabharata_06-bhismaparvan" "mahabharata_07-dronaparvan" "mahabharata_08-karnaparvan" "mahabharata_09-salyaparvan" "mahabharata_10-sauptikaparvan" "mahabharata_11-striparvan" "mahabharata_12-santiparvan" "mahabharata_13-anusasanaparvan" "mahabharata_14-asvamedhikaparvan" "mahabharata_15-asramavasikaparvan" "mahabharata_16-mausalaparvan" "mahabharata_17-mahaprasthanikaparvan" "mahabharata_18-svargarohanaparvan" "markandeyapurana_adhyaya-1-93_u" "matsyapurana_adhyaya-1-176_pu" "naradapurana_khanda-1_u" "naradapurana_khanda-2_u" "nilamatapurana_au" "nrsimhapurana_pu" "padmapurana_a" "pranavakalpa" "ramayana_01-balakanda" "ramayana_02-ayodhyakanda_a" "ramayana_03-aranyakanda_a" "ramayana_04-kiskindhakanda" "ramayana_05-sundarakanda" "ramayana_06-yuddhakanda" "ramayana_07-uttarakanda" "saurapurana" "sivapurana_dharmasamhita" "sivapurana_karvanamahatmya_au" "sivapurana_rudrasamhita" "sivapurana_sanatkumarasamhita" "sivapurana_satarudrasamhita_au" "sivapurana_umasamhita" "sivapurana_vayaviyasamhita_au" "sivapurana_vidyesvarasamhita_au" "skandamahapurana_himavatkhanda" "skandamahapurana_kasikhanda" "skandamahapurana_revakhanda" "skandamahapurana_sutasamhita_khanda-4" "skandapurana_adhyaya-1-31_pu" "skandapurana_pasupata_adhyaya174-183_u" "skandapurana" "vamanapurana_saromahatmya_u" "vamanapurana_u" "vayu_ba" "vayupurana_01_frame-and-cosmogony_iast" "vayupurana_02_pashupata-yoga_iast" "vayupurana_03_kalpas-and-shiva-lineages_iast" "vayupurana_04_bhuvana-vinyasa_iast" "vayupurana_05_jyotis-and-purvardha-close_iast" "vayupurana_06_prthu-and-prajapati-lineages_iast" "vayupurana_07_shraddha-kalpa_iast" "vayupurana_08_manu-candra-vishnu-vamsha_iast" "vayupurana_09_upasamhara_iast" "vayupurana_10_gaya-mahatmya_iast" "vayupurana_revakhanda" "vayupurana" "visnudharma_pu" "visnudharmottarapurana_khanda-3_adhyaya-343-353_pu" "visnupurana_u"
"agnipurana_u" 0 0.414135397995615 0.447277161495255 0.410478607160433 0.397924167704843 0.441553506925652 0.390864430840343 0.400765158154015 0.395550419575592 0.397984163672933 0.47264122908457 0.391575513869068 0.412808036646397 0.408311392757971 0.289763424202379 0.381994379610968 0.339275841137395 0.329392413871856 0.314398778406175 0.338459037785253 0.402432172801142 0.34494450741161 0.2924737052175 0.228957504185037 0.32185294501556 0.401720279431499 0.302830171976407 0.553864308027838 0.353837652601452 0.337999164626502 0.314034967557363 0.316167668227585 0.399894433514368 0.426353090086553 0.389975801639333 0.436111280091439 0.413596513740693 0.436461689337405 0.434093539523115 0.434400934946185 0.426684203867905 0.431176647233769 0.451861492293814 0.38679172910737 0.384089966827743 0.415330686325391 0.471510085694232 0.484087283344195 0.585812760421339 0.519257706559445 0.328136657662687 0.301466457219655 0.239304182749133 0.353611988032147 0.392173502300635 0.361536529490217 0.364943766211915 0.413346748594075 0.434570030837222 0.420679842222873 0.425349366199273 0.426001089514979 0.431540413679526 0.433120358817183 0.419979999244371 0.335348385470742 0.440159848158606 0.464883577386882 0.384563023438527 0.46254931136089 0.418477973626952 0.332402749311612 0.331320862388807 0.367050593934212 0.375287145390532 0.310292520300743 0.348563973029633 0.416283174761599 0.387984464695512 0.469517011418176 0.358223718416052 0.404496581375115 0.33013308107995 0.356188338238742 0.425164083288731 0.45843541795777 0.405287572786088 0.452650458931174 0.388108993263362 0.418071393107834 0.386869108333625 0.398567025320308 0.412095897222859 0.426985793965069 0.355108825626506 0.335349095851149 0.364854564230725 0.459766493967978 0.33311954799786
"bhagavatapurana_skandha-01_u" 0.414135397995615 0 0.334524659883906 0.298434987848314 0.286485693026077 0.370156291471374 0.29425419488243 0.303573124265031 0.310867274399687 0.320554109944493 0.421308357906745 0.27101544725754 0.311352604211579 0.337719814242364 0.384283706921921 0.413262250157133 0.352553814827279 0.406238774601859 0.364410895435422 0.346329352069263 0.441502642398312 0.385507818240331 0.416826047749919 0.400920841673433 0.40812011756579 0.455161634069526 0.390638425920373 0.588713345838362 0.370901486451544 0.391814416144169 0.383319619704336 0.434531356178993 0.34538343789658 0.37100532860518 0.339189903427972 0.392033350001294 0.360227552355391 0.405725827001209 0.405010840808983 0.410273954295542 0.397937492485346 0.395084789101638 0.409085278683002 0.34498614647218 0.353010006877465 0.365241311394501 0.410605978579148 0.44411025203371 0.54669029964011 0.478086679460717 0.354265035778159 0.346081867917071 0.377646656997645 0.395229168736174 0.443551303444212 0.365094069487096 0.399857949093285 0.43622816254035 0.41019502648842 0.38678046718432 0.409391968687896 0.409474844465271 0.416995217179591 0.4230678454238 0.389526927151533 0.380921069621123 0.460118776413909 0.477798613214363 0.411833792078378 0.486014271573209 0.404059370013418 0.378786892828021 0.407298070557489 0.463056507752378 0.393869311503956 0.372954531241383 0.397758584318966 0.4552687562358 0.394605676717527 0.473320379845485 0.350091984512269 0.416759394062076 0.364154336971108 0.392864646294243 0.439589911656119 0.501743222283506 0.418764844816676 0.491673408064209 0.430278231624541 0.448224519242782 0.438804816317343 0.40113215550555 0.436358690720733 0.485850641156412 0.40898047394005 0.379405117015368 0.36518215566529 0.476664361330015 0.354568671733361
"bhagavatapurana_skandha-02_u" 0.447277161495255 0.334524659883906 0 0.322218026275172 0.334970755317953 0.381374964150649 0.341469987427177 0.34355083255736 0.353255399141845 0.376933260179427 0.459798969458829 0.360956277347173 0.346657506380256 0.374037663144201 0.431494018523455 0.449873159307908 0.409377427422429 0.444317974488021 0.415931318002752 0.406665840851284 0.459269238144224 0.435413939794304 0.451931610879618 0.436413835089721 0.447419752421884 0.479392284116718 0.4249260771594 0.594345603107004 0.400381221562986 0.419244322848288 0.416783196534492 0.455083120366372 0.422285260041672 0.446638743286984 0.417698755598238 0.461170183363654 0.437882556263275 0.466900326517718 0.464788089263116 0.470371522725086 0.462481394972202 0.458257340172699 0.466475579238001 0.402324693448994 0.417306928294511 0.429099487463002 0.478144918964859 0.500627422361706 0.580143629924187 0.519530600269171 0.407295518142823 0.401958603018372 0.413793110492609 0.437333599324454 0.480024730235589 0.408600538279654 0.444959957005437 0.44677146146333 0.460456457155791 0.453380833313078 0.457051573452555 0.45210312360177 0.464436642076257 0.468825766864497 0.444979577094582 0.417854381493561 0.494551867454914 0.50696862279274 0.455567340330454 0.506616700769259 0.437197858980299 0.420216410586641 0.427584089758928 0.484137269578504 0.434007409794463 0.40707513043046 0.439757719303098 0.466457921347317 0.434862120959317 0.478462774479928 0.407466387630484 0.447660592385075 0.41600748307372 0.437453684883674 0.465514873702119 0.502362957166374 0.447308833910834 0.517738216603075 0.466155650316243 0.479909722025107 0.472008328176125 0.452979333544459 0.463335246618968 0.514390109267767 0.444395755979754 0.424360638424746 0.398895334625141 0.495534114943416 0.40019004295314
"bhagavatapurana_skandha-03_u" 0.410478607160433 0.298434987848314 0.322218026275172 0 0.226658514457494 0.324515438228035 0.30578903993622 0.318372879503553 0.316923901589701 0.342538654662453 0.384220966636663 0.260865155062804 0.263542538794591 0.314579178802013 0.399801753221328 0.42093622909791 0.373659888591805 0.407586076782193 0.374552093878661 0.323804714163046 0.441767074649611 0.40450067042921 0.419502277170178 0.409638685468663 0.416174264959008 0.461217126215633 0.390828501194644 0.58041364542704 0.378937898643061 0.394902434469256 0.382187703581732 0.431137098442255 0.338867225639826 0.375740668864021 0.328516284029927 0.386978284105993 0.359450655401268 0.399588478958817 0.394642402949119 0.401583142111315 0.389471428350936 0.389405543866965 0.407164309187622 0.316848487851563 0.332799006230011 0.352423654658044 0.419084167023928 0.449678105805568 0.547801637684889 0.4836013909153 0.364219002558448 0.353508899001472 0.385986523940659 0.399655536792004 0.455474898188705 0.342874268683533 0.40550407976332 0.436422628605107 0.393542581987109 0.37122174878209 0.388197144893627 0.38821791411153 0.389210250844003 0.397845508791715 0.371801603624768 0.394396024234417 0.471401595138355 0.49333177047356 0.419618597928623 0.488295513566144 0.416334086676086 0.382722556175341 0.397785992854249 0.466280894795682 0.405990678255043 0.36936737392624 0.395151608861401 0.461792219540862 0.402217109688627 0.466340533333146 0.357946914188243 0.425260846392486 0.377649698171559 0.404580732424505 0.439165939522332 0.493489095146272 0.424667592950999 0.505329039176675 0.440036501017329 0.455090318712366 0.447070995464712 0.426272490327826 0.439114419114017 0.498805487443548 0.419042950873196 0.390678548792577 0.330275964736818 0.466832740229254 0.360939353900978
"bhagavatapurana_skandha-04_u" 0.397924167704843 0.286485693026077 0.334970755317953 0.226658514457494 0 0.324899006119196 0.289311345421406 0.303859313996977 0.303256920315762 0.319520224080028 0.389181843597475 0.234861186681473 0.278488698162407 0.310239564723591 0.387552263462549 0.412406869678716 0.35489025827682 0.400111696594239 0.361256220617329 0.309988855167031 0.43693241301845 0.388433872708526 0.406537748630512 0.398061172935648 0.407211179197018 0.459916030602855 0.379459104164767 0.574275164278117 0.362547195873201 0.390880734798955 0.373427188362005 0.426244734784457 0.318430055430305 0.359738532229033 0.31185018697372 0.377183867651994 0.344906210615945 0.390458608961748 0.386912772888464 0.390588282690179 0.37659828513147 0.377655113700767 0.391468757723751 0.309215737959408 0.32370997162929 0.339408822487583 0.401847151552986 0.439601667513589 0.538965672282077 0.470660428707777 0.353541309428154 0.338356579737656 0.373292526766531 0.38672238033605 0.440056512798545 0.327363232792622 0.395289377342825 0.438687690817809 0.376039073515104 0.351457169009397 0.37497568863895 0.375588226260309 0.377739686752 0.387469513237709 0.356818450808907 0.382001288994854 0.46401840329754 0.487228206527804 0.404056033531269 0.488419986550317 0.408872909726533 0.373149973432775 0.395864645534514 0.461466540596884 0.393161262579657 0.361185916698121 0.376115209945066 0.45549149511723 0.391530336077552 0.479173810653004 0.345447355714316 0.411817022005395 0.358246574591598 0.392244815014363 0.44194794054939 0.49721941009635 0.418244477768632 0.492710119772362 0.435887533078617 0.443184256855881 0.436173765725746 0.408469493408532 0.439111135025319 0.486631487729075 0.403675909021125 0.377190128982451 0.321847679363867 0.454926184497861 0.34970064634749
"bhagavatapurana_skandha-05_u" 0.441553506925652 0.370156291471374 0.381374964150649 0.324515438228035 0.324899006119196 0 0.368021634555395 0.386221571440081 0.371137840540094 0.399289125683357 0.414526594960429 0.342534179144871 0.35334267535237 0.361189885189483 0.434448819498157 0.449873076782554 0.416473247726887 0.430853062213641 0.413515658986473 0.392064795122354 0.476010184999918 0.449304556118134 0.450105299801409 0.439081626849114 0.4521443403389 0.488402094278364 0.439141174002495 0.59172850392621 0.425482246555567 0.435377013575658 0.42787720841972 0.464326749767787 0.40401766025929 0.42642378993956 0.394376699951116 0.441862104556577 0.416119657345342 0.449677488286528 0.450390115779053 0.453741143863267 0.445264462726363 0.444558833247896 0.45086167471874 0.387350892248785 0.396832313606772 0.416874117244794 0.467061048557784 0.494950803387454 0.578035405910648 0.524185281226016 0.413519243535632 0.391731340951409 0.426227170796547 0.447601863610593 0.484280208943599 0.400282910528475 0.430641801223965 0.442881756166704 0.446769157824237 0.427691007840585 0.434926475976054 0.432580499280127 0.436018006774042 0.446751102165581 0.430277812464165 0.433149253289641 0.481945685347062 0.528598928569319 0.46240418798286 0.489259459311504 0.463749890274115 0.427347035169753 0.437789173219562 0.494281474310557 0.451245241029136 0.403309542672222 0.43121798170101 0.485346770539587 0.442925225582469 0.515361681032844 0.415216350476921 0.46588514102524 0.417402391031504 0.434889853672834 0.473416906004368 0.514406699181736 0.460256156538896 0.492105793941919 0.457484276385734 0.486173032767378 0.478023716835398 0.456498394184559 0.471479226682136 0.536787626036747 0.450718529322887 0.423464699923882 0.391590331924834 0.49142229204292 0.399321774888906
"bhagavatapurana_skandha-06_u" 0.390864430840343 0.29425419488243 0.341469987427177 0.30578903993622 0.289311345421406 0.368021634555395 0 0.273268654140088 0.261342892615507 0.30020844811868 0.440025507104037 0.294384806389971 0.307577348523268 0.350870875046921 0.367043401699269 0.393881463713411 0.330886325013588 0.373469501217354 0.336729390537641 0.34217909493504 0.416440894484736 0.364929485299346 0.388878449631068 0.375355149463357 0.38888214080169 0.430333801123644 0.368279954820649 0.58255104734982 0.336845927807067 0.366476652825278 0.348789384752944 0.404615289264559 0.360193998463155 0.392382490337571 0.351385005276258 0.412296982756936 0.378908002096541 0.416462721960139 0.422690685183269 0.423698772977236 0.409070695523515 0.412623847256775 0.426503727256233 0.344450017935224 0.35090744401952 0.37708453738116 0.429837779424167 0.468889094253372 0.556624487090823 0.490919373356987 0.326028692513749 0.320571362969148 0.35495860775071 0.378832939904427 0.431238471580809 0.354035297054609 0.390606546873092 0.42254809560343 0.412485925253812 0.397873543114563 0.41323686434504 0.411299590525303 0.419861277667595 0.421183013327214 0.391874670824041 0.352302681158158 0.442604165332424 0.475254816391914 0.381105380415233 0.467069433337345 0.388007074075411 0.351979151573303 0.374742441965736 0.44531687475573 0.382739995075851 0.346474906007974 0.38959369151728 0.422834598013106 0.370413157942883 0.462474486979311 0.335764241743714 0.395874480289198 0.335162937992896 0.371316536484495 0.420935099298229 0.474745027662901 0.393549407235613 0.476400014424622 0.41803912428585 0.420804817951192 0.418180195544688 0.387760561711806 0.418377465823216 0.473814508271598 0.388791964048701 0.355120810054689 0.359330853481234 0.46688147589831 0.328070701682129
"bhagavatapurana_skandha-07_u" 0.400765158154015 0.303573124265031 0.34355083255736 0.318372879503553 0.303859313996977 0.386221571440081 0.273268654140088 0 0.296627996264891 0.321805415437351 0.432962030314489 0.312727592129891 0.309045518096523 0.366133750063876 0.379418198097865 0.410588455426911 0.354644803803938 0.389260612135932 0.358830697837269 0.363230113126246 0.428454957528271 0.378511087842032 0.399751079140953 0.388088279418476 0.389268368489594 0.437194480589775 0.377209978966881 0.585612054875229 0.362050952913499 0.372902933088824 0.367539928122294 0.414633033344307 0.383113226697871 0.41008668811941 0.374774491185784 0.429291920954219 0.398977039616248 0.442353091026153 0.440212678939002 0.443071881056751 0.433038102041454 0.428909265844274 0.446220509696106 0.358329970493875 0.376206412058227 0.391847897294713 0.447260494830584 0.478719935731695 0.558880425435448 0.500658108398741 0.342728931210907 0.34337974637533 0.363554263915336 0.384731145458033 0.442973172440293 0.372270194619819 0.396777775628562 0.422531343928716 0.434557420627221 0.416562431631467 0.428955847702472 0.428177587407201 0.44036749968639 0.440960074255818 0.411463389799185 0.36491296009546 0.447293367238257 0.480635677555498 0.397137541281777 0.470849654570353 0.403597197050708 0.367532220323952 0.386445296455601 0.445305351614058 0.394281849540155 0.352241595800631 0.398148720859844 0.433426272309158 0.387790690290816 0.471559935455977 0.356054247555267 0.401248584582701 0.356063811636183 0.391142745905286 0.431925787049848 0.482418446919792 0.414257561584131 0.494962770364835 0.427109517944219 0.444082074397661 0.424645942246024 0.407661418890214 0.429820792882334 0.474247328366419 0.398266801442739 0.376861780931061 0.369018287199622 0.476636360696947 0.340946060907092
"bhagavatapurana_skandha-08_u" 0.395550419575592 0.310867274399687 0.353255399141845 0.316923901589701 0.303256920315762 0.371137840540094 0.261342892615507 0.296627996264891 0 0.299751909936598 0.44045223357922 0.283469336708617 0.34150623686147 0.355693487469365 0.36586765444228 0.403217950060098 0.335834627570045 0.373704040711964 0.342637854957117 0.350079209295461 0.428892375601705 0.372190365039717 0.393036775937483 0.378842710941437 0.403049025361983 0.436997978475204 0.364444024071633 0.584226676321372 0.340720082341404 0.382412780908475 0.354493224882437 0.40667338148336 0.371811888658331 0.398075707491089 0.361648547545879 0.41686997570918 0.394305740560689 0.418711524428049 0.418828095897446 0.420807254032754 0.409668448062265 0.420452187160422 0.437809965503965 0.372448428773427 0.370440579720983 0.393662219350304 0.44178171753466 0.470880537417501 0.56483332683352 0.497875991700007 0.34067939283611 0.319587554548993 0.360052834560125 0.38713142094232 0.424868703893879 0.359036209444184 0.384900291000622 0.426059479936079 0.417321455537441 0.409875720908024 0.416318401428881 0.408985778206318 0.414538448890517 0.410334782193258 0.392062954808713 0.352546773888793 0.442801682556779 0.483975489689972 0.379760091185252 0.459290491324512 0.386824168572253 0.362751498396107 0.382068937653915 0.451563203982527 0.372693620376687 0.358717894417466 0.391448549744907 0.43717305980656 0.370357013143934 0.479161931732435 0.33198453763509 0.393222924473786 0.330043898018284 0.37872070894426 0.432824361694222 0.493625779149276 0.39857714362369 0.465704238339388 0.424243404954261 0.429147988941099 0.431994246686947 0.38866762128777 0.426027506953782 0.477063342192961 0.392990341154435 0.361378919397374 0.366726700822217 0.466891469215098 0.334670495430677
"bhagavatapurana_skandha-09_u" 0.397984163672933 0.320554109944493 0.376933260179427 0.342538654662453 0.319520224080028 0.399289125683357 0.30020844811868 0.321805415437351 0.299751909936598 0 0.452290852431385 0.304027501631176 0.368668412784516 0.373602784420506 0.372012430837747 0.39628974943926 0.315671097914726 0.390921001708557 0.340012486375147 0.358027612739436 0.43951128247038 0.375000392847844 0.409782288017424 0.390034628302868 0.406799611024458 0.44767355429909 0.367680618412723 0.590500128452752 0.353250185215493 0.393319906656363 0.370347477701905 0.422419364562372 0.354930836328477 0.3954655107826 0.358166024559804 0.40798480499441 0.383424215152881 0.424628682180362 0.420361017058077 0.423846548870651 0.406411788169073 0.417781179099027 0.430872382500035 0.375544237138825 0.373584530309788 0.392029300862232 0.42867631869562 0.459445851757489 0.556895672721379 0.49685764340816 0.335804957270103 0.328371459599389 0.3750566554873 0.38467885600291 0.433582934182649 0.366382083729408 0.403110512550724 0.441482431321685 0.393060792958519 0.389808473103216 0.416849877822847 0.408512187581363 0.419724705323993 0.426158132835521 0.389226468520151 0.3734860939068 0.449455893849804 0.487017173441813 0.397870474117077 0.479401246497185 0.40133889103577 0.363803014910523 0.396734098878778 0.467595610004488 0.398366273249852 0.364977643436182 0.398273204346282 0.457728230655489 0.382797844131432 0.487646630642129 0.356502936876931 0.402342476280077 0.343718628636753 0.36448535934596 0.432854339257757 0.498219286091158 0.39948544801124 0.483780294521976 0.420582532139371 0.420847907821659 0.428276307223505 0.338764306008204 0.432283495474265 0.48075214694597 0.401162250549387 0.354427996169385 0.397065530024809 0.487334990693758 0.334217565671688
