Source,Target,Weight,Type
agnipurana_u,devipurana,2,undirected
agnipurana_u,garudapurana_khanda-1_u,24,undirected
agnipurana_u,karatoyamahatmya_pu,1,undirected
agnipurana_u,matsyapurana_adhyaya-1-176_pu,3,undirected
agnipurana_u,naradapurana_khanda-1_u,11,undirected
agnipurana_u,sivadharmottara,6,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-02_u,3,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-03_u,2,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-04_u,9,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-06_u,2,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-07_u,2,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-10_u,11,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-01_u,3,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-03_u,12,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-04_u,4,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-06_u,2,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-08_u,3,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-01_u,2,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-02_u,12,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-04_u,20,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-05_u,7,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,7,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-10_u,11,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-11_u,15,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-12_u,8,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-01_u,9,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-02_u,4,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-03_u,20,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-05_u,12,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-06_u,6,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-07_u,3,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-08_u,4,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-09_u,2,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,5,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-10_u,22,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-11_u,3,undirected
