Source,Target,Weight,Type
agnipurana_u,bhavisyapurana,4,undirected
agnipurana_u,garudapurana_khanda-1_u,10,undirected
agnipurana_u,naradapurana_khanda-1_u,12,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-02_u,12,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-03_u,4,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-04_u,8,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-10_u,16,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-01_u,12,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-03_u,8,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-04_u,4,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-01_u,4,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-02_u,8,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-04_u,24,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-05_u,12,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,7,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-10_u,12,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-11_u,20,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-12_u,4,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-01_u,8,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-02_u,4,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-03_u,24,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-05_u,8,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-10_u,20,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-11_u,12,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-12_u,8,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-03_u,12,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-04_u,8,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-12_u,4,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-07_u,20,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-08_u,24,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-09_u,16,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-06_u,20,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-08_u,16,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-09_u,8,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-06_u,24,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-07_u,16,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-09_u,12,undirected
bhagavatapurana_skandha-09_u,bhagavatapurana_skandha-06_u,16,undirected
bhagavatapurana_skandha-09_u,bhagavatapurana_skandha-07_u,8,undirected
bhagavatapurana_skandha-09_u,bhagavatapurana_skandha-08_u,12,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,bhagavatapurana_skandha-03_u,7,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,bhagavatapurana_skandha-10_u,12,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,visnudharma_pu,5,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-01_u,16,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-03_u,12,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-04_u,20,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,12,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-11_u,4,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-12_u,12,undirected
bhagavatapurana_skandha-11_u,bhagavatapurana_skandha-03_u,20,undirected
bhagavatapurana_skandha-11_u,bhagavatapurana_skandha-04_u,12,undirected
bhagavatapurana_skandha-11_u,bhagavatapurana_skandha-10_u,4,undirected
bhagavatapurana_skandha-12_u,bhagavatapurana_skandha-03_u,4,undirected
bhagavatapurana_skandha-12_u,bhagavatapurana_skandha-04_u,8,undirected
bhagavatapurana_skandha-12_u,bhagavatapurana_skandha-05_u,4,undirected
bhagavatapurana_skandha-12_u,bhagavatapurana_skandha-10_u,12,undirected
bhavisyapurana,agnipurana_u,4,undirected
bhavisyapurana,devibhagavatapurana,24,undirected
bhavisyapurana,devipurana,12,undirected
bhavisyapurana,garudapurana_khanda-1_u,8,undirected
bhavisyapurana,garudapurana_khanda-2_u,12,undirected
bhavisyapurana,garudapurana_khanda-3_u,8,undirected
bhavisyapurana,kalikapurana,12,undirected
bhavisyapurana,naradapurana_khanda-1_u,20,undirected
bhavisyapurana,naradapurana_khanda-2_u,12,undirected
bhavisyapurana,nilamatapurana_au,5,undirected
bhavisyapurana,padmapurana_a,8,undirected
bhavisyapurana,sivapurana_karvanamahatmya_au,2,undirected
bhavisyapurana,sivapurana_rudrasamhita,1,undirected
bhavisyapurana,sivapurana_umasamhita,7,undirected
bhavisyapurana,sivapurana_vidyesvarasamhita_au,8,undirected
bhavisyapurana,vayupurana_revakhanda,8,undirected
brahmandapurana_khanda-1_u,brahmandapurana,4,undirected
brahmandapurana_khanda-1_u,vayu_ba,20,undirected
brahmandapurana_khanda-1_u,vayupurana_01_frame-and-cosmogony_iast,8,undirected
brahmandapurana_khanda-1_u,vayupurana_05_jyotis-and-purvardha-close_iast,8,undirected
brahmandapurana_khanda-1_u,vayupurana_06_prthu-and-prajapati-lineages_iast,4,undirected
brahmandapurana_khanda-1_u,vayupurana_09_upasamhara_iast,4,undirected
brahmandapurana_khanda-1_u,vayupurana,12,undirected
brahmandapurana_khanda-2_u,brahmandapurana_khanda-3_u,4,undirected
brahmandapurana_khanda-2_u,brahmandapurana,24,undirected
brahmandapurana_khanda-2_u,markandeyapurana_adhyaya-1-93_u,8,undirected
brahmandapurana_khanda-2_u,matsyapurana_adhyaya-1-176_pu,20,undirected
brahmandapurana_khanda-2_u,sivapurana_umasamhita,8,undirected
brahmandapurana_khanda-2_u,vayupurana_07_shraddha-kalpa_iast,4,undirected
brahmandapurana_khanda-2_u,vayupurana_08_manu-candra-vishnu-vamsha_iast,11,undirected
brahmandapurana_khanda-2_u,vayupurana,4,undirected
