"agnipurana_u" "bhagavatapurana_skandha-01_u" "bhagavatapurana_skandha-02_u" "bhagavatapurana_skandha-03_u" "bhagavatapurana_skandha-04_u" "bhagavatapurana_skandha-05_u" "bhagavatapurana_skandha-06_u" "bhagavatapurana_skandha-07_u" "bhagavatapurana_skandha-08_u" "bhagavatapurana_skandha-09_u" "bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary" "bhagavatapurana_skandha-10_u" "bhagavatapurana_skandha-11_u" "bhagavatapurana_skandha-12_u" "bhavisyapurana" "brahmandapurana_khanda-1_u" "brahmandapurana_khanda-2_u" "brahmandapurana_khanda-3_u" "brahmandapurana" "brahmapurana_pu" "devibhagavatapurana_devigita_adhyaya-31-40" "devibhagavatapurana" "devipurana" "garudapurana_khanda-1_u" "garudapurana_khanda-2_u" "garudapurana_khanda-3_u" "harivamsa_appendix-29-30_mathura" "harivamsa_appendix-31" "harivamsa_appendix-41" "harivamsa_appendix-42_pradurbhava" "harivamsa" "kalikapurana" "karatoyamahatmya_pu" "kurmapurana_khanda-1_u" "kurmapurana_khanda-2_u" "lingapurana_khanda-1_u" "lingapurana_khanda-2_u" "mahabharata_01-adiparvan" "mahabharata_02-appendix-21_sisupala" "mahabharata_02-sabhaparvan" "mahabharata_03-aranyakaparvan" "mahabharata_04-virataparvan" "mahabharata_05-udyogaparvan" "mahabharata_06-bhismaparvan" "mahabharata_07-appendix-08_sodasarajika" "mahabharata_07-dronaparvan" "mahabharata_08-karnaparvan" "mahabharata_09-salyaparvan" "mahabharata_10-sauptikaparvan" "mahabharata_11-striparvan" "mahabharata_12-appendix-29_moksadharma" "mahabharata_12-santiparvan" "mahabharata_13-anusasanaparvan" "mahabharata_13-appendix-15_umamahesvara" "mahabharata_14-appendix-04_vaisnavadharma" "mahabharata_14-asvamedhikaparvan" "mahabharata_15-asramavasikaparvan" "mahabharata_16-mausalaparvan" "mahabharata_17-mahaprasthanikaparvan" "mahabharata_18-svargarohanaparvan" "markandeyapurana_adhyaya-1-93_u" "matsyapurana_adhyaya-1-176_pu" "naradapurana_khanda-1_u" "naradapurana_khanda-2_u" "nilamatapurana_au" "nrsimhapurana_pu" "padmapurana_a" "pranavakalpa" "ramayana_01-balakanda" "ramayana_02-ayodhyakanda_a" "ramayana_03-aranyakanda_a" "ramayana_04-kiskindhakanda" "ramayana_05-sundarakanda" "ramayana_06-yuddhakanda" "ramayana_07-uttarakanda" "saurapurana" "sivadharmasastra" "sivadharmottara" "sivapurana_dharmasamhita" "sivapurana_karvanamahatmya_au" "sivapurana_rudrasamhita" "sivapurana_sanatkumarasamhita" "sivapurana_satarudrasamhita_au" "sivapurana_umasamhita" "sivapurana_vayaviyasamhita_au" "sivapurana_vidyesvarasamhita_au" "skandamahapurana_himavatkhanda" "skandamahapurana_kasikhanda" "skandamahapurana_revakhanda" "skandamahapurana_sutasamhita_khanda-4" "skandapurana_adhyaya-1-31_pu" "skandapurana_pasupata_adhyaya174-183_u" "skandapurana" "vamanapurana_saromahatmya_u" "vamanapurana_u" "vayu_ba" "vayupurana_01_frame-and-cosmogony_iast" "vayupurana_02_pashupata-yoga_iast" "vayupurana_03_kalpas-and-shiva-lineages_iast" "vayupurana_04_bhuvana-vinyasa_iast" "vayupurana_05_jyotis-and-purvardha-close_iast" "vayupurana_06_prthu-and-prajapati-lineages_iast" "vayupurana_07_shraddha-kalpa_iast" "vayupurana_08_manu-candra-vishnu-vamsha_iast" "vayupurana_09_upasamhara_iast" "vayupurana_10_gaya-mahatmya_iast" "vayupurana_revakhanda" "vayupurana" "visnudharma_pu" "visnudharmottarapurana_khanda-3_adhyaya-343-353_pu" "visnupurana_u"
"agnipurana_u" 0 0.39520004331386 0.424946904817728 0.393893774545859 0.38047217914136 0.426388039767275 0.372160310511597 0.379814681301671 0.376735777935828 0.378997916003016 0.452504011123836 0.376109773957147 0.395838839355383 0.387631704036418 0.274585293787923 0.367699927442909 0.32556875655826 0.315314463859308 0.30247036972896 0.325102660436444 0.380445806955981 0.327158134918796 0.27711562901885 0.214429343785052 0.305276511623689 0.383079284720114 0.371711194338857 0.4148679603153 0.422927382621615 0.411873673193408 0.36046356959986 0.288016518335565 0.524160342682185 0.337716883894422 0.322029920855213 0.300162532043766 0.298759870076851 0.384783470963534 0.414762793713451 0.409854620140831 0.37542668475655 0.418089976019899 0.39731120222147 0.420181185674773 0.444394772139287 0.417001985067308 0.417095520456322 0.410884040065144 0.408968677148202 0.430733283030004 0.468030478609901 0.372271470717029 0.369735241582007 0.398393025062822 0.379496487280158 0.398710760001614 0.453889026357925 0.459617413466826 0.561108510519272 0.492812734247922 0.315100865984722 0.288267053139441 0.225958550548707 0.337697269710817 0.37487904954472 0.34603804025281 0.350044350404733 0.397508831401576 0.417608649292906 0.403109212487372 0.408637883833014 0.408016091498412 0.415094554568835 0.416477073898403 0.402164429481937 0.317775318048374 0.371482501585681 0.33600529897569 0.422576792776668 0.438926339381305 0.36605107972116 0.444862453873334 0.400199822756909 0.315498820406375 0.313318396277624 0.344366436484016 0.357929154291235 0.294064114830067 0.332448388751771 0.39785463999731 0.370667052589006 0.449760907851565 0.344584242541565 0.38750666330351 0.315549209553886 0.34172807798642 0.407049425294944 0.434851183778007 0.388387801482659 0.43499669213055 0.370244345187368 0.400925518019924 0.366094485677347 0.380602539733169 0.392771328382547 0.401328633323124 0.341091436771558 0.321386526281924 0.349419909218136 0.434527394441042 0.318833417996321
"bhagavatapurana_skandha-01_u" 0.39520004331386 0 0.307648609186336 0.275585117614247 0.264253443844857 0.348441413452075 0.270749055761863 0.279321427555344 0.28787519252785 0.296668122734928 0.398986879053334 0.249475787908766 0.289278681887007 0.314283422322192 0.362401225787328 0.394469400944986 0.332425792012977 0.386472649220382 0.345102816134749 0.325796094399427 0.41780048863038 0.363124365805701 0.396035389149265 0.379235152081842 0.386981256882573 0.434625202023739 0.352639244340564 0.382578741303738 0.404616815631872 0.40252844686944 0.317630076339622 0.370076225446634 0.562526568379175 0.350186196485815 0.37154851144471 0.363148218207395 0.413364469500103 0.32473221081324 0.383506617600615 0.351242986704755 0.319301422269658 0.369839787271375 0.340607941134171 0.385315720833091 0.406755491705344 0.38382447806601 0.389097587148718 0.378158898399 0.371092849319493 0.387824742946626 0.441464367407598 0.324932109523232 0.332071692076717 0.407984312977074 0.411202225774301 0.344946070514698 0.391160052382802 0.419083261829109 0.522927382193537 0.452428139173459 0.333977286257138 0.324824972397695 0.356901193281057 0.37532068300101 0.422895407676219 0.344606279728373 0.378226068626981 0.416088410938374 0.389294458155605 0.366387232103834 0.389127594225263 0.388353487006523 0.396066640689621 0.402926713003097 0.368677145909236 0.357667532447556 0.446764286733646 0.401941608987529 0.43560333963666 0.452968716098117 0.389986065791349 0.462591140703783 0.380663280763869 0.355816420858425 0.38536152249363 0.440454099906958 0.372394765128896 0.350505994328985 0.377851598261319 0.434392533834621 0.372934129782797 0.451948306282131 0.328561935469259 0.396344868041634 0.343452261760019 0.372572808938615 0.418321453643862 0.479219810349166 0.396699846697664 0.47220400474807 0.409100608987238 0.428302886643791 0.416841886030421 0.378949756247602 0.414267921052654 0.461519987209046 0.38943786265481 0.358989567314626 0.343833716401044 0.451676306918543 0.334388419989345
"bhagavatapurana_skandha-02_u" 0.424946904817728 0.307648609186336 0 0.296656247297951 0.309280654407423 0.356859148707156 0.316011208517925 0.316650105990544 0.329111685729035 0.351519475564957 0.43612592492266 0.33567945796081 0.322293383029837 0.3489110334514 0.407348676940978 0.429353343054883 0.386329128188879 0.421520831069882 0.393684846875675 0.383391147933696 0.435001995464953 0.409686468531027 0.428220461831407 0.4114789687281 0.423480479128229 0.45622567123043 0.41487836173168 0.420561380861205 0.425629655191953 0.442629036730831 0.391628937123604 0.401632242452013 0.56860784467914 0.376132347594465 0.395805678418783 0.393645649967991 0.431385283859083 0.39945516571678 0.441060075789555 0.424773589018262 0.394829661050998 0.438590075598505 0.414901931144558 0.444264457383432 0.458746752170438 0.442346026452309 0.448623112827922 0.441235908904781 0.433211105615452 0.443974125204698 0.4598731572661 0.379257526591695 0.394080980983861 0.44175843713695 0.44510360026351 0.406278448925403 0.456334264036631 0.47674676990539 0.557555457813407 0.495854289818864 0.384078123772188 0.378262024026967 0.389648860712007 0.414674757364047 0.458294040449884 0.384621750889493 0.419846535617392 0.423546124009191 0.437643734319398 0.430628670083896 0.434390259427187 0.429101152952945 0.441967354071094 0.44640099904236 0.421766940652884 0.391859618245334 0.462086756591342 0.431085785286229 0.467849466597151 0.482231013619592 0.431130388450607 0.47978871572046 0.413063144060258 0.394917188244683 0.401587488462589 0.459108037686147 0.410922889248857 0.380656313590551 0.417574652044482 0.443648869244155 0.41142478701918 0.456229670236929 0.383429347277167 0.425504414250725 0.392641394001115 0.41483046248871 0.443201344294841 0.479382689165587 0.42288751446886 0.497139778307427 0.444202221177451 0.459229250669059 0.447471525408687 0.429055696279785 0.440464776229177 0.488462932863593 0.422272299733328 0.400984456553718 0.37421544583478 0.470150821013578 0.375109726456534
"bhagavatapurana_skandha-03_u" 0.393893774545859 0.275585117614247 0.296656247297951 0 0.207370563850884 0.304606323049051 0.283921117771766 0.295412188011474 0.295621608213693 0.321504948118289 0.361842710489744 0.243330737531405 0.243981499792815 0.29135104574464 0.3807439900285 0.404759142176318 0.357048844639923 0.389853084175118 0.358666494778919 0.30614233238718 0.418390375014832 0.384564057291074 0.400548800505912 0.390844127204504 0.397505049066165 0.441819331211788 0.34243704387019 0.374781398874289 0.367962965804702 0.385268009552805 0.31071798300033 0.372569892118096 0.55386236788062 0.360233228084191 0.375896081467771 0.364323575266668 0.410736964977103 0.321345552256659 0.384141196238509 0.357665792567509 0.311498487035501 0.367429056490294 0.342153100511563 0.381299931111277 0.405121406771535 0.376324201219505 0.383669329176778 0.372403485203626 0.366638331233887 0.386997662786329 0.406106622173921 0.299247411514842 0.31504482986711 0.380045978108556 0.384794939641283 0.334283410735475 0.400080302760111 0.424299128202557 0.522652338184546 0.45900770967154 0.346579688836036 0.336093238498551 0.368231310439663 0.380550164430034 0.43620646123053 0.324423358387132 0.386611056869741 0.416992168363482 0.373787120307537 0.352506887897104 0.370108666051158 0.369177401610693 0.370425969180036 0.378997312704972 0.351812528158447 0.373778419863821 0.44527874462503 0.391338303589727 0.450534399418061 0.46731945361943 0.399824100807755 0.466847852241988 0.394750870494232 0.36293463574305 0.377200691335242 0.444480483368751 0.386044137587403 0.348814491798542 0.377201239097201 0.441745960578044 0.383044849473358 0.444924107695903 0.33891457541218 0.405919165360249 0.359941621680501 0.386812567911184 0.419483319084715 0.469965514718908 0.404386111261407 0.487778460418436 0.420474919654398 0.437182584381426 0.42540283070183 0.406628279784699 0.417987464445054 0.475252736871752 0.402824403621171 0.373118258439253 0.311184370282813 0.440925549051428 0.342636117585417
"bhagavatapurana_skandha-04_u" 0.38047217914136 0.264253443844857 0.309280654407423 0.207370563850884 0 0.305204211505364 0.267970593534266 0.279827178312101 0.282190655336475 0.299185344118884 0.367640448333382 0.216723407984795 0.259318315513418 0.287001366592604 0.368220547891166 0.396404089010503 0.337896686953042 0.382487470694971 0.345030574637026 0.292359160083582 0.413377395866987 0.36846777679879 0.38730199315062 0.3785725880697 0.38813070352308 0.439796130768263 0.327301999563943 0.358757464115866 0.367462373294437 0.374471986121315 0.292982938418599 0.360932749121633 0.546572987131657 0.343451398136503 0.372453642408918 0.355217879928844 0.405464502145956 0.30061731378511 0.371095080176573 0.342193126344132 0.294355427990215 0.357270138296772 0.327100052092433 0.372125487347259 0.379213373180428 0.368683221348925 0.372628810350543 0.359491757673879 0.354756644237855 0.370788823595643 0.410240012733001 0.292290792659754 0.305787555131799 0.378800363341611 0.377819684847507 0.320864411194955 0.383159752960762 0.414581935498995 0.514111471186546 0.445420099123902 0.33590280974917 0.320287430733885 0.354652151296253 0.367400150409734 0.420575952101903 0.309372834196549 0.375734861954186 0.419620847713237 0.356434827333612 0.333292082103407 0.356886458186422 0.356700058997406 0.359387936072818 0.369637526836776 0.337229917226935 0.360892063990414 0.441838320956205 0.385827443169836 0.442006904649681 0.462467581705206 0.384267205648496 0.467079389032468 0.387869445450509 0.353338125179659 0.3749013753964 0.43955064384507 0.373530510638562 0.34084864517095 0.35862312318004 0.435334266698455 0.372475788707833 0.457859305275179 0.326840960931216 0.393080837055165 0.339958027526469 0.374478775086862 0.423128416960358 0.474732094629394 0.398339410871357 0.474711431533677 0.417634378211292 0.425092431218935 0.415358300738935 0.388005568113287 0.418738468945824 0.462886757350387 0.386685020374464 0.359312349779781 0.302230782684461 0.428223023710768 0.331471591993446
"bhagavatapurana_skandha-05_u" 0.426388039767275 0.348441413452075 0.356859148707156 0.304606323049051 0.305204211505364 0 0.348254543157225 0.364429787117777 0.35030566829157 0.380919042036948 0.392968994900283 0.32474828550095 0.335223615554056 0.338401397476349 0.41660685715496 0.435223864737056 0.400480785560373 0.413854833860629 0.398612785464792 0.376154228031294 0.455060381078766 0.431247161380373 0.433274889060474 0.421597623302752 0.435408991656963 0.468809802462714 0.404734876068523 0.432037997620844 0.425988220357649 0.431777319128083 0.374340617593598 0.422468856976642 0.56639106048633 0.407374171360597 0.418062925265811 0.411432199599734 0.44554800217363 0.388023298273521 0.43106200358461 0.4096181485552 0.378082482679009 0.424132613562039 0.399304382964384 0.432329551038714 0.455626135203326 0.432566030643609 0.43656101313593 0.42958172612642 0.423556494548935 0.430757344691802 0.442108644044922 0.371543590838787 0.381181330939414 0.42673619344712 0.432513225843781 0.399653775399119 0.449216375501957 0.471712923722959 0.55570799833171 0.501692994666023 0.398100711609512 0.375444998598337 0.409449424370074 0.43125479326416 0.467713338517817 0.382466131889914 0.411940690695703 0.424032578568115 0.429761788954217 0.410865033036434 0.418634600643095 0.415966473416083 0.418836062643436 0.429575384198609 0.412394657293651 0.413360644551214 0.470765251224694 0.427251818198591 0.460849601339224 0.506290786753248 0.442834318290962 0.467054269113367 0.444089231628513 0.410056937294007 0.417856406841982 0.474078869657428 0.433443712868733 0.38324225350604 0.414461335510794 0.466529061613545 0.424449798819035 0.49643496342731 0.397643970773357 0.448450218211706 0.400637159870917 0.418520710981387 0.455542456492703 0.493047343288027 0.441922608545726 0.475642530119893 0.438824203040869 0.469682872436504 0.459116998105479 0.437307823902455 0.452463955715691 0.516023520007442 0.434307000020695 0.407398040494637 0.373224630934148 0.467370182910185 0.382118539741379
"bhagavatapurana_skandha-06_u" 0.372160310511597 0.270749055761863 0.316011208517925 0.283921117771766 0.267970593534266 0.348254543157225 0 0.247802129689506 0.238312295685219 0.277231593746493 0.417465612306317 0.27405110671759 0.286107399358571 0.32731599994144 0.345944198550056 0.376343199839335 0.311307212578951 0.353754250468686 0.318305647884929 0.3232159794043 0.392215181192329 0.342999158874083 0.367344846311175 0.3535402677819 0.367877194157204 0.409577868528021 0.360628695792047 0.386557335487925 0.391082196659624 0.39082390666906 0.330899158905103 0.348527700856693 0.5559670715831 0.31511593462798 0.346427941819347 0.32858774815743 0.383154639125415 0.341518134136376 0.394068091503053 0.373316685805616 0.33274368125821 0.392352804373044 0.36028078118561 0.39674798697526 0.414936345093132 0.403333730875359 0.404206336812785 0.390257674655052 0.3894892552488 0.406020676432334 0.438002937229146 0.325606455092161 0.331691625906011 0.403955881638608 0.405611926698255 0.358251932060201 0.410691719507543 0.443898719695484 0.532436512759578 0.466395616611042 0.306151848668948 0.300438854243974 0.335440274527269 0.359594645211749 0.410423108463199 0.334346520579513 0.370443047222478 0.40244442749534 0.392873951411594 0.378313061179134 0.394090346069816 0.391767525679813 0.400490599267394 0.402635478814657 0.37195288110935 0.328854479484573 0.428328851828135 0.391175132349413 0.418682908954807 0.449040786436439 0.357963555919723 0.443374885824562 0.365001853192138 0.329783615643809 0.351905042996242 0.422261704727609 0.361186835073 0.324030528510641 0.370852870847037 0.400627764436004 0.349104738695871 0.440949318285558 0.315910803248721 0.37487938763738 0.314255109819708 0.351526545257518 0.399933643681189 0.450414281159115 0.37112173526066 0.456682898723315 0.397535656455525 0.39997239790488 0.395417203791092 0.365584989674336 0.396509108841937 0.449891248372499 0.369786750555119 0.335105099257486 0.338613850820745 0.441234957241364 0.306239102852513
"bhagavatapurana_skandha-07_u" 0.379814681301671 0.279321427555344 0.316650105990544 0.295412188011474 0.279827178312101 0.364429787117777 0.247802129689506 0 0.270841192710614 0.296256424335986 0.410564328964015 0.290765340337353 0.286045039824548 0.341560261181296 0.356237500032269 0.390334808460654 0.33323470862952 0.366767506385481 0.337545846994381 0.341435552397001 0.403015387447833 0.35320174565391 0.37663001027475 0.364655030752485 0.366278679379657 0.415304024382438 0.376844561847174 0.400934622542744 0.415617175135491 0.415318393404121 0.352980801151823 0.35426499525209 0.558530793671696 0.337825285020625 0.350192980132596 0.345388484762856 0.390717498487271 0.36169332682838 0.410715786624187 0.388992309767031 0.353452725676644 0.406931069378405 0.378096245179514 0.420940876882183 0.42594208203714 0.418424487470441 0.421290475964757 0.412522276312334 0.403876385565438 0.423771495095336 0.45255979194251 0.337514931350968 0.354864914641722 0.404578455745496 0.411502777907834 0.370524438471722 0.425882503276194 0.453591346391946 0.533260625029262 0.475480833835367 0.320380715314127 0.320747980936653 0.341487365302607 0.363101598520109 0.42073726923456 0.350739657865937 0.373523008022455 0.400052739669071 0.412856497487243 0.395881078315078 0.407874784461096 0.406285466615497 0.418575469926281 0.41959235805445 0.388996776354633 0.338221867269521 0.426574494646622 0.39415427555434 0.420989020581985 0.454218494792786 0.372645024080478 0.445452457367386 0.379486983567457 0.342960185587802 0.362286615792032 0.420912713770603 0.372215809152191 0.32706826903149 0.376286989349693 0.410124614323771 0.365058854608617 0.448892501729146 0.333696624977496 0.378651668823412 0.33301255869752 0.369194377648762 0.409296454113142 0.457915407576501 0.390451575851727 0.474278725061804 0.404076944216619 0.423148111888246 0.400049316217125 0.384049030911923 0.40565387495832 0.447772097590783 0.376535589852226 0.354690592281626 0.347234373547822 0.450372254037991 0.31757254454757
"bhagavatapurana_skandha-08_u" 0.376735777935828 0.28787519252785 0.329111685729035 0.295621608213693 0.282190655336475 0.35030566829157 0.238312295685219 0.270841192710614 0 0.276022833915707 0.418736849933718 0.263627583721899 0.321449141177362 0.33178610874022 0.344060563569046 0.385480657550745 0.316350681248169 0.353925056065803 0.324310998742803 0.331253751182063 0.404491550375655 0.349937392584865 0.372035555609794 0.356645017484443 0.381311082046498 0.416102672506375 0.358624526312494 0.386502825736974 0.387574027652977 0.373439023535913 0.332560492503186 0.344405188714594 0.557002238386518 0.319776365897737 0.362220801731023 0.334624081708711 0.384760529334389 0.353084466481713 0.385471355305324 0.378849030434201 0.343188921451659 0.397039664206876 0.375946578580668 0.40007963741744 0.419329683830652 0.400388707082243 0.401941984148984 0.390977779597031 0.398018807948169 0.417069257456243 0.466334759349734 0.354210979166066 0.351231002424201 0.42279952429501 0.417662209071112 0.3749370642664 0.422072443417178 0.447120160954039 0.541077025319285 0.473261445420934 0.320488377395217 0.299242560339398 0.34026750690789 0.36727405203575 0.404661415879767 0.339284022802659 0.363895366266065 0.40633383583501 0.398441181789066 0.391043543645033 0.397935114801633 0.389599519820564 0.394718668177898 0.39159610266943 0.372248356369504 0.329045346987405 0.422868665692125 0.399302621434049 0.418549848678892 0.458087611976497 0.357137808394475 0.435919912260254 0.364376297903112 0.340912755166156 0.359690383953186 0.428906760418634 0.350583077899801 0.336291239456109 0.372170051778975 0.415529243319335 0.349923816909493 0.45866353738798 0.312121277432543 0.37294996672773 0.309449446404491 0.358785850626117 0.412602281197324 0.469541138338336 0.376442394655858 0.445765422666431 0.403571131972055 0.408597175289102 0.409091866210956 0.366995193886197 0.403982141361846 0.452339128882667 0.373549746964389 0.341219724905983 0.346703925193877 0.442031787678604 0.314343002238395
"bhagavatapurana_skandha-09_u" 0.378997916003016 0.296668122734928 0.351519475564957 0.321504948118289 0.299185344118884 0.380919042036948 0.277231593746493 0.296256424335986 0.276022833915707 0 0.430562090171737 0.283466883803954 0.349569205856592 0.351661436293651 0.351003563295554 0.378475768428988 0.296043983194852 0.371308789146591 0.321762464410941 0.33949699113793 0.415353727501781 0.352623145586942 0.389586114307915 0.369039393128012 0.385764338290194 0.426864227085639 0.370121420350339 0.394953703643907 0.420432609370415 0.409511825795041 0.325588417452441 0.347649241645408 0.564442666194603 0.3327408839574 0.373532284018325 0.351187271342993 0.401194471270389 0.337018590107079 0.395980872414307 0.377301274423875 0.339988664036204 0.387999196935252 0.365333827894473 0.406794513267548 0.410918336284895 0.402052394378777 0.405705586448806 0.38850792926189 0.394438969721237 0.409937695435524 0.472861878668565 0.358101428937742 0.355379854603876 0.43303694666543 0.428772861680062 0.373576899146733 0.409036702004054 0.435004391454342 0.533159642643996 0.472194274253509 0.315805527482194 0.308675274972696 0.355758664093293 0.364612415220385 0.413265992773867 0.347349148616501 0.382858937916373 0.421851133992944 0.374419601524101 0.370179532963964 0.398559994577586 0.388569444920321 0.399534541785544 0.407394242680207 0.369511896516395 0.351012559714867 0.440519375301274 0.414532961447091 0.425041415384363 0.461995678719536 0.37553477929936 0.45645640985446 0.378364048072981 0.341849404533702 0.375331653221848 0.445062219783461 0.37730357883025 0.34247728765584 0.379295107333571 0.43748413667732 0.361988108153704 0.466401072293312 0.336643527240227 0.381301013353686 0.323614423864872 0.34465139041476 0.411967986913314 0.475546113858626 0.377521304858497 0.465231902994614 0.40093831691568 0.40024647518684 0.406651795736907 0.31739492351381 0.410651390682477 0.456303746519409 0.382113917990115 0.33438222645523 0.378008250231525 0.463321269613924 0.314011123752435
