"agnipurana_u" "bhagavatapurana_skandha-01_u" "bhagavatapurana_skandha-02_u" "bhagavatapurana_skandha-03_u" "bhagavatapurana_skandha-04_u" "bhagavatapurana_skandha-05_u" "bhagavatapurana_skandha-06_u" "bhagavatapurana_skandha-07_u" "bhagavatapurana_skandha-08_u" "bhagavatapurana_skandha-09_u" "bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary" "bhagavatapurana_skandha-10_u" "bhagavatapurana_skandha-11_u" "bhagavatapurana_skandha-12_u" "bhavisyapurana" "brahmandapurana_khanda-1_u" "brahmandapurana_khanda-2_u" "brahmandapurana_khanda-3_u" "brahmandapurana" "brahmapurana_pu" "devibhagavatapurana_devigita_adhyaya-31-40" "devibhagavatapurana" "devipurana" "garudapurana_khanda-1_u" "garudapurana_khanda-2_u" "garudapurana_khanda-3_u" "kalikapurana" "karatoyamahatmya_pu" "kurmapurana_khanda-1_u" "kurmapurana_khanda-2_u" "lingapurana_khanda-1_u" "lingapurana_khanda-2_u" "mahabharata_01-adiparvan" "mahabharata_02-sabhaparvan" "mahabharata_03-aranyakaparvan" "mahabharata_04-virataparvan" "mahabharata_05-udyogaparvan" "mahabharata_06-bhismaparvan" "mahabharata_07-dronaparvan" "mahabharata_08-karnaparvan" "mahabharata_09-salyaparvan" "mahabharata_10-sauptikaparvan" "mahabharata_11-striparvan" "mahabharata_12-santiparvan" "mahabharata_13-anusasanaparvan" "mahabharata_14-asvamedhikaparvan" "mahabharata_15-asramavasikaparvan" "mahabharata_16-mausalaparvan" "mahabharata_17-mahaprasthanikaparvan" "mahabharata_18-svargarohanaparvan" "markandeyapurana_adhyaya-1-93_u" "matsyapurana_pu" "naradapurana_khanda-1_u" "naradapurana_khanda-2_u" "nilamatapurana_au" "nrsimhapurana_pu" "padmapurana_a" "pranavakalpa" "ramayana_01-balakanda" "ramayana_02-ayodhyakanda_a" "ramayana_03-aranyakanda_a" "ramayana_04-kiskindhakanda" "ramayana_05-sundarakanda" "ramayana_06-yuddhakanda" "ramayana_07-uttarakanda" "saurapurana" "sivapurana_dharmasamhita" "sivapurana_karvanamahatmya_au" "sivapurana_rudrasamhita" "sivapurana_sanatkumarasamhita" "sivapurana_satarudrasamhita_au" "sivapurana_umasamhita" "sivapurana_vayaviyasamhita_au" "sivapurana_vidyesvarasamhita_au" "skandamahapurana_himavatkhanda" "skandamahapurana_kasikhanda" "skandamahapurana_revakhanda" "skandamahapurana_sutasamhita_khanda-4" "skandapurana_adhyaya-1-31_pu" "skandapurana_pasupata_adhyaya174-183_u" "skandapurana" "vamanapurana_saromahatmya_u" "vamanapurana_u" "vayu_ba" "vayupurana_01_frame-and-cosmogony_iast" "vayupurana_02_pashupata-yoga_iast" "vayupurana_03_kalpas-and-shiva-lineages_iast" "vayupurana_04_bhuvana-vinyasa_iast" "vayupurana_05_jyotis-and-purvardha-close_iast" "vayupurana_06_prthu-and-prajapati-lineages_iast" "vayupurana_07_shraddha-kalpa_iast" "vayupurana_08_manu-candra-vishnu-vamsha_iast" "vayupurana_09_upasamhara_iast" "vayupurana_10_gaya-mahatmya_iast" "vayupurana_revakhanda" "vayupurana" "visnudharma_pu" "visnudharmottarapurana_khanda-3_adhyaya-343-353_pu" "visnupurana_u"
"agnipurana_u" 0 0.41411863039087 0.447291347222977 0.410503724342171 0.397915779097031 0.44156438858628 0.390873570923015 0.400805483388331 0.395508004183393 0.398015838621843 0.472672278050783 0.391583547768171 0.412848692442196 0.408298050461987 0.289801259932356 0.381937163795743 0.339284437602106 0.329324859559257 0.314364632910845 0.338518025946751 0.402427413634875 0.344982828812248 0.292483739222592 0.228986256268267 0.321845417314746 0.401789436264055 0.302864241710324 0.55389266983718 0.353885032975758 0.338032704826192 0.314075991859315 0.316199875833543 0.399930790175651 0.42638273315669 0.390016104954025 0.436122655407373 0.413647981912482 0.436486583309451 0.43409205175501 0.434399245157417 0.426746976114852 0.431222179873538 0.45190999615598 0.386834110036048 0.384134639425029 0.415374907798207 0.471542616725876 0.484142576307612 0.585724412377232 0.519277968643234 0.328170782195712 0.276207455899036 0.239328782819185 0.353632234896117 0.392222713585515 0.361594659489638 0.364947122008897 0.413366438356302 0.43459451339188 0.420737651467624 0.425372829980201 0.426020687052755 0.431607544498663 0.433168495065198 0.420013069400013 0.335398402759277 0.440152735713439 0.464943940215077 0.384577821282364 0.462557205656655 0.418488081878728 0.332419794325331 0.331350238342384 0.367074883161478 0.375303983519254 0.310328305977597 0.348598290481225 0.416334342699613 0.388056535025847 0.469548418299299 0.358272069431278 0.404520591542431 0.330189977005458 0.356290289364975 0.425242216443966 0.458517527350327 0.405425147559127 0.452757964754479 0.388188797126526 0.418214845857334 0.386957831266384 0.398613792009054 0.412178419195735 0.427037413264583 0.35514968498869 0.335458465440961 0.364901574709154 0.459813876020768 0.333152654435567
"bhagavatapurana_skandha-01_u" 0.41411863039087 0 0.33454967458557 0.298478600372042 0.286476586729047 0.370160360276242 0.294258651414312 0.303611346201579 0.310870552380428 0.320594266827217 0.421339954344771 0.27103496930771 0.311418564563017 0.337715893067733 0.384313318594478 0.413197951620274 0.352567429916036 0.406187869149294 0.364381094665884 0.346372069535429 0.4414764059906 0.385554747777429 0.416844535037765 0.400918926959608 0.408116379749496 0.455218547758737 0.390674363153493 0.588748220977326 0.370938723879621 0.391840038389165 0.383360982489202 0.434554685612557 0.345448664927131 0.37105098340012 0.339234765255104 0.392057753217211 0.360286844627021 0.405773191027594 0.405020608684187 0.41029721279839 0.398011763115388 0.395116958995707 0.409125893361612 0.345029897540016 0.353041850383642 0.365277883113296 0.41067941067965 0.44415664293457 0.54658358406962 0.47809907119569 0.354293701553693 0.348460571594957 0.377683782388771 0.395258300546663 0.443590030916726 0.365148874493166 0.399871008156726 0.436253943138453 0.410215953823729 0.386825627938348 0.409396580571137 0.409503359039722 0.417063209087027 0.423104051562198 0.389569945312684 0.380976816006104 0.460099642824454 0.477843279712967 0.411860120667404 0.486028774380522 0.404091289346379 0.378805554831146 0.407336688460319 0.463095900684513 0.393903037367205 0.372999423897992 0.397794041877946 0.455300231307045 0.394700025098019 0.473338390928112 0.350163102216538 0.416773160545761 0.364192103210842 0.392952620371676 0.439643825508034 0.501795991976729 0.418902877458871 0.491748935135973 0.430332712997117 0.448356056789147 0.438879930239174 0.401205394673697 0.436421280669009 0.485907171307088 0.409019546926232 0.379502844383789 0.365253360814619 0.476707057238253 0.354620888948678
"bhagavatapurana_skandha-02_u" 0.447291347222977 0.33454967458557 0 0.322219214116851 0.334983373402355 0.381349725584645 0.341438672658649 0.343579817952625 0.353258269904202 0.376978963329819 0.459824324962112 0.360940845412726 0.346669020338875 0.374011554331881 0.431517458089056 0.449825086330396 0.409360418232852 0.444256603073637 0.41588945744003 0.406681419882216 0.459272523709901 0.435433896962002 0.451917989687842 0.43641620937353 0.447419911611642 0.479429004797806 0.424934936727258 0.594394665689509 0.40040191945442 0.419245892632409 0.416786042468694 0.455112609314749 0.422286240334273 0.446641028990483 0.417698131126668 0.461161782740564 0.437870859782639 0.466860476192319 0.46475913666797 0.470346884908158 0.462471788143815 0.458256999155477 0.466483202837883 0.402330605717495 0.417318357331953 0.429088974309959 0.478165630561857 0.500661038191205 0.58002392704727 0.51951611174285 0.40729067757758 0.401577602708844 0.413790639916755 0.437345238743272 0.480068593653902 0.40861737961596 0.444958050237366 0.446766463696562 0.460466656374757 0.453423105407643 0.457062885036546 0.452120591774921 0.464462874598933 0.468843117390298 0.444988032869324 0.417859992503703 0.494561711631657 0.507003561456763 0.455569807228233 0.506592085150255 0.437179193261439 0.420231885165099 0.427599315930398 0.484136966386586 0.433962715288031 0.407064220880363 0.439798203391173 0.466473701143605 0.434885058492809 0.478452089740724 0.407467295401924 0.447665862314341 0.416017283419807 0.437519376604863 0.465595247754835 0.502473379044688 0.447416512071258 0.517804450227732 0.466198380578495 0.480011128934098 0.47206905943112 0.453004649225559 0.463386615445198 0.514404504312656 0.444421812643219 0.424431752831103 0.398911568270031 0.495568127980161 0.400216660786664
"bhagavatapurana_skandha-03_u" 0.410503724342171 0.298478600372042 0.322219214116851 0 0.226661645438342 0.324490516657388 0.305783467530561 0.318364940446777 0.316934555425772 0.342529705343441 0.384239333063316 0.260865722482927 0.263576068879601 0.314618448836612 0.399789111806954 0.420846841884491 0.373647835879741 0.407518572360034 0.374492531457546 0.323826427250119 0.441746362313585 0.404496299249531 0.419507289738995 0.409640311156118 0.416192940720194 0.46125043653507 0.390819777723743 0.580415598949124 0.378943346661533 0.394901222236862 0.382185216293854 0.431128450670113 0.338870355059795 0.375752860856458 0.328531193684407 0.386965958954262 0.35946966250202 0.399585139857202 0.394616519323118 0.401557868413353 0.389496616409518 0.389420908928158 0.407188481116658 0.316856391901579 0.332805481952486 0.352425120075435 0.41909288408175 0.449718108692691 0.547682351753956 0.483599228564805 0.364239163006867 0.358701715318014 0.385967458286665 0.399635189498328 0.455484642053194 0.342901835115108 0.405464218576735 0.436442407770316 0.393537062271618 0.371255340317165 0.388187258277602 0.388214051983513 0.389260293265876 0.397873719667545 0.371803652345419 0.394404141448903 0.471364472095294 0.493369520408687 0.419608763791989 0.488262373846268 0.416353760416518 0.382691463824296 0.397786178273036 0.466260305435929 0.405977305934 0.369368400640078 0.395160237562231 0.461817653460764 0.402230031798809 0.466343673635933 0.357943158500699 0.42525504611489 0.377662765032592 0.404640580709505 0.439207468152097 0.493535186524749 0.424767036609846 0.505430924939994 0.440083821379054 0.455201283380396 0.447125632464354 0.426326321347156 0.43916271070009 0.498842419252217 0.419040327767601 0.390746105259836 0.33029271603352 0.466858493715658 0.360924096672387
"bhagavatapurana_skandha-04_u" 0.397915779097031 0.286476586729047 0.334983373402355 0.226661645438342 0 0.324900832649833 0.289276060690714 0.30389138607321 0.303266538646069 0.319568212730545 0.389197967166263 0.23484735774179 0.278486644687844 0.310200676206966 0.387564444941738 0.412354521518572 0.354872496783475 0.400050816480983 0.361210285063689 0.309997305198382 0.436923529665851 0.388441337802978 0.406519201284274 0.398058610894428 0.407181551981146 0.459984902151063 0.379457746975144 0.574321114312268 0.362567540477004 0.390876730053817 0.37342631336772 0.426271487705818 0.318436546758949 0.3597299076439 0.311837835911623 0.377181482060984 0.34492180189265 0.390429452521904 0.386874210724926 0.390565688736808 0.376628063856742 0.37764057619024 0.391464183797268 0.309229692578509 0.323717791956739 0.339414586296848 0.401862718749126 0.439628649012226 0.538821112602712 0.470632641409541 0.353522950861716 0.34165101717392 0.373289531318918 0.386721611304374 0.440091447074177 0.327368052410951 0.395285383655916 0.438681896377499 0.376047076360319 0.351494898379567 0.374976869581741 0.375613395089697 0.37776102274157 0.387477590723141 0.356834697425969 0.381993147711862 0.464017244047251 0.487254145360779 0.404046027035656 0.488404488514757 0.408840959807368 0.373160635955801 0.39586796316314 0.461454276541503 0.393137304159102 0.361174790705178 0.376147722846238 0.455495921424514 0.391578783059968 0.479164230999227 0.345460716367352 0.411822949033583 0.358243483103276 0.39231842800838 0.442033130512296 0.497324407653144 0.418361701143912 0.492767950755518 0.435934057477199 0.443296600689956 0.436235480774834 0.408500181639313 0.439166185495828 0.486654611171656 0.403691268812212 0.377270032428488 0.321857259398237 0.454952103634053 0.349719483263241
"bhagavatapurana_skandha-05_u" 0.44156438858628 0.370160360276242 0.381349725584645 0.324490516657388 0.324900832649833 0 0.368030702770976 0.386222581998643 0.371114185426032 0.399308901183886 0.414531893572295 0.342522696051412 0.353328941083671 0.361191280211042 0.4344219128614 0.44983023803467 0.416459623422247 0.430817415267214 0.413487581818743 0.392068576490635 0.475992398956269 0.449286780011593 0.450094178919077 0.439072368970152 0.452131321952797 0.488433131746354 0.439126501964253 0.59173722308461 0.425486553961284 0.435381505894583 0.427870641885387 0.46432686192634 0.404012593977118 0.426415518341727 0.394370379672124 0.441868576677996 0.416110877930883 0.4496325495112 0.450348283714647 0.453721112649611 0.445277689541763 0.444554948949354 0.450866118975995 0.387354842747779 0.39683151740755 0.416881056759746 0.467062958327486 0.494981791337835 0.577912572897884 0.524168123001082 0.413508279885936 0.393345297879321 0.426232768757553 0.447580588842354 0.484284065044104 0.400291033151318 0.430603771312659 0.442899838769934 0.446758241844006 0.427708431498163 0.434916681935605 0.432586487199506 0.436043003619141 0.446753925760028 0.430276155897891 0.433130474202384 0.481923623593746 0.528628988510576 0.462378707097335 0.489220253135496 0.463744485196674 0.427332362508977 0.437777105529079 0.494256239448379 0.45119766736661 0.40329155039732 0.431231367093798 0.485358601309898 0.442918518892854 0.515382483956243 0.415187894973904 0.46592249153566 0.417400335788084 0.434966133790533 0.473491639628775 0.514451939430708 0.460356947074276 0.492201672571684 0.457550555105999 0.486282514444395 0.478062759526455 0.456572493948589 0.471543928595159 0.53682210358178 0.450710625926855 0.423542734742956 0.391598218822586 0.491453508247348 0.399301367452731
"bhagavatapurana_skandha-06_u" 0.390873570923015 0.294258651414312 0.341438672658649 0.305783467530561 0.289276060690714 0.368030702770976 0 0.273240750434886 0.261387686871924 0.300206652607676 0.440012394772255 0.294369047644464 0.307562119402387 0.350837345919808 0.367023484217602 0.393832400428859 0.330855073321321 0.373419786634492 0.336696530690299 0.342169267007753 0.416402609271732 0.364914376754814 0.388849090158967 0.375328448235177 0.388867199046629 0.430401136974578 0.368253523454346 0.582553074775133 0.336845507208279 0.366448048654437 0.348781429926176 0.404621558362318 0.360216351128199 0.392401878793311 0.351394928651903 0.412347711422347 0.378920062303128 0.416462551913447 0.422682249609383 0.423705835550809 0.409140635556888 0.412606062879956 0.426495918412758 0.344450045070087 0.35089406709463 0.377087918377493 0.429871152102236 0.468888761313746 0.556503189337776 0.490908423243226 0.325998476719254 0.324452331743995 0.354964500317445 0.378807575983527 0.431241316880911 0.354022826268238 0.390574863657168 0.42253697311067 0.412476935282651 0.397877744488257 0.413216810406483 0.411316496631498 0.41987197066361 0.421178478523807 0.391872315617894 0.35228324041783 0.442583305389273 0.475256587713024 0.381083019852668 0.467039939965564 0.387988589616734 0.351978254728341 0.374724530632125 0.445286153134436 0.382694112684311 0.346453808847007 0.389600500800263 0.422819129274309 0.370429503275381 0.462464638519294 0.335762166727673 0.395881167579773 0.335138576515402 0.371395601797091 0.421021898304021 0.474801055231188 0.393688292785872 0.4764447561595 0.41807287420481 0.420895897868939 0.418229668617368 0.387826108977597 0.418436451094173 0.47387690863807 0.388784803018707 0.35520446206575 0.359325732996976 0.466881078208226 0.328062558010071
"bhagavatapurana_skandha-07_u" 0.400805483388331 0.303611346201579 0.343579817952625 0.318364940446777 0.30389138607321 0.386222581998643 0.273240750434886 0 0.296697343721677 0.321807956086009 0.432960502213594 0.312725416034098 0.309052263150447 0.36615875436683 0.379414944615165 0.410515080057741 0.354641168780719 0.389247865336089 0.35881075391258 0.36320939378928 0.428403995176059 0.378495555928363 0.399776951229953 0.388099657996285 0.389274432662971 0.437254702186608 0.377209808886828 0.585629144783407 0.362041381681068 0.372881690785921 0.367522778931762 0.414633026925626 0.383094054146214 0.410047989953268 0.374729422015956 0.429273556329981 0.398962229222091 0.4423216731736 0.440158758392141 0.443033255456203 0.433059032548167 0.428854627753669 0.446176496512739 0.35831253122933 0.376181799704776 0.391829381659514 0.447247427618071 0.478707475321449 0.558714543159974 0.5005976506372 0.342724479276492 0.342772852641034 0.363565641156572 0.384715609746477 0.442967539441971 0.372248092791182 0.396754044774504 0.422517764325208 0.434535373983218 0.416558454222133 0.428931099204547 0.4281709052302 0.440364490809432 0.440938520964805 0.411446864605214 0.364894880732851 0.447259551847018 0.48062536252908 0.397114594679168 0.470813564826251 0.403576447959568 0.367508178700281 0.386449433808414 0.445288860822592 0.394288062859563 0.352246617730189 0.398143661531278 0.433389615016334 0.387832496200514 0.47154840039315 0.356066454796913 0.401222923601473 0.356033058170739 0.391207352203358 0.431983607398358 0.482489119838989 0.41435847509942 0.495032074904703 0.427127454363979 0.444182529258459 0.42469986652725 0.407708119321449 0.429868905091331 0.47431383975061 0.398267965214959 0.376939092553814 0.369025113684981 0.476623772737781 0.340955620041289
"bhagavatapurana_skandha-08_u" 0.395508004183393 0.310870552380428 0.353258269904202 0.316934555425772 0.303266538646069 0.371114185426032 0.261387686871924 0.296697343721677 0 0.299804208965083 0.440490027673057 0.283476482034682 0.341572132266813 0.355659320076956 0.365913681414982 0.4031540188575 0.335833750424329 0.373636570237412 0.342596513020579 0.350130363937866 0.428876985708809 0.372235720369109 0.39303654146064 0.378851806928284 0.403053381150772 0.43700146467264 0.364472381894545 0.584250426998789 0.340760345403127 0.382443890364059 0.354522902913156 0.40669447591053 0.371859475413056 0.398152508698181 0.361727174196716 0.416922688990928 0.394327625421512 0.418765940225077 0.418867876760448 0.420846943973837 0.409723348619743 0.420515753295395 0.43786086654288 0.372480096109388 0.370493125660974 0.393679726420447 0.441839271317999 0.470933899757081 0.564771003582948 0.497931066026443 0.340713312383992 0.323267085216551 0.360080079275457 0.387141808586328 0.42492318131686 0.359088327056759 0.384916677904994 0.426085726455779 0.417352996870765 0.409929959776732 0.41633407105192 0.408996587468981 0.414603342828347 0.41038787528294 0.392079713891011 0.352614458556142 0.442775879108791 0.48402907098368 0.379769639458061 0.459262868272399 0.386883054443577 0.362776155516616 0.382093945876129 0.451588123527537 0.372686016117892 0.35874266384133 0.391458429553654 0.437216632413498 0.370401418117998 0.479186661327642 0.332022631642601 0.393232567378134 0.330093563986818 0.378809226813898 0.432890267815897 0.493710534640823 0.398718182094584 0.465796713375121 0.424309847626026 0.429282676084538 0.432062795693845 0.388708315193467 0.426101513441922 0.477115380157038 0.393024968417633 0.361473136376239 0.366773332927317 0.466907351464812 0.33472298346873
"bhagavatapurana_skandha-09_u" 0.398015838621843 0.320594266827217 0.376978963329819 0.342529705343441 0.319568212730545 0.399308901183886 0.300206652607676 0.321807956086009 0.299804208965083 0 0.452286597328181 0.304039388397052 0.368687762476529 0.373625996985249 0.372011631222711 0.396226769209057 0.315665192968544 0.390891239523182 0.339982962370789 0.358024358062831 0.439483772497613 0.374979129623427 0.409798452441747 0.390056601270134 0.406823298278103 0.447739235817505 0.367666794033404 0.590506805369142 0.353254446368323 0.393302467082268 0.370329865929785 0.422422589514403 0.354914883271359 0.395449950444533 0.358138031424498 0.407982834988283 0.383427713034527 0.424598256194968 0.420325169925931 0.423810627194531 0.406434261096063 0.417748300222367 0.43084920314961 0.375543806308856 0.373579352053042 0.392034353320866 0.428668060466667 0.459453793145776 0.556744856439344 0.496815602300296 0.335814207959022 0.333903451635137 0.375039575391371 0.384659587980667 0.433599305282225 0.366364258638232 0.403074293374192 0.441480507973175 0.393061075974466 0.38982245704179 0.41684766959004 0.408518919219106 0.419737122858287 0.426154314277832 0.389226229637301 0.373461564151485 0.449424556639366 0.487026600654159 0.397836177845606 0.479361967577063 0.401304903593546 0.363790528657914 0.396716781352121 0.467566210749095 0.398370493939156 0.364972289497812 0.398266050780478 0.457714801419207 0.382826775513261 0.487627203655968 0.356507675017234 0.402314656279372 0.343701166002496 0.364560990604965 0.432928912729116 0.49829672295664 0.399607646723327 0.483871463029679 0.420617946065477 0.420948054643261 0.428352486823489 0.338815959454948 0.43232717799649 0.480832635600419 0.401154784770728 0.354512025573114 0.397050329946568 0.487323958623837 0.334219957929859
