"agnipurana_u" "bhagavatapurana_skandha-01_u" "bhagavatapurana_skandha-02_u" "bhagavatapurana_skandha-03_u" "bhagavatapurana_skandha-04_u" "bhagavatapurana_skandha-05_u" "bhagavatapurana_skandha-06_u" "bhagavatapurana_skandha-07_u" "bhagavatapurana_skandha-08_u" "bhagavatapurana_skandha-09_u" "bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary" "bhagavatapurana_skandha-10_u" "bhagavatapurana_skandha-11_u" "bhagavatapurana_skandha-12_u" "bhavisyapurana" "brahmandapurana_khanda-1_u" "brahmandapurana_khanda-2_u" "brahmandapurana_khanda-3_u" "brahmandapurana" "brahmapurana_pu" "devibhagavatapurana_devigita_adhyaya-31-40" "devibhagavatapurana" "devipurana" "garudapurana_khanda-1_u" "garudapurana_khanda-2_u" "garudapurana_khanda-3_u" "harivamsa_appendix-29-30_mathura" "harivamsa_appendix-31" "harivamsa_appendix-41" "harivamsa_appendix-42_pradurbhava" "harivamsa" "kalikapurana" "karatoyamahatmya_pu" "kurmapurana_khanda-1_u" "kurmapurana_khanda-2_u" "lingapurana_khanda-1_u" "lingapurana_khanda-2_u" "mahabharata_01-adiparvan" "mahabharata_02-appendix-21_sisupala" "mahabharata_02-sabhaparvan" "mahabharata_03-aranyakaparvan" "mahabharata_04-virataparvan" "mahabharata_05-udyogaparvan" "mahabharata_06-bhismaparvan" "mahabharata_07-appendix-08_sodasarajika" "mahabharata_07-dronaparvan" "mahabharata_08-karnaparvan" "mahabharata_09-salyaparvan" "mahabharata_10-sauptikaparvan" "mahabharata_11-striparvan" "mahabharata_12-appendix-29_moksadharma" "mahabharata_12-santiparvan" "mahabharata_13-anusasanaparvan" "mahabharata_13-appendix-15_umamahesvara" "mahabharata_14-appendix-04_vaisnavadharma" "mahabharata_14-asvamedhikaparvan" "mahabharata_15-asramavasikaparvan" "mahabharata_16-mausalaparvan" "mahabharata_17-mahaprasthanikaparvan" "mahabharata_18-svargarohanaparvan" "markandeyapurana_adhyaya-1-80_u" "markandeyapurana_adhyaya-81-93_devimahatmya_u" "markandeyapurana_adhyaya-94-141_u" "markandeyapurana" "matsyapurana_pu" "naradapurana_khanda-1_u" "naradapurana_khanda-2_u" "nilamatapurana_au" "nrsimhapurana_pu" "padmapurana_a" "pranavakalpa" "ramayana_01-balakanda" "ramayana_02-ayodhyakanda_a" "ramayana_03-aranyakanda_a" "ramayana_04-kiskindhakanda" "ramayana_05-sundarakanda" "ramayana_06-yuddhakanda" "ramayana_07-uttarakanda" "saurapurana" "sivadharmasastra" "sivadharmottara" "sivapurana_dharmasamhita" "sivapurana_karvanamahatmya_au" "sivapurana_rudrasamhita" "sivapurana_sanatkumarasamhita" "sivapurana_satarudrasamhita_au" "sivapurana_umasamhita" "sivapurana_vayaviyasamhita_au" "sivapurana_vidyesvarasamhita_au" "skandamahapurana_himavatkhanda" "skandamahapurana_kasikhanda" "skandamahapurana_revakhanda" "skandamahapurana_sutasamhita_khanda-4" "skandapurana_adhyaya-1-31_pu" "skandapurana_pasupata_adhyaya174-183_u" "skandapurana" "vamanapurana_saromahatmya_u" "vamanapurana_u" "vayu_ba" "vayupurana_01_frame-and-cosmogony_iast" "vayupurana_02_pashupata-yoga_iast" "vayupurana_03_kalpas-and-shiva-lineages_iast" "vayupurana_04_bhuvana-vinyasa_iast" "vayupurana_05_jyotis-and-purvardha-close_iast" "vayupurana_06_prthu-and-prajapati-lineages_iast" "vayupurana_07_shraddha-kalpa_iast" "vayupurana_08_manu-candra-vishnu-vamsha_iast" "vayupurana_09_upasamhara_iast" "vayupurana_10_gaya-mahatmya_iast" "vayupurana_revakhanda" "vayupurana" "visnudharma_pu" "visnudharmottarapurana_khanda-3_adhyaya-343-353_pu" "visnupurana_u"
"agnipurana_u" 0 0.377356575371817 0.405088974947967 0.378508594380137 0.3639242649945 0.411813491192146 0.355327071334931 0.362027764368255 0.361233485359611 0.36141105082602 0.432514593844794 0.359707941489476 0.379773890715579 0.36997757871175 0.261636631288659 0.35378278854257 0.3113443248303 0.301233795186411 0.290889807266321 0.310427182955831 0.362313238389233 0.311508396474467 0.262803131373671 0.202997585074438 0.288523234859148 0.364807534442225 0.354795384122032 0.39657596237293 0.40612736750737 0.397477216946198 0.345812253617262 0.274683254162096 0.494851779563233 0.322225343369043 0.306150361460941 0.287610312693424 0.28565130802743 0.367584633212269 0.397614233940396 0.39254669480098 0.36025728976958 0.399228209317003 0.378915634408735 0.403024059821398 0.422528944921915 0.397816916216274 0.399211627802271 0.393556661549868 0.388304440951299 0.409804804712504 0.445536984837956 0.356464995313711 0.354950076026093 0.382803008141058 0.362303355297522 0.381057121052391 0.434787880031375 0.435109801864737 0.534241883230836 0.468751716953617 0.303883155263046 0.411098528292525 0.379493110093188 0.31263252205392 0.253904988658256 0.214018761848889 0.321831220437191 0.358046184967411 0.331085044839239 0.338246126540962 0.380441187387775 0.400301003721567 0.384884155925883 0.389675385880354 0.38765429962193 0.398794508476155 0.398759519848831 0.384416734560898 0.303505512634562 0.356657228159249 0.321373844781386 0.409541032485004 0.413016020236909 0.349335162148102 0.431623908523945 0.383719930036112 0.300337868931521 0.297729768574752 0.324909289945366 0.341360081246624 0.281153851742948 0.317531339609479 0.380211881307285 0.356223582304998 0.429966545341697 0.332014235893307 0.369521495947881 0.303078295499665 0.328718265116756 0.390060241234865 0.41220802851783 0.373323251822215 0.418592967340407 0.353411012069603 0.384174694394803 0.347823260537415 0.364315225462986 0.376241400685201 0.375409572630015 0.326560276909933 0.308529396772387 0.333358566974348 0.411428812936175 0.303765618405817
"bhagavatapurana_skandha-01_u" 0.377356575371817 0 0.285384926703279 0.256181730096624 0.242816533315125 0.327063230405621 0.249127791971831 0.259253241882256 0.266439678714176 0.273878532403535 0.37641005794284 0.226712363131603 0.267208335366495 0.29033733441182 0.343493889761789 0.377202783969225 0.314112054413324 0.36782128978154 0.327736933097337 0.307072422397221 0.39703367692198 0.345010653083682 0.376999699838639 0.358084305507184 0.367798680053225 0.416415630368998 0.333297109923502 0.361957159603257 0.383087546730126 0.383380254546755 0.29782577942304 0.351494054622157 0.535093493156086 0.330312749815394 0.352649264512989 0.345949003956722 0.39533276019063 0.304569935712824 0.362601847624319 0.331754674346056 0.301293799501002 0.349332725516546 0.320418255938486 0.365996744340877 0.38264144563636 0.362023608148374 0.36926156378496 0.359108271590174 0.348966228031732 0.365273202472981 0.416333733755343 0.305391991969662 0.313234909952385 0.39101758336805 0.391512434607827 0.325166552426961 0.370773359453328 0.395102371685826 0.496198495904073 0.42704329948338 0.314806168348657 0.421449921166619 0.330673780292822 0.308218716716799 0.310068787816277 0.337399852058417 0.357309151272083 0.402292767982237 0.325158718599507 0.360966750726945 0.396066691492674 0.370150983665755 0.347421765428167 0.369839438219723 0.366193474933839 0.377103541751636 0.382845986121533 0.348313888067588 0.338722402437792 0.426114643196703 0.38316414432682 0.417792600813778 0.4284811114406 0.373260573242963 0.443121170192976 0.361668241616063 0.336521698585785 0.367249303078509 0.421132338567885 0.352385928822958 0.331417311603245 0.359209041632157 0.415625945117133 0.355912914941408 0.42801062059954 0.311112911293568 0.375714882248383 0.326815904972395 0.355406401280783 0.399571764734112 0.456496048542273 0.378204292913868 0.453609918805161 0.389526965355557 0.410907814548941 0.398038511471178 0.360377598006186 0.394732805847309 0.437783367816 0.371300675923845 0.3415934602857 0.32422230624879 0.424903525230582 0.314518844197564
"bhagavatapurana_skandha-02_u" 0.405088974947967 0.285384926703279 0 0.275078463194088 0.284559799671094 0.331746395463199 0.293320683390316 0.293921112828077 0.306836806330622 0.3284705642624 0.414086557728281 0.314658203001967 0.298571472104136 0.324364203842095 0.385151555856526 0.412008995956762 0.366246593936003 0.400335771918045 0.374947023547421 0.362965778690429 0.41207121610409 0.388153730692592 0.406882780303204 0.387287375964984 0.402265462901909 0.436364462801644 0.394661885079565 0.400373858699501 0.404677676192604 0.422893785857918 0.3724380000227 0.381238239469048 0.541860182714794 0.354700277527318 0.374063045546678 0.373485707510745 0.410641281134279 0.379275499315573 0.419722346620212 0.405141931604754 0.375313790602977 0.417046733879695 0.393629706193313 0.423299034534172 0.435625716683353 0.4199434379838 0.427816998974094 0.421557766140163 0.410315865363167 0.422044803162697 0.435698000905638 0.359119481739398 0.373346522355887 0.422968470028551 0.423030882627422 0.385546834195709 0.435554392258423 0.454063315974159 0.533256003741542 0.471399517290436 0.363442677951722 0.45073311843138 0.378437170622083 0.358252829193219 0.357819052144505 0.367632650259481 0.392948764441965 0.437495639887806 0.363075371429536 0.398447243884639 0.399013862040871 0.41666222608907 0.408670981951964 0.412521986063187 0.405976648089679 0.420757676847447 0.423832408184023 0.400131084045592 0.369237620963453 0.438583124313097 0.409290058144176 0.44733615737752 0.455612686952604 0.410488851272661 0.458469817660298 0.390721279771501 0.373783266241154 0.380215985999775 0.438622357135161 0.390409744971789 0.358214601455646 0.396727651666164 0.421114955753802 0.39213407429369 0.432308483117664 0.36306605092567 0.402231143947867 0.372614739538245 0.397557045812731 0.425395358121837 0.456282806487791 0.403493125278441 0.47737979965965 0.423353013815008 0.442210076508369 0.426621814720303 0.408718989040595 0.421548541987907 0.463744227832615 0.400609305791172 0.3826630441519 0.352413448251394 0.443388277846589 0.353039567518517
"bhagavatapurana_skandha-03_u" 0.378508594380137 0.256181730096624 0.275078463194088 0 0.190932186225689 0.286817534385338 0.265516754127865 0.275766537453311 0.27743377046489 0.302278885952586 0.343127264453505 0.228642353162746 0.228442116124487 0.272080012420284 0.363549982462502 0.389625387902808 0.340334697824373 0.372131221759778 0.343776561020648 0.29184217763545 0.398349224420829 0.368262020757981 0.383078583197236 0.372199282296384 0.379177136272337 0.424663358627874 0.326905383035304 0.357117933459949 0.350735826785731 0.369298334129727 0.296478145537697 0.355590486872187 0.527092090463994 0.342803725180338 0.357624536104223 0.348172847062024 0.393378945063264 0.306022806527513 0.365411980499626 0.341547277402995 0.297309817181511 0.348628855404052 0.32509168120053 0.363920304743883 0.383461763892363 0.358299094318757 0.366872656431937 0.356501591022748 0.346270076706431 0.367008619910313 0.384179192234914 0.284186440025339 0.300105818873684 0.365024321609609 0.367769518707214 0.318150929521461 0.382691890787551 0.402020591228831 0.496187301706184 0.434017241398307 0.332050483107302 0.428984304596777 0.354296436263873 0.325799980226833 0.326896165369235 0.350399282478716 0.362894032201263 0.417507426159526 0.309011334071747 0.371622853916991 0.397978906268057 0.356059169603571 0.335250500262444 0.352574081835268 0.349696777672133 0.354110105345193 0.360647430252047 0.333711620667834 0.356654336217825 0.425938371032908 0.374231437613054 0.434563986254762 0.442282700084866 0.382740279294664 0.44919704992711 0.376096102457119 0.346022457634043 0.359940285119138 0.425785581182371 0.367015730398195 0.330326092368109 0.360782180113709 0.423270108586342 0.366701347299855 0.420210505155389 0.322227745096114 0.386104643392719 0.344221964938221 0.371484981032493 0.401860132658482 0.446308989012895 0.385863506317774 0.470587955377815 0.401367182143479 0.421122163180014 0.406459937168336 0.388913009515354 0.399929508413502 0.450799030115266 0.386740137894071 0.357544430951032 0.294519287389107 0.416263274065554 0.326028833360275
"bhagavatapurana_skandha-04_u" 0.3639242649945 0.242816533315125 0.284559799671094 0.190932186225689 0 0.288305778860483 0.24834735569023 0.259150146495501 0.263206918639482 0.278991836327003 0.348099046602679 0.200072507193793 0.242396099583354 0.264976984283285 0.349487286881889 0.381060010814606 0.321049218989523 0.36401417550873 0.329230918112958 0.278258671803877 0.392671913902135 0.350493355537514 0.367889675744477 0.358127036112271 0.368173456601012 0.42117234870774 0.310082348497769 0.341822830855403 0.350380362582924 0.357997977169893 0.278954281465302 0.343623762389762 0.518318285088343 0.324973225891751 0.354429629610589 0.338518207297413 0.387614308127393 0.284971865731736 0.352460384044144 0.325967732121291 0.280359989796873 0.339271761710568 0.309488981527209 0.354976310422021 0.357255049543107 0.3506806816498 0.356558824149063 0.344157410810768 0.335054504195065 0.351151327497783 0.387703125463772 0.277238167920341 0.290237169123111 0.363580520434415 0.360338645945361 0.304602092778677 0.3650526235325 0.392748807127844 0.487858530458429 0.419430421747599 0.319403407357353 0.426998090999525 0.334332212362431 0.311478698175412 0.308144969882066 0.336140168575358 0.348932044118226 0.4009353380871 0.294295066814258 0.359993105721068 0.400469758412132 0.338710057699426 0.315695042055936 0.339089107540228 0.336408028080461 0.342410016247848 0.352149615446267 0.318869258768347 0.342442089042304 0.421312919331501 0.367642432354895 0.424577806689264 0.436184904661438 0.367175039170752 0.448101990958026 0.368196836321448 0.335241490865342 0.357170932370468 0.420645257365106 0.354212752009502 0.322694193859172 0.342017647956391 0.415933192004421 0.355263108592085 0.433811103488686 0.310013544814253 0.373086758455146 0.32359834874028 0.358451295219817 0.405047137445458 0.450847729665437 0.379256218359459 0.455897046047741 0.398914303516246 0.409225888926862 0.39628289079512 0.37031968498748 0.400464965996814 0.439548108143904 0.369413184668545 0.342787130011989 0.283935584800833 0.401931999310756 0.314256292417204
"bhagavatapurana_skandha-05_u" 0.411813491192146 0.327063230405621 0.331746395463199 0.286817534385338 0.288305778860483 0 0.329361497691218 0.344193284400502 0.331561249898805 0.36312724950492 0.373508715579334 0.309588552953504 0.318279975787125 0.318870820649884 0.399163708910495 0.420556464657991 0.383307536276848 0.395113896832341 0.383009795379478 0.362552110179083 0.434985977482423 0.414765746905361 0.415509525059742 0.403285119065885 0.416057880530711 0.451567965617344 0.389534088229384 0.41644937813949 0.408358106503023 0.414665559367244 0.360339629483377 0.405849538792765 0.54155319539995 0.389818763550235 0.399372379435052 0.395600937132291 0.428409948707914 0.372399077095404 0.41337780484949 0.393406352773349 0.363456742292707 0.406889768848553 0.381347045310436 0.41490566591113 0.435466654527823 0.414444964155616 0.419573410682278 0.413699973865443 0.403718999629329 0.411733021518479 0.421464990412986 0.356477245987463 0.365917499025536 0.410830561572488 0.414656169249383 0.383262904661364 0.431636840768501 0.451067140208078 0.53096402634543 0.478228611915348 0.383958951479061 0.46392499076444 0.411154514019739 0.380596232356701 0.361811574809512 0.391083493160138 0.412863975089105 0.449438851129759 0.366654233512541 0.394981909622469 0.404438127045277 0.412937652921166 0.393951150002089 0.401500665316597 0.397102206953834 0.402541993806703 0.411672221082098 0.393831362297708 0.39460225606461 0.451750299352977 0.410410310064543 0.442860677019507 0.481919070262113 0.425801565382098 0.4471041580192 0.426147811932125 0.393890534135377 0.400331412938159 0.454668799522945 0.415903680445553 0.365245172381908 0.397998771968364 0.446846189852812 0.407194290256177 0.474308365121535 0.380682407789494 0.428739986878957 0.384513912079635 0.403610311169018 0.437969052136913 0.469119052203271 0.423798800096912 0.457465286820644 0.420315835617003 0.454013632992844 0.439164686882442 0.419824817336991 0.434954729847785 0.494487399034201 0.41626697067681 0.392038750872308 0.356258307715879 0.442678322239395 0.364262782424514
"bhagavatapurana_skandha-06_u" 0.355327071334931 0.249127791971831 0.293320683390316 0.265516754127865 0.24834735569023 0.329361497691218 0 0.226536339697031 0.218505452547596 0.25696287472847 0.397200893724155 0.255779565415537 0.264397298625737 0.306854423968842 0.32768074816145 0.360958520433131 0.293455996020685 0.333878494920404 0.301990974458454 0.30709245249885 0.370356729156733 0.324688651458957 0.347773819754114 0.332866027092923 0.347015178286106 0.3916165535647 0.343498505826017 0.367090673263548 0.371906612073771 0.373543196063676 0.314763534493499 0.330337447303465 0.528581261117675 0.29656527388872 0.327192917586525 0.311966662867427 0.364403638129841 0.323795548008922 0.374422736363212 0.355544833900948 0.316796050005651 0.373426784199013 0.341695616368274 0.378900723284788 0.392933837403327 0.384565217639615 0.387201325430636 0.373823769562309 0.36927335950803 0.386321638520913 0.41532586250876 0.308651838304209 0.314687802001148 0.387420269987102 0.385753822349425 0.340358641503479 0.391505043561001 0.421990020906606 0.506596574134206 0.441541286998956 0.292555715657281 0.389304518582051 0.335282893253773 0.287841512340211 0.288432356291138 0.316226385340787 0.341590912712823 0.390241183316711 0.316777047765858 0.355811929874559 0.382398522064112 0.374759501470376 0.359783128376092 0.376176643356044 0.371609294173254 0.382965344805762 0.385103641464523 0.354393336092163 0.309699900887815 0.40851279062701 0.373292317016517 0.401781033217668 0.422507762442063 0.341189449356844 0.424665884277931 0.345455289408633 0.312548943851155 0.334400724642516 0.404528182814337 0.341862252645934 0.305072244808214 0.3529085521793 0.380329472456441 0.33075166657795 0.417650919107551 0.298781611337468 0.354722200878814 0.296969804505836 0.335624948570252 0.383039145114036 0.425913881183393 0.352887829263528 0.437016086188911 0.37892125746112 0.382812152052674 0.375575738111089 0.347313984344955 0.378497501785654 0.42567688961932 0.351390318663273 0.318786828794571 0.319448179316489 0.414448594271775 0.287057571595901
"bhagavatapurana_skandha-07_u" 0.362027764368255 0.259253241882256 0.293921112828077 0.275766537453311 0.259150146495501 0.344193284400502 0.226536339697031 0 0.247675282069893 0.274151997909062 0.390701877738045 0.271138280817896 0.265391836549815 0.319972806498415 0.3377850213598 0.374639176534907 0.314729879847155 0.348166782015212 0.321579916524444 0.324891736812311 0.38218573817888 0.334950929540607 0.356809428333951 0.343682345223209 0.346991025582813 0.396772369697785 0.358987331388973 0.380649751873689 0.396289763992568 0.396537852029014 0.335581636518295 0.33499214503357 0.531762691540212 0.319189707919159 0.331737979777656 0.328107545352113 0.372861162827044 0.342195349221113 0.389788980889631 0.370402478056024 0.336069688008791 0.38720763331217 0.358728753420119 0.402838949333791 0.40262683606316 0.398160207331138 0.402672100556125 0.395597581291742 0.382234749524496 0.403052789638229 0.429493679457111 0.319864870827635 0.337448482354277 0.388080195253106 0.392662656397196 0.352019863437876 0.405914045504665 0.43076937585354 0.506944026188985 0.450758459632513 0.30656592602817 0.407096306933931 0.345973436411678 0.303520248499527 0.303297526427633 0.322396738108023 0.344967333207132 0.401008313565083 0.331563224127006 0.357255057941407 0.380593475766002 0.393975615764641 0.376383828552994 0.388238590965193 0.38506956378982 0.399656663045726 0.399995136267739 0.370019014661438 0.319384591031639 0.405719021019428 0.374571113314256 0.403493406271896 0.429337744933976 0.354917069512345 0.427085176758865 0.359559068219923 0.325325771604932 0.344666419985405 0.40316379372808 0.352324626376417 0.308421447401817 0.358727863207934 0.390944086748441 0.347229514426392 0.426420694583697 0.315824558180817 0.358462935408688 0.315145748845104 0.352504243092987 0.392253913971955 0.43464555618595 0.37168605116524 0.457228374170585 0.385302988940651 0.404797365995596 0.380264913282076 0.365557785239315 0.387973265998923 0.423479829973683 0.35802854605997 0.337897190021585 0.326434348330909 0.423413311002266 0.298523078379435
"bhagavatapurana_skandha-08_u" 0.361233485359611 0.266439678714176 0.306836806330622 0.27743377046489 0.263206918639482 0.331561249898805 0.218505452547596 0.247675282069893 0 0.253825319322737 0.39982578426675 0.246734071320478 0.303601887639771 0.310704568564117 0.324953706995892 0.368807824131069 0.297015179429562 0.334250593862367 0.307544034735531 0.314800065439788 0.382686981897198 0.331052570195169 0.353124066045745 0.336240448773451 0.361181351970756 0.396236089223567 0.341831825759887 0.367762775307152 0.36710159772569 0.355969862142096 0.316050850268181 0.325203235451265 0.529817568984842 0.300162540673377 0.343220601953198 0.317182585308815 0.365339151600576 0.335013804561478 0.365604919569385 0.361224751452254 0.327264140109184 0.379255961445506 0.357848147050894 0.382900111518812 0.396033152612437 0.381248935505477 0.384289618945775 0.373793473349743 0.37858456452661 0.396273494660971 0.443777831444665 0.337216683317197 0.333313794292242 0.405848100523726 0.399687373359716 0.358371091084112 0.402533624803835 0.425259002219588 0.513527821042965 0.447480414870021 0.309928271532905 0.386198457338788 0.3431445656623 0.301817934192397 0.286382449825889 0.321384312154772 0.349452955176054 0.386025147895582 0.321837006534578 0.347298599511449 0.384491237271762 0.378600954700287 0.373180626685371 0.379080545251219 0.368862445897959 0.377018323966129 0.372781597063067 0.353180689900633 0.309283221929645 0.402716517387736 0.381253570522149 0.401107593192116 0.430492182619904 0.33833609379097 0.416164167786888 0.343249811973591 0.321414606125287 0.341160806669401 0.408215394565748 0.329941754017338 0.318186278334556 0.3547893397316 0.394257758322771 0.331400730180566 0.436246295376508 0.295076262933986 0.350713414284081 0.292034199684595 0.341435935968736 0.393757176528156 0.444587975807853 0.356113229503153 0.427422479575436 0.38391089312751 0.389915577487782 0.388403760550042 0.346191315226028 0.383759359056073 0.428222566539045 0.355334962983495 0.323414367873111 0.32796177138287 0.416681443831146 0.293992673094779
"bhagavatapurana_skandha-09_u" 0.36141105082602 0.273878532403535 0.3284705642624 0.302278885952586 0.278991836327003 0.36312724950492 0.25696287472847 0.274151997909062 0.253825319322737 0 0.410173431235533 0.26318801917326 0.329081190733558 0.329913444838631 0.331702865809783 0.362913392528849 0.277480545816119 0.35199194512298 0.305107628279955 0.322040531127932 0.393899096879541 0.33409308794964 0.370208022950352 0.348616068382954 0.365499094870261 0.40908596361264 0.353185306858472 0.374537743699447 0.40159314116589 0.391110460839932 0.308219749719511 0.32842744505888 0.537023615077999 0.313884510977095 0.354274470395225 0.333967687888461 0.381984020996838 0.318611910899061 0.375593427265191 0.359011602435784 0.322655956826864 0.368852940553443 0.346303109862355 0.389514124178743 0.386332856448742 0.383099923913621 0.388419840659352 0.371368732422498 0.373012411695025 0.389571521042173 0.451015361646977 0.339826511256897 0.3375291483488 0.41690875082776 0.409123872702467 0.355792769522399 0.388763588500254 0.411344401267555 0.5075311568207 0.446174210443363 0.296864483995141 0.411046908800988 0.324284632205279 0.291610682828365 0.296888876594431 0.3371755818118 0.347204415552272 0.394453545805876 0.330128612580642 0.366745841280372 0.401240170249444 0.35630155423756 0.350549694351145 0.379535686579906 0.366296921363128 0.381569718806234 0.389066725700997 0.34997665355241 0.331386378980438 0.419720526358043 0.394430633095654 0.407629218847348 0.43590262010078 0.357225836943818 0.437667514902519 0.358168125179671 0.324034321481501 0.355749085562697 0.424680132360937 0.356752677783035 0.323370864165287 0.361416103363271 0.416319549957319 0.344462266435702 0.442560974964211 0.318562471409544 0.359087111321468 0.305868723293914 0.328055622855263 0.393356338223956 0.452126653550876 0.358707670446562 0.446530317047619 0.381498089997827 0.382194808048019 0.385801806362405 0.299002462795248 0.390047182879861 0.43160643900178 0.363606112387816 0.317011950550313 0.358755452411481 0.437066136576075 0.295281611240378
