"agnipurana_u" "bhagavatapurana_skandha-01_u" "bhagavatapurana_skandha-02_u" "bhagavatapurana_skandha-03_u" "bhagavatapurana_skandha-04_u" "bhagavatapurana_skandha-05_u" "bhagavatapurana_skandha-06_u" "bhagavatapurana_skandha-07_u" "bhagavatapurana_skandha-08_u" "bhagavatapurana_skandha-09_u" "bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary" "bhagavatapurana_skandha-10_u" "bhagavatapurana_skandha-11_u" "bhagavatapurana_skandha-12_u" "bhavisyapurana" "brahmandapurana_khanda-1_u" "brahmandapurana_khanda-2_u" "brahmandapurana_khanda-3_u" "brahmandapurana" "brahmapurana_pu" "devibhagavatapurana_devigita_adhyaya-31-40" "devibhagavatapurana" "devipurana" "garudapurana_khanda-1_u" "garudapurana_khanda-2_u" "garudapurana_khanda-3_u" "harivamsa_appendix-29-30_mathura" "harivamsa_appendix-31" "harivamsa_appendix-41" "harivamsa_appendix-42_pradurbhava" "harivamsa" "kalikapurana" "karatoyamahatmya_pu" "kurmapurana_khanda-1_u" "kurmapurana_khanda-2_u" "lingapurana_khanda-1_u" "lingapurana_khanda-2_u" "mahabharata_01-adiparvan" "mahabharata_02-appendix-21_sisupala" "mahabharata_02-sabhaparvan" "mahabharata_03-aranyakaparvan" "mahabharata_04-virataparvan" "mahabharata_05-udyogaparvan" "mahabharata_06-bhismaparvan" "mahabharata_07-appendix-08_sodasarajika" "mahabharata_07-dronaparvan" "mahabharata_08-karnaparvan" "mahabharata_09-salyaparvan" "mahabharata_10-sauptikaparvan" "mahabharata_11-striparvan" "mahabharata_12-appendix-29_moksadharma" "mahabharata_12-santiparvan" "mahabharata_13-anusasanaparvan" "mahabharata_13-appendix-15_umamahesvara" "mahabharata_14-appendix-04_vaisnavadharma" "mahabharata_14-asvamedhikaparvan" "mahabharata_15-asramavasikaparvan" "mahabharata_16-mausalaparvan" "mahabharata_17-mahaprasthanikaparvan" "mahabharata_18-svargarohanaparvan" "markandeyapurana_adhyaya-1-80_u" "markandeyapurana_adhyaya-81-93_devimahatmya_u" "markandeyapurana_adhyaya-94-141_u" "markandeyapurana" "matsyapurana_pu" "naradapurana_khanda-1_u" "naradapurana_khanda-2_u" "nilamatapurana_au" "nrsimhapurana_pu" "padmapurana_a" "pranavakalpa" "ramayana_01-balakanda" "ramayana_02-ayodhyakanda_a" "ramayana_03-aranyakanda_a" "ramayana_04-kiskindhakanda" "ramayana_05-sundarakanda" "ramayana_06-yuddhakanda" "ramayana_07-uttarakanda" "saurapurana" "sivadharmasastra" "sivadharmottara" "sivapurana_dharmasamhita" "sivapurana_karvanamahatmya_au" "sivapurana_rudrasamhita" "sivapurana_sanatkumarasamhita" "sivapurana_satarudrasamhita_au" "sivapurana_umasamhita" "sivapurana_vayaviyasamhita_au" "sivapurana_vidyesvarasamhita_au" "skandamahapurana_himavatkhanda" "skandamahapurana_kasikhanda" "skandamahapurana_revakhanda" "skandamahapurana_sutasamhita_khanda-4" "skandapurana_adhyaya-1-31_pu" "skandapurana_pasupata_adhyaya174-183_u" "skandapurana" "vamanapurana_saromahatmya_u" "vamanapurana_u" "vayu_ba" "vayupurana_01_frame-and-cosmogony_iast" "vayupurana_02_pashupata-yoga_iast" "vayupurana_03_kalpas-and-shiva-lineages_iast" "vayupurana_04_bhuvana-vinyasa_iast" "vayupurana_05_jyotis-and-purvardha-close_iast" "vayupurana_06_prthu-and-prajapati-lineages_iast" "vayupurana_07_shraddha-kalpa_iast" "vayupurana_08_manu-candra-vishnu-vamsha_iast" "vayupurana_09_upasamhara_iast" "vayupurana_10_gaya-mahatmya_iast" "vayupurana_revakhanda" "vayupurana" "visnudharma_pu" "visnudharmottarapurana_khanda-3_adhyaya-343-353_pu" "visnupurana_amsa-1_u" "visnupurana_amsa-2_u" "visnupurana_amsa-3_u" "visnupurana_amsa-4_u" "visnupurana_amsa-5_u" "visnupurana_amsa-6_u" "visnupurana_u"
"agnipurana_u" 0 0.377317599396246 0.404902454935446 0.378186174011351 0.363557738447013 0.411604400654321 0.35520306413603 0.361949198867261 0.361218006364092 0.3613254053458 0.431746972543798 0.359296161822271 0.379476067610037 0.369631829915977 0.261616746061861 0.353744273377185 0.311263042769178 0.301204819249108 0.290726525483497 0.310224574577595 0.362364396092723 0.311564707898902 0.262765795609236 0.202891047884368 0.288458456221206 0.364734822490801 0.354776985643804 0.396244703862854 0.405961436372735 0.397168470699786 0.345496462615824 0.2746207432492 0.494834589222593 0.322176510429584 0.306158046629416 0.287656505670857 0.285786789388922 0.367393721065787 0.397245461191841 0.392341355338375 0.359983444211268 0.399145099048599 0.378775894441224 0.402835414966016 0.422277520225516 0.397544770554746 0.398982644240746 0.393374483328563 0.388131340318222 0.409484411599107 0.445323924627063 0.356232560075785 0.354721956361772 0.38269509175712 0.362123214444248 0.380913376919227 0.434591917723074 0.434997558853187 0.534019489625836 0.468640654080065 0.303840716825261 0.411029175192383 0.379953076351001 0.313091368475535 0.253918972140221 0.214008473298427 0.321791628442677 0.357734072331381 0.330808309795234 0.338148584779343 0.38050397356786 0.400137778364681 0.384748891247417 0.389497123902592 0.388112972219332 0.398727344630119 0.398817016279623 0.384237697013422 0.303453305278409 0.3565418099045 0.321497834525531 0.409519723749017 0.413042999114159 0.349381855784995 0.431608286952618 0.383704006042682 0.300459350217578 0.297664907543599 0.324994285854545 0.341293241789415 0.281164268071231 0.317469798831007 0.380155617333962 0.356211792658218 0.429895604064483 0.331884855764073 0.369599696020234 0.303069078341147 0.328660572783565 0.389975679777248 0.412067610403968 0.373419829344492 0.41841722575976 0.353349686591318 0.384065147072362 0.347738246273729 0.364236393576388 0.376224918861723 0.375319711118096 0.326592947326202 0.308483475443936 0.333209863451852 0.411528371858896 0.349176414011516 0.346165100864694 0.331071740964233 0.396018012146738 0.361523741731435 0.383051274527085 0.303843441451763
"bhagavatapurana_skandha-01_u" 0.377317599396246 0 0.285567842376449 0.256084125124466 0.24273161947414 0.326997116482713 0.249188217106048 0.259377214396144 0.266527035054587 0.273844086698199 0.375896866463781 0.226633209042582 0.267244429622909 0.290195975247304 0.343313547403178 0.377110158414165 0.314050592074825 0.367918900036338 0.327705260984452 0.307020145271353 0.396973570188212 0.344832788711443 0.37685817450523 0.358021781426961 0.367813710962712 0.41632163756345 0.333201077413853 0.361866451948297 0.382941342419756 0.383449636184044 0.297847487319434 0.351346844382772 0.535107075427027 0.330213934016698 0.352516678019782 0.345803164480149 0.395264612878121 0.304488117112868 0.362607386165023 0.33182811943917 0.301274291705106 0.349268564663387 0.320411803593032 0.365911595500204 0.382542054259786 0.361981501185744 0.369130753849187 0.359044234748258 0.348831996225278 0.365120914346472 0.41615171412315 0.305363240256243 0.313089797961952 0.390873136261885 0.391543350596397 0.325121857886851 0.370679033364684 0.395121084908211 0.496161931584059 0.426798513962812 0.314705517074353 0.421476348343229 0.3312417959167 0.3086182888025 0.309981175542128 0.337192123251705 0.357217571424007 0.401909755479048 0.325219488393576 0.360830771484422 0.395943384742145 0.370137408459679 0.347321927725381 0.369840001973533 0.366954379935098 0.377296542191698 0.383222733338144 0.348596575600452 0.33853453999315 0.425961342681264 0.383038887390545 0.41775776821665 0.428495521578933 0.373104178521816 0.443106483727703 0.361678573623007 0.336409611402983 0.367019095624683 0.420990285514359 0.35238640753226 0.331333329176721 0.359060595405315 0.415489227070154 0.355871620029366 0.427862899991712 0.31118092015989 0.375863818650972 0.32678460506169 0.355334545611399 0.399402035164094 0.456498608340844 0.378117967632213 0.453512110195371 0.389364229216197 0.410924563849712 0.397956159608196 0.360363421392554 0.394735065771285 0.437729589198366 0.371107938911601 0.341557917997304 0.323999516238633 0.425302073652728 0.350308593393388 0.382347777609041 0.381911048325307 0.395346889030361 0.34886742941117 0.378458543902768 0.314692629342675
"bhagavatapurana_skandha-02_u" 0.404902454935446 0.285567842376449 0 0.275242604774188 0.284547646624777 0.331798545536819 0.293106451497786 0.293967942022405 0.306717686003418 0.328481298350836 0.413814739889853 0.314616253418499 0.298447199974226 0.324342122269701 0.384933379051368 0.411935239172104 0.366165185429801 0.400266850611235 0.374791926594493 0.363031377405802 0.411932996194073 0.388020296982091 0.406808450627616 0.387008431354105 0.402183731204168 0.436111152375527 0.394743206657936 0.400264397756922 0.404622929764066 0.422944139037006 0.3724653625346 0.381012246798806 0.541852505687189 0.354517853400034 0.373938205881844 0.373306382163211 0.41059823698143 0.37930819892561 0.419650751258491 0.405337113494718 0.375342282421183 0.417106631134287 0.393739774723399 0.423413035531332 0.435511164672582 0.420065239976181 0.427962194215071 0.421634074392595 0.410349060907362 0.422177296480794 0.435739601825293 0.359222650554689 0.373345122674025 0.422945414258411 0.423094790065857 0.385697393852514 0.435543191426745 0.454022356956036 0.533359060375967 0.471324167299717 0.363340378081159 0.450640315743571 0.378358522581175 0.358523159968602 0.357704746279715 0.367405362807278 0.392748309710693 0.437111215784482 0.363112076800061 0.398389940314037 0.398874049673188 0.41667558320963 0.408668457511627 0.412516375874113 0.406624613803949 0.420775022059642 0.424110258317833 0.400209167728699 0.368889678439189 0.438391563172287 0.409257089396293 0.447311363962704 0.455552651460818 0.410381587366103 0.458455114418566 0.390662754509248 0.373735145337519 0.379974217056288 0.43851049815097 0.390378894676307 0.357983242437557 0.396653795126886 0.421012738104738 0.392083340799322 0.432242238601658 0.363103495937124 0.402197338835282 0.372420336298866 0.397527100445701 0.42522593916038 0.456151925584889 0.403365280167779 0.477315002018672 0.423335646270442 0.442125043294685 0.426467214927731 0.408751633859921 0.421534091216151 0.463664385168819 0.4004082072678 0.382605469653694 0.352225363497078 0.443559911002773 0.372509920561856 0.39902045368227 0.410230646719088 0.424850702832099 0.393141212126709 0.392931850762923 0.353112738048712
"bhagavatapurana_skandha-03_u" 0.378186174011351 0.256084125124466 0.275242604774188 0 0.190901107514015 0.286907186003536 0.265316168353647 0.27560624459984 0.27726721740438 0.30205841840121 0.342760782842508 0.228702378445 0.228511453435005 0.272140495768086 0.363114103735791 0.389281734629655 0.340013240179935 0.371980084132381 0.343471403740469 0.291901855175948 0.398074160110627 0.367875069386277 0.382732133684705 0.371818124605739 0.378928545337124 0.424383626192724 0.32678072070409 0.357131299543747 0.350666963734504 0.369502123923993 0.296546906580541 0.355191438649565 0.527213097174618 0.342401664441144 0.357221367983986 0.347756890352346 0.393096661101183 0.306000133050546 0.365487919129208 0.341758018121724 0.297404174043134 0.34858309616085 0.325020325979891 0.363987367615133 0.383449803971648 0.358379252269849 0.366952415474891 0.356554114870473 0.346190116112482 0.367092349970455 0.384067234864756 0.284185504449885 0.300021361831177 0.364887966931208 0.367820872771129 0.318198776631461 0.382665914447663 0.401778086664471 0.496340871055264 0.43388375877929 0.331666124013997 0.428746212716596 0.354667037411868 0.326102798510452 0.326551069252687 0.349947427330479 0.362514018132686 0.416887064979499 0.309142314133504 0.371383076051555 0.397637958920986 0.35606836881962 0.335223262325137 0.352606118738091 0.350465114070693 0.354338809099126 0.361131754086125 0.334025233520938 0.356157190223084 0.425548749310985 0.374071525699585 0.434336640740148 0.442167199716634 0.38236333076013 0.448990755532068 0.37591934925312 0.345711549082333 0.359401923442779 0.425405943797244 0.366726752694946 0.329950017962789 0.360612329658021 0.422939374352315 0.366478190016339 0.41997376004472 0.322005414558545 0.38604568901347 0.343896699652164 0.371171504733023 0.401531094417923 0.446128144611632 0.385514906169699 0.47031362549494 0.401065235867692 0.420870112939849 0.406112502991997 0.388678906834539 0.399725271558148 0.450522777205456 0.386356182809991 0.357227034139685 0.294386974868923 0.416639870655473 0.349271273880264 0.391792261573872 0.387311364591621 0.408255073763411 0.365648200608936 0.380057516155459 0.32597554454488
"bhagavatapurana_skandha-04_u" 0.363557738447013 0.24273161947414 0.284547646624777 0.190901107514015 0 0.288419579616549 0.248100109592777 0.258959204749505 0.263017541723317 0.278735520342148 0.347740528806304 0.2002147126165 0.242414835536438 0.265073995097607 0.349033334720819 0.380724192910416 0.32071388748541 0.363827525815167 0.328887149959153 0.278306219919502 0.392403841763755 0.350105446409359 0.367446293306888 0.357685099489353 0.367905434922393 0.420884494313731 0.309979369873093 0.341772355942886 0.35044768065862 0.358223873954932 0.279005344044165 0.34322874037177 0.51835033423363 0.324550172404926 0.354032018582775 0.338067048905325 0.387324594981143 0.284937193452107 0.352638578762276 0.326121002606897 0.280498408497361 0.339211121286887 0.309417085459562 0.355199075639183 0.35725006159741 0.350869412262729 0.356719444805636 0.34421812048766 0.33495121556616 0.351344257558993 0.387598878214294 0.277192523535247 0.290226854770541 0.363476314517594 0.360370735756184 0.304661997026358 0.365029772552589 0.39251093679127 0.488089608720534 0.419314298399215 0.319007950110934 0.426738903562269 0.334516024036217 0.311547604369236 0.307736776748588 0.335673594568957 0.348536748594938 0.400290654789602 0.294494319934519 0.359657984958057 0.400145135624387 0.338700138795774 0.315719170646563 0.339112860915839 0.337150530633561 0.342640854365097 0.352745332075594 0.319155263876656 0.34189927103939 0.420802461819843 0.367489575233852 0.42426250849073 0.436050805827265 0.366802354466054 0.447797193022083 0.367998216874315 0.334950941486863 0.356641741346227 0.420276012852859 0.353905692926419 0.322306635868599 0.341836893001912 0.415605093841845 0.354953296559238 0.433588309946321 0.309785971715507 0.37300753107029 0.323229354278461 0.358143252903582 0.404698537739653 0.450634135702045 0.378897930652314 0.455530184435708 0.398621716972019 0.408937931810772 0.3959102200902 0.370051402583718 0.400256447477051 0.43926282826982 0.36899829701321 0.342448599347777 0.283810205098619 0.402265188346821 0.337389223625408 0.384681357685779 0.378493484350626 0.396791031263213 0.357652836712186 0.378341779684977 0.314167131945116
"bhagavatapurana_skandha-05_u" 0.411604400654321 0.326997116482713 0.331798545536819 0.286907186003536 0.288419579616549 0 0.329276588223772 0.344076818060825 0.331419178081544 0.362990646293553 0.373178607465101 0.309673419537852 0.318389904360134 0.318883156867587 0.398840938781896 0.420314293174459 0.38311196021538 0.395097742329221 0.382839725014514 0.362749568676631 0.43476551045034 0.414501321689538 0.415171769009698 0.403036619803132 0.415907271625927 0.451312476300395 0.389540961943594 0.416561937031005 0.408441803147936 0.414892129444284 0.36056048969239 0.405587413402664 0.541579183699459 0.389527051138522 0.399087872363942 0.395326793426739 0.428221688018425 0.372492639266014 0.413591535348193 0.393606093994978 0.363688104617734 0.406917740674907 0.381411190946032 0.41508014673456 0.435432341848981 0.414592187151239 0.419667300621667 0.413869577503671 0.40377953195569 0.411924280906618 0.421424640319021 0.356587449640308 0.36600267731244 0.410819419979314 0.414816466882239 0.383441538237618 0.431708127053173 0.450893134402449 0.531147230372073 0.478205763857325 0.383732616956719 0.46374278820881 0.411926723901379 0.381117557123806 0.361556343531858 0.390763213775629 0.412586406974112 0.448978912152159 0.36691961732626 0.394735899188429 0.404144757112998 0.413057177843749 0.394003471355208 0.401598548336272 0.397862810646799 0.402875267870672 0.412235339612631 0.394223854664328 0.39424697502198 0.451375212710732 0.410332697971954 0.442634967318835 0.481825278738246 0.425554365724019 0.446899924674799 0.426086462074383 0.393665961219111 0.399933693318797 0.454402500327869 0.415765946452736 0.364953675613231 0.397905609280619 0.446629502207949 0.406964050863563 0.474170909155916 0.380593693447446 0.42878334113608 0.384337757498501 0.403415732992301 0.437693663957404 0.468979971413901 0.423582741393191 0.457186704132979 0.420120361808413 0.453895114521358 0.438907153015721 0.419637985179603 0.434853242552945 0.494330837833708 0.41600445251732 0.391835063533051 0.356252130255081 0.443099793894458 0.406171535486626 0.407800565209407 0.42420668788502 0.398507634291806 0.401433538597531 0.414661573564419 0.364345055227677
"bhagavatapurana_skandha-06_u" 0.35520306413603 0.249188217106048 0.293106451497786 0.265316168353647 0.248100109592777 0.329276588223772 0 0.226779495956356 0.218433905161631 0.257045211709245 0.396554886509483 0.255529266677069 0.264197193407096 0.306562671410173 0.327644256391925 0.361006816366862 0.293567748211306 0.333879902460614 0.302016918774009 0.306978784275937 0.370413751673378 0.324742798617006 0.34772940328543 0.332777346186392 0.347094141979272 0.391632852624537 0.343629751062195 0.36681532966119 0.371972461403702 0.37337624155928 0.314661420026295 0.330339137299539 0.528464272967111 0.296550763762116 0.327306459300429 0.3119125605718 0.364474126637542 0.323772734166426 0.374134472553663 0.355484425388469 0.316720866752673 0.373483923662033 0.341725646730916 0.378917891044296 0.392788247677226 0.384499347227529 0.387178531489652 0.373825321903857 0.369320143077972 0.386264670205017 0.41522400699541 0.30857299278333 0.314599233071021 0.387479652588532 0.385729030636567 0.340333644574845 0.39145171302682 0.422158948657247 0.506598338773476 0.441551947413474 0.292660541656131 0.389390596802082 0.335626502957101 0.288337345681472 0.288345428547692 0.316172784878382 0.341608966788412 0.390026082902536 0.316607402760109 0.355693773572899 0.382483879943666 0.374792552706257 0.35979563333947 0.376093212078177 0.372157088842821 0.382940915031899 0.385197039149174 0.354261651381619 0.309569552692576 0.408332928570114 0.373293328099416 0.40177656671513 0.422505307302669 0.341265452814354 0.424671616628573 0.345609458171648 0.312669699917965 0.334404278072232 0.404556576455041 0.342041351790154 0.305071184290297 0.352824346804992 0.380452382540573 0.330696097510024 0.417771731531571 0.298864837556532 0.354724026596161 0.296877042888688 0.335758934263717 0.383096683099402 0.426001750814481 0.352919951105519 0.436961468202604 0.379073823329691 0.382936040488679 0.375678305097775 0.347443895738407 0.378645816032749 0.425807686687435 0.351338325967764 0.318890061799128 0.319345777896134 0.414488033348687 0.307651658310506 0.361317938260776 0.354892661489529 0.385210871590325 0.340611148239162 0.361643527264764 0.287149638410552
"bhagavatapurana_skandha-07_u" 0.361949198867261 0.259377214396144 0.293967942022405 0.27560624459984 0.258959204749505 0.344076818060825 0.226779495956356 0 0.247826363123649 0.274330734175596 0.390098434978922 0.270835431115084 0.265332557414178 0.319743688542724 0.33763174760503 0.374671078423901 0.314665160247275 0.348313335691899 0.321598835471143 0.324745652320473 0.382243519194331 0.334886595783141 0.356643353960086 0.343638073204838 0.346976795810257 0.396732873190737 0.358974019307625 0.380529286241334 0.396153344701443 0.396512695038838 0.335454300832732 0.334959868897753 0.531728425551091 0.319121325451559 0.331664506504147 0.328030228194356 0.372755315260627 0.342096910190141 0.389706520376061 0.370184795587225 0.33592567655184 0.387132079266083 0.358658101645741 0.402732636538008 0.402419605021401 0.39805105025662 0.402520833146253 0.395502901165753 0.382277357929355 0.402807108816526 0.429369063471708 0.319723329632465 0.337306143886712 0.387974385615779 0.392433644226665 0.351909298207997 0.405840275347911 0.430799301883047 0.506728642947482 0.450627476356638 0.306511741286694 0.407051046063761 0.345308323383446 0.303469142431518 0.303190602846575 0.322264923192154 0.34491909084549 0.400690203533835 0.331487950750243 0.357089939832274 0.380518045275856 0.393881145068106 0.376284378012248 0.388183553728547 0.38572614292229 0.399752039081228 0.400329773824521 0.370079530971203 0.319253369870344 0.405540649408271 0.374508706962524 0.403417835895937 0.429436956845553 0.354900742301908 0.42712436227771 0.35978352417451 0.32540886735792 0.344461087773436 0.40305382906894 0.352376780114119 0.308401571452848 0.358651327070766 0.390868628169641 0.34725394570032 0.426475215394371 0.315935890274638 0.358759522151116 0.315125861481807 0.352520325743559 0.392181935287177 0.434537736069295 0.37171415642136 0.457101463453937 0.385257919753724 0.404803935561534 0.380236921162995 0.36554849102343 0.387957490462445 0.423432181941581 0.357949111355427 0.337894419392402 0.326347207307476 0.423637995893218 0.32062695683007 0.37098279443633 0.360022470273619 0.397585076188674 0.342321620150946 0.363047512970928 0.298697679036494
"bhagavatapurana_skandha-08_u" 0.361218006364092 0.266527035054587 0.306717686003418 0.27726721740438 0.263017541723317 0.331419178081544 0.218433905161631 0.247826363123649 0 0.253937750103483 0.399243684693762 0.246469071972308 0.303426512266687 0.310413372429182 0.324915796406915 0.36890071182473 0.297149300463677 0.334314016998535 0.307615373218498 0.314688256231613 0.382770224963278 0.331110901046851 0.353120242021323 0.33617224968816 0.361285591584266 0.396169745410894 0.341969997567985 0.367522166021472 0.367160530125566 0.355896489600524 0.315943928975801 0.32516970670901 0.529778708539499 0.300184474948247 0.343287986781211 0.317213212309966 0.365479079273895 0.334995055264406 0.365400276440277 0.36117046188296 0.327198523982145 0.379361485198472 0.357870477626743 0.382949449174299 0.395936487955584 0.381213245821663 0.384298813577256 0.373816510890129 0.378636904691848 0.396191110408861 0.443682068973619 0.337131011871038 0.333191831501212 0.405846101396535 0.399602365935687 0.358348953092356 0.40242760283014 0.425274357153633 0.513442097016824 0.447469727812993 0.310036596834488 0.386280942667259 0.343304051425025 0.302153675365666 0.28640660913056 0.32135326988826 0.349435844327975 0.385763288581107 0.321622751042023 0.34727238891932 0.384530134038951 0.378592828525444 0.373196148972502 0.379049668264912 0.369466146432755 0.377035649764035 0.372974476391591 0.353046413462681 0.309186263087687 0.402596666127472 0.381319122233584 0.401150807176802 0.430520026965807 0.338417588156447 0.416243184400472 0.343399209551457 0.321576555968561 0.341105171661044 0.408265850217989 0.330093236527026 0.318154292591338 0.354778527926541 0.39432772591639 0.331483108411811 0.436314577735933 0.295134015337552 0.350705783139286 0.291929337410344 0.341605532553078 0.393733457758943 0.444575287625634 0.356235191837839 0.427410624542098 0.3840498717963 0.390027142759418 0.388458076218725 0.346364752705154 0.383928467771391 0.42829505891947 0.355306183957031 0.323556639337434 0.327801726752945 0.416716197282144 0.317878872119116 0.372174791679607 0.366885534903246 0.382634837207383 0.332745038423429 0.376951126551386 0.294133033989521
"bhagavatapurana_skandha-09_u" 0.3613254053458 0.273844086698199 0.328481298350836 0.30205841840121 0.278735520342148 0.362990646293553 0.257045211709245 0.274330734175596 0.253937750103483 0 0.409532371635841 0.263036757569971 0.329015717155355 0.32966666165316 0.331558741917215 0.362809823539934 0.277468583545798 0.352070094317803 0.305053889133729 0.321819531086407 0.393863925554138 0.333952576017521 0.370043637171466 0.34850708764995 0.365548673669543 0.409029750045983 0.353139866142014 0.374239044322071 0.401441510515547 0.391028543496927 0.308059784605863 0.328282732109281 0.537080792488543 0.313798487449334 0.354184307983281 0.333776737296901 0.381936811889491 0.318501287793769 0.375402454119455 0.358927361424074 0.322558888321841 0.368830342419967 0.346223625224583 0.389429161017487 0.386166075268679 0.382942677395144 0.388311641396822 0.37126251638533 0.372919818265264 0.389392800852218 0.450794939789098 0.339667310901956 0.33727790488735 0.416802853008892 0.409020640313437 0.355620501488055 0.388586359778752 0.411361207737207 0.507449637113116 0.445992115806726 0.296761153356016 0.411078876179484 0.324328968425035 0.291775066978379 0.296745715489538 0.336994248779057 0.347115312764726 0.39404551903847 0.330094082430723 0.366613912012057 0.40115248767304 0.356266542184682 0.350502779183163 0.379559178543219 0.367041257542931 0.381712221114431 0.38934871790883 0.350049630600533 0.331152795645329 0.419492897008774 0.394330312265167 0.407551320599473 0.435931913586318 0.357089787401502 0.437571762391481 0.358161585667109 0.323955568646209 0.355533901304871 0.424566843036284 0.356714847704575 0.323280635564153 0.361238230925606 0.416209678835729 0.344363218677589 0.442502033714521 0.318525940620323 0.359196290531671 0.305798630787694 0.327997432173965 0.393261647476837 0.452198326087241 0.358585568018171 0.44637473041023 0.381446948560841 0.382170909424212 0.385716415726164 0.299035466763082 0.390079691281126 0.431542019906747 0.363363299630911 0.316959113217453 0.358541972893995 0.437296701172593 0.330351367213016 0.372581429514556 0.374089705895573 0.350021445854467 0.344377637204284 0.383917939409909 0.295415539877314
