"agnipurana_u" "bhagavatapurana_skandha-01_u" "bhagavatapurana_skandha-02_u" "bhagavatapurana_skandha-03_u" "bhagavatapurana_skandha-04_u" "bhagavatapurana_skandha-05_u" "bhagavatapurana_skandha-06_u" "bhagavatapurana_skandha-07_u" "bhagavatapurana_skandha-08_u" "bhagavatapurana_skandha-09_u" "bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary" "bhagavatapurana_skandha-10_u" "bhagavatapurana_skandha-11_u" "bhagavatapurana_skandha-12_u" "bhavisyapurana" "brahmandapurana_khanda-1_u" "brahmandapurana_khanda-2_u" "brahmandapurana_khanda-3_u" "brahmandapurana" "brahmapurana_pu" "devibhagavatapurana_devigita_adhyaya-31-40" "devibhagavatapurana" "devipurana" "garudapurana_khanda-1_u" "garudapurana_khanda-2_u" "garudapurana_khanda-3_u" "harivamsa_appendix-29-30_mathura" "harivamsa_appendix-31" "harivamsa_appendix-41" "harivamsa_appendix-42_pradurbhava" "harivamsa" "kalikapurana" "karatoyamahatmya_pu" "kirfel_ppl_textgruppe_I_col1" "kirfel_ppl_textgruppe_Ia_col1" "kirfel_ppl_textgruppe_II_col1" "kirfel_ppl_textgruppe_IIA_col1" "kirfel_ppl_textgruppe_IIB_col1" "kirfel_ppl_textgruppe_III_col1" "kirfel_ppl_ungrouped_col1" "kurmapurana_khanda-1_u" "kurmapurana_khanda-2_u" "lingapurana_khanda-1_u" "lingapurana_khanda-2_u" "mahabharata_01-adiparvan" "mahabharata_02-appendix-21_sisupala" "mahabharata_02-sabhaparvan" "mahabharata_03-aranyakaparvan" "mahabharata_04-virataparvan" "mahabharata_05-udyogaparvan" "mahabharata_06-bhismaparvan" "mahabharata_07-appendix-08_sodasarajika" "mahabharata_07-dronaparvan" "mahabharata_08-karnaparvan" "mahabharata_09-salyaparvan" "mahabharata_10-sauptikaparvan" "mahabharata_11-striparvan" "mahabharata_12-appendix-29_moksadharma" "mahabharata_12-santiparvan" "mahabharata_13-anusasanaparvan" "mahabharata_13-appendix-15_umamahesvara" "mahabharata_14-appendix-04_vaisnavadharma" "mahabharata_14-asvamedhikaparvan" "mahabharata_15-asramavasikaparvan" "mahabharata_16-mausalaparvan" "mahabharata_17-mahaprasthanikaparvan" "mahabharata_18-svargarohanaparvan" "markandeyapurana_adhyaya-1-80_u" "markandeyapurana_adhyaya-81-93_devimahatmya_u" "markandeyapurana_adhyaya-94-141_u" "markandeyapurana" "matsyapurana_pu" "naradapurana_khanda-1_u" "naradapurana_khanda-2_u" "nilamatapurana_au" "nrsimhapurana_pu" "padmapurana_a" "pranavakalpa" "ramayana_01-balakanda" "ramayana_02-ayodhyakanda_a" "ramayana_03-aranyakanda_a" "ramayana_04-kiskindhakanda" "ramayana_05-sundarakanda" "ramayana_06-yuddhakanda" "ramayana_07-uttarakanda" "saurapurana" "sivadharmasastra" "sivadharmottara" "sivapurana_dharmasamhita" "sivapurana_karvanamahatmya_au" "sivapurana_rudrasamhita" "sivapurana_sanatkumarasamhita" "sivapurana_satarudrasamhita_au" "sivapurana_umasamhita" "sivapurana_vayaviyasamhita_au" "sivapurana_vidyesvarasamhita_au" "skandamahapurana_himavatkhanda" "skandamahapurana_kasikhanda" "skandamahapurana_revakhanda" "skandamahapurana_sutasamhita_khanda-4" "skandapurana_adhyaya-1-31_pu" "skandapurana_pasupata_adhyaya174-183_u" "skandapurana" "vamanapurana_saromahatmya_u" "vamanapurana_u" "vayu_ba" "vayupurana_01_frame-and-cosmogony_iast" "vayupurana_02_pashupata-yoga_iast" "vayupurana_03_kalpas-and-shiva-lineages_iast" "vayupurana_04_bhuvana-vinyasa_iast" "vayupurana_05_jyotis-and-purvardha-close_iast" "vayupurana_06_prthu-and-prajapati-lineages_iast" "vayupurana_07_shraddha-kalpa_iast" "vayupurana_08_manu-candra-vishnu-vamsha_iast" "vayupurana_09_upasamhara_iast" "vayupurana_10_gaya-mahatmya_iast" "vayupurana_revakhanda" "vayupurana" "visnudharma_pu" "visnudharmottarapurana_khanda-3_adhyaya-343-353_pu" "visnupurana_amsa-1_u" "visnupurana_amsa-2_u" "visnupurana_amsa-3_u" "visnupurana_amsa-4_u" "visnupurana_amsa-5_u" "visnupurana_amsa-6_u" "visnupurana_u"
"agnipurana_u" 0 0.414264396319807 0.447555791438485 0.410651268099237 0.398077316128296 0.441648288084788 0.390980650832579 0.400964990531539 0.395603577340782 0.398188502428986 0.472828687820944 0.391714415350054 0.413031295314204 0.408446674671217 0.289816478349066 0.382022098599046 0.339309285100176 0.329397495741803 0.314400756096376 0.338592785795367 0.40257109673867 0.344977440366073 0.292570795637395 0.228765384224169 0.321797690012333 0.40166330460523 0.390226235810717 0.432938744173112 0.441159177503691 0.427435804515216 0.3747010395814 0.302968221568558 0.554072050197496 0.423551747182446 0.508367230706423 0.419358183338141 0.476095029141007 0.451931260097275 0.524390088620835 0.440800124077341 0.353956707558145 0.338086623592004 0.31403521135503 0.316105738866072 0.399996684684386 0.433860540936673 0.426436588304368 0.390093603324966 0.436169250199407 0.413693481467705 0.436504688603028 0.465604356472698 0.434163017163329 0.434470803632928 0.426755785532531 0.431308258555148 0.451981408760894 0.487709974795816 0.386900842006936 0.384178752240091 0.415843812381439 0.396966649914822 0.415479614765367 0.471624570294564 0.484911689982127 0.585872603440371 0.51944578713612 0.331431653686018 0.45328186206483 0.412931693449831 0.338665177454824 0.276247023439434 0.239435444146522 0.353774080808175 0.392269410789626 0.361718224042292 0.364854273395661 0.41301029740398 0.434647234479821 0.420817278084928 0.425420003492112 0.426085131128797 0.431657840241887 0.433188027757891 0.420052871376039 0.335424621450603 0.3866062077397 0.351944268761936 0.439703907364173 0.464978170958924 0.384557201206238 0.462214667076419 0.418560441258567 0.332391039990199 0.331350803684969 0.367142619437462 0.375387746768866 0.31022003978804 0.348697088351849 0.416332030544848 0.387979702650922 0.469675601741826 0.358333684840333 0.404627507531622 0.330263612317179 0.356267636859238 0.425240047301281 0.458327444407414 0.40533225018321 0.452775193315782 0.388225661044607 0.418173012001032 0.386984187733713 0.398646024314619 0.412168166454604 0.426998837201084 0.355226403858891 0.335418993811673 0.365058732297399 0.459915181224487 0.386339916719703 0.388622196863174 0.374978285601424 0.431473673901199 0.399340459601269 0.429343754609115 0.333274474575966
"bhagavatapurana_skandha-01_u" 0.414264396319807 0 0.334722773294591 0.298654271982772 0.286677681415388 0.370163183420633 0.29431934952557 0.303691521541702 0.310896690802184 0.320668532516253 0.421483026226061 0.271193286709785 0.311549441776783 0.337811347911986 0.38428698628195 0.413214164274773 0.352591311212647 0.40619858838577 0.364386616735898 0.34651137107245 0.44150428323248 0.385499415672219 0.41689545284741 0.400721799948416 0.408007171722425 0.455029390902159 0.375674218810363 0.406133286134148 0.426376796931715 0.424238119670544 0.339119530978315 0.390750616203406 0.588885597900217 0.425769204487286 0.52377002529449 0.436593566726711 0.501447703885829 0.468502955814767 0.521213409114368 0.438788412985119 0.371003129986749 0.391879535906236 0.383269815777623 0.434435212117532 0.345528460308541 0.405691666121147 0.371138771503516 0.339347912250123 0.392169945184291 0.360369422109209 0.405791084289297 0.431335394056916 0.40506101173343 0.410350930873909 0.398003762446944 0.395142542381301 0.409278697384778 0.462941580023201 0.345115356519513 0.353128743463792 0.427599033146095 0.431172634228585 0.365384999787332 0.410783625156865 0.445001721008221 0.546696034345055 0.478205028516311 0.353623256853162 0.469236109229237 0.373506807437862 0.347249709512138 0.348465238029417 0.377710343793032 0.395265002209994 0.443673213144988 0.365241587634557 0.399723540177504 0.435929027271496 0.410250987812454 0.38699060107328 0.409480359057227 0.409613447950637 0.417169244585676 0.423184533361618 0.389590630777606 0.380976021513407 0.466592078153491 0.422335080052551 0.459689482966106 0.477800369885167 0.411772353786522 0.485616301606083 0.404122785427515 0.378838976661136 0.407386015294791 0.463081458236635 0.393973074770356 0.37282317340557 0.3978393730027 0.455252472107356 0.39464131187071 0.47335701259969 0.350181166498434 0.416856788018343 0.364191974167483 0.392915477783864 0.439610129419557 0.501598746461953 0.418800614934752 0.491760504447112 0.430279436326481 0.448371390072972 0.438805272124363 0.40121503306586 0.436387698409018 0.48578758037001 0.409043127361945 0.379449024132698 0.365307734721241 0.476855430057281 0.392683394389742 0.428426757700168 0.4260687705911 0.435244799920486 0.39334034972638 0.428414248005743 0.354696931910635
"bhagavatapurana_skandha-02_u" 0.447555791438485 0.334722773294591 0 0.322387713496815 0.335237996775445 0.381508658184313 0.341679372894645 0.343662403420108 0.353426357078724 0.377134678474067 0.460075647893343 0.361212460603364 0.346862442766111 0.374254226292151 0.431669849141835 0.449968003640239 0.409504853867558 0.444417679819591 0.41605953795882 0.406936347481624 0.459486028746986 0.435499411406831 0.452046056968373 0.43637917167624 0.44741468379013 0.479482643040755 0.438994505251132 0.445020329896429 0.448631575863268 0.465240778902653 0.415281079399955 0.425124161107605 0.594602539923224 0.473333099315507 0.547415884951138 0.476200364209434 0.510462708613931 0.490682053480657 0.529790832475308 0.483152734163356 0.400559749295062 0.419336483822387 0.41686670680416 0.455137433178305 0.422453692261339 0.463901245328412 0.446873271313716 0.417898826793413 0.46129778212489 0.438100725123686 0.467017706147704 0.482649363793207 0.464897185909365 0.470460235445297 0.462588395225588 0.458444641359532 0.46665641391162 0.482560639600799 0.402550404069545 0.417550826179867 0.463525144445534 0.46727334749505 0.42927247141546 0.478355400653528 0.50131159050672 0.580043667716735 0.519692433356379 0.40625948786805 0.499511342885559 0.422350067964848 0.401520823717504 0.401720248046205 0.413947516095216 0.437505699504921 0.480229141570983 0.408822807673971 0.444996110615802 0.446503721401376 0.460658475191747 0.453657820298881 0.457266762923489 0.452345930238893 0.464621363603483 0.469032688462978 0.44519755410142 0.417944794700165 0.48372475718602 0.45370623841393 0.494316043107336 0.507140923614706 0.45560367586625 0.506332245133842 0.437320809591633 0.420428955400214 0.427734438988548 0.484245644759468 0.43414404128169 0.407096737932951 0.439931505221861 0.46653008943274 0.434991338191348 0.478544494739917 0.407669212896631 0.447837263644249 0.416165722723306 0.437618845597829 0.465650160686288 0.502369088445404 0.447443628378513 0.517889756286164 0.466310902363457 0.480081249123259 0.472124518861667 0.453130870928323 0.463461276206269 0.514455836874949 0.444587580040866 0.42451473205329 0.399114954070608 0.495748729410304 0.418297916135676 0.447195002583022 0.458699140147821 0.470053110274865 0.443082788708147 0.445096069578537 0.400508344882772
"bhagavatapurana_skandha-03_u" 0.410651268099237 0.298654271982772 0.322387713496815 0 0.226870404694889 0.324597375557316 0.305878399268151 0.318484995562539 0.316989333205752 0.342670005943 0.384499414652997 0.261095340559794 0.263724917372331 0.314789811568088 0.399828129342504 0.420893132104265 0.37372901001318 0.407633280334388 0.374558119795586 0.323929582143489 0.441898431179293 0.404481618534537 0.419567942642762 0.409484032332935 0.416140881643069 0.461189842602553 0.36336170196258 0.395793680532 0.389510424629676 0.403938112188388 0.329219532463585 0.390912571466812 0.580580108518568 0.409365479158911 0.502566945067546 0.41590010491802 0.465916301532968 0.431829090636076 0.495121290113218 0.428469391513571 0.379019453020271 0.394961435903626 0.382136211939319 0.431010674264087 0.3389780188987 0.40520355730387 0.375920044252353 0.32866200325747 0.387080894662027 0.35960439195204 0.399648689149457 0.427089677364922 0.394699811797979 0.401650260372252 0.389554522844685 0.389564702600858 0.407354191432845 0.427036477752898 0.316995325500305 0.332938737388638 0.398312580116435 0.403429595564601 0.352574223416305 0.419220659824193 0.450418294962001 0.547715328900502 0.483732442225685 0.365252628517886 0.475447043377544 0.393922450522282 0.35959296758399 0.358765946210846 0.386053140407965 0.399762696723896 0.455524420434129 0.342983477218274 0.405383371966368 0.436111102776926 0.393652965217746 0.371425030785142 0.388310121086354 0.388355479550233 0.389382557737843 0.397982737461397 0.371883242923052 0.394446553887813 0.464155939549441 0.410548945762578 0.470988447952925 0.493436116443491 0.419596908155932 0.487912836800084 0.416440785777758 0.382820581461258 0.397845803084779 0.466355669471002 0.406081836626124 0.369291969740314 0.395251789416725 0.461806370430024 0.40224426570987 0.466448257539252 0.358054310427983 0.425349475371552 0.377738787762207 0.404599059437534 0.439159005036186 0.493428699503279 0.424722522487463 0.505433098758238 0.440118944048043 0.455184960283496 0.447166022505864 0.426316654119911 0.439169559489306 0.49883105299856 0.419122364548234 0.390699532582007 0.330401470627911 0.467022334628355 0.388617989962413 0.433840056503291 0.429974415461191 0.447353589057358 0.40635568369287 0.428070516633041 0.361026103625432
"bhagavatapurana_skandha-04_u" 0.398077316128296 0.286677681415388 0.335237996775445 0.226870404694889 0 0.324980735712247 0.289426487002877 0.304074800633628 0.303294324886122 0.319665133929349 0.389465538229456 0.235109073058352 0.278608913368579 0.310365704938308 0.38762004586876 0.412425975542801 0.354963053114876 0.400162814142359 0.361279274155379 0.310136458265695 0.43699541444626 0.388445231953892 0.406601594133162 0.3978663835278 0.40713848734312 0.459898179825098 0.348045480357498 0.380753703040188 0.388676396421506 0.392907638488418 0.31119296852258 0.379614863214837 0.574530654999162 0.394715223940188 0.498766964835766 0.400538664207115 0.466177410723684 0.434706907732062 0.495260003425936 0.416306781246185 0.362707550722522 0.3909556458882 0.373386626471603 0.426188710148754 0.318541474088752 0.392795509841395 0.359972831964437 0.312024481619586 0.377317577892107 0.345046821181762 0.390530116850763 0.401403894674685 0.387006206278241 0.39072888654073 0.37669838223545 0.377792950909108 0.391686426039126 0.431282413747584 0.309324865930994 0.323844045641344 0.396823076580679 0.396527041630659 0.339579806308846 0.402033276235829 0.440408795024395 0.538994018105559 0.470685204010571 0.353666488629107 0.47266021315978 0.373753721967914 0.345695813782947 0.341691656200941 0.373358361592701 0.386806989762886 0.440206043566238 0.327468385449382 0.395191305372345 0.438376467901836 0.376186213858133 0.351715997717852 0.375089132457965 0.375727592780798 0.377928507356908 0.387572370028829 0.356940552368922 0.382066497812993 0.460204611368235 0.404735363286137 0.463605115464696 0.48727726888203 0.404085630954127 0.488053453440101 0.408972475651507 0.37323206964318 0.395950245286195 0.461556018136582 0.393303629581816 0.361078251660514 0.376215158169179 0.455480814391422 0.391577245602948 0.479305150684047 0.34560861904653 0.411939340710241 0.358350094421429 0.392336743580763 0.442074625761954 0.497245882045697 0.418341441825546 0.492832106521271 0.435951354595065 0.44331474392823 0.43631717141178 0.4085283545299 0.439205046347562 0.486601287575667 0.403729110563028 0.377263558555878 0.321960311286842 0.455152407774233 0.376392886246755 0.42807409664811 0.42215726138349 0.436560118588044 0.398844666229845 0.429166190253385 0.349850834797252
"bhagavatapurana_skandha-05_u" 0.441648288084788 0.370163183420633 0.381508658184313 0.324597375557316 0.324980735712247 0 0.368105385716562 0.386326880063182 0.37114055788797 0.399326445081114 0.414706612506922 0.342650981491784 0.353462872653575 0.361225328585035 0.4343862997659 0.449821449012344 0.416486562542663 0.43085485520391 0.413497655790637 0.392086665652039 0.475993511582932 0.449210849585882 0.450168834795 0.438905422588564 0.452041930777654 0.488297013840255 0.423011819250759 0.451920090896187 0.444508218434852 0.44879856152887 0.390862455518208 0.43912387186341 0.59183610903523 0.445969772853987 0.530339347245541 0.45037243097994 0.509644423604998 0.477593848138552 0.521129614431032 0.465887042573402 0.425515133504077 0.435401975159794 0.427805062182112 0.464226976208719 0.404021577584234 0.450265995836576 0.426491015832782 0.39439788476224 0.441896667916435 0.416168545474675 0.449666858885005 0.474266122367269 0.450384106414018 0.453746458846923 0.445329696586358 0.444545668976401 0.450916064921179 0.461509831043642 0.38741177049365 0.396860379102357 0.443243229892417 0.44929796896626 0.416935622191205 0.467122381979777 0.495717841083203 0.577997166346307 0.524195764599061 0.415139153138038 0.505968608613323 0.448154325995161 0.412019293800818 0.39332876142718 0.426209941188791 0.447601683459827 0.484313952894658 0.400297143893264 0.430493057874916 0.442553476393712 0.446780957522265 0.42778365240169 0.434958477322658 0.432637400676163 0.436117873637404 0.446801888628768 0.430307120301293 0.433085997731147 0.48754042709366 0.443551245548879 0.481510527190407 0.528532207560939 0.462330397752212 0.488869654709987 0.463775066098698 0.427334097647188 0.437781428474762 0.494230695998612 0.451260409147131 0.403199629455734 0.431218088067848 0.485319506743337 0.44293577851763 0.515387033152233 0.415274587674265 0.465975687348388 0.417398782373794 0.434878685809472 0.473380280396399 0.514297873042883 0.460300294564636 0.49215190003246 0.457518612467391 0.486212833599689 0.478075449705747 0.456529922650158 0.471520577395009 0.536815224794772 0.450726614877241 0.423481649408336 0.391632443897434 0.491514915185724 0.444675862204756 0.446085900327122 0.465695324557419 0.439799019278471 0.44217890026101 0.462612243204596 0.399371864092004
"bhagavatapurana_skandha-06_u" 0.390980650832579 0.29431934952557 0.341679372894645 0.305878399268151 0.289426487002877 0.368105385716562 0 0.273407450779582 0.261345357145258 0.300318581891565 0.440196552234791 0.294579529895906 0.307648752371646 0.350978622503846 0.367005042413021 0.393868458026726 0.330918272883934 0.373446791794582 0.336706246175479 0.342291762930558 0.41644391406222 0.364870828212603 0.388871690414183 0.375087658943125 0.388747534921991 0.430245632461322 0.382161487595982 0.408530143528473 0.413076354488109 0.410291938935645 0.350570711861594 0.368353104276899 0.582673202592782 0.416613988706807 0.502298387862215 0.420565701537502 0.480436792802274 0.45182186866344 0.507853143669811 0.43061072305171 0.336920351326085 0.36647045109735 0.348701258518248 0.404451745956347 0.360313499009906 0.416028004302981 0.392501216861556 0.35151071958336 0.412457037814515 0.379000019819205 0.416496382645881 0.437465115523455 0.422774294356049 0.423782288214661 0.409198590753615 0.412706204353974 0.426685127474479 0.458719606397916 0.344527340048815 0.350977803156338 0.423148587547837 0.424848038908326 0.377182096037183 0.42996118195128 0.469608044737743 0.556613487028188 0.491077208170102 0.329565669342163 0.437781334259458 0.373467494850963 0.324150561891377 0.324439726641329 0.354987103732527 0.37887244725915 0.431283204032736 0.354147248008639 0.390494289683289 0.422196554620339 0.412563990371306 0.39806848790669 0.413333199269543 0.411413846160095 0.420004086147834 0.421279210094897 0.391946393254388 0.352260697605544 0.447568987405266 0.411006851640585 0.442166274585518 0.475342436311486 0.381053992010386 0.466669218190473 0.388078655393422 0.352030273742099 0.374761770691764 0.445297170507483 0.382781018875885 0.346318105953239 0.389642926559946 0.422752548516784 0.370400749221065 0.46257917506253 0.335891411985532 0.395954307000219 0.335211264349334 0.371362647123979 0.421000707299026 0.474642516328737 0.393664699100881 0.476416829160264 0.418065652734365 0.420900290436232 0.418205459173666 0.387802216374235 0.418429453397565 0.473871427518634 0.38880153969048 0.355135124705311 0.359373433811084 0.467077797178516 0.351217576965652 0.408242295553996 0.402175097351222 0.424805240835187 0.385861246303621 0.413226297911229 0.328132561100832
"bhagavatapurana_skandha-07_u" 0.400964990531539 0.303691521541702 0.343662403420108 0.318484995562539 0.304074800633628 0.386326880063182 0.273407450779582 0 0.296644735735345 0.321925810754881 0.433233026130192 0.312910001945071 0.309113285025931 0.366205339515196 0.379429857337281 0.410594426163795 0.354712281044929 0.389301803969641 0.358867511542703 0.363369535728079 0.428469034575339 0.378470137228607 0.399814777208252 0.387926766995261 0.389177682004831 0.437141686461872 0.400301763871622 0.425501555853834 0.439064535986856 0.437195504861566 0.375600009635796 0.377316739769416 0.58576088033731 0.445295429586663 0.523571411578072 0.449593677753149 0.498229099647316 0.472629909473903 0.524782682444517 0.451882183070268 0.362126146297608 0.372953043397621 0.367458203183678 0.414523377429881 0.383166164481718 0.433482702688948 0.410199364010783 0.374827335384789 0.429374092146335 0.399003054319379 0.442354919016218 0.450127411794341 0.440207188151542 0.443094694402006 0.433055860750517 0.42888290188309 0.446286478871102 0.473334935354823 0.358389686446972 0.376253254428799 0.424712278938952 0.432509167816161 0.391889863783119 0.447307908787515 0.47934723691041 0.558725232225361 0.500611716858138 0.345186260562831 0.455610001933738 0.386967798687173 0.342308504292197 0.342789491213525 0.363593580377895 0.384753982470396 0.443050424100566 0.372356932413197 0.396681374800726 0.422171659658855 0.434572594299924 0.416718265586099 0.428990983987656 0.428246145024487 0.440440410249295 0.441008585326122 0.411468654330552 0.364899402129874 0.447652121850028 0.415425386203454 0.44682674752229 0.480661657024235 0.397066305946088 0.470367450400201 0.403667870512193 0.367601566680514 0.386471309100426 0.445311938180956 0.394408110070998 0.35212354164012 0.398209792630025 0.433449813070274 0.387761299657694 0.471558526964142 0.356114165482942 0.401298271963668 0.356103613965652 0.39120242883166 0.431956797724925 0.482289343933078 0.41430730197828 0.495034336753943 0.427125709642553 0.44418551238567 0.424641057276525 0.407738685450546 0.429824048755963 0.474299337503537 0.398290123070181 0.376919021394296 0.369110523141557 0.47676268029614 0.365719570313606 0.417414785079853 0.406815903949676 0.438968934171918 0.389821613927849 0.415241102407445 0.341068298562613
"bhagavatapurana_skandha-08_u" 0.395603577340782 0.310896690802184 0.353426357078724 0.316989333205752 0.303294324886122 0.37114055788797 0.261345357145258 0.296644735735345 0 0.299803947782779 0.440599359715815 0.283543523743542 0.341635982244608 0.355663994454467 0.365874488730738 0.403142642215678 0.335807574028205 0.373597608258075 0.342533831065649 0.350157004534678 0.428935291793023 0.372166559896404 0.393045608834948 0.378619121978304 0.402899693631978 0.436837054610266 0.379108342187429 0.40872402443155 0.40862968749434 0.39351948430225 0.351721736393425 0.364506538587865 0.584396316822081 0.427028914826455 0.510058029503742 0.429945783061626 0.497964511425856 0.46726330800312 0.505424719920964 0.433580463965006 0.340766777678426 0.382389601206354 0.354370640392897 0.406510358957062 0.371864476165002 0.406440943361775 0.398204384932658 0.36170926296804 0.4169100636534 0.394319951471017 0.418725717529171 0.442433132408222 0.418878470257708 0.420855327617758 0.409691722712991 0.420510601751737 0.437900800160029 0.485755224057887 0.372464471883222 0.370478441601598 0.441234762528052 0.436654249866986 0.393688900769785 0.441864923741422 0.471580278434677 0.564804709652273 0.497971695802155 0.348451529941556 0.435800244695981 0.38237529655625 0.339267595548497 0.323206016315728 0.360051201254662 0.387134525730786 0.424941319677679 0.35908577342421 0.384788941178743 0.425730714898865 0.417370619578564 0.40998550971345 0.416309779431815 0.408974382523112 0.414607894579501 0.410373602139952 0.392086175908088 0.352539070273066 0.443357036108689 0.419811364646751 0.442358752436078 0.483998010083867 0.379676793184224 0.458947998949133 0.386891510817262 0.362748754064102 0.382080612304514 0.451601917516509 0.372748373647188 0.358548661019934 0.391470389979215 0.437108029008061 0.370363677310123 0.4791999550494 0.332017016475642 0.393291244971638 0.330062046968536 0.378697649379612 0.43280118663291 0.493524841878179 0.398549190249176 0.465769659740976 0.424213553413586 0.429231507424849 0.432070345482511 0.388672776816318 0.426027354219852 0.476995463363208 0.393032979592776 0.361340660726582 0.366764354934509 0.467042661342265 0.36177690666256 0.417726090698326 0.413865904080514 0.424927134684866 0.378072490922638 0.427933531620011 0.334735549767979
"bhagavatapurana_skandha-09_u" 0.398188502428986 0.320668532516253 0.377134678474067 0.342670005943 0.319665133929349 0.399326445081114 0.300318581891565 0.321925810754881 0.299803947782779 0 0.452440247227021 0.304180801492907 0.368807231199674 0.373690461568492 0.372054434179637 0.396280644942925 0.315711152100332 0.390946358362236 0.340009813249473 0.358157509211722 0.439587772753806 0.37497293839383 0.409846913478211 0.389884761626681 0.406738174371751 0.447636913399691 0.391049972845661 0.416191864485798 0.440022764428462 0.428823750062596 0.344794280347826 0.367819819075949 0.590666378234503 0.392512155806903 0.511258632091609 0.408018331119354 0.499276516530582 0.464651957882778 0.511645416938803 0.40941316532261 0.353313362727141 0.393345047884755 0.370251989412976 0.422335471687052 0.354984252462857 0.416492821819931 0.395589686224176 0.358229055931489 0.408079638396382 0.383483115335012 0.42458244435905 0.433017995377804 0.420395130302647 0.423874262071845 0.406490340719995 0.417810954380986 0.431023408654072 0.491590225558046 0.375593255168315 0.373639787362023 0.450790666905915 0.447177028255065 0.392109162205631 0.428748098961607 0.46022606423147 0.556833334964426 0.496971763873067 0.335894298285096 0.459862734317559 0.365897882308213 0.33019084968967 0.33394167692575 0.375106974096258 0.38473700440144 0.433679803786023 0.366429800106156 0.403023775894071 0.441155999890631 0.393135623398374 0.389979520801133 0.416940892897416 0.408580594190273 0.419799866992948 0.426222070848705 0.389283937018627 0.373456687847493 0.459755757711895 0.43437214378412 0.449007676716406 0.487057524291767 0.397837179330846 0.478984214853365 0.401348271106923 0.363881571976722 0.396804643251992 0.467584640079098 0.398430804839288 0.364881855184835 0.398305529812459 0.457697305324038 0.382791539336156 0.487683443711009 0.356595562716931 0.402466654190838 0.343769574885648 0.364539609929208 0.432909366455409 0.498084069048696 0.399549047333115 0.483886035248139 0.420573603438937 0.420905311825581 0.428353024394623 0.338821095956896 0.43230402298391 0.480731262521071 0.401230861856761 0.354459723243313 0.397115104886858 0.487477753913948 0.374323257621266 0.417586915842964 0.420064373041113 0.387014519077498 0.389079976860067 0.43539201054118 0.334308312467467
