"agnipurana_u" "bhagavatapurana_skandha-01_u" "bhagavatapurana_skandha-02_u" "bhagavatapurana_skandha-03_u" "bhagavatapurana_skandha-04_u" "bhagavatapurana_skandha-05_u" "bhagavatapurana_skandha-06_u" "bhagavatapurana_skandha-07_u" "bhagavatapurana_skandha-08_u" "bhagavatapurana_skandha-09_u" "bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary" "bhagavatapurana_skandha-10_u" "bhagavatapurana_skandha-11_u" "bhagavatapurana_skandha-12_u" "bhavisyapurana" "brahmandapurana_khanda-1_u" "brahmandapurana_khanda-2_u" "brahmandapurana_khanda-3_u" "brahmandapurana" "brahmapurana_pu" "devibhagavatapurana_devigita_adhyaya-31-40" "devibhagavatapurana" "devipurana" "garudapurana_khanda-1_u" "garudapurana_khanda-2_u" "garudapurana_khanda-3_u" "harivamsa_appendix-29-30_mathura" "harivamsa_appendix-31" "harivamsa_appendix-41" "harivamsa_appendix-42_pradurbhava" "harivamsa" "kalikapurana" "karatoyamahatmya_pu" "kurmapurana_khanda-1_u" "kurmapurana_khanda-2_u" "lingapurana_khanda-1_u" "lingapurana_khanda-2_u" "mahabharata_01-adiparvan" "mahabharata_02-appendix-21_sisupala" "mahabharata_02-sabhaparvan" "mahabharata_03-aranyakaparvan" "mahabharata_04-virataparvan" "mahabharata_05-udyogaparvan" "mahabharata_06-bhismaparvan" "mahabharata_07-appendix-08_sodasarajika" "mahabharata_07-dronaparvan" "mahabharata_08-karnaparvan" "mahabharata_09-salyaparvan" "mahabharata_10-sauptikaparvan" "mahabharata_11-striparvan" "mahabharata_12-appendix-29_moksadharma" "mahabharata_12-santiparvan" "mahabharata_13-anusasanaparvan" "mahabharata_13-appendix-15_umamahesvara" "mahabharata_14-appendix-04_vaisnavadharma" "mahabharata_14-asvamedhikaparvan" "mahabharata_15-asramavasikaparvan" "mahabharata_16-mausalaparvan" "mahabharata_17-mahaprasthanikaparvan" "mahabharata_18-svargarohanaparvan" "markandeyapurana_adhyaya-1-80_u" "markandeyapurana_adhyaya-81-93_devimahatmya_u" "markandeyapurana_adhyaya-94-141_u" "markandeyapurana" "matsyapurana_pu" "naradapurana_khanda-1_u" "naradapurana_khanda-2_u" "nilamatapurana_au" "nrsimhapurana_pu" "padmapurana_a" "pranavakalpa" "ramayana_01-balakanda" "ramayana_02-ayodhyakanda_a" "ramayana_03-aranyakanda_a" "ramayana_04-kiskindhakanda" "ramayana_05-sundarakanda" "ramayana_06-yuddhakanda" "ramayana_07-uttarakanda" "saurapurana" "sivadharmasastra" "sivadharmottara" "sivapurana_dharmasamhita" "sivapurana_karvanamahatmya_au" "sivapurana_rudrasamhita" "sivapurana_sanatkumarasamhita" "sivapurana_satarudrasamhita_au" "sivapurana_umasamhita" "sivapurana_vayaviyasamhita_au" "sivapurana_vidyesvarasamhita_au" "skandamahapurana_himavatkhanda" "skandamahapurana_kasikhanda" "skandamahapurana_revakhanda" "skandamahapurana_sutasamhita_khanda-4" "skandapurana_adhyaya-1-31_pu" "skandapurana_pasupata_adhyaya174-183_u" "skandapurana" "vamanapurana_saromahatmya_u" "vamanapurana_u" "vayu_ba" "vayupurana_01_frame-and-cosmogony_iast" "vayupurana_02_pashupata-yoga_iast" "vayupurana_03_kalpas-and-shiva-lineages_iast" "vayupurana_04_bhuvana-vinyasa_iast" "vayupurana_05_jyotis-and-purvardha-close_iast" "vayupurana_06_prthu-and-prajapati-lineages_iast" "vayupurana_07_shraddha-kalpa_iast" "vayupurana_08_manu-candra-vishnu-vamsha_iast" "vayupurana_09_upasamhara_iast" "vayupurana_10_gaya-mahatmya_iast" "vayupurana_revakhanda" "vayupurana" "visnudharma_pu" "visnudharmottarapurana_khanda-3_adhyaya-343-353_pu" "visnupurana_amsa-1_u" "visnupurana_amsa-2_u" "visnupurana_amsa-3_u" "visnupurana_amsa-4_u" "visnupurana_amsa-5_u" "visnupurana_amsa-6_u" "visnupurana_u"
"agnipurana_u" 0 0.414117475757846 0.44745234356103 0.410540269145313 0.39797221571548 0.441573284432717 0.390849463102292 0.400824233003886 0.395468455095796 0.398059782008123 0.472714720564415 0.391593685342315 0.412892652071905 0.408292635048277 0.289670578200168 0.38192267333048 0.339184283659964 0.329262243533148 0.314268244540591 0.338451224884635 0.402403480799881 0.344853312917445 0.292438172885391 0.228733371078616 0.321620640261046 0.401543413853142 0.390096815410342 0.432886573943952 0.44105917643788 0.427291568453505 0.374577110197772 0.302803839543131 0.553889150578433 0.353836061192301 0.337921280144508 0.313892179213986 0.316032699783443 0.399895121982879 0.433776431679405 0.426340412588595 0.389958709186449 0.436075772710337 0.413611173516589 0.436455460847711 0.465468983521888 0.43405327231369 0.434370112779281 0.426645444762251 0.431199469338576 0.451894015881115 0.487608342783837 0.386799008058248 0.384077730982461 0.415722615028257 0.396839240571035 0.415384940288492 0.471539761938663 0.484760706707627 0.585793648391107 0.51932248866735 0.331300002085188 0.453119491671584 0.412788109816538 0.338513658320577 0.276122941750008 0.239261971584772 0.353612811915409 0.392128994334432 0.361565351004039 0.364755816032774 0.412912275670758 0.434544716813234 0.420723454544323 0.425325383893315 0.425974423256206 0.431532757161965 0.433079823505269 0.419966126804075 0.335308676862306 0.386513782656308 0.351780464468687 0.439652017805502 0.464893635686167 0.384422026846988 0.462150279632464 0.418410249262278 0.33230770910384 0.331239431945581 0.36698792022482 0.37527631354416 0.310218004927449 0.34854650831543 0.416251505122477 0.387857082136698 0.469565934356326 0.358192827667902 0.404499277588518 0.330144003486337 0.356225145607637 0.425280905667483 0.458336498801788 0.405333823848963 0.452720612281133 0.388147870375557 0.418204678076639 0.386946670333049 0.398583328107613 0.412123588383685 0.426961751447184 0.355073860205862 0.335371735971026 0.36487693450904 0.45986601183359 0.386269122154706 0.388483156667596 0.374905004080959 0.431390612186434 0.399197769692715 0.429222556057722 0.333156330534802
"bhagavatapurana_skandha-01_u" 0.414117475757846 0 0.334718812625778 0.298627297180167 0.28660146811616 0.370140719224504 0.294269758924253 0.303703556407577 0.310899522817591 0.320666624592173 0.42145299447711 0.271148514381506 0.311520061655905 0.33777646276347 0.38431059385076 0.413189537030316 0.352557303289519 0.406202793647267 0.364365410612378 0.346443019259025 0.441528096798082 0.385519283819279 0.41688983686284 0.400671380835363 0.407987975250035 0.455043807716333 0.375655268496 0.406146376094621 0.426344994236336 0.424186319114621 0.339037745583963 0.390711007784385 0.588767567954156 0.370963585364614 0.391886310760567 0.383264463706213 0.434360773774524 0.345496296662736 0.405656059833033 0.371135717390641 0.339325101098805 0.392152769416301 0.360364637945105 0.405841104962345 0.43134457891374 0.405055435402459 0.410326640004899 0.397989998774014 0.395105337526492 0.409251829534902 0.462907173362191 0.345090605818534 0.353110511698541 0.427580742688182 0.431155979683533 0.365355649325747 0.4107361270117 0.444919396590498 0.54668375355926 0.478127378903467 0.353596961748624 0.469245427626815 0.373551269440153 0.34725060389195 0.348500669660523 0.377698546324969 0.395280105710682 0.443634370929927 0.365213834090799 0.399747214261246 0.435920635491997 0.410210551384304 0.386942237994896 0.409443630592395 0.409581422176963 0.417154739942478 0.42315376077947 0.389573093314074 0.380982046799115 0.466568980896494 0.422335713430616 0.4597198004141 0.47778552617976 0.411790582007194 0.485661215137108 0.404118866349495 0.378802797401142 0.407351639370175 0.463091326343124 0.393950662253052 0.372938558215773 0.397822114218667 0.455277925089938 0.394613277084165 0.47334199085531 0.350166303457477 0.416825730082057 0.364159426029037 0.392950702829744 0.439586799593902 0.501651843673394 0.418894146046469 0.491810158341978 0.430292109385844 0.448457959833996 0.43881607138999 0.401213715854454 0.43644695326275 0.485881620377418 0.409029791292031 0.379493338507385 0.365305508297488 0.476677866307817 0.392680559464252 0.428360133399723 0.42608125842411 0.43523086000703 0.393323701048007 0.428381987907228 0.354662855948722
"bhagavatapurana_skandha-02_u" 0.44745234356103 0.334718812625778 0 0.322353071987078 0.335203841213231 0.381504557731668 0.341602358998859 0.343679286239367 0.35344944117997 0.377129616929593 0.46004455221937 0.361201999942083 0.346861014447502 0.374280342898594 0.431675965793079 0.449947056625785 0.409508523976526 0.444420055414977 0.416055568039698 0.406921238697165 0.459556598312609 0.435526897984696 0.452070067828559 0.436365086316511 0.447436476899031 0.47948316955207 0.439028252748895 0.445061189813894 0.448650326218637 0.465240872015177 0.415259240421166 0.425111081921965 0.594499383508701 0.400571444522986 0.41939537660235 0.416883972828494 0.455099625321265 0.422473726252511 0.463917370742905 0.446860635956355 0.417930556554791 0.461313920176436 0.438146900231253 0.467107595117151 0.482666694082745 0.464939345713369 0.470485572918971 0.462623833860786 0.458460376389326 0.466679772779226 0.482572762401071 0.402578739594858 0.417587211876203 0.463554827912795 0.467304773188778 0.42929184687548 0.478359290121343 0.501283016580255 0.580066592245682 0.519663478481665 0.406255279846208 0.49950218695073 0.422359166919468 0.401519848218212 0.401780910844552 0.413966160569085 0.437517750580145 0.480235183142878 0.408846407299682 0.445024324228164 0.446533837617426 0.460670094533869 0.453664374671844 0.45728185098365 0.452365442331173 0.464655464649058 0.469051636656167 0.445218042299209 0.417992198036784 0.483741935660907 0.453754860750668 0.49435834017312 0.507126345414206 0.455618434061928 0.506406629591954 0.4373497265396 0.420400592317396 0.427715603981329 0.484276511045856 0.434171278827048 0.407196672286584 0.439960018272811 0.466570755326231 0.435002520567838 0.478575063830629 0.4076660174148 0.447842179025686 0.416174077405084 0.43767664218626 0.465656500956437 0.502442518690245 0.447524188349199 0.517962204256145 0.466343598728861 0.480206492136218 0.472180662212438 0.453169787219334 0.463543657641633 0.514551568334122 0.444593143556336 0.424587806930325 0.399145066975788 0.495623040370633 0.418240118240157 0.44715382956471 0.458710887806257 0.470032941947002 0.443051893136453 0.445114521976216 0.400467345263087
"bhagavatapurana_skandha-03_u" 0.410540269145313 0.298627297180167 0.322353071987078 0 0.226849870722499 0.324587323869824 0.305863294910327 0.31845107644427 0.316998995085276 0.342623402822502 0.384455672844793 0.261067551354881 0.263738247619196 0.314755871875784 0.399845502455168 0.420862101689514 0.373696234797742 0.407592363948495 0.374517757435823 0.323929450988028 0.441927320210321 0.404496406939898 0.419556821874298 0.409454011450853 0.41612322457618 0.461173683905178 0.363360107432122 0.395847485320559 0.389493684826857 0.403917540604227 0.329177025617871 0.390897871357793 0.580495991338985 0.378993126539155 0.394953301129505 0.382112802904686 0.430976877069006 0.338978991048022 0.405169345549342 0.375872868507065 0.32863959986634 0.38705965978656 0.359603041190751 0.399707631923753 0.427089117113789 0.394700685729947 0.401616529649289 0.389522762306227 0.389531146155077 0.407329888546634 0.427003713317466 0.316975589427585 0.332949461589497 0.398296574123955 0.403426305650548 0.352533794305891 0.419212719829361 0.450355025661387 0.547687449361071 0.483661641965725 0.365229358571357 0.47543901145872 0.393920785195868 0.359584844537853 0.358785147692742 0.386040279219956 0.399760221438281 0.45553913397796 0.342990742936354 0.405430486913682 0.436094633384368 0.393625677020084 0.371382411998144 0.388292347105222 0.388325954168182 0.38935898921645 0.397954384424937 0.371876308857499 0.394445278333563 0.464160271446429 0.410600229287125 0.471030009876621 0.493403667661921 0.419580165112943 0.487945640774488 0.416396642838346 0.38277595748548 0.397818915228146 0.466355352072806 0.406090781548259 0.369387037439585 0.395235718922245 0.461811717330889 0.402230040580322 0.466413449100173 0.358006672486959 0.425337137539363 0.37770428319332 0.404645287915747 0.439179406604383 0.493474134484458 0.424789074253269 0.505499295889186 0.440084961945848 0.455277261736878 0.447193531075127 0.426349254109814 0.439207539140678 0.498900692098041 0.419115136194267 0.390755427598638 0.330416833048639 0.466858230139094 0.388571351775738 0.433792309915968 0.430038518272981 0.447367241067415 0.406357343088355 0.42805622605469 0.361030344104991
"bhagavatapurana_skandha-04_u" 0.39797221571548 0.28660146811616 0.335203841213231 0.226849870722499 0 0.325009902045653 0.289394333343076 0.304021681908319 0.303274795880368 0.319641567324487 0.389483318480682 0.235134655868467 0.278567560112198 0.310363021649137 0.387599349865454 0.412412371148456 0.354951439202715 0.400155635659727 0.36127275213337 0.310167474462296 0.437054943739789 0.388457719404272 0.406610228629152 0.39783296009763 0.407134167389015 0.459910549346579 0.348062568825421 0.380810869799502 0.388682386889267 0.392927483839088 0.311178377058154 0.379592254687489 0.574393236945373 0.362683534087689 0.390952763596751 0.373405205340705 0.426131574604857 0.318578459497396 0.392794539898856 0.359931153261319 0.312031875400141 0.377307173653698 0.345084402737524 0.390631997120111 0.401410107566242 0.387052779857023 0.390729279338386 0.376698937406086 0.377829464188245 0.391681830918436 0.431281901342634 0.309333082024106 0.323870430411603 0.396819086265702 0.396539303649411 0.339569272008814 0.402013570170264 0.440336288310525 0.538979884434991 0.470677806764677 0.353630926760174 0.472614689304407 0.373731356337167 0.345664182020348 0.341729701114379 0.373356445859123 0.3868181040887 0.440213170811379 0.327522673124886 0.39522553969657 0.438377379087482 0.376206288498921 0.351700483270061 0.375110020947906 0.375731386198898 0.377925839004286 0.387584845298551 0.356974293588539 0.382086640877659 0.460211557545519 0.404760813135851 0.463649570451969 0.48732109151493 0.404065993382636 0.488096223287846 0.408947945278481 0.373200412300474 0.395955541754102 0.461549744757395 0.393280647642658 0.361225524997453 0.376221773978658 0.455512144843934 0.39157096589966 0.479288497087771 0.345608142660456 0.41192888449315 0.358348535094811 0.392380394642837 0.442062173951844 0.497247726121985 0.418403400638698 0.492875953385247 0.435986997827195 0.443426927270938 0.436364564838288 0.408566444657804 0.439295586323126 0.486687379594773 0.403752032796759 0.377326888768827 0.321990391565774 0.455013117190656 0.376368153413692 0.428071792476622 0.422163772397265 0.436525909401585 0.398811212087358 0.429144876075164 0.349823135675163
"bhagavatapurana_skandha-05_u" 0.441573284432717 0.370140719224504 0.381504557731668 0.324587323869824 0.325009902045653 0 0.368097822492138 0.3863357380136 0.371182419564684 0.399343194729894 0.41466334958737 0.342635283605774 0.353462494987905 0.361208305183823 0.434407719835281 0.449832498713627 0.416491617731038 0.430862369897593 0.413508989909363 0.392107828847084 0.4760121085979 0.4492319798618 0.450154945167645 0.438893608419436 0.45206701436562 0.48830768042278 0.422991118413922 0.451965762411317 0.44451092610484 0.44879200984245 0.390841439118206 0.43913750664263 0.591750301123958 0.42552798098252 0.435411473401412 0.427811232647334 0.464172097775734 0.404047366565673 0.450266914775293 0.426478792100606 0.394416961279623 0.441915632519092 0.416198910290938 0.449733141877298 0.474269968839677 0.450404821138335 0.453742762319903 0.445311513423702 0.444545717827521 0.450906469760431 0.461489860108433 0.387424339549203 0.396885455279666 0.443252540404671 0.449307927360946 0.41694624395284 0.467140790874816 0.495659550579779 0.57798354699734 0.524157218578026 0.415136263705521 0.505948243975764 0.448155464259742 0.412023811004351 0.39337417372973 0.426234227965651 0.447610955977993 0.484336323085371 0.400312746824032 0.430537391627778 0.442548909322039 0.446758678358312 0.42780279109121 0.434972241747374 0.432631551398516 0.436107661614497 0.446803867693528 0.430306807413123 0.433112962767175 0.487557711530773 0.443577475327659 0.481555812681611 0.528516435180218 0.462320080057026 0.488897809451924 0.463733926327333 0.42732574470491 0.437783052346916 0.494268509943767 0.451309474594906 0.4033243493914 0.431239330963287 0.485320512830761 0.442965501155783 0.515370667426593 0.415286384677926 0.465999143677846 0.417408645127695 0.434955746106907 0.473426355351061 0.514383295948708 0.46039083637237 0.492198399286238 0.457553137893356 0.486301417301321 0.478117167585806 0.456579333944693 0.471571608874088 0.536896740249608 0.450727164715574 0.423564540152293 0.391654654655979 0.491358131300002 0.444665473822176 0.446055283849123 0.465755274668426 0.439801825553374 0.442153446305539 0.462597161250422 0.399387693317274
"bhagavatapurana_skandha-06_u" 0.390849463102292 0.294269758924253 0.341602358998859 0.305863294910327 0.289394333343076 0.368097822492138 0 0.273361134174375 0.261343468968487 0.300266408845096 0.440162124869808 0.294527249461579 0.307656920578362 0.350918265401419 0.367024313104839 0.393849175623849 0.330877087265127 0.37342566464174 0.33667428003741 0.342281214229752 0.416468164455382 0.364880377360162 0.388880844334201 0.375046956255976 0.388732576120513 0.430217090662455 0.382127719084082 0.408542401096735 0.413020616912888 0.41025414201005 0.350498350647435 0.368361515062246 0.582592051924866 0.336882933232824 0.366467325115414 0.348690186822851 0.404404793499981 0.360286185980376 0.416017926434919 0.392497558593291 0.351483334073712 0.412437281528724 0.379001553064322 0.416549502138838 0.437493048645007 0.422762455946558 0.423749869365998 0.409178737392822 0.412672284938133 0.426637139242743 0.458684861690877 0.344508750169703 0.350969143448552 0.423116210136588 0.424830312246884 0.377150930712575 0.429960731754567 0.46957147288759 0.556585830314278 0.491022601176793 0.3295376996849 0.437771973932463 0.373445333885049 0.32413722910127 0.324472344469351 0.354977019236229 0.378864474500422 0.431326216727579 0.354125322940904 0.390515327788281 0.422175425028926 0.41251110859455 0.398022104060209 0.413308222315424 0.411368701678891 0.419974497994133 0.42124682708372 0.391920158612104 0.352269636420493 0.4475745196158 0.411040910518399 0.442197555553014 0.475327933951713 0.381038238720718 0.466696159778434 0.388031347250552 0.351957398941254 0.374744803469141 0.445299804304876 0.382789097134856 0.346432039114839 0.389621858775413 0.422749133491844 0.3703871294519 0.462543387636408 0.335842584839231 0.395992602890809 0.335197955069929 0.371419006988262 0.421033220798161 0.474682102180209 0.39373813741761 0.476508912738548 0.418069724552963 0.420998720673342 0.418276329597271 0.387853566142629 0.418490140532273 0.473922729556827 0.388781578598061 0.355212114060911 0.359364702126115 0.466875583829304 0.351175673286957 0.408253166941155 0.402188586021306 0.424791617349136 0.385873040666153 0.413213197539807 0.328118146508397
"bhagavatapurana_skandha-07_u" 0.400824233003886 0.303703556407577 0.343679286239367 0.31845107644427 0.304021681908319 0.3863357380136 0.273361134174375 0 0.296665351836479 0.321933356751378 0.433214190818947 0.31289934410123 0.30912817411012 0.36624548334337 0.379409272868867 0.410575254358195 0.354728404241976 0.389302339961294 0.35886801052136 0.363334654857921 0.428556854975361 0.378498246557929 0.39982065040287 0.387877021359262 0.389177397172255 0.437155595103392 0.400341936099531 0.425556169955526 0.439095157125457 0.437207120205615 0.375586134681272 0.377295439690795 0.585660420127808 0.36213437348588 0.372981887145733 0.3674660807732 0.414469053531017 0.383201335313805 0.433511667522352 0.410190392719088 0.374856999006487 0.429403250015102 0.399054158063804 0.442461730598821 0.450132563822067 0.440261152222521 0.443128750962942 0.433105538069494 0.428911533390885 0.446322273830312 0.473357844060074 0.358421839071873 0.376282729915815 0.424749118302497 0.432529678618594 0.391916495609933 0.447307510344636 0.479327362900854 0.558757959692544 0.500591041365391 0.345172063337519 0.455610775200133 0.386979982904503 0.342303783355123 0.342833536822881 0.36358794859899 0.384754029367315 0.443019527012102 0.372368768415719 0.396689661871062 0.422204328303358 0.43459653795655 0.416725757384851 0.429018855958556 0.428278555841337 0.440487991585026 0.441036174931291 0.411503051157353 0.36494520841397 0.447644620092972 0.415439409414393 0.446868076431716 0.480678532547986 0.397076987699263 0.470425036878256 0.40367518542467 0.367573190840511 0.386467972048657 0.44530901150997 0.394398812422397 0.352252063470586 0.398207513818978 0.433506468929498 0.387763336207121 0.471600183730333 0.356124958596828 0.401289927235293 0.3561232521478 0.391274524843411 0.431956565476279 0.482351161689485 0.414407707040049 0.495121258385442 0.427162736628393 0.444333736122833 0.424715954145664 0.407794376743022 0.429925981590909 0.474398835563307 0.398300071555877 0.376994378596205 0.369119564796576 0.476641203903571 0.365678534953418 0.417385495560713 0.406841017825099 0.438960162529802 0.389804017416152 0.415273047425759 0.341035555486771
"bhagavatapurana_skandha-08_u" 0.395468455095796 0.310899522817591 0.35344944117997 0.316998995085276 0.303274795880368 0.371182419564684 0.261343468968487 0.296665351836479 0 0.299834234180061 0.4406140250408 0.283550053162766 0.341612352563661 0.355697870173864 0.365884168842765 0.403148405685402 0.335819932875418 0.373627253422373 0.342553545711911 0.350161339118678 0.428958461559347 0.372219053124532 0.393047647365714 0.378553093220841 0.402905265139348 0.436882094875538 0.379153910655028 0.408795940907096 0.408636867085258 0.393536414857127 0.351699874189076 0.364516285196177 0.584288422439157 0.340778026208456 0.382388475628711 0.354413536198519 0.406455753169516 0.371901976595938 0.4064664227471 0.398210279058491 0.36175208196978 0.416952997545414 0.39437797194347 0.418853927768194 0.442439865798146 0.418939477129221 0.420893388763346 0.409729659320624 0.420534890715803 0.437932996453082 0.485756129137219 0.372494535716842 0.370489532421374 0.441226340712975 0.436641567841391 0.393717785430635 0.441874083899546 0.471537903425978 0.564819795178861 0.497966617318661 0.34843329759997 0.435796642638429 0.382398332741182 0.339258680279679 0.323257623566748 0.360054730241027 0.387168828244183 0.42492395983559 0.35912994883402 0.384811756378614 0.425709377313879 0.417349939641299 0.410000081167253 0.416341988377174 0.409012765628583 0.414633101737166 0.410410936822861 0.392123859945436 0.352580216041415 0.443345492841177 0.41977068537588 0.442380628726011 0.484035471187824 0.379715399318392 0.458979002988134 0.386891969467721 0.362727401005918 0.382098159119974 0.451605305805993 0.372745507133077 0.358703639369351 0.39149778974006 0.437148046015055 0.370373204470779 0.479219128170748 0.332057005428973 0.39330373568269 0.330079467336599 0.378777064471007 0.432815661899251 0.493578261332562 0.39867837169452 0.465857362887895 0.424271798616408 0.429346551240342 0.432120331151371 0.388732848149577 0.426125566473858 0.477120130004475 0.393048406840921 0.361437218323924 0.366775022478832 0.466914735779797 0.361756444008021 0.417717691385637 0.413896395323238 0.42489419188924 0.378075722689272 0.427939879524649 0.334725842784267
"bhagavatapurana_skandha-09_u" 0.398059782008123 0.320666624592173 0.377129616929593 0.342623402822502 0.319641567324487 0.399343194729894 0.300266408845096 0.321933356751378 0.299834234180061 0 0.452429488473991 0.30416707717796 0.368821945441593 0.373696954864644 0.372043631747491 0.396260609656325 0.315720297069352 0.390934705758396 0.339996988213856 0.358148052205348 0.439643654254285 0.375001844565208 0.409855426391575 0.389842270634782 0.406751951512592 0.447633636789919 0.391079847248894 0.416216979336144 0.440023796437945 0.428814963733727 0.344770478205856 0.367793686787791 0.590569570482604 0.353334938340953 0.393373706427433 0.370268508686874 0.422296926636232 0.354993385650935 0.416532478217948 0.395590024097657 0.358248071438095 0.408099480466822 0.383530964311837 0.424683552711747 0.433039020702453 0.420432669987684 0.423913087008791 0.406537969450642 0.417849847623066 0.431050317711135 0.491603284644599 0.375618681844631 0.373660822572767 0.450822893661446 0.44719209812718 0.392139104766807 0.428754950827829 0.460195644461259 0.556858926299552 0.496960294560926 0.33587236677059 0.45983489466133 0.36590010194558 0.330170395205412 0.333983325346864 0.375106111757907 0.384747998068517 0.433669791151265 0.366468378534536 0.40304966631554 0.441176678252729 0.393150821793971 0.389989157047903 0.416976067683744 0.408613531909403 0.419824570942157 0.426257071433891 0.389316488616713 0.373517347984367 0.459776164308753 0.434385368146403 0.449046566627021 0.487070281037058 0.397851849521236 0.479043891666343 0.401363380725358 0.363839178432082 0.39680774987154 0.467611364863143 0.398451130915927 0.364995793245413 0.398321541359172 0.457740445803773 0.382795192239701 0.487714516120032 0.356586380042978 0.402473654180926 0.343799425032372 0.364607769068457 0.432918425322011 0.498148878268727 0.399642399486616 0.483948111887634 0.420619444488608 0.42103737009691 0.428436787942784 0.338893825142718 0.432414825971419 0.480839673070208 0.401225612641374 0.354550115665871 0.397137628083128 0.487350641653395 0.374271909666287 0.417565314633227 0.420088948297435 0.386996286851211 0.389049114981923 0.435412306971877 0.334274363200534
