"agnipurana_u" "bhagavatapurana_skandha-01_u" "bhagavatapurana_skandha-02_u" "bhagavatapurana_skandha-03_u" "bhagavatapurana_skandha-04_u" "bhagavatapurana_skandha-05_u" "bhagavatapurana_skandha-06_u" "bhagavatapurana_skandha-07_u" "bhagavatapurana_skandha-08_u" "bhagavatapurana_skandha-09_u" "bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary" "bhagavatapurana_skandha-10_u" "bhagavatapurana_skandha-11_u" "bhagavatapurana_skandha-12_u" "bhavisyapurana" "brahmandapurana_khanda-1_u" "brahmandapurana_khanda-2_u" "brahmandapurana_khanda-3_u" "brahmandapurana" "brahmapurana_pu" "devibhagavatapurana_devigita_adhyaya-31-40" "devibhagavatapurana" "devipurana" "garudapurana_khanda-1_u" "garudapurana_khanda-2_u" "garudapurana_khanda-3_u" "harivamsa_appendix-29-30_mathura" "harivamsa_appendix-31" "harivamsa_appendix-41" "harivamsa_appendix-42_pradurbhava" "harivamsa" "kalikapurana" "karatoyamahatmya_pu" "kirfel_ppl_textgruppe_I_col1" "kirfel_ppl_textgruppe_Ia_col1" "kirfel_ppl_textgruppe_II_col1" "kirfel_ppl_textgruppe_IIA_col1" "kirfel_ppl_textgruppe_IIB_col1" "kirfel_ppl_textgruppe_III_col1" "kirfel_ppl_ungrouped_col1" "kurmapurana_khanda-1_u" "kurmapurana_khanda-2_u" "lingapurana_khanda-1_u" "lingapurana_khanda-2_u" "mahabharata_01-adiparvan" "mahabharata_02-appendix-21_sisupala" "mahabharata_02-sabhaparvan" "mahabharata_03-aranyakaparvan" "mahabharata_04-virataparvan" "mahabharata_05-udyogaparvan" "mahabharata_06-bhismaparvan" "mahabharata_07-appendix-08_sodasarajika" "mahabharata_07-dronaparvan" "mahabharata_08-karnaparvan" "mahabharata_09-salyaparvan" "mahabharata_10-sauptikaparvan" "mahabharata_11-striparvan" "mahabharata_12-appendix-29_moksadharma" "mahabharata_12-santiparvan" "mahabharata_13-anusasanaparvan" "mahabharata_13-appendix-15_umamahesvara" "mahabharata_14-appendix-04_vaisnavadharma" "mahabharata_14-asvamedhikaparvan" "mahabharata_15-asramavasikaparvan" "mahabharata_16-mausalaparvan" "mahabharata_17-mahaprasthanikaparvan" "mahabharata_18-svargarohanaparvan" "markandeyapurana_adhyaya-1-80_u" "markandeyapurana_adhyaya-81-93_devimahatmya_u" "markandeyapurana_adhyaya-94-141_u" "markandeyapurana" "matsyapurana_pu" "naradapurana_khanda-1_u" "naradapurana_khanda-2_u" "nilamatapurana_au" "nrsimhapurana_pu" "padmapurana_a" "pranavakalpa" "ramayana_01-balakanda" "ramayana_02-ayodhyakanda_a" "ramayana_03-aranyakanda_a" "ramayana_04-kiskindhakanda" "ramayana_05-sundarakanda" "ramayana_06-yuddhakanda" "ramayana_07-uttarakanda" "saurapurana" "sivadharmasastra" "sivadharmottara" "sivapurana_dharmasamhita" "sivapurana_karvanamahatmya_au" "sivapurana_rudrasamhita" "sivapurana_sanatkumarasamhita" "sivapurana_satarudrasamhita_au" "sivapurana_umasamhita" "sivapurana_vayaviyasamhita_au" "sivapurana_vidyesvarasamhita_au" "skandamahapurana_himavatkhanda" "skandamahapurana_kasikhanda" "skandamahapurana_revakhanda" "skandamahapurana_sutasamhita_khanda-4" "skandapurana_adhyaya-1-31_pu" "skandapurana_pasupata_adhyaya174-183_u" "skandapurana" "vamanapurana_saromahatmya_u" "vamanapurana_u" "vayu_ba" "vayupurana_01_frame-and-cosmogony_iast" "vayupurana_02_pashupata-yoga_iast" "vayupurana_03_kalpas-and-shiva-lineages_iast" "vayupurana_04_bhuvana-vinyasa_iast" "vayupurana_05_jyotis-and-purvardha-close_iast" "vayupurana_06_prthu-and-prajapati-lineages_iast" "vayupurana_07_shraddha-kalpa_iast" "vayupurana_08_manu-candra-vishnu-vamsha_iast" "vayupurana_09_upasamhara_iast" "vayupurana_10_gaya-mahatmya_iast" "vayupurana_revakhanda" "vayupurana" "visnudharma_pu" "visnudharmottarapurana_khanda-3_adhyaya-343-353_pu" "visnupurana_amsa-1_u" "visnupurana_amsa-2_u" "visnupurana_amsa-3_u" "visnupurana_amsa-4_u" "visnupurana_amsa-5_u" "visnupurana_amsa-6_u" "visnupurana_u"
"agnipurana_u" 0 0.394995538876064 0.424860208878958 0.393808171216386 0.380324147782984 0.42644402787939 0.37215780467291 0.380017826679166 0.376765999243883 0.378994835256909 0.452561596524679 0.375879613945521 0.395626618415116 0.387533561278509 0.274453436247164 0.367449767590486 0.325357742213563 0.315099441825647 0.30227142372259 0.325059300659843 0.380396143439065 0.326943203939112 0.276158138407262 0.214073129006021 0.30480588979639 0.382931431096713 0.371467173875656 0.414680251518898 0.422732270567176 0.411746938490674 0.360373526730203 0.288082196505065 0.524383672093558 0.415252161705539 0.471436895024966 0.398019599408723 0.446074193767177 0.434773628637814 0.494783068409596 0.42314561243897 0.337836605115392 0.322048651779737 0.300043748437725 0.298802825985098 0.384646683703452 0.414745529395758 0.409633508316694 0.375308641034381 0.418078999397633 0.397124394195088 0.420024044932708 0.44409661700992 0.416736123551095 0.416857799820897 0.410623052411481 0.408602396829857 0.430527520483002 0.468059650769581 0.372118062561102 0.369497746892288 0.398307252547994 0.379214777057374 0.398618492581137 0.453779203634009 0.45932189817497 0.56106674507493 0.492593086994309 0.31767397043328 0.431840019231643 0.397061469180551 0.326170604046039 0.263836578836975 0.225848040188518 0.337633366381814 0.374846783116733 0.345982979375405 0.35002866093207 0.397370112986987 0.417427270649357 0.402913515174828 0.408371767188315 0.40779493289682 0.414927804322783 0.416216513784937 0.402071794436266 0.317785532949216 0.37127704141373 0.335689516004308 0.422183907154765 0.43879410058066 0.365872771490383 0.444519496266078 0.400109666696301 0.315288405773158 0.312941998536308 0.344160164232327 0.357954324576276 0.29404028412069 0.332500527085977 0.397813221951323 0.370515320086771 0.449605237094924 0.34458208717678 0.387506962029849 0.315539544938682 0.341417179741928 0.406853664861581 0.434609301545123 0.388337081735049 0.434978900962108 0.370143541649606 0.401014692199173 0.365457129844087 0.380212689966881 0.392373556439615 0.400505728184854 0.340813059145761 0.321049632034148 0.349100442012509 0.434320762860037 0.368094678604722 0.365331458914452 0.35236357850386 0.412775576856514 0.380481102419281 0.404946216653471 0.318662958414092
"bhagavatapurana_skandha-01_u" 0.394995538876064 0 0.307810498064891 0.275715922568169 0.264261238039893 0.348462567156616 0.27068999071233 0.279234749924481 0.287816315827315 0.296596906514424 0.399206862383377 0.249504809602368 0.289231240720237 0.314470660292912 0.361918827627899 0.394167072558102 0.332125260787376 0.38617729251932 0.344808169947023 0.325864745464018 0.417767848687668 0.362734406458215 0.395197594381641 0.378715260581376 0.386309672805222 0.434125534975696 0.352681668113953 0.382673167552341 0.404624420999498 0.402583013467198 0.317549047943042 0.369949527115137 0.562835394372761 0.396816405836361 0.479295582402755 0.400376319210118 0.4537645156046 0.442393194440742 0.478350291615069 0.402386756704897 0.350144836816483 0.371493671021353 0.36295358754873 0.413255549070312 0.32466384899285 0.383383735288341 0.351172983391407 0.319222586621244 0.369878329423113 0.340538698927765 0.385320233105316 0.40667332146844 0.383796730008686 0.388978140609574 0.378142036569158 0.370826774267812 0.387716306038673 0.441655083178615 0.324903802401196 0.331973628503151 0.407941740952134 0.410969160255439 0.34491630410875 0.391157546760168 0.418952591323016 0.522880821622379 0.452311857373823 0.333156476488502 0.445345146007019 0.352190893334629 0.327027508975759 0.327351564796547 0.356536894502439 0.374926017461764 0.422837007400462 0.344712018306564 0.378145586768121 0.415938007980384 0.389177241035769 0.366318735356778 0.389008801516923 0.388386374565942 0.396206745551889 0.402717653255971 0.368701123041041 0.357508095477 0.446609570906758 0.401798189723734 0.43513074899058 0.452956879289655 0.389702264459923 0.462235380376506 0.380607540423549 0.35550952699566 0.384985679968502 0.440101525470813 0.372464027872858 0.350334888225328 0.377916817233548 0.434147825714177 0.372898587443435 0.451707452724275 0.328713390742544 0.396164918537841 0.343428060404227 0.372118302005597 0.418160423897305 0.478792307925902 0.396626132614085 0.471964037359026 0.408846924513993 0.428158151272595 0.416204153430704 0.378363154797765 0.413810890536043 0.460667150580483 0.389157989715811 0.358510924094853 0.343872122490187 0.451525551027337 0.371104889936403 0.404593921605767 0.40393742441768 0.41503365404261 0.369836418498769 0.402745442563796 0.334200332326925
"bhagavatapurana_skandha-02_u" 0.424860208878958 0.307810498064891 0 0.296919275637678 0.309363162098892 0.357032875214681 0.315822454152632 0.316830730763802 0.328981072515692 0.351588092669967 0.436292041121123 0.335849995262247 0.32253050683931 0.349099832095136 0.407110021303287 0.429205678211831 0.386204559408458 0.421307527446442 0.393528675882136 0.383496987957753 0.434981941647037 0.409439252913132 0.427547596647328 0.411130571345457 0.423043392800291 0.455942274791221 0.414883301463675 0.420576464026508 0.425666281225577 0.442656115135159 0.391693658786769 0.401598445265958 0.569017493110503 0.441092415359068 0.5070051279652 0.438651501033293 0.460260272129959 0.462197136766507 0.491924355125751 0.446864066665941 0.376089554512418 0.395875084114108 0.393654072541363 0.431380844706329 0.399514294392103 0.441013537981802 0.424643466149325 0.394816668596238 0.438620412164598 0.414829219752317 0.444193072238995 0.458721075319763 0.44216595155413 0.448388289176319 0.441135858555243 0.432942896381629 0.443867933418136 0.460278660396733 0.379315745946998 0.394057146381865 0.44181630720759 0.444954667532121 0.406297791663845 0.456470224999264 0.476637951188818 0.557544998370564 0.495817704966936 0.38320503444225 0.475336049466648 0.399546151319768 0.378321584013741 0.377885915243282 0.389468053348483 0.41460814016582 0.458201156454517 0.384741818874185 0.419841462387584 0.423484925380293 0.437709294849916 0.430649783298012 0.434316963841634 0.429110753115954 0.442034209199457 0.446262168276191 0.421850454840264 0.391729357423947 0.462064948513515 0.430868985164068 0.467500068898191 0.482326668251201 0.430973794602151 0.479446675604161 0.413364792275295 0.394840026696787 0.40121293953011 0.458828218346227 0.411011961615553 0.380647360640457 0.417741462530063 0.443560517942874 0.411479249222253 0.456341138757898 0.383630509141354 0.425459974105768 0.39265001890255 0.414558499755673 0.443012765661253 0.479188917017555 0.422788045244265 0.497083013997503 0.444100947597508 0.459079023329191 0.447011493929491 0.428788133739459 0.440298222448802 0.487766813641419 0.422137772992141 0.40071546083162 0.374405863948698 0.469989174367688 0.393818213160752 0.422561833390056 0.433301722814 0.446582215898469 0.41628610499344 0.418290467297297 0.375026736353152
"bhagavatapurana_skandha-03_u" 0.393808171216386 0.275715922568169 0.296919275637678 0 0.207362358688098 0.30471675641243 0.283891344983791 0.295517557552192 0.295519770702519 0.321559027630575 0.362066318975817 0.2433544397507 0.244025968154179 0.291402402128855 0.38053274406304 0.404563316109628 0.356824739262305 0.389713972447883 0.358489237913839 0.306166701884962 0.418557230467859 0.384397430086848 0.399779368263404 0.390521330258408 0.397063217462272 0.441576561103887 0.342266006096889 0.37472020063881 0.367922867497918 0.385068191564169 0.310561700656868 0.372505352631491 0.554148453489236 0.379570812418166 0.45474394188499 0.377065389266101 0.41375500488604 0.402988876137608 0.449980015094471 0.387562808213398 0.360252307593708 0.375895761390402 0.364205772485147 0.410695558240792 0.321192762964035 0.38392281346903 0.357558954995656 0.311345356989585 0.367483071147552 0.34195815806706 0.381122919656385 0.405132359220581 0.376061027158184 0.383356176902684 0.37219444169126 0.366336263503334 0.386781566517865 0.406388532207367 0.299168285534832 0.314822637137399 0.380013135176547 0.384519725004833 0.334258054995435 0.400073677590433 0.423910709194508 0.522573059182632 0.458691663294281 0.347804740762596 0.451917319182129 0.374582076937704 0.342208284280248 0.341491861977155 0.367992968854245 0.380522834752022 0.43612482536404 0.324515986327932 0.386646977201566 0.416907520033531 0.373700974125301 0.352506854794377 0.369938142123163 0.36897366831413 0.370337894301381 0.378738354554591 0.351785482233666 0.373708472949196 0.445057608193018 0.391252617368196 0.450138132953047 0.467471656583094 0.399656797212685 0.466456967307849 0.395053604354613 0.362726768500554 0.376875449211566 0.444218383353602 0.386211250367962 0.348839020716161 0.377320635219906 0.441674446183834 0.382962380832503 0.444881850494372 0.339089338015941 0.40593249299319 0.35985295185409 0.386472496964959 0.419189348215759 0.469746587779805 0.404301904718543 0.487674402892232 0.420357444975217 0.437088631395018 0.424849397471871 0.40625949387492 0.417594425174744 0.474674841458964 0.402643034302248 0.372753038082366 0.311081656460497 0.440692712415581 0.36821083862749 0.411673031332492 0.407955778845517 0.427133101711525 0.384608961948171 0.404050513123077 0.34242764123181
"bhagavatapurana_skandha-04_u" 0.380324147782984 0.264261238039893 0.309363162098892 0.207362358688098 0 0.305358842991363 0.267901949059149 0.280023369587061 0.282112158599348 0.299235674114888 0.367812836595543 0.216634877449852 0.259253141906176 0.287004517918404 0.368056516960434 0.396202051018942 0.337664175123519 0.382422123419175 0.34485352824684 0.292480129628294 0.413472648282104 0.368330362550578 0.38660333042834 0.378151851628202 0.387729483657223 0.439517212820607 0.327121128037329 0.358745368752728 0.367480660208948 0.374450026238824 0.292856108437447 0.360974539991585 0.546740106798778 0.360664749560292 0.451163068447124 0.363013760541793 0.415893752996656 0.406952309503521 0.454724265901792 0.377020951282018 0.343523461934444 0.372481538907398 0.355038311031422 0.405504077104743 0.300551053797208 0.370971230583081 0.342160549188952 0.294322740318222 0.357372632041274 0.327003847904914 0.372070696132409 0.379215806039586 0.368544948821546 0.372455337899929 0.359402253060103 0.354557734499153 0.370640045066841 0.410396192995622 0.292321082337471 0.30564242695657 0.378857368410201 0.377689145556304 0.320914555710415 0.383199548591928 0.414236824076153 0.514042495828759 0.445182176117269 0.335949253495976 0.450283680769151 0.354806873574852 0.328617362911758 0.323886480963477 0.354411489892585 0.367322713647554 0.420637088072559 0.309572308197454 0.375854601889752 0.419576899285739 0.356363517480985 0.333288044310186 0.35683599212035 0.356591645901801 0.359511279221838 0.369471230594833 0.33732410567399 0.360828313755396 0.441695230352294 0.385806669787227 0.441630678667685 0.462497276832123 0.384147656291301 0.466758558365745 0.387977026253305 0.35314640915299 0.37460180379692 0.439254153673949 0.373727988178619 0.340840223212973 0.358800225224343 0.435308116135855 0.372381835508193 0.45778074579503 0.327069765028416 0.393062061555352 0.339984461699479 0.374149064785166 0.422877564651847 0.474479333860984 0.398297961808985 0.474637276764069 0.417546482896943 0.425063284814862 0.414741733485165 0.387547956229441 0.418305128411045 0.462198903968555 0.386572184729109 0.35896373954345 0.302126568268461 0.427972818882122 0.355977085658215 0.406077847944239 0.399725448940265 0.416121270682595 0.376866407727911 0.403408723139198 0.331259623171251
"bhagavatapurana_skandha-05_u" 0.42644402787939 0.348462567156616 0.357032875214681 0.30471675641243 0.305358842991363 0 0.348334236683498 0.364433816104393 0.350351786895935 0.380997566409591 0.393055387237392 0.324718334145156 0.335127682479323 0.33836183641166 0.416674430120513 0.43526787721021 0.400600334123024 0.413965531541337 0.398720543741489 0.37643589740243 0.455254290373998 0.431349417334043 0.43284237366597 0.421490928732464 0.435115324341602 0.468737228862052 0.404604714628777 0.432024493546879 0.426056663268101 0.431729920352536 0.374300848951102 0.422701581018191 0.566644035090669 0.420113630707001 0.488934541278566 0.41236414736182 0.463934705999352 0.446996505871897 0.479386902384203 0.434772510357199 0.407687162662952 0.418344982261874 0.411589638509293 0.445743073880337 0.388101519378925 0.431011117571613 0.409640866294774 0.37816122868119 0.424278790908533 0.399277197522134 0.432301934009159 0.455621283357351 0.432454467412509 0.436392953796188 0.429576081696062 0.423451223553995 0.430690473793705 0.442343284840693 0.371702180176918 0.381191540945191 0.426858881807678 0.432428824128683 0.399883805053093 0.44940898578062 0.471478179725017 0.55576301164556 0.501635715895308 0.399951403046566 0.485483820387869 0.43137994600887 0.397169872029339 0.377270008979049 0.409542266077523 0.431366474367687 0.467920966146462 0.382797030639406 0.41213769125616 0.424179582778425 0.429757408526232 0.410943691549026 0.418604830582368 0.41596559987604 0.41885537316704 0.429479062067296 0.412483291482319 0.413577551314773 0.470824765339354 0.427241898013102 0.460662554066579 0.506602894807344 0.442917982894442 0.466936999213498 0.444351289925511 0.410031953718794 0.41787739128145 0.474107459503963 0.433962216360612 0.38337077908723 0.414810471623156 0.466727154299507 0.424547715503228 0.496623410578701 0.398041735797749 0.448551528638165 0.400796282593759 0.418451352957132 0.455573340343594 0.492855841908242 0.442063834915965 0.47565361190338 0.438891791755206 0.46980235270207 0.458773334296783 0.437203408893881 0.452330547323447 0.515581458563744 0.434390629513809 0.40730122986806 0.373201539213632 0.467355739299478 0.425787935623401 0.426669389028286 0.445430926161928 0.41934756466042 0.421750217229306 0.439236312998731 0.382233787235896
"bhagavatapurana_skandha-06_u" 0.37215780467291 0.27068999071233 0.315822454152632 0.283891344983791 0.267901949059149 0.348334236683498 0 0.248055500179598 0.238144125606951 0.277446850280425 0.417628880866777 0.274042668167188 0.286099532439261 0.327310325442177 0.345827602764611 0.376310940173439 0.311289148291976 0.353661840725201 0.31828866044785 0.323468106869471 0.392068429863175 0.342964422149191 0.366533718063874 0.353270825755612 0.367439037102203 0.409365871949044 0.360606155206531 0.38656581149328 0.391086225945976 0.390923456213744 0.331065561673926 0.348672475683107 0.556276380058759 0.382785566941272 0.45789715098789 0.383172353857804 0.433945957313932 0.425186505149499 0.46867342479853 0.391040935088107 0.315283521430363 0.346452246773413 0.328585811245478 0.383222141311184 0.341611470192458 0.394349949488185 0.373305220479808 0.332896589004081 0.39254037494617 0.360304429257426 0.396864023603933 0.414947449192014 0.403277381571617 0.404160414012118 0.390239599163728 0.389384032671535 0.406058703455809 0.438097723820435 0.325651876609204 0.331687486927143 0.404070536265386 0.405576913960479 0.358393458695525 0.410844894883829 0.443841875610745 0.53250017699313 0.466394603564068 0.309523549512893 0.413846096918706 0.3540522632396 0.30491074911768 0.304673709944184 0.335437586568033 0.359552938746344 0.410438062772516 0.334578446705694 0.37064129040227 0.402360307524411 0.39300396037205 0.378404494941296 0.394164960767 0.391716567497105 0.400537748981789 0.402637566145401 0.37198877309708 0.328986348951827 0.428258967319324 0.391078446379111 0.41830851543787 0.448813353421857 0.3579571077009 0.443137207848833 0.36489086299761 0.329695940232723 0.351658068918587 0.422100164320751 0.361202526834215 0.324086739624499 0.371008989884618 0.400875449899884 0.349151820584142 0.440989771708765 0.315910119299981 0.375009748910954 0.314387709505201 0.351354793797324 0.399846828594511 0.450197596139179 0.370934341540944 0.45666855964734 0.397564119562629 0.400020353845554 0.394913099076816 0.365214675538599 0.396235114583405 0.449374613961686 0.369702507075886 0.334879255611551 0.338588717386605 0.441266086342878 0.327671512050281 0.383674880761208 0.378146134474386 0.404418410397631 0.361854334224165 0.386634485205092 0.306257077459169
"bhagavatapurana_skandha-07_u" 0.380017826679166 0.279234749924481 0.316830730763802 0.295517557552192 0.280023369587061 0.364433816104393 0.248055500179598 0 0.270989005074196 0.296471581810331 0.410870795249319 0.290867405168278 0.286071037971714 0.341925997955708 0.356309514049681 0.390401340057941 0.33334675701648 0.36684554164383 0.337651744295742 0.341627527049064 0.403339868133571 0.353365395973129 0.376021201608294 0.36465728944042 0.366006985454187 0.415194025914529 0.376712845408798 0.400949151138987 0.41568555577914 0.415304970790021 0.353038790876802 0.354521072695202 0.558756816567212 0.41243125974672 0.477578839144907 0.415885479507433 0.45222130282625 0.442708477093195 0.486307521413922 0.414919524416406 0.33816735692037 0.35045676465799 0.345577924495974 0.390933670833082 0.361718827151344 0.410705649446945 0.388940914042477 0.353513397286399 0.406930051339792 0.378050597951787 0.420957853847581 0.426019941973747 0.418415150973998 0.42123652814138 0.412448765713457 0.403656662963188 0.423676012008767 0.452514666738055 0.337459933411925 0.354900579413486 0.404662788431947 0.411389252715071 0.370552686711832 0.425903402882818 0.453314382745682 0.533392878999966 0.47544560832411 0.323172099627619 0.430461437934544 0.36523204130961 0.320567939819239 0.320371287581284 0.341550046308763 0.363197840764949 0.42093144769835 0.351077371838926 0.373874986167216 0.40013788187679 0.412771613423013 0.395889860021033 0.40787353880036 0.406279356343264 0.418604432168695 0.419582553835488 0.388957036037058 0.338549862787045 0.426534783956273 0.394191247912668 0.420810263317017 0.454573299308015 0.372799134814933 0.445323082935863 0.379743021047607 0.342973822772173 0.362282033792818 0.4209840660111 0.37255898578782 0.32730606361868 0.376608234574477 0.410347022314308 0.365132104161385 0.448876739512582 0.333943794143658 0.378845567988472 0.333246243986374 0.369146308228353 0.409396507638507 0.457642953016937 0.390692812837334 0.474357203053192 0.40427442695058 0.423403961472904 0.399579849888731 0.383910095920755 0.40545567399036 0.447370410330456 0.376607209653814 0.354649286936755 0.347210069263056 0.450230710345525 0.341298782191197 0.392145273501154 0.382359517432324 0.41670924570682 0.364363142187917 0.388213504632315 0.317707154393129
"bhagavatapurana_skandha-08_u" 0.376765999243883 0.287816315827315 0.328981072515692 0.295519770702519 0.282112158599348 0.350351786895935 0.238144125606951 0.270989005074196 0 0.27623547155611 0.4189585751524 0.263575459965345 0.321236421753515 0.331896957728971 0.343949958560131 0.385292530880239 0.316224738645776 0.353770995526054 0.324162210776931 0.331295475155999 0.404404980337733 0.349826707641291 0.371155439098789 0.356421991958757 0.380904237364835 0.415919223893203 0.358506971659978 0.386447398686452 0.387418273295878 0.373464596693433 0.332581542696277 0.344438348578436 0.557071055095701 0.393001051417398 0.462330959237888 0.390217823412497 0.447614464452085 0.439134605594535 0.464603851476428 0.39268259185774 0.319727984726062 0.36215127238459 0.334520261569204 0.384587043463991 0.352930882289908 0.385492395130043 0.378731473127378 0.343071513716924 0.396969599854601 0.37584631472578 0.400009026540885 0.419244397504987 0.400289114935203 0.401828886161466 0.390849152025001 0.397674127824604 0.416890788758175 0.466362862850442 0.354003032839093 0.350963015687655 0.422688272740193 0.41737206221455 0.374890451649343 0.422038807619345 0.447068192310649 0.541098068365097 0.47310056677949 0.328412359438913 0.411487921183877 0.362828835721868 0.319918908050098 0.30312345385646 0.340102182591348 0.367204799191578 0.40477997429391 0.339417796942598 0.364021582733716 0.406221927406498 0.398321025483543 0.390861138439666 0.397768368728163 0.389538973480353 0.394785610925452 0.391405033785091 0.372135222092864 0.329058618933007 0.422656232219682 0.399040585946988 0.418172093868176 0.45788315425084 0.357027412461303 0.435496441895311 0.364318079723829 0.340709355248966 0.359300443106257 0.428600474961208 0.35049539991194 0.336273536827774 0.372266411877843 0.415432226749351 0.34988918340734 0.458469140959449 0.312323122434626 0.372944041853717 0.309594027727585 0.358465481660857 0.4123176512126 0.469253329685323 0.376310233764738 0.445731482283198 0.403475887669006 0.408511498091482 0.408483039304207 0.366576791957367 0.403631430319766 0.451707225875125 0.373367876059917 0.340848129935547 0.346592819322279 0.442046368052246 0.339550555655004 0.394249676372112 0.390497773163312 0.403667641855686 0.355171653038933 0.402702463587774 0.314316927965315
"bhagavatapurana_skandha-09_u" 0.378994835256909 0.296596906514424 0.351588092669967 0.321559027630575 0.299235674114888 0.380997566409591 0.277446850280425 0.296471581810331 0.27623547155611 0 0.430633070032464 0.283383706265328 0.349391948160494 0.351704200639861 0.350891500813987 0.378384875390849 0.295992467755036 0.371215117641749 0.321684363596882 0.339576392175728 0.415393923475383 0.352528017807828 0.388859267814475 0.368820641517691 0.385258728914657 0.426707360600525 0.369993787436971 0.394853840710948 0.420224009812127 0.409471670772627 0.325537161304016 0.347821537681285 0.564515294546742 0.354269459172078 0.46348143294347 0.364868050065693 0.448185250017563 0.434673596831644 0.467940153963485 0.364458426688856 0.332971252436355 0.37361388410677 0.351225111796669 0.401290669331976 0.336854881945142 0.395892935289545 0.377261283933459 0.339957466315237 0.387922252656145 0.365275652805945 0.406804965296064 0.41086081778349 0.401910504907082 0.405487737628598 0.388399914672251 0.394166165936656 0.409817223293844 0.472875405300082 0.358080879706238 0.355273814321254 0.432980791626649 0.428596738505384 0.373615989591943 0.409049498938067 0.434992033975243 0.533122688085345 0.472241316301638 0.315588666457994 0.436462133479145 0.345685432902297 0.310744420765173 0.314390981217702 0.355728150113195 0.364494334982176 0.413417015245056 0.347474694697286 0.382937804780306 0.421786172289494 0.37430387213416 0.370058143177946 0.398462775823045 0.388472549575328 0.399538034593027 0.407147342580091 0.369378937241232 0.351184932642303 0.440463316804156 0.414411044857179 0.424741889599722 0.462012309094696 0.375480068765813 0.456241825191567 0.378293070932336 0.341725492135488 0.37513329986347 0.444877200209839 0.377531850244829 0.342461428941121 0.379323053537374 0.437520258446199 0.361926319340552 0.466299774506469 0.336730721563124 0.381323149935502 0.323728491383703 0.34443807568574 0.411985648190168 0.475212779097987 0.377618937899331 0.465315939053004 0.400905514985319 0.400301000726712 0.406159529989079 0.317009012180549 0.410251210273867 0.455634825453331 0.381924642401864 0.334146976416674 0.377941425162342 0.463251853107472 0.351853727637278 0.394416782143929 0.39718689710673 0.368200580943703 0.366024424321994 0.41028827522547 0.314147093207486
