"agnipurana_u" "bhagavatapurana_skandha-01_u" "bhagavatapurana_skandha-02_u" "bhagavatapurana_skandha-03_u" "bhagavatapurana_skandha-04_u" "bhagavatapurana_skandha-05_u" "bhagavatapurana_skandha-06_u" "bhagavatapurana_skandha-07_u" "bhagavatapurana_skandha-08_u" "bhagavatapurana_skandha-09_u" "bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary" "bhagavatapurana_skandha-10_u" "bhagavatapurana_skandha-11_u" "bhagavatapurana_skandha-12_u" "bhavisyapurana" "brahmandapurana_khanda-1_u" "brahmandapurana_khanda-2_u" "brahmandapurana_khanda-3_u" "brahmandapurana" "brahmapurana_pu" "devibhagavatapurana_devigita_adhyaya-31-40" "devibhagavatapurana" "devipurana" "garudapurana_khanda-1_u" "garudapurana_khanda-2_u" "garudapurana_khanda-3_u" "harivamsa_appendix-29-30_mathura" "harivamsa_appendix-31" "harivamsa_appendix-41" "harivamsa_appendix-42_pradurbhava" "harivamsa" "kalikapurana" "karatoyamahatmya_pu" "kurmapurana_khanda-1_u" "kurmapurana_khanda-2_u" "lingapurana_khanda-1_u" "lingapurana_khanda-2_u" "mahabharata_01-adiparvan" "mahabharata_02-appendix-21_sisupala" "mahabharata_02-sabhaparvan" "mahabharata_03-aranyakaparvan" "mahabharata_04-virataparvan" "mahabharata_05-udyogaparvan" "mahabharata_06-bhismaparvan" "mahabharata_07-appendix-08_sodasarajika" "mahabharata_07-dronaparvan" "mahabharata_08-karnaparvan" "mahabharata_09-salyaparvan" "mahabharata_10-sauptikaparvan" "mahabharata_11-striparvan" "mahabharata_12-appendix-29_moksadharma" "mahabharata_12-santiparvan" "mahabharata_13-anusasanaparvan" "mahabharata_13-appendix-15_umamahesvara" "mahabharata_14-appendix-04_vaisnavadharma" "mahabharata_14-asvamedhikaparvan" "mahabharata_15-asramavasikaparvan" "mahabharata_16-mausalaparvan" "mahabharata_17-mahaprasthanikaparvan" "mahabharata_18-svargarohanaparvan" "markandeyapurana_adhyaya-1-80_u" "markandeyapurana_adhyaya-81-93_devimahatmya_u" "markandeyapurana_adhyaya-94-141_u" "markandeyapurana" "matsyapurana_pu" "naradapurana_khanda-1_u" "naradapurana_khanda-2_u" "nilamatapurana_au" "nrsimhapurana_pu" "padmapurana_a" "pranavakalpa" "ramayana_01-balakanda" "ramayana_02-ayodhyakanda_a" "ramayana_03-aranyakanda_a" "ramayana_04-kiskindhakanda" "ramayana_05-sundarakanda" "ramayana_06-yuddhakanda" "ramayana_07-uttarakanda" "saurapurana" "sivadharmasastra" "sivadharmottara" "sivapurana_dharmasamhita" "sivapurana_karvanamahatmya_au" "sivapurana_rudrasamhita" "sivapurana_sanatkumarasamhita" "sivapurana_satarudrasamhita_au" "sivapurana_umasamhita" "sivapurana_vayaviyasamhita_au" "sivapurana_vidyesvarasamhita_au" "skandamahapurana_himavatkhanda" "skandamahapurana_kasikhanda" "skandamahapurana_revakhanda" "skandamahapurana_sutasamhita_khanda-4" "skandapurana_adhyaya-1-31_pu" "skandapurana_pasupata_adhyaya174-183_u" "skandapurana" "vamanapurana_saromahatmya_u" "vamanapurana_u" "vayupurana_01_frame-and-cosmogony_iast" "vayupurana_02_pashupata-yoga_iast" "vayupurana_03_kalpas-and-shiva-lineages_iast" "vayupurana_04_bhuvana-vinyasa_iast" "vayupurana_05_jyotis-and-purvardha-close_iast" "vayupurana_06_prthu-and-prajapati-lineages_iast" "vayupurana_07_shraddha-kalpa_iast" "vayupurana_08_manu-candra-vishnu-vamsha_iast" "vayupurana_09_upasamhara_iast" "vayupurana_10_gaya-mahatmya_iast" "vayupurana_revakhanda" "vayupurana" "visnudharma_pu" "visnudharmottarapurana_khanda-3_adhyaya-343-353_pu" "visnupurana_amsa-1_u" "visnupurana_amsa-2_u" "visnupurana_amsa-3_u" "visnupurana_amsa-4_u" "visnupurana_amsa-5_u" "visnupurana_amsa-6_u" "visnupurana_u"
"agnipurana_u" 0 0.42177513685141 0.451384018946488 0.418407989131754 0.40459227091569 0.448096420261124 0.399384177975333 0.403689375958468 0.399127039217114 0.403444076525994 0.472940366280702 0.397248333593899 0.423622323132258 0.416203903629572 0.301777050767597 0.46983893062707 0.370753068826751 0.345503917420936 0.326020395613597 0.362154031014034 0.401082949421925 0.349018631805696 0.297260517992617 0.246277592161899 0.336141675465604 0.404000454453649 0.396449304277581 0.436415541180153 0.458585878662082 0.44356532010182 0.389766937708576 0.308069382458953 0.561769811960598 0.390992856938971 0.372955016011713 0.333128153927158 0.309110409017635 0.410706387254387 0.455121876240366 0.436149036022748 0.401622202209067 0.442527029214046 0.422495920537537 0.448449474901654 0.471125200519568 0.437891468800014 0.437410890271024 0.436508873732796 0.437181737274522 0.455677679853679 0.491670346567254 0.398152901787279 0.398672849925876 0.422837357716341 0.408477200734123 0.423525091723328 0.475837340684222 0.487123431235016 0.586877267410777 0.528423353603245 0.361105951005117 0.458685523372132 0.428239166593834 0.363490792429821 0.289097265988455 0.243513865761846 0.36393332903273 0.399318469470985 0.372079421770039 0.375176554146766 0.412186301259306 0.43158424358194 0.424155686093648 0.428738064378853 0.429261641172441 0.432023620222585 0.43255017576628 0.421331096456155 0.354619564157458 0.399494561936839 0.372229141820575 0.444974774648003 0.482430390582727 0.399831040834696 0.466069919820464 0.469514339759692 0.354187541787631 0.34157600094935 0.365807097631248 0.380202676945837 0.316791551715727 0.36533433530436 0.41954169814312 0.406359724344312 0.49142491851014 0.36798681457794 0.441209165502407 0.340207188744117 0.550500361775009 0.516868680967388 0.471946003653209 0.497474753980461 0.576706019950026 0.529234800931552 0.515326627317528 0.573129330156855 0.475320382116895 0.43520780551713 0.376802486936179 0.34336377272709 0.385478802955804 0.46764679929847 0.435868620663506 0.502708076976494 0.407618264369048 0.44030957663879 0.508673883488109 0.580749540810153 0.3765303047215
"bhagavatapurana_skandha-01_u" 0.42177513685141 0 0.329162356983349 0.295426616290762 0.283955613895928 0.372013612727907 0.291912761250395 0.299999116769807 0.30687187695291 0.318590760127045 0.414608290524643 0.270164771955422 0.310741462145275 0.337799208972705 0.383842662571096 0.476544084808142 0.354418926471528 0.417122376274821 0.372093788390197 0.363958129285122 0.438490072392236 0.381579826763453 0.413112686985581 0.410855674303439 0.414389911815897 0.453598169135167 0.374361199690178 0.404746775136088 0.4470653101192 0.427123827749209 0.34225822988766 0.391827180281988 0.590297619162046 0.386280449940677 0.397167669539685 0.395074283075892 0.430937772365048 0.346363757964899 0.427988414536347 0.36991984476494 0.338311794313754 0.388961780358247 0.358870796254494 0.408028164252267 0.432170945295388 0.401661314887347 0.407606771609672 0.397312859879264 0.391764091981334 0.402611770607538 0.462247790006793 0.341778875608188 0.354216952544695 0.4259880420308 0.422213115375563 0.363950169834383 0.407112241547829 0.443463254824041 0.544287182489929 0.484214710908214 0.356565718989359 0.468993117497056 0.379740390626897 0.349157623077114 0.358628885643644 0.383961272906296 0.393042132988872 0.443946533916683 0.36526725430781 0.395567547982703 0.433827572930147 0.399303427504107 0.381848432493846 0.406986535340494 0.404957649423567 0.412259051693583 0.41848599870854 0.385392514617246 0.385568544558051 0.470331747503263 0.441894596193028 0.462310054602804 0.489736341442219 0.416897728781811 0.486107249798907 0.452621032924049 0.387322941986493 0.413175358053655 0.460428872173121 0.389752081629343 0.369203606577802 0.401404448200791 0.453156647234077 0.399051145565142 0.49042040127959 0.346863248709644 0.444523640758764 0.365807270473076 0.522573172320811 0.538770302956764 0.462446120570072 0.520599098421844 0.566334671474025 0.526976138634854 0.529511072113643 0.564190490020052 0.47067331604738 0.490194918660074 0.41896856722917 0.383086123813497 0.363921344993651 0.489411989231623 0.418908460992504 0.507167690172009 0.437984811199696 0.433466958935514 0.495241313237783 0.556239925403538 0.37422677205851
"bhagavatapurana_skandha-02_u" 0.451384018946488 0.329162356983349 0 0.318033667163569 0.328680757915124 0.385045704009344 0.338809224631866 0.338712789956181 0.348139321453802 0.370597395033992 0.454054704916727 0.355639787303332 0.343699034614862 0.369692833255639 0.432970437239248 0.50396014665161 0.406053628817174 0.452512841961647 0.414198148611801 0.418547921590906 0.453056465813623 0.431784656817099 0.448012884068479 0.442107887594492 0.451519211759447 0.476805968534733 0.434503782208471 0.442103132246699 0.466283055890213 0.467690364737617 0.415636033952351 0.423863682024676 0.597861786124062 0.407834346424289 0.422133428103838 0.430287414828769 0.456502621784943 0.420526104477629 0.483334502471235 0.443152435896243 0.414593890108628 0.456493026396905 0.434187032544777 0.46822824342682 0.481676875667161 0.460115170800271 0.466435147222847 0.460529315815715 0.452692074492075 0.460638496015798 0.48243366802992 0.402009297686352 0.418945848346878 0.463195630803051 0.460806944423955 0.42653109204211 0.472598538508535 0.496910695326028 0.577822029612453 0.524297458126333 0.406624657352048 0.499367791823948 0.428437667684831 0.401525767626285 0.411907975651938 0.418342819060891 0.435708464711172 0.478033747003641 0.409928861195846 0.438733176063242 0.441579973864454 0.448509440060302 0.445288893929346 0.452905867507067 0.446349572248371 0.459455631170959 0.462379772741551 0.439143445426537 0.422685177381124 0.486715244722752 0.470378163758397 0.494718683542228 0.517497563997211 0.458905207633639 0.504306053645721 0.479799468377347 0.425559090504884 0.433386340408719 0.480870285742311 0.430529432977581 0.402583444006624 0.440970596168181 0.462215588221729 0.438102872447489 0.495135375364917 0.402022955199131 0.473197945787809 0.415804186732013 0.539226834748248 0.54028927891067 0.485177853227766 0.548255954540154 0.590612662772571 0.550726977687402 0.550943650551081 0.594376806809042 0.495032905585215 0.514203615287602 0.452984459752507 0.429154760772694 0.397004995415439 0.506353492935829 0.440123777280133 0.51797897275899 0.467624266667559 0.466001598660994 0.517206290194937 0.57534672834669 0.413109560427089
"bhagavatapurana_skandha-03_u" 0.418407989131754 0.295426616290762 0.318033667163569 0 0.222619598123298 0.331510314135415 0.304362978329171 0.314338919603993 0.313059447638741 0.338219702492917 0.379897442049121 0.260901718682786 0.263347971845626 0.312053315775792 0.403603824321067 0.489713849540735 0.378857364924367 0.422194743272382 0.383106089378828 0.346796181620297 0.437717149325379 0.401443733590265 0.417387170897381 0.420039239848385 0.426014064243618 0.460498956559542 0.362448781522586 0.394949176682835 0.416396946517512 0.41279349996753 0.337643502364651 0.392685939078744 0.58606786752459 0.391256899278941 0.401579196348871 0.398510140670597 0.430034599048566 0.341032121766645 0.430512421302711 0.375439520682268 0.328950234499959 0.387562458140481 0.359771878628796 0.404605361250039 0.427134529318673 0.393297347208106 0.400303110671721 0.389853482316458 0.387157065833431 0.405269780201575 0.42634579661551 0.318867265600204 0.336608301934793 0.401265081925319 0.400174276221443 0.352387369318381 0.414675825945204 0.447865797823077 0.545054717848527 0.490962729167009 0.370201175241863 0.478830186942875 0.402718968044988 0.364578938662818 0.378739077677134 0.393683449040269 0.399234651130916 0.457733171641046 0.343553802955053 0.403568542834058 0.432429764538243 0.38324296343349 0.365803532980219 0.384152783123488 0.386296291046577 0.387200923429941 0.393901213533114 0.366925660165021 0.402036009420093 0.467076729037404 0.436546219477818 0.470863907389566 0.503972769095596 0.427685993576443 0.489824049996805 0.463356878294921 0.393299294192892 0.406155885120305 0.463488533341923 0.403208388793056 0.368158319737985 0.40292119432555 0.457529768445661 0.408041192637948 0.484511432446264 0.356429358109138 0.455935892024641 0.377863349420435 0.541572778211379 0.539622537205704 0.474016320322508 0.542776808724685 0.586765395200642 0.541011668683834 0.549658400750715 0.587543169365175 0.48847787811421 0.502570312609712 0.430785682627174 0.404673804455869 0.330972740131669 0.477447267521172 0.417374500854292 0.50586557251476 0.441794025060655 0.445015322835689 0.500543854425171 0.569623164079016 0.380450076264989
"bhagavatapurana_skandha-04_u" 0.40459227091569 0.283955613895928 0.328680757915124 0.222619598123298 0 0.330209602250983 0.28708046397754 0.300041818655211 0.295851870659081 0.316665343464769 0.383220826897591 0.231936870835864 0.278278764655511 0.30650280690617 0.390582385166456 0.484673255420499 0.35890576574085 0.409732430542216 0.364588704131301 0.330136417382954 0.429611483852755 0.383999024508531 0.402001309647198 0.407726219566729 0.415764923204206 0.456734701725573 0.345885099184054 0.379826575447273 0.409416355961249 0.40169759171791 0.321943689877926 0.380632787767608 0.577868778091118 0.37407341888571 0.397302180208974 0.38544485168143 0.423271438164432 0.320407127918621 0.417188434594411 0.358506327975976 0.311277333540254 0.375862558172574 0.344428942967991 0.394719575933224 0.404037318241606 0.384229341595672 0.387971632177204 0.377516825256218 0.37441699331011 0.387974240959743 0.431140429549937 0.309351533447091 0.324692550764537 0.397647574444057 0.392923560720127 0.338667613247042 0.397650985805211 0.438239067298086 0.53627609162425 0.477813308812686 0.357886368128348 0.473825400465592 0.383845289663158 0.349540857309952 0.359904866521938 0.380374967388385 0.384941041584128 0.441544441399611 0.327635048311896 0.392466433828344 0.433378384267105 0.364671681291793 0.345133563851687 0.371556592215017 0.370321854523507 0.373065111353395 0.381170847902554 0.351356023924511 0.387201506837075 0.463304853225478 0.425045496818118 0.465222773462158 0.497475093772989 0.410919084809172 0.489337766038082 0.45461139297468 0.382609060607392 0.402402545864604 0.45658980781551 0.38940556772995 0.359309254850464 0.380819655154267 0.45025109987536 0.400461624336183 0.494252705501008 0.342323111621349 0.443828584636576 0.357840763527617 0.538427740183594 0.539134607309793 0.470877648947728 0.524473213506939 0.58067367922068 0.535025068622101 0.546406123483901 0.58058642154326 0.482222131839199 0.490444378478573 0.414117970904003 0.389197879605867 0.323953573756977 0.465980248202904 0.40227141371888 0.50992695479491 0.435052497736174 0.434208901183645 0.500717761659434 0.564874145119045 0.36870395513842
"bhagavatapurana_skandha-05_u" 0.448096420261124 0.372013612727907 0.385045704009344 0.331510314135415 0.330209602250983 0 0.372983053739924 0.389226075345508 0.372527384047922 0.40320490509857 0.414887980500356 0.347080610728674 0.360539914560265 0.365677946532547 0.439008300725036 0.514068001875755 0.41902848003257 0.437890902676655 0.415292596078624 0.416378666828379 0.477478562887276 0.449549745132914 0.449616942085123 0.44853485865134 0.461610815608033 0.488493421326275 0.422697751977563 0.454624339805888 0.460351557068619 0.455264215056296 0.400105493955859 0.443569301728013 0.596182968532364 0.439904183747518 0.447269454340644 0.445888630038938 0.465964885388653 0.40665009126838 0.470552555931254 0.429625363284951 0.396247584980812 0.442677661538514 0.419837126502345 0.456756758899502 0.477490362393226 0.449171948910984 0.452681826145098 0.44856309998462 0.444209694991627 0.449597351148782 0.463241783772544 0.391266201348782 0.40485865420131 0.447417983937904 0.45225272109813 0.418082807687351 0.463671919980277 0.494795197923656 0.576292368447037 0.52945172355116 0.423728812504558 0.510529451839453 0.46115296143749 0.421331119661861 0.406868449650958 0.434773832400681 0.451653381317667 0.487434372152873 0.403746100442904 0.430073426386451 0.439438769113146 0.439180085200741 0.426463582809647 0.434968594169543 0.432296072434407 0.436330837424618 0.443873124534003 0.429260524244785 0.441073741462165 0.496283668402763 0.464981360951722 0.48322783209498 0.541857154094154 0.470790458537328 0.486998490857432 0.508625597229844 0.442806132796797 0.444054327060016 0.493203489369657 0.454107231346772 0.403097724952156 0.437281795293521 0.484373960205942 0.452706435313581 0.531203201324838 0.416250126116164 0.493846593328468 0.420569359725534 0.559197271896423 0.552154272076192 0.513267288594309 0.524146044402932 0.605876822718855 0.559831700116315 0.568285739657626 0.601899192700925 0.5087676950079 0.543627902128259 0.461803470241052 0.433701659229396 0.396681920112783 0.496405811972737 0.470447605230063 0.526482936715392 0.478380402691065 0.432927711065156 0.519674458736002 0.58464078297876 0.412481887923112
"bhagavatapurana_skandha-06_u" 0.399384177975333 0.291912761250395 0.338809224631866 0.304362978329171 0.28708046397754 0.372983053739924 0 0.269485367872611 0.256592375900671 0.293753657105528 0.435212338570022 0.291453757128626 0.304243391631527 0.350678610296442 0.368345835307161 0.460110393519825 0.33792002260773 0.385805132965772 0.343042766072597 0.359195182383776 0.412743982514548 0.359115674465883 0.384730872866714 0.387561460727986 0.395816754860493 0.429571087051903 0.378572730659077 0.406039813713744 0.43287956495068 0.415213565134465 0.359151862143651 0.369243324843384 0.587299500699926 0.353473702150429 0.373946756656885 0.364050092964315 0.404821327086542 0.360391358794957 0.436454078908687 0.390441593845495 0.349779489867785 0.409843199282305 0.377427292343844 0.419074009023136 0.438072552705951 0.418205488574151 0.418840788472527 0.408668503880963 0.408918111430958 0.421118443344065 0.458946028683124 0.342994280842997 0.352649743323895 0.423472189884587 0.421860489378578 0.373263013737836 0.425246475152018 0.465122214106119 0.552308296503272 0.492533181138803 0.334787001210061 0.438094008057475 0.381226116681797 0.328139190466762 0.33775198957401 0.362915637626876 0.376706869030736 0.431024004575998 0.356240103430629 0.384728832145402 0.41977719854356 0.402683830648611 0.392716800559705 0.411625167755988 0.407149845050133 0.416132176002037 0.414221608054962 0.385995199134155 0.357100022887622 0.4540506770216 0.434755039545323 0.4449072098556 0.486730813749683 0.384541755741899 0.466968433751886 0.435536155720765 0.360851440270532 0.381729804501264 0.44285128972259 0.380723167629253 0.344389789298114 0.391369521906381 0.419365773678208 0.373849621298256 0.480124038217713 0.33141219272771 0.431092581132909 0.333434541785231 0.514143599207331 0.523237265716613 0.443723724684762 0.51419103295733 0.558101959224218 0.513577095938353 0.523722662514137 0.562676107827721 0.465982563754062 0.47485878363601 0.396268594645502 0.362445391948462 0.360555255733382 0.477722238679115 0.384090396494087 0.493848940542245 0.414294521966599 0.424341727294316 0.477924427053725 0.551398865055813 0.34352687654065
"bhagavatapurana_skandha-07_u" 0.403689375958468 0.299999116769807 0.338712789956181 0.314338919603993 0.300041818655211 0.389226075345508 0.269485367872611 0 0.292221467219331 0.316576679380017 0.426059548360058 0.30897321856312 0.30449834717353 0.362601321990546 0.380199645347505 0.468212170881154 0.353686896758754 0.398978846287811 0.358928267842122 0.375107101019607 0.422048828993461 0.37195746597806 0.393473714637258 0.395313162674161 0.393857151189223 0.435982573559939 0.3970109224596 0.421809654839741 0.45491312391344 0.440212963599493 0.377742245620798 0.376369222209076 0.587087031552056 0.373969041013216 0.381511579404392 0.377422036366166 0.409495249192033 0.382695354123078 0.453706035783441 0.406542440387485 0.373355524015741 0.426058790900327 0.396630379673208 0.445190767561014 0.449873901718292 0.435920169427797 0.43779911775329 0.432435141367828 0.42500914987935 0.440826114057163 0.472507572519578 0.355203561893901 0.377655622966231 0.424381751639971 0.427272664966158 0.387531114787769 0.442117406548353 0.475893249771026 0.556473436375183 0.505780069829101 0.345020150561083 0.454459698842985 0.39266480136335 0.343644808821467 0.349813856371818 0.367291139060471 0.380694921253924 0.442794144507716 0.374331436047611 0.3889928273595 0.415912172734627 0.424601350949556 0.410911760715149 0.42476984127381 0.424134585217185 0.434964765241187 0.436006406988467 0.405820198510317 0.366095465136189 0.451236672511113 0.433908448011784 0.44614267893688 0.489934504408159 0.400318028442924 0.471827529475091 0.447880347421228 0.372292613478504 0.390028292358752 0.440662434255642 0.390544247821081 0.347724194228849 0.398329620504121 0.425890129094043 0.392999224292398 0.485838321843286 0.352861640957172 0.431924855039499 0.355518168793327 0.526857366820778 0.527976390063303 0.459561447455054 0.527707394162948 0.564104578101543 0.528287336196056 0.518905650256104 0.566933024192482 0.474649573384529 0.472398310946734 0.408011618830419 0.376811029300959 0.366271214916556 0.485418151778053 0.38590358081188 0.500489652076116 0.413433467301851 0.436414503195731 0.484035864630728 0.551405907614204 0.353272730310688
"bhagavatapurana_skandha-08_u" 0.399127039217114 0.30687187695291 0.348139321453802 0.313059447638741 0.295851870659081 0.372527384047922 0.256592375900671 0.292221467219331 0 0.29240810122948 0.433127220793299 0.278168526691596 0.33939390122795 0.350686997740704 0.364186552350342 0.4621310977247 0.336068117312424 0.380521567009734 0.340284750135285 0.362601341328556 0.42361403025613 0.365463547057473 0.387339726615354 0.388024618173569 0.40661928018396 0.43417542947185 0.374869770965558 0.407199615915103 0.424856302158373 0.39973059839931 0.35709792412484 0.365067333243531 0.585354255393828 0.351949900460041 0.388422274252731 0.364841026838471 0.404200209480726 0.369125836496489 0.430799718893141 0.39373130700273 0.35789765749883 0.413401282356645 0.390288249880598 0.420616604785965 0.439888509346928 0.414500724914918 0.415793093353072 0.410029151462102 0.415901875593802 0.432051335353241 0.483509875875154 0.365264548945567 0.368918881725081 0.439343687795709 0.431452804656584 0.388136402409532 0.435339673931169 0.46786960912211 0.560356533637292 0.499172509580578 0.349304075650399 0.434793460310525 0.390267557955172 0.340047565235681 0.331472353742946 0.364853725877976 0.383293040924793 0.423478319542125 0.357382974792856 0.377570158810036 0.420317627512597 0.407400048227342 0.401041047032066 0.411184976900718 0.403073958793823 0.408424063292593 0.402322337285552 0.385046509013438 0.355070284599543 0.449290134325852 0.435580884407469 0.439852795846324 0.494559040301045 0.385737775261331 0.461216154018208 0.43262150640129 0.36820802610077 0.386762071416823 0.446990454000707 0.369520294212995 0.354016149598375 0.389443724518255 0.433857691198431 0.377342252479597 0.495990378758247 0.326825140421804 0.430834938609828 0.327037905393542 0.522292125974659 0.532899255548633 0.446223959017686 0.499117034196955 0.564571646958764 0.515347435793971 0.527512008994702 0.561742130706815 0.467504284314665 0.477187326087203 0.39810788280512 0.360139829239477 0.37075591518822 0.474462025571114 0.385290530392307 0.498566868189155 0.426028347578903 0.420408817246125 0.476150753687291 0.553760091304131 0.347760002354309
"bhagavatapurana_skandha-09_u" 0.403444076525994 0.318590760127045 0.370597395033992 0.338219702492917 0.316665343464769 0.40320490509857 0.293753657105528 0.316576679380017 0.29240810122948 0 0.446785800506485 0.297574906760279 0.367770696901683 0.371127018526543 0.370865049567224 0.468760079976197 0.334453384307867 0.399672281345377 0.351249764503748 0.376959711398279 0.436453150204477 0.369211959648077 0.40407959136917 0.399892541934977 0.413384558669162 0.444268181087163 0.388165285879331 0.415552771253004 0.45944720696246 0.433706165615425 0.360838368956104 0.367817665548859 0.594610037469994 0.372949198432625 0.399309367060765 0.3863363885735 0.418853214765808 0.358103316634047 0.430125546510368 0.396750977689443 0.358579100281209 0.408330835825101 0.383907163601763 0.427298790367445 0.434866585564048 0.41746973341404 0.420720123148018 0.406445589722087 0.413310754502496 0.429118729056918 0.492122417770284 0.372523076269547 0.373939144882258 0.45084794051757 0.447055718120434 0.389568392483836 0.426059288754582 0.457571230260388 0.555481305214326 0.502012432902601 0.33733062195235 0.458847258398638 0.37170611865018 0.331865740218494 0.353118305610746 0.377517759398365 0.379690846171807 0.43551753428311 0.36369218698234 0.397745623565894 0.435652244331106 0.385575212041459 0.384294460485809 0.412867067345082 0.404491357426731 0.415113853050059 0.419191114873879 0.385411012905467 0.377005410512445 0.465629354683662 0.447595309302792 0.450108772109584 0.496054050974831 0.401869300030114 0.479875639686367 0.440496164215111 0.375655060720005 0.401305972504707 0.463478280615031 0.395009977996854 0.360203568424119 0.401020865846877 0.451844406453111 0.389141713256729 0.505432568916221 0.352460910173062 0.431806560003879 0.340549313397527 0.534956775185453 0.542090082151337 0.45685687684667 0.520597284081101 0.570579772202796 0.52005671735846 0.530250855386721 0.544009959507573 0.482112236177552 0.47772931785443 0.409313845418665 0.377517288304181 0.400893398793554 0.494870572996864 0.407704656083458 0.501488699411152 0.439059613563636 0.39086639771313 0.495077629473048 0.563290729691443 0.350668845566552
