Source,Target,Weight,Type
agnipurana_u,garudapurana_khanda-1_u,24,undirected
agnipurana_u,matsyapurana_pu,4,undirected
agnipurana_u,naradapurana_khanda-1_u,20,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-02_u,3,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-03_u,3,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-04_u,8,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-06_u,1,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-10_u,15,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-01_u,3,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-03_u,12,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-04_u,8,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-06_u,1,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-01_u,3,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-02_u,12,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-04_u,20,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-05_u,9,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,8,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-10_u,15,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-11_u,16,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-12_u,4,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-01_u,8,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-02_u,8,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-03_u,20,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-05_u,11,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-06_u,11,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-07_u,8,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-08_u,4,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,4,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-10_u,24,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-11_u,6,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-12_u,9,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-03_u,9,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-04_u,11,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-10_u,4,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-01_u,1,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-02_u,1,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-04_u,11,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-07_u,14,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-08_u,23,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-09_u,6,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-10_u,2,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-04_u,8,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-06_u,14,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-10_u,2,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-11_u,2,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-04_u,4,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-06_u,23,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-09_u,6,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-10_u,9,undirected
bhagavatapurana_skandha-09_u,bhagavatapurana_skandha-06_u,6,undirected
bhagavatapurana_skandha-09_u,bhagavatapurana_skandha-08_u,6,undirected
bhagavatapurana_skandha-09_u,bhagavatapurana_skandha-10_u,12,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,bhagavatapurana_skandha-03_u,8,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,bhagavatapurana_skandha-04_u,4,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,bhagavatapurana_skandha-10_u,12,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-01_u,15,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-03_u,15,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-04_u,24,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-05_u,4,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-06_u,2,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-07_u,2,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-08_u,9,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-09_u,12,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,12,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-11_u,7,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-12_u,11,undirected
bhagavatapurana_skandha-10_u,harivamsa,2,undirected
bhagavatapurana_skandha-11_u,bhagavatapurana_skandha-03_u,16,undirected
bhagavatapurana_skandha-11_u,bhagavatapurana_skandha-04_u,6,undirected
bhagavatapurana_skandha-11_u,bhagavatapurana_skandha-07_u,2,undirected
bhagavatapurana_skandha-11_u,bhagavatapurana_skandha-10_u,7,undirected
bhagavatapurana_skandha-12_u,bhagavatapurana_skandha-03_u,4,undirected
bhagavatapurana_skandha-12_u,bhagavatapurana_skandha-04_u,9,undirected
bhagavatapurana_skandha-12_u,bhagavatapurana_skandha-10_u,11,undirected
bhavisyapurana,devibhagavatapurana,24,undirected
bhavisyapurana,devipurana,8,undirected
bhavisyapurana,garudapurana_khanda-2_u,12,undirected
bhavisyapurana,garudapurana_khanda-3_u,8,undirected
bhavisyapurana,kalikapurana,8,undirected
bhavisyapurana,matsyapurana_pu,10,undirected
bhavisyapurana,naradapurana_khanda-1_u,11,undirected
bhavisyapurana,naradapurana_khanda-2_u,8,undirected
bhavisyapurana,nilamatapurana_au,10,undirected
bhavisyapurana,padmapurana_a,1,undirected
bhavisyapurana,saurapurana,4,undirected
bhavisyapurana,sivapurana_umasamhita,2,undirected
bhavisyapurana,sivapurana_vayaviyasamhita_au,4,undirected
bhavisyapurana,sivapurana_vidyesvarasamhita_au,6,undirected
bhavisyapurana,vayupurana_10_gaya-mahatmya_iast,7,undirected
bhavisyapurana,vayupurana_revakhanda,8,undirected
brahmandapurana_khanda-1_u,brahmandapurana,8,undirected
brahmandapurana_khanda-1_u,lingapurana_khanda-1_u,1,undirected
brahmandapurana_khanda-1_u,matsyapurana_pu,3,undirected
brahmandapurana_khanda-1_u,vayupurana_01_frame-and-cosmogony_iast,8,undirected
brahmandapurana_khanda-1_u,vayupurana_05_jyotis-and-purvardha-close_iast,8,undirected
brahmandapurana_khanda-1_u,vayupurana_06_prthu-and-prajapati-lineages_iast,4,undirected
brahmandapurana_khanda-1_u,vayupurana_08_manu-candra-vishnu-vamsha_iast,4,undirected
brahmandapurana_khanda-1_u,vayupurana,12,undirected
brahmandapurana_khanda-2_u,brahmandapurana,20,undirected
brahmandapurana_khanda-2_u,markandeyapurana,7,undirected
brahmandapurana_khanda-2_u,matsyapurana_pu,5,undirected
brahmandapurana_khanda-2_u,padmapurana_a,3,undirected
brahmandapurana_khanda-2_u,skandapurana_adhyaya-1-31_pu,4,undirected
brahmandapurana_khanda-2_u,vamanapurana_u,1,undirected
brahmandapurana_khanda-2_u,visnupurana_amsa-4_u,4,undirected
brahmandapurana_khanda-3_u,brahmandapurana,24,undirected
brahmandapurana_khanda-3_u,matsyapurana_pu,8,undirected
brahmandapurana_khanda-3_u,naradapurana_khanda-1_u,4,undirected
brahmandapurana,brahmandapurana_khanda-1_u,8,undirected
brahmandapurana,brahmandapurana_khanda-2_u,20,undirected
brahmandapurana,brahmandapurana_khanda-3_u,24,undirected
brahmandapurana,devibhagavatapurana_devigita_adhyaya-31-40,4,undirected
brahmandapurana,markandeyapurana_adhyaya-81-93_devimahatmya_u,6,undirected
brahmandapurana,matsyapurana_pu,16,undirected
brahmandapurana,padmapurana_a,2,undirected
brahmandapurana,sivapurana_dharmasamhita,1,undirected
brahmandapurana,sivapurana_umasamhita,1,undirected
brahmandapurana,sivapurana_vayaviyasamhita_au,2,undirected
brahmandapurana,skandamahapurana_kasikhanda,8,undirected
brahmandapurana,vamanapurana_u,3,undirected
brahmandapurana,vayupurana_04_bhuvana-vinyasa_iast,5,undirected
brahmandapurana,vayupurana_06_prthu-and-prajapati-lineages_iast,1,undirected
brahmandapurana,vayupurana_09_upasamhara_iast,7,undirected
brahmandapurana,vayupurana,8,undirected
brahmandapurana,visnupurana_amsa-4_u,2,undirected
brahmapurana_pu,karatoyamahatmya_pu,6,undirected
brahmapurana_pu,mahabharata_03-aranyakaparvan,6,undirected
brahmapurana_pu,mahabharata_13-anusasanaparvan,11,undirected
brahmapurana_pu,mahabharata_13-appendix-15_umamahesvara,1,undirected
brahmapurana_pu,mahabharata_14-appendix-04_vaisnavadharma,3,undirected
brahmapurana_pu,nilamatapurana_au,4,undirected
brahmapurana_pu,nrsimhapurana_pu,19,undirected
brahmapurana_pu,sivapurana_karvanamahatmya_au,3,undirected
brahmapurana_pu,skandamahapurana_revakhanda,8,undirected
brahmapurana_pu,vamanapurana_saromahatmya_u,4,undirected
brahmapurana_pu,vayupurana_revakhanda,2,undirected
brahmapurana_pu,visnudharma_pu,8,undirected
brahmapurana_pu,visnudharmottarapurana_khanda-3_adhyaya-343-353_pu,8,undirected
devibhagavatapurana_devigita_adhyaya-31-40,brahmandapurana,4,undirected
devibhagavatapurana_devigita_adhyaya-31-40,devibhagavatapurana,12,undirected
devibhagavatapurana_devigita_adhyaya-31-40,kalikapurana,8,undirected
devibhagavatapurana,bhavisyapurana,24,undirected
devibhagavatapurana,devibhagavatapurana_devigita_adhyaya-31-40,12,undirected
devibhagavatapurana,garudapurana_khanda-3_u,12,undirected
devibhagavatapurana,kalikapurana,4,undirected
devibhagavatapurana,naradapurana_khanda-2_u,12,undirected
devibhagavatapurana,padmapurana_a,6,undirected
devibhagavatapurana,saurapurana,6,undirected
devibhagavatapurana,sivapurana_dharmasamhita,3,undirected
devibhagavatapurana,sivapurana_karvanamahatmya_au,1,undirected
devibhagavatapurana,sivapurana_rudrasamhita,20,undirected
devibhagavatapurana,sivapurana_umasamhita,16,undirected
devipurana,bhavisyapurana,8,undirected
