"agnipurana_u" "bhagavatapurana_skandha-01_u" "bhagavatapurana_skandha-02_u" "bhagavatapurana_skandha-03_u" "bhagavatapurana_skandha-04_u" "bhagavatapurana_skandha-05_u" "bhagavatapurana_skandha-06_u" "bhagavatapurana_skandha-07_u" "bhagavatapurana_skandha-08_u" "bhagavatapurana_skandha-09_u" "bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary" "bhagavatapurana_skandha-10_u" "bhagavatapurana_skandha-11_u" "bhagavatapurana_skandha-12_u" "bhavisyapurana" "brahmandapurana_khanda-1_u" "brahmandapurana_khanda-2_u" "brahmandapurana_khanda-3_u" "brahmandapurana" "brahmapurana_pu" "devibhagavatapurana_devigita_adhyaya-31-40" "devibhagavatapurana" "devipurana" "garudapurana_khanda-1_u" "garudapurana_khanda-2_u" "garudapurana_khanda-3_u" "harivamsa_appendix-29-30_mathura" "harivamsa_appendix-31" "harivamsa_appendix-41" "harivamsa_appendix-42_pradurbhava" "harivamsa" "kalikapurana" "karatoyamahatmya_pu" "kirfel_ppl_textgruppe_I_col1" "kirfel_ppl_textgruppe_Ia_col1" "kirfel_ppl_textgruppe_II_col1" "kirfel_ppl_textgruppe_IIA_col1" "kirfel_ppl_textgruppe_IIB_col1" "kirfel_ppl_textgruppe_III_col1" "kirfel_ppl_ungrouped_col1" "kurmapurana_khanda-1_u" "kurmapurana_khanda-2_u" "lingapurana_khanda-1_u" "lingapurana_khanda-2_u" "mahabharata_01-adiparvan" "mahabharata_02-appendix-21_sisupala" "mahabharata_02-sabhaparvan" "mahabharata_03-aranyakaparvan" "mahabharata_04-virataparvan" "mahabharata_05-udyogaparvan" "mahabharata_06-bhismaparvan" "mahabharata_07-appendix-08_sodasarajika" "mahabharata_07-dronaparvan" "mahabharata_08-karnaparvan" "mahabharata_09-salyaparvan" "mahabharata_10-sauptikaparvan" "mahabharata_11-striparvan" "mahabharata_12-appendix-29_moksadharma" "mahabharata_12-santiparvan" "mahabharata_13-anusasanaparvan" "mahabharata_13-appendix-15_umamahesvara" "mahabharata_14-appendix-04_vaisnavadharma" "mahabharata_14-asvamedhikaparvan" "mahabharata_15-asramavasikaparvan" "mahabharata_16-mausalaparvan" "mahabharata_17-mahaprasthanikaparvan" "mahabharata_18-svargarohanaparvan" "markandeyapurana_adhyaya-1-80_u" "markandeyapurana_adhyaya-81-93_devimahatmya_u" "markandeyapurana_adhyaya-94-141_u" "markandeyapurana" "matsyapurana_pu" "naradapurana_khanda-1_u" "naradapurana_khanda-2_u" "nilamatapurana_au" "nrsimhapurana_pu" "padmapurana_a" "pranavakalpa" "ramayana_01-balakanda" "ramayana_02-ayodhyakanda_a" "ramayana_03-aranyakanda_a" "ramayana_04-kiskindhakanda" "ramayana_05-sundarakanda" "ramayana_06-yuddhakanda" "ramayana_07-uttarakanda" "saurapurana" "sivadharmasastra" "sivadharmottara" "sivapurana_dharmasamhita" "sivapurana_karvanamahatmya_au" "sivapurana_rudrasamhita" "sivapurana_sanatkumarasamhita" "sivapurana_satarudrasamhita_au" "sivapurana_umasamhita" "sivapurana_vayaviyasamhita_au" "sivapurana_vidyesvarasamhita_au" "skandamahapurana_himavatkhanda" "skandamahapurana_kasikhanda" "skandamahapurana_revakhanda" "skandamahapurana_sutasamhita_khanda-4" "skandapurana_adhyaya-1-31_pu" "skandapurana_pasupata_adhyaya174-183_u" "skandapurana" "vamanapurana_saromahatmya_u" "vamanapurana_u" "vayupurana_01_frame-and-cosmogony_iast" "vayupurana_02_pashupata-yoga_iast" "vayupurana_03_kalpas-and-shiva-lineages_iast" "vayupurana_04_bhuvana-vinyasa_iast" "vayupurana_05_jyotis-and-purvardha-close_iast" "vayupurana_06_prthu-and-prajapati-lineages_iast" "vayupurana_07_shraddha-kalpa_iast" "vayupurana_08_manu-candra-vishnu-vamsha_iast" "vayupurana_09_upasamhara_iast" "vayupurana_10_gaya-mahatmya_iast" "vayupurana_revakhanda" "vayupurana" "visnudharma_pu" "visnudharmottarapurana_khanda-3_adhyaya-343-353_pu" "visnupurana_amsa-1_u" "visnupurana_amsa-2_u" "visnupurana_amsa-3_u" "visnupurana_amsa-4_u" "visnupurana_amsa-5_u" "visnupurana_amsa-6_u" "visnupurana_u"
"agnipurana_u" 0 0.408274441981286 0.433375357136787 0.405249994278579 0.390729743126576 0.437616161432916 0.383687623205702 0.389012288347872 0.385084487163932 0.390457888734169 0.456889068496464 0.385141494590243 0.410332972082332 0.399952627286129 0.290487281686526 0.424743562187077 0.35294482025025 0.334136101123201 0.313392761873952 0.348339204700565 0.387101684473522 0.339347666492939 0.288724157685807 0.231557653731307 0.319614004940596 0.390044835576904 0.382299315783397 0.422721617832671 0.441676572606489 0.430613351015277 0.378133437841244 0.297963670275242 0.531282738008922 0.488562096902601 0.56104689337216 0.508332363123057 0.548229027823334 0.524873813019888 0.617490813802235 0.505876226440157 0.377163558788506 0.360047851041817 0.325043560506439 0.304397339151523 0.398884411534678 0.439995356108814 0.422274238947435 0.390536821662095 0.427501178779045 0.409182073673233 0.435210787046035 0.45430071741426 0.425658230963487 0.42532437136637 0.424004872165798 0.418747590792275 0.440724836348976 0.476717166248044 0.386078594299912 0.386206612943103 0.408958707222472 0.393151639861824 0.410923345614931 0.4639491278165 0.467490648280909 0.568126040527752 0.505637425903203 0.349642199590706 0.445092417688222 0.41682410838735 0.354016935147622 0.277893605123564 0.235948757800821 0.350379430313625 0.384820967629249 0.361039003089882 0.364486720075505 0.401705186229391 0.426768200710655 0.412472077805603 0.416236566189392 0.416282071708059 0.421000663435723 0.42371217565642 0.411990585146329 0.338978347787812 0.386581144407139 0.355397094507598 0.43381022044689 0.453155263046499 0.38561865329729 0.456068384052247 0.445383890307133 0.338279064676188 0.327121412264076 0.351096220995973 0.369875462255154 0.304807170115957 0.35332492146801 0.405247410697715 0.390947104470488 0.468584496632724 0.358760162948066 0.424968644662346 0.32870966012857 0.503516642158296 0.485406409686254 0.437670086262273 0.4823473228952 0.506403950446139 0.485371933126051 0.460071508522206 0.497566260991069 0.445733544015067 0.410815530752139 0.360639600073601 0.330474616416246 0.369709937256433 0.441610133033549 0.417278832284566 0.472729225675696 0.388689244326536 0.426503550092621 0.475973577162651 0.534617921206839 0.363889334433948
"bhagavatapurana_skandha-01_u" 0.408274441981286 0 0.311186965331227 0.281240104014078 0.268761700693509 0.359405162064992 0.27465481822247 0.282588551664569 0.292580117654059 0.300777857390528 0.399472555171136 0.252774361079105 0.295235531449481 0.316502917651072 0.369867025613358 0.435218650481769 0.335520018272095 0.402473954435544 0.35435480206705 0.348999926869474 0.422675755294829 0.368577508886221 0.400991574853286 0.393579495977431 0.39748791984629 0.439551291593772 0.357311751061396 0.386625002526772 0.424753752124669 0.409911330127252 0.323968389905156 0.377339167328369 0.565663622474827 0.452270563752773 0.540831187592957 0.485385554486298 0.5214993644582 0.512711690008345 0.583342588340966 0.469619382861152 0.370217612818498 0.385077972706479 0.385693111963552 0.417306914238326 0.330531456282972 0.405934658089756 0.35408219320775 0.323704727212324 0.373103618576591 0.344248476209553 0.392762884681184 0.411220790548025 0.386178091073931 0.392320862285562 0.381636781693966 0.372392438370016 0.389594013855285 0.445079691934715 0.327510578656206 0.337005109236697 0.41270435461276 0.413706197754025 0.348230686048764 0.393411175810022 0.423069699265107 0.526921138462475 0.459711213873489 0.344094914698619 0.452726664169591 0.366524172735549 0.338353349902833 0.342828070820728 0.369293854978526 0.380370884703762 0.429946633968756 0.35326157814159 0.383255205189597 0.420506243235304 0.39185490603129 0.369998256236731 0.393154092287082 0.391698785145251 0.399872763763543 0.406913804364808 0.373630182302184 0.370037682945184 0.456718218200154 0.425565704988294 0.447520439096931 0.464875647767912 0.402851318557893 0.472393211192796 0.427470487785694 0.3705101324531 0.397599698270462 0.446898311487832 0.37915038038625 0.357488524815667 0.38868084012721 0.439136584324006 0.382953340110444 0.468667354611329 0.333294242231019 0.43473823028607 0.352101081717544 0.482172341986552 0.517640716087081 0.429361109717737 0.506593574328546 0.508146579596787 0.48867935522275 0.481651554700007 0.492826843724856 0.440927585495976 0.469756941545325 0.402275486240784 0.369986819504186 0.352471195653122 0.458979268434374 0.400808162348643 0.484897178135985 0.425905274402661 0.423082362901452 0.471862558861512 0.506975890816181 0.366888365023471
"bhagavatapurana_skandha-02_u" 0.433375357136787 0.311186965331227 0 0.296249260283135 0.309968593788117 0.367458985379241 0.317761350282052 0.317431852194235 0.32956460477786 0.352264524544118 0.436103983561758 0.335953899766686 0.323681473855402 0.348410335741197 0.413767888417362 0.464828122940057 0.385989580118448 0.43353633785967 0.394183474449315 0.399808216938645 0.435529587508039 0.413347149279721 0.430141174783036 0.42131696130319 0.430034881722425 0.458166653083129 0.416876285342472 0.421042309109803 0.44202805121891 0.450565998073273 0.39686407212387 0.40468685486779 0.570825543849548 0.48374424132149 0.549364822216052 0.503086638266784 0.518424457962494 0.513717349188045 0.587432560581858 0.495276329057025 0.386445510243238 0.40293500979782 0.412898778312918 0.436259787731093 0.404026646547631 0.461548982146554 0.426329850494173 0.398034734799418 0.438899553011275 0.4167672148962 0.449598436394798 0.462691810463538 0.44377805625168 0.450511085200497 0.44399476424674 0.433537024601234 0.445014688198837 0.462204954200801 0.383482912388914 0.399802683387009 0.445236838208283 0.446322359123036 0.408697597580895 0.45713061786525 0.478985380535147 0.560263905076151 0.501958919778306 0.389343199100342 0.480524514377486 0.4091329917873 0.384920320587758 0.390055754173738 0.398949936781968 0.417796968919384 0.461327372442783 0.391944668604803 0.422686724633654 0.424368869166815 0.438461472044752 0.431057275854917 0.436552210210621 0.429634500573763 0.443063013751863 0.448189029043918 0.423231316919378 0.401555180520481 0.469590095976504 0.448956423971387 0.475337716280888 0.491580756902634 0.440123946791777 0.486698825162223 0.454390915228719 0.402643173797193 0.409948831252646 0.462259211176454 0.414298981807473 0.383446677932615 0.423955725234054 0.445423348916005 0.419647297620359 0.470748837407005 0.385542784057901 0.457602591953114 0.398621830491786 0.493853526412225 0.514882092977474 0.447014949491294 0.531623828275507 0.534248888588692 0.513996061546151 0.499943271493184 0.524121329144707 0.464207239796372 0.491998024938255 0.432937052537686 0.409056955865513 0.380787259503177 0.477100690931502 0.417109690416311 0.493830696622591 0.448160569837968 0.451546634764744 0.495319312140464 0.526388438757373 0.399326325213577
"bhagavatapurana_skandha-03_u" 0.405249994278579 0.281240104014078 0.296249260283135 0 0.20981786719229 0.317713066420338 0.286988323134127 0.29715032486905 0.29815321375235 0.323140569327748 0.364910316927681 0.247655822556974 0.247615171719654 0.291702696233917 0.38892281368738 0.446506853875066 0.362763297203147 0.408392489549531 0.367117531349013 0.331000691306295 0.42066831528737 0.389482108978518 0.404361292326839 0.404059143185389 0.407623090727886 0.444499661603392 0.346306386810685 0.376415231618453 0.391484953084632 0.395891067589243 0.322274886910861 0.378440142722923 0.557057023085725 0.434576476954055 0.517517493667912 0.462073772881065 0.495623429594502 0.474670218335335 0.564946468135549 0.453475296238606 0.374236372602959 0.386997810700977 0.387431632564548 0.416408221918075 0.327701500904714 0.407806023878882 0.362241256607329 0.316920063264165 0.371474190446165 0.346124808963596 0.389929715658929 0.407628984847415 0.380320403849771 0.387936910776422 0.37766337748085 0.369345056744366 0.39069034434567 0.408314549734425 0.303919733699948 0.320725967507946 0.385321899636687 0.389045560195078 0.337179060847709 0.402040622448008 0.42684315676943 0.525904872242433 0.466668912477555 0.357883037976084 0.460138603636487 0.387909223601344 0.352856394437788 0.36255944811343 0.379737646225476 0.38449923364124 0.442384876181476 0.332666338899668 0.391132260042235 0.418703638494119 0.374828904176126 0.355286305080129 0.373904123861012 0.372170060556869 0.374823013012929 0.383663672160214 0.35559160952283 0.38490897561097 0.45220717158482 0.417889795614306 0.456620329635389 0.476151421928404 0.411795329932551 0.475502850714038 0.43917557017156 0.373750210057521 0.388082701389734 0.448232584094497 0.391429544584245 0.354310814060647 0.388459557987676 0.443899827962885 0.391925506695199 0.459239973124231 0.343300280233611 0.441870709310234 0.365709524312083 0.493045559530397 0.509769405045079 0.433735065883461 0.525721956732484 0.527387371690655 0.502703369149009 0.497115430438379 0.519235001063244 0.456587957600651 0.48211279700561 0.414016121965088 0.38756183310528 0.317341433631992 0.447718180334461 0.39807614512367 0.48092340923565 0.425614531619056 0.434487957156664 0.476063571898115 0.519349092843003 0.371394332911594
"bhagavatapurana_skandha-04_u" 0.390729743126576 0.268761700693509 0.309968593788117 0.20981786719229 0 0.317097967286168 0.268722031283837 0.281886621708729 0.281679708731292 0.300997082586461 0.36812293081238 0.217871919024061 0.263804479360613 0.286621867937334 0.374789373018782 0.439755087919676 0.34319620778558 0.395361851205332 0.349432163590008 0.315339673912452 0.415138799975318 0.371875428159635 0.388936393932979 0.390786912614235 0.397431275561146 0.44178731040415 0.329316546214874 0.360204793363242 0.388505220231769 0.386350767449826 0.305284544993059 0.366098470997197 0.548514571810461 0.423532877745553 0.51694009223307 0.456461513575178 0.498551102719388 0.480607416410751 0.568973942047654 0.441064036756638 0.358437076152588 0.383728470518152 0.374065339292432 0.408620100049543 0.306208816012708 0.394713130832768 0.344549909243885 0.298155397597896 0.358960036192482 0.330122346103841 0.379189944919212 0.382611849959705 0.370702329450962 0.374808886898297 0.363461289210016 0.357099131454857 0.372800844895994 0.412505950518243 0.295643002776487 0.309218925241855 0.383436993211786 0.38209866093697 0.32301831232307 0.3837886484148 0.416942321872221 0.517421138510226 0.4527180635288 0.34411142203204 0.458046692805798 0.368976973226586 0.337369232818507 0.343602770932801 0.363809490156781 0.370031779381317 0.426037430623768 0.316026028027947 0.378656553126967 0.420237070855919 0.356851817283465 0.334510301982729 0.358512750900324 0.357562497883729 0.361031939230538 0.372023340707037 0.339940484664546 0.370158776375833 0.448870567831747 0.407470440319402 0.450012658463607 0.470149963240066 0.395462928851511 0.47423032177996 0.429967966863219 0.36395720530795 0.383714630604376 0.442077922693242 0.377689288115576 0.345030814435673 0.367705481231762 0.43628023364879 0.382612635248313 0.47178530086697 0.329665895639806 0.430646400397721 0.344819180527063 0.491152505247864 0.512027043527151 0.432903317544015 0.50799536195334 0.521107687799483 0.498689609891443 0.492235579554021 0.507213372095463 0.452312874475693 0.469507358371688 0.397218877400046 0.371529718944132 0.309927002079974 0.433839349171578 0.382930054230531 0.482471162309612 0.419553464957636 0.423029570587223 0.475432824487137 0.517099561093542 0.358976895154577
"bhagavatapurana_skandha-05_u" 0.437616161432916 0.359405162064992 0.367458985379241 0.317713066420338 0.317097967286168 0 0.358566255175765 0.374542670692571 0.358699969749506 0.389218759415312 0.400068793497332 0.33567281852905 0.34739983312821 0.348739553189582 0.426599746325607 0.479391218075418 0.40447244840515 0.42687566599467 0.403353367198493 0.402559459993582 0.46089521714168 0.438826466565304 0.438780427106266 0.435202185230182 0.446561383631863 0.474851450481265 0.410940330918366 0.438614773524808 0.442601938987603 0.442487974812077 0.387281422049114 0.431038792982169 0.569220915755684 0.456397106100156 0.53392506438523 0.470717487271723 0.524415836208541 0.499631611793434 0.567663417659969 0.481539076967545 0.424842769329943 0.434795659522813 0.433556644221999 0.451386159943742 0.396175204965554 0.453105489632487 0.417745127101091 0.386531763624953 0.43041451709861 0.40842132071775 0.444223291767154 0.46138928140873 0.438436025230361 0.442447511142756 0.437364077648182 0.42878704369351 0.436801510242939 0.447618679083813 0.381324516183043 0.393842472877151 0.434225960147137 0.441050297683897 0.406503809921837 0.454048487398375 0.476734971513357 0.560664728668303 0.509953851833435 0.413273633504005 0.496958457783394 0.44627196395613 0.409891338919763 0.393613809612056 0.422753444165555 0.43966956383281 0.47518565397824 0.392378183982724 0.418687141402526 0.42861297147576 0.433360308763453 0.417376489716547 0.424921329204504 0.421854127366472 0.426065632758244 0.435601503338423 0.41945237971165 0.42673552800303 0.483169203917246 0.452243328671183 0.469779371985825 0.519814436532286 0.457106611889305 0.473039809288432 0.486605646923212 0.427336921805092 0.428974318660489 0.481077065846275 0.443199745028703 0.391675160971361 0.42497623628533 0.472290066378149 0.438426748276462 0.511650456812995 0.406048877560941 0.479616514075125 0.409772975969411 0.519683170773555 0.529860374232446 0.480283906489829 0.511697017826989 0.54496130295577 0.526997691792778 0.51923190904553 0.537206959376304 0.481897580699888 0.524423375098273 0.447426171922194 0.421341814139873 0.384298700351358 0.472859969834553 0.453908150033335 0.499806417333256 0.464470717469211 0.423596517359192 0.49599797435578 0.546183704993991 0.404714932690276
"bhagavatapurana_skandha-06_u" 0.383687623205702 0.27465481822247 0.317761350282052 0.286988323134127 0.268722031283837 0.358566255175765 0 0.250146319975082 0.238821966402704 0.276581739764939 0.418744460187996 0.274558860513037 0.288270063701196 0.32816650470743 0.351497941900963 0.416185901699168 0.318927811681022 0.368291112043644 0.324902090796642 0.342167313270604 0.393841477807903 0.345094868375876 0.368856034174485 0.368095733157168 0.376847031700842 0.411462072404074 0.36155771481432 0.386744074129107 0.408151384406321 0.399194039324413 0.341913038249524 0.352273774324413 0.55898210704915 0.441164083571963 0.527846688327411 0.475709558270258 0.509795935083748 0.493890271145905 0.580191923748875 0.459694370361784 0.33173057869885 0.35785526634732 0.349088864525261 0.38792518488187 0.345263847245638 0.411034039613273 0.375417905066519 0.33538917146723 0.393960472656678 0.363170543849779 0.403833599959787 0.417329768180298 0.404577851518223 0.405900195347885 0.392848634937177 0.390593579662784 0.407569044610365 0.439552920882705 0.327607094306963 0.335211424487496 0.4069508189375 0.408892971533353 0.359514660980146 0.411474379627732 0.445033810622872 0.535433581540267 0.471126976755789 0.319041731049388 0.420325204944629 0.366845851769676 0.314792296533182 0.318069593992122 0.345693679929251 0.362136040483046 0.414938147006302 0.340347107716583 0.371010199202893 0.404065397712495 0.393015093557786 0.379616072056548 0.395847745011038 0.39223610434208 0.401845417552612 0.403830461934514 0.373565245996976 0.338898116103992 0.435183703175323 0.413556653145938 0.426713711176321 0.458779177610311 0.366925969127076 0.449732198619257 0.406010494785501 0.340326864474573 0.362179819467472 0.426190567786457 0.366047176321414 0.328993305486226 0.376853287845434 0.403028919215619 0.355599456067621 0.455704854785475 0.316660132074673 0.413640153633694 0.317283277622085 0.465228419231754 0.489138406099596 0.403112086969862 0.494726382082594 0.492775649969101 0.471854663827291 0.471057060079632 0.485628322141543 0.431923110997268 0.453516736887606 0.378535840010256 0.341732819369983 0.345953062989271 0.4473819838046 0.360548394599012 0.463948101052248 0.396541720859779 0.409308057463995 0.455155513535443 0.500429009156144 0.332445809038938
"bhagavatapurana_skandha-07_u" 0.389012288347872 0.282588551664569 0.317431852194235 0.29715032486905 0.281886621708729 0.374542670692571 0.250146319975082 0 0.273136941847505 0.298191375273132 0.411295959474736 0.292293853730437 0.287786791689107 0.341605338657004 0.36234487850765 0.426776409586444 0.334238078812343 0.382854538633557 0.340263038404848 0.356865904431208 0.404983457697284 0.35573500285633 0.378860304205071 0.376962948406045 0.373704342295531 0.417432302308471 0.378861084670545 0.400882083904936 0.429750061602943 0.424438436340189 0.359722323133034 0.357674779249616 0.561374804276989 0.464052129199368 0.541687863519941 0.496919503709951 0.522776968576663 0.502531148101238 0.589789527476108 0.475106557017772 0.351890289608104 0.36687555542485 0.364437526950659 0.393421453779376 0.365323013838582 0.431061887525747 0.390949402375627 0.356862087496713 0.408514073750735 0.380424597735452 0.427876590551331 0.428018670946426 0.420756343477935 0.423446792674356 0.416440270431935 0.405257005582203 0.426002669473641 0.452811213760204 0.33842475495815 0.358615604136652 0.407687565329228 0.4129173702052 0.370719040722417 0.426971222114158 0.455664911929094 0.535909818941445 0.481073564670932 0.332276410075219 0.437806352636612 0.377087319402027 0.330632991066443 0.331376616976947 0.351287896895579 0.364833957308504 0.424010453794468 0.357167446318676 0.374867310720556 0.401348284492027 0.413578136578905 0.397268091062171 0.409860858419935 0.407465311113478 0.420165406991963 0.422296595577086 0.390745262290847 0.348324465290612 0.434769525821588 0.416161213938956 0.429306571858426 0.461129900759836 0.382821063015966 0.455743378206648 0.420662254102377 0.35169860527376 0.371503286790281 0.424306320100495 0.375815907146967 0.331242604845146 0.382767564696831 0.410857517187353 0.372184616870507 0.461105950219492 0.336829895902367 0.415359607688963 0.338470147634385 0.478761420732771 0.498564931756889 0.421365626311579 0.509222210890355 0.502049345171702 0.485581880647166 0.469163813447965 0.489253970343014 0.443064630670931 0.451680512183895 0.387267808585582 0.359305967124588 0.349342141424 0.453741197175311 0.362239705483974 0.473378876200962 0.397097843744702 0.423977921700094 0.46115367846856 0.502166033521557 0.343079019374023
"bhagavatapurana_skandha-08_u" 0.385084487163932 0.292580117654059 0.32956460477786 0.29815321375235 0.281679708731292 0.358699969749506 0.238821966402704 0.273136941847505 0 0.276021996840519 0.419480629222333 0.263919961949533 0.324399683385986 0.330773499585571 0.348475487737588 0.41939769113522 0.319397652709139 0.365067747487937 0.324322684601994 0.347392122387765 0.404009607923081 0.352179428983511 0.37328081367637 0.368594135934926 0.387075162469889 0.418095119003167 0.360009321536511 0.387950227374139 0.401020628510512 0.382522499097232 0.341919692771337 0.348683295466531 0.559439646626281 0.449584859113902 0.533732475296258 0.476899643345702 0.517200801828043 0.503249890222096 0.57720470617055 0.459737720035679 0.331582964322966 0.372788575223996 0.352362921451157 0.38783559046915 0.356207517378879 0.40759862600071 0.380552007127866 0.346155871224408 0.397916308017623 0.377270748217992 0.405817692590469 0.421823376537704 0.401967648419379 0.403557634426233 0.394855140020186 0.399110272124181 0.417849056001092 0.467783556606768 0.352825318492234 0.355097811057182 0.425570127774292 0.419973482285304 0.375249617489805 0.42321914981673 0.448601620838816 0.543319028865233 0.478221735152038 0.337090378783638 0.418107242018785 0.376007206463742 0.328335630770639 0.313083709630025 0.348488530738913 0.368128922240551 0.409220716815839 0.342651019579143 0.365057269033479 0.407412100781532 0.399024616399589 0.39080356689326 0.398319592754489 0.390020195126406 0.395247494473986 0.392520191925552 0.372647044481482 0.337480961858451 0.430661231598479 0.417400857826077 0.424800423266257 0.46646748421534 0.368933665301014 0.4451235089792 0.406341888259287 0.349243016853306 0.36895010423974 0.431994706338192 0.353935540279911 0.339831656214345 0.376386540023538 0.417012189502197 0.359407937142987 0.474058790340618 0.313948672312681 0.413940999713848 0.313437940612891 0.476591704958161 0.504753739339636 0.409026840553699 0.481555558067876 0.502691325247433 0.475842619634174 0.482453232702562 0.484826805853015 0.436077339581974 0.455456726642685 0.382329547740214 0.343780114650359 0.354023271236983 0.446529265105382 0.366568605227439 0.471565664535517 0.407281550480611 0.408552735424742 0.453628838951496 0.504996068215429 0.339212666370911
"bhagavatapurana_skandha-09_u" 0.390457888734169 0.300777857390528 0.352264524544118 0.323140569327748 0.300997082586461 0.389218759415312 0.276581739764939 0.298191375273132 0.276021996840519 0 0.431056664792562 0.283650103474921 0.353348426213001 0.352948211838392 0.355630515229468 0.423533422305574 0.315098574039585 0.384897272665805 0.334295068512483 0.362786044877524 0.418094815953014 0.355350125603574 0.39200052135772 0.383902878591197 0.395734970033427 0.430025306118355 0.372021912368064 0.396224818720381 0.438295760317171 0.417008315280382 0.34425104637059 0.352518434783131 0.569194436722837 0.427982984659128 0.532574272975307 0.474851441097901 0.521534622642494 0.502347895506118 0.578841862302677 0.450229654832712 0.350587384341601 0.386147469777705 0.375097133535303 0.405055878193357 0.344258629700634 0.411708036796494 0.381146494888712 0.345198553060618 0.391479279153335 0.36981117090188 0.413223381426369 0.414931407278053 0.404307651804496 0.408329259999814 0.392471038205401 0.396661236469944 0.413166142081628 0.476613258293192 0.359703675437517 0.3591110039329 0.437206234814808 0.432988267639496 0.376343191218138 0.410985171781048 0.43850799259037 0.536026906801272 0.478231745540434 0.323056446288912 0.443098551841835 0.357969901885985 0.319330781389217 0.336264100333933 0.364989869364123 0.367124277004731 0.41856426163235 0.352070490788688 0.38440837601358 0.423373030209955 0.377519555176221 0.372201437097245 0.400116876017928 0.390454397362558 0.401566091420479 0.409192704079979 0.37251115857367 0.360989524228575 0.45005924525256 0.429755061745527 0.434376160110148 0.468567531658471 0.386098061182597 0.465525808717488 0.417451337704037 0.356016840277806 0.38491746947364 0.448675378681287 0.381219941462041 0.346661816551747 0.386655569446644 0.438603792904888 0.369739230000349 0.48381619562699 0.338743285943153 0.415192460883158 0.327745441242315 0.488697703109049 0.517648458555345 0.419391584726102 0.505496365043403 0.50340138647418 0.476498797934925 0.482270204267619 0.464418700959834 0.451437358643957 0.45833120434777 0.392661429301921 0.35921544240645 0.38691858521537 0.465779112261331 0.389073919158003 0.477707210446611 0.422694362555833 0.377533215269409 0.47359791451344 0.51319365056318 0.342100684452196
