Source,Target,Weight,Type
agnipurana_u,garudapurana_khanda-1_u,6,undirected
agnipurana_u,matsyapurana_pu,3,undirected
agnipurana_u,naradapurana_khanda-1_u,4,undirected
agnipurana_u,sivadharmottara,2,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-02_u,3,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-04_u,2,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-06_u,1,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-10_u,3,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-01_u,3,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-03_u,2,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-08_u,1,undirected
bhagavatapurana_skandha-02_u,vayupurana_09_upasamhara_iast,1,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-02_u,2,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-04_u,5,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-05_u,2,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,1,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-10_u,2,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-11_u,4,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-12_u,3,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-01_u,2,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-03_u,5,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-05_u,3,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-06_u,2,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-08_u,1,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-09_u,1,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,2,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-10_u,5,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-11_u,2,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-12_u,2,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-03_u,2,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-04_u,3,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-10_u,1,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-01_u,1,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-04_u,2,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-07_u,3,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-08_u,5,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-10_u,1,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-06_u,3,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-08_u,2,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-11_u,1,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-02_u,1,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-04_u,1,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-06_u,5,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-07_u,2,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-09_u,2,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-10_u,3,undirected
bhagavatapurana_skandha-09_u,bhagavatapurana_skandha-04_u,1,undirected
bhagavatapurana_skandha-09_u,bhagavatapurana_skandha-08_u,2,undirected
bhagavatapurana_skandha-09_u,bhagavatapurana_skandha-10_u,3,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,bhagavatapurana_skandha-03_u,1,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,bhagavatapurana_skandha-04_u,2,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,bhagavatapurana_skandha-10_u,3,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-01_u,3,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-03_u,2,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-04_u,5,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-05_u,1,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-06_u,1,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-08_u,3,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-09_u,3,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,3,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-11_u,2,undirected
bhagavatapurana_skandha-10_u,harivamsa,3,undirected
bhagavatapurana_skandha-10_u,mahabharata_03-aranyakaparvan,1,undirected
bhagavatapurana_skandha-11_u,bhagavatapurana_skandha-03_u,4,undirected
bhagavatapurana_skandha-11_u,bhagavatapurana_skandha-04_u,2,undirected
bhagavatapurana_skandha-11_u,bhagavatapurana_skandha-07_u,1,undirected
