Source,Target,Weight,Type
agnipurana_u,garudapurana_khanda-1_u,20,undirected
agnipurana_u,matsyapurana_pu,4,undirected
agnipurana_u,naradapurana_khanda-1_u,24,undirected
agnipurana_u,sivadharmottara,5,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-02_u,5,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-04_u,9,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-06_u,5,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-07_u,4,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-10_u,17,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-01_u,5,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-03_u,12,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-04_u,7,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-02_u,12,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-04_u,24,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-05_u,9,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,8,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-10_u,14,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-11_u,17,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-12_u,4,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-01_u,9,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-02_u,7,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-03_u,24,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-05_u,11,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-06_u,3,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,4,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-10_u,20,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-11_u,11,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-12_u,8,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-03_u,9,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-04_u,11,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-10_u,4,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-01_u,5,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-04_u,3,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-07_u,20,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-08_u,24,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-09_u,8,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-01_u,4,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-06_u,20,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-08_u,11,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-06_u,24,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-07_u,11,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-09_u,13,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-10_u,8,undirected
bhagavatapurana_skandha-09_u,bhagavatapurana_skandha-06_u,8,undirected
bhagavatapurana_skandha-09_u,bhagavatapurana_skandha-08_u,13,undirected
bhagavatapurana_skandha-09_u,bhagavatapurana_skandha-10_u,4,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,bhagavatapurana_skandha-03_u,8,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,bhagavatapurana_skandha-04_u,4,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,bhagavatapurana_skandha-10_u,12,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-01_u,17,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-03_u,14,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-04_u,20,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-05_u,4,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-08_u,8,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-09_u,4,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,12,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-11_u,4,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-12_u,12,undirected
bhagavatapurana_skandha-11_u,bhagavatapurana_skandha-03_u,17,undirected
bhagavatapurana_skandha-11_u,bhagavatapurana_skandha-04_u,11,undirected
bhagavatapurana_skandha-11_u,bhagavatapurana_skandha-10_u,4,undirected
bhagavatapurana_skandha-12_u,bhagavatapurana_skandha-03_u,4,undirected
bhagavatapurana_skandha-12_u,bhagavatapurana_skandha-04_u,8,undirected
bhagavatapurana_skandha-12_u,bhagavatapurana_skandha-10_u,12,undirected
bhavisyapurana,brahmandapurana_khanda-2_u,4,undirected
bhavisyapurana,devibhagavatapurana,24,undirected
bhavisyapurana,devipurana,4,undirected
bhavisyapurana,garudapurana_khanda-1_u,4,undirected
bhavisyapurana,garudapurana_khanda-2_u,12,undirected
bhavisyapurana,garudapurana_khanda-3_u,8,undirected
bhavisyapurana,kalikapurana,12,undirected
bhavisyapurana,matsyapurana_pu,4,undirected
bhavisyapurana,naradapurana_khanda-1_u,15,undirected
bhavisyapurana,naradapurana_khanda-2_u,8,undirected
bhavisyapurana,nilamatapurana_au,7,undirected
bhavisyapurana,padmapurana_a,4,undirected
bhavisyapurana,saurapurana,5,undirected
bhavisyapurana,sivapurana_rudrasamhita,4,undirected
bhavisyapurana,sivapurana_umasamhita,4,undirected
bhavisyapurana,sivapurana_vayaviyasamhita_au,7,undirected
bhavisyapurana,sivapurana_vidyesvarasamhita_au,6,undirected
bhavisyapurana,vayupurana_07_shraddha-kalpa_iast,4,undirected
bhavisyapurana,vayupurana_10_gaya-mahatmya_iast,3,undirected
bhavisyapurana,vayupurana_revakhanda,8,undirected
brahmandapurana_khanda-1_u,brahmandapurana,12,undirected
brahmandapurana_khanda-1_u,matsyapurana_pu,4,undirected
brahmandapurana_khanda-1_u,vayupurana_05_jyotis-and-purvardha-close_iast,8,undirected
brahmandapurana_khanda-1_u,vayupurana,8,undirected
brahmandapurana_khanda-2_u,bhavisyapurana,4,undirected
brahmandapurana_khanda-2_u,brahmandapurana,20,undirected
brahmandapurana_khanda-2_u,markandeyapurana,8,undirected
brahmandapurana_khanda-3_u,brahmandapurana,24,undirected
brahmandapurana_khanda-3_u,matsyapurana_pu,8,undirected
brahmandapurana_khanda-3_u,naradapurana_khanda-1_u,4,undirected
brahmandapurana,brahmandapurana_khanda-1_u,12,undirected
brahmandapurana,brahmandapurana_khanda-2_u,20,undirected
brahmandapurana,brahmandapurana_khanda-3_u,24,undirected
brahmandapurana,markandeyapurana_adhyaya-81-93_devimahatmya_u,8,undirected
brahmandapurana,matsyapurana_pu,14,undirected
brahmandapurana,sivapurana_dharmasamhita,1,undirected
brahmandapurana,skandamahapurana_kasikhanda,1,undirected
brahmandapurana,vayupurana_04_bhuvana-vinyasa_iast,4,undirected
brahmandapurana,vayupurana_09_upasamhara_iast,5,undirected
brahmandapurana,vayupurana,8,undirected
brahmandapurana,visnupurana_amsa-4_u,4,undirected
brahmapurana_pu,karatoyamahatmya_pu,4,undirected
brahmapurana_pu,mahabharata_03-aranyakaparvan,4,undirected
brahmapurana_pu,mahabharata_13-anusasanaparvan,8,undirected
brahmapurana_pu,mahabharata_14-appendix-04_vaisnavadharma,4,undirected
brahmapurana_pu,nrsimhapurana_pu,24,undirected
brahmapurana_pu,sivapurana_karvanamahatmya_au,2,undirected
brahmapurana_pu,skandamahapurana_revakhanda,12,undirected
brahmapurana_pu,vamanapurana_saromahatmya_u,9,undirected
brahmapurana_pu,visnudharma_pu,8,undirected
brahmapurana_pu,visnudharmottarapurana_khanda-3_adhyaya-343-353_pu,7,undirected
devibhagavatapurana_devigita_adhyaya-31-40,devibhagavatapurana,4,undirected
devibhagavatapurana_devigita_adhyaya-31-40,kalikapurana,12,undirected
devibhagavatapurana_devigita_adhyaya-31-40,naradapurana_khanda-1_u,8,undirected
devibhagavatapurana,bhavisyapurana,24,undirected
devibhagavatapurana,devibhagavatapurana_devigita_adhyaya-31-40,4,undirected
devibhagavatapurana,garudapurana_khanda-3_u,12,undirected
devibhagavatapurana,kalikapurana,6,undirected
devibhagavatapurana,naradapurana_khanda-2_u,12,undirected
devibhagavatapurana,padmapurana_a,8,undirected
devibhagavatapurana,saurapurana,5,undirected
devibhagavatapurana,sivapurana_dharmasamhita,3,undirected
devibhagavatapurana,sivapurana_karvanamahatmya_au,2,undirected
devibhagavatapurana,sivapurana_rudrasamhita,20,undirected
devibhagavatapurana,sivapurana_umasamhita,14,undirected
devipurana,bhavisyapurana,4,undirected
devipurana,kalikapurana,8,undirected
devipurana,matsyapurana_pu,12,undirected
devipurana,sivadharmasastra,3,undirected
garudapurana_khanda-1_u,agnipurana_u,20,undirected
garudapurana_khanda-1_u,bhavisyapurana,4,undirected
garudapurana_khanda-1_u,garudapurana_khanda-2_u,8,undirected
garudapurana_khanda-1_u,naradapurana_khanda-1_u,13,undirected
garudapurana_khanda-2_u,bhavisyapurana,12,undirected
garudapurana_khanda-2_u,garudapurana_khanda-1_u,8,undirected
garudapurana_khanda-2_u,naradapurana_khanda-1_u,4,undirected
garudapurana_khanda-3_u,bhavisyapurana,8,undirected
