"agnipurana_u" "bhagavatapurana_skandha-01_u" "bhagavatapurana_skandha-02_u" "bhagavatapurana_skandha-03_u" "bhagavatapurana_skandha-04_u" "bhagavatapurana_skandha-05_u" "bhagavatapurana_skandha-06_u" "bhagavatapurana_skandha-07_u" "bhagavatapurana_skandha-08_u" "bhagavatapurana_skandha-09_u" "bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary" "bhagavatapurana_skandha-10_u" "bhagavatapurana_skandha-11_u" "bhagavatapurana_skandha-12_u" "bhavisyapurana_brahmaparvan_adhyaya-5" "bhavisyapurana" "brahmandapurana_khanda-1_u" "brahmandapurana_khanda-2_u" "brahmandapurana_khanda-3_u" "brahmandapurana" "brahmapurana_pu" "devibhagavatapurana_u" "devibhagavatapurana" "devipurana" "garudapurana_khanda-1_u" "garudapurana_khanda-2_u" "garudapurana_khanda-3_u" "kalikapurana" "karatoyamahatmya_pu" "kurmapurana_khanda-1_u" "kurmapurana_khanda-2_u" "lingapurana_khanda-1_u" "lingapurana_khanda-2_u" "mahabharata_01-adiparvan" "mahabharata_02-sabhaparvan" "mahabharata_03-aranyakaparvan" "mahabharata_04-virataparvan" "mahabharata_05-udyogaparvan" "mahabharata_06-bhismaparvan" "mahabharata_07-dronaparvan" "mahabharata_08-karnaparvan" "mahabharata_09-salyaparvan" "mahabharata_10-sauptikaparvan" "mahabharata_11-striparvan" "mahabharata_12-santiparvan" "mahabharata_13-anusasanaparvan" "mahabharata_14-asvamedhikaparvan" "mahabharata_15-asramavasikaparvan" "mahabharata_16-mausalaparvan" "mahabharata_17-mahaprasthanikaparvan" "mahabharata_18-svargarohanaparvan" "markandeyapurana_adhyaya-1-93_u" "matsyapurana_adhyaya-1-32_pu" "matsyapurana_adhyaya-176_pu" "naradapurana_khanda-1_u" "naradapurana_khanda-2_u" "nilamatapurana_au" "nrsimhapurana_pu" "padmapurana_a" "pranavakalpa" "ramayana_01-balakanda" "ramayana_02-ayodhyakanda_a" "ramayana_03-aranyakanda_a" "ramayana_04-kiskindhakanda" "ramayana_05-sundarakanda" "ramayana_06-yuddhakanda" "ramayana_07-uttarakanda" "saurapurana" "sivapurana_dharmasamhita" "sivapurana_karvanamahatmya_au" "sivapurana_rudrasamhita" "sivapurana_sanatkumarasamhita" "sivapurana_satarudrasamhita_au" "sivapurana_umasamhita" "sivapurana_vayaviyasamhita_au" "sivapurana_vidyesvarasamhita_au" "skandamahpurana_kasikhanda" "skandapurana_adhyaya-1-31_pu" "skandapurana_himavatkhanda_au" "skandapurana_pasupata_adhyaya174-183_u" "skandapurana_revakhanda" "skandapurana" "sutasamhita_khanda-4_iast" "vamanapurana_saromahatmya_u" "vamanapurana_u" "vayu_ba" "vayupurana_01_frame-and-cosmogony_iast" "vayupurana_02_pashupata-yoga_iast" "vayupurana_03_kalpas-and-shiva-lineages_iast" "vayupurana_04_bhuvana-vinyasa_iast" "vayupurana_05_jyotis-and-purvardha-close_iast" "vayupurana_06_prthu-and-prajapati-lineages_iast" "vayupurana_07_shraddha-kalpa_iast" "vayupurana_08_manu-candra-vishnu-vamsha_iast" "vayupurana_09_upasamhara_iast" "vayupurana_10_gaya-mahatmya_iast" "vayupurana_revakhanda" "vayupurana" "visnudharma_pu" "visnudharmottarapurana_khanda-3_adhyaya-343-353_pu" "visnupurana_u"
"agnipurana_u" 0 0.716847945267403 0.725553869440818 0.725734075879634 0.73189420450753 0.732062877320699 0.740463666542509 0.74974571599908 0.742441067552338 0.738191102002872 0.756843820299844 0.737054743403376 0.729244355924555 0.681916367515348 0.691749054021907 0.628963939350064 0.682419853547654 0.664227888773183 0.626352649639984 0.679549694573969 0.656396842756272 0.689024162341336 0.65652746095426 0.615626511695082 0.590735108777388 0.643169811890107 0.695658649372754 0.657369291270129 0.75252215998286 0.651793463150067 0.648967745702385 0.653859902391526 0.627339329484311 0.702571566397917 0.705203993801536 0.702186846564163 0.702205290256608 0.707509923415576 0.70136484037517 0.695714620760575 0.694756820726092 0.705310580732714 0.694468874124507 0.708683790654893 0.688736421836872 0.686455971679821 0.701619948268834 0.72715380250172 0.735202239335314 0.750302228322783 0.730271099814064 0.681184312429556 0.666034299943673 0.649740950131253 0.592376729802114 0.697967830305747 0.685327480125913 0.68628084211769 0.685987344615684 0.734789618043135 0.698344842435597 0.700851327411523 0.708876564647726 0.703901804718111 0.709910864234501 0.695357259941456 0.717231418083517 0.664896399694851 0.673846356492878 0.70207042140889 0.699739742464075 0.657103633270029 0.731940181878191 0.630540512313661 0.649887830313595 0.627493961197616 0.707890292109895 0.70486399786704 0.699487643630062 0.663952299213848 0.664734721904725 0.694003123597733 0.670782004894991 0.684753520283304 0.671627803444432 0.686080820529342 0.686917334122288 0.698798553429947 0.694930807398529 0.7039765220056 0.682541810040559 0.705998191699821 0.68980893194732 0.699455040795606 0.685986542563272 0.647672132498841 0.684721141387589 0.673242078174286 0.661096209457916 0.703310889871224 0.656559332142265
"bhagavatapurana_skandha-01_u" 0.716847945267403 0 0.356120236020749 0.311417219449764 0.250459404263277 0.374360753449927 0.323127829913428 0.347863216819075 0.334938955194534 0.366154777412339 0.542067984396364 0.284160349728917 0.365101123861676 0.34868352380231 0.652877087875404 0.461275237091122 0.584786090308519 0.492966973655937 0.519862053491549 0.579766223761659 0.451028174103677 0.515208765593244 0.428340949359809 0.516471755819373 0.544158724708216 0.46104068937831 0.576279398418316 0.45405483946716 0.585391077313031 0.451011071104831 0.497411749743329 0.546056233623981 0.541297791601216 0.44310923779654 0.441184379876317 0.430519509064837 0.421405019088012 0.432875691022151 0.483016994290099 0.474070808384836 0.450359199423219 0.517802792220875 0.458961398404921 0.421388018609624 0.429389257557206 0.459180031783733 0.459387862447412 0.514567163559429 0.561845281650279 0.579930740114359 0.538948135534074 0.43414812303696 0.482858576239964 0.455174174881337 0.464811733101921 0.434966578281724 0.604426113609334 0.426095973216568 0.403878793481934 0.584408324755566 0.496670672884074 0.463402585174555 0.442643342386362 0.463071880585214 0.473127147147499 0.448079257187322 0.461263333374744 0.433803758942209 0.419916507534665 0.526520964159884 0.445553854295971 0.471817880013415 0.442060417757344 0.475520452392723 0.46345032837199 0.529472768576833 0.417886981283807 0.522409708593998 0.51626706296569 0.514318983331646 0.471173019800787 0.45934965050942 0.564258321944142 0.497758197474887 0.474646435337229 0.576955002849728 0.597745720395344 0.615004088660153 0.556928095915031 0.64550968868005 0.601731741285311 0.635568832980065 0.597943393833649 0.570864921035764 0.590050095152539 0.506892991392566 0.430146286154389 0.555177876964353 0.465305803320491 0.463897572200128 0.420106923836255
"bhagavatapurana_skandha-02_u" 0.725553869440818 0.356120236020749 0 0.345940271313034 0.355800691899623 0.413691274038193 0.394151908361271 0.384991216437199 0.425312099856657 0.422240074359315 0.541844206351217 0.397364351285554 0.340798462738102 0.399188213940401 0.677926131636476 0.494253686016407 0.616461766726754 0.554764782389846 0.541478783036272 0.611130914973685 0.517506761187641 0.492386682425559 0.476857245133099 0.526275934451701 0.551754299739119 0.474727601316753 0.581376927049274 0.513729561479775 0.567457687038756 0.500599482816633 0.498980665330522 0.579232248474354 0.566668720612338 0.527524309741697 0.535285001032948 0.524892819086044 0.519060974203388 0.514405989496066 0.582243921506125 0.566251824295568 0.567778913108148 0.617460151777017 0.524417565216951 0.527126182077931 0.503371070499338 0.514197369902205 0.530188611538966 0.588823418815265 0.610313955295866 0.619552627921375 0.584507273828678 0.491941693340794 0.548638695026397 0.523137444326704 0.482870160635036 0.448504169556202 0.651306170565819 0.489631316014002 0.476161182918072 0.589554543379608 0.563637108007768 0.543581861677063 0.528013457858058 0.540378949006473 0.545076940083744 0.556376102226721 0.561450337550834 0.443606275362533 0.484153579894482 0.563406772640964 0.506659710225477 0.513405462992032 0.502983313691184 0.494902626307534 0.500245018812633 0.540490199131254 0.428882184170466 0.589445749169976 0.602608469375835 0.543890232276521 0.517365283480814 0.555100166327505 0.567071874458571 0.520061987881868 0.547169480681874 0.617286467896636 0.618678343503741 0.598766037592394 0.586243542880449 0.661545049966263 0.63581227107624 0.659192433602742 0.617631814458875 0.63444543784069 0.61070787398809 0.537750356419561 0.481971783682894 0.594881057395325 0.475723746215413 0.53498018457227 0.471500512251469
"bhagavatapurana_skandha-03_u" 0.725734075879634 0.311417219449764 0.345940271313034 0 0.252738696571743 0.383750472087345 0.343974588839674 0.34856170358491 0.355516857600698 0.367846428993485 0.529690540213983 0.29858942980893 0.376608467117594 0.376263817094693 0.662329205120093 0.460545462207454 0.579391078564387 0.492881802758102 0.508963542967314 0.570723400536671 0.478173677459761 0.526693285720441 0.465984328616227 0.494699374831315 0.539365655865831 0.490021759735249 0.582398761871195 0.460191385855857 0.58137750322121 0.450698946730974 0.502965843495204 0.540673415479809 0.550561775469679 0.498584383073986 0.506406474865351 0.488360556646965 0.485768910840473 0.4772244453065 0.52635839921072 0.515641615965653 0.501613880549757 0.562125334993735 0.493621503039336 0.487547124659584 0.472632624015649 0.485980123889859 0.503265910467594 0.560206420947196 0.584238293690457 0.607891549822586 0.570809824148708 0.465657780072817 0.495080554425107 0.472837861345545 0.464227161130222 0.452757678770735 0.631789674397018 0.430047260775482 0.438213397692181 0.572258814674663 0.522182160339833 0.504663086448664 0.489076331266763 0.513608209480662 0.527257762207762 0.493664183112835 0.50786873106921 0.432075585098614 0.43899082703125 0.568002735845147 0.439408061106523 0.477873246023922 0.45104347096114 0.465563099139215 0.482934289874421 0.542008998211302 0.434769745628604 0.530478523753942 0.547215092367834 0.530066479221129 0.502493143992944 0.482235151086219 0.580031025243266 0.488904893646991 0.46739453455375 0.575136138041622 0.575595022037418 0.608806483820754 0.549114615555178 0.652295210975064 0.603684927652034 0.632417372227558 0.587955589443918 0.582809807716884 0.57427825349983 0.51622245508003 0.471986528405118 0.554404801230857 0.450129197713709 0.508416235698621 0.440744556958484
"bhagavatapurana_skandha-04_u" 0.73189420450753 0.250459404263277 0.355800691899623 0.252738696571743 0 0.353774088518681 0.322244679550764 0.319875309709862 0.318173940393118 0.344671862586478 0.517109679414778 0.274544665042039 0.348217769169435 0.374646851216278 0.665616807756899 0.46357146023868 0.599740713554204 0.496091067798039 0.529933206566168 0.586705027954054 0.45720724901194 0.505374278099452 0.447024111328451 0.507702825664907 0.563740671086704 0.471959880292547 0.572944066005359 0.475502699079489 0.582556026148986 0.444761232744176 0.506141201707693 0.551455899863351 0.547604892638848 0.479376289936738 0.475686220038956 0.46367631773767 0.467057663855845 0.458293288057061 0.508754778061881 0.489573889078378 0.484036724720659 0.545674229914006 0.47179224012649 0.443536194164762 0.445082802653534 0.471995035067567 0.491527124999053 0.548722169956263 0.585342662544798 0.604523989161426 0.553348064398932 0.460397468345851 0.49928878679079 0.474726848962702 0.467547460639846 0.424753603716966 0.632513742687407 0.431183622615414 0.425380296929283 0.5710007394194 0.501222715147831 0.484350982869027 0.457034406505097 0.478149050225306 0.490424648126372 0.457723415548395 0.477722043849629 0.424134991322378 0.414960929278858 0.553003489436108 0.459077561497015 0.476911437352785 0.466242752102911 0.466022938406052 0.473661773284248 0.537332847528543 0.406929312295807 0.541434831021335 0.541844504445874 0.521902135429435 0.492255952757912 0.471619768354573 0.56651848297882 0.4893931014269 0.467875171548134 0.583399120818101 0.60664459788233 0.615893088331566 0.567369456244554 0.658082027445595 0.615504945090448 0.642089904934225 0.598164913369501 0.576839503774064 0.590307802655317 0.516458053399225 0.469590019109108 0.557654903402549 0.439169700813814 0.525562431252637 0.444336104695971
"bhagavatapurana_skandha-05_u" 0.732062877320699 0.374360753449927 0.413691274038193 0.383750472087345 0.353774088518681 0 0.364705159689986 0.395367990035778 0.439472084850898 0.399405776766311 0.491196820808182 0.364393481748231 0.411272492677897 0.365345755049147 0.654189172643464 0.441497718649219 0.582499852164834 0.505295987814299 0.493450231827984 0.576205912965594 0.50133380596876 0.502934000363422 0.485055415497346 0.498597802829144 0.518961391067843 0.479251324052733 0.558120646355627 0.484039368668341 0.559498302288435 0.478953788820269 0.514130434903962 0.525072796545839 0.495242955537136 0.529585519070464 0.541231725824707 0.519504981188805 0.53978405576669 0.51476717566923 0.568102381044648 0.569218574137361 0.560508674618373 0.587458235850418 0.543666530690474 0.517681748763438 0.49743709341957 0.522787131940772 0.532513961428683 0.577947578524162 0.5933576106667 0.641028762091606 0.596666144406381 0.482203195514997 0.537882730220016 0.486169061664703 0.452065927930253 0.503273320806225 0.630956049129114 0.462853729233379 0.444957699127795 0.525014085183156 0.568266775104874 0.550272787405396 0.547569975491221 0.572019608824107 0.578637199299204 0.563880663897623 0.560097108497757 0.41470132968668 0.459537371797177 0.605710991168343 0.479208729776005 0.475581406127923 0.496265041262569 0.481026989662864 0.463490173856208 0.477770584438187 0.41136300350082 0.568267581374936 0.587450596089105 0.557996086103209 0.516151851572903 0.522815030439404 0.546009365814423 0.530504910974274 0.513092168265937 0.581499255882611 0.612862679162749 0.586598218687582 0.550832932222967 0.634663270540025 0.605039771609887 0.626955039708398 0.58009248498734 0.587003584907126 0.58553400600057 0.531769055064359 0.490418506562239 0.551600697198591 0.510718717094017 0.520842207171004 0.442901480114813
"bhagavatapurana_skandha-06_u" 0.740463666542509 0.323127829913428 0.394151908361271 0.343974588839674 0.322244679550764 0.364705159689986 0 0.237074868230932 0.280967475712672 0.342642703110546 0.538474538886719 0.282212873390743 0.289564482470735 0.354004800987965 0.667765197653861 0.457030119267187 0.5754398337614 0.473184161587041 0.508635137542241 0.561998899012255 0.453921965552858 0.481388271458823 0.429522986899173 0.523576906127232 0.538664373790704 0.422802474591445 0.539196763838128 0.463480387339532 0.562572496703733 0.463407300726256 0.478907698458722 0.527009440885882 0.549512914776974 0.429573154620514 0.426059313048067 0.41665469990207 0.418532130763441 0.404277623329375 0.517370917917553 0.505331206585513 0.499081907098941 0.538483380783427 0.446353672811579 0.43418688405072 0.389735153156164 0.412888725460104 0.442569541689745 0.5138655298415 0.547280978085058 0.555345493210377 0.535583425343791 0.443067256996669 0.477126621637837 0.451135571874009 0.484487993546547 0.420434261245588 0.610211786581603 0.414292992809666 0.411390205697049 0.606093332874465 0.493639238279919 0.479853494375768 0.494842017358379 0.484055553086226 0.500928618356695 0.499313779791352 0.472775387122998 0.402162074066276 0.44492219794118 0.522930721089196 0.4324374265457 0.481548392482296 0.422009847306871 0.462493319794229 0.472880778965579 0.530428281781261 0.404956796205302 0.523114245347241 0.545834266362033 0.537388853097578 0.462551293002853 0.462950604915053 0.55940718456143 0.481994538776519 0.461958089697093 0.559367041855579 0.585707282363667 0.571732233797208 0.532995520829608 0.650148210911943 0.588114429365176 0.618225963096381 0.585056508334278 0.567680686886557 0.562213491952478 0.52547809592425 0.40301170176337 0.538698735500032 0.4493471569597 0.482536909392008 0.401416132504329
"bhagavatapurana_skandha-07_u" 0.74974571599908 0.347863216819075 0.384991216437199 0.34856170358491 0.319875309709862 0.395367990035778 0.237074868230932 0 0.279070486163241 0.351518233011158 0.532012891907154 0.269296037880417 0.290499604276913 0.380459647035717 0.67911292359208 0.50335598501861 0.618773449960397 0.539621232588906 0.544041799484966 0.607592791310521 0.514241923672558 0.490507966696587 0.458157086679645 0.547365893069114 0.576109737456446 0.470008211225092 0.555767930330607 0.520112144326571 0.562085218658411 0.508235601876856 0.52562069522775 0.568298400040889 0.561840545616515 0.482969133356334 0.474454298939352 0.479718819464064 0.473170833262906 0.462770789714063 0.565439152620001 0.551876675030113 0.547984172595401 0.600778737175078 0.495082445961835 0.467921908972735 0.438444362223497 0.4661024732698 0.487366045913113 0.562629197098773 0.609400359771305 0.586480442352827 0.564663697090908 0.489174829960507 0.53359973065541 0.518485865927986 0.517796953174364 0.46012742397159 0.638094041852648 0.466091757752401 0.46023327242859 0.590170226763822 0.563001967875069 0.521245680489829 0.523647464004451 0.526703475977123 0.540771093254168 0.541394973049426 0.543016466524751 0.446136863907452 0.489349688542788 0.575646729715288 0.474443438031151 0.526244038366784 0.458749995025286 0.494158405155768 0.522244048649647 0.544895143348447 0.444612808881639 0.563049909973999 0.554225659826052 0.56722291136047 0.507325506689799 0.53338508163536 0.569941473363193 0.528903507873044 0.528503599046154 0.614918151932875 0.633075522377624 0.615847445446642 0.588222837808594 0.676811364659947 0.638380269836334 0.661057033984151 0.612404506210592 0.621681453027521 0.619425811970306 0.55020621979406 0.448800611960821 0.59554001112404 0.480518736598539 0.514519718850932 0.439649526997668
"bhagavatapurana_skandha-08_u" 0.742441067552338 0.334938955194534 0.425312099856657 0.355516857600698 0.318173940393118 0.439472084850898 0.280967475712672 0.279070486163241 0 0.322795722943119 0.5694720339386 0.249114055856845 0.362754173935785 0.385595640055126 0.689511483339846 0.45865414493597 0.599759982198523 0.486672878837309 0.503067724501775 0.580076703341041 0.441676083280037 0.490575542900729 0.415771021286334 0.507342778451083 0.553828839806692 0.46291670250279 0.563913750464895 0.46929812894724 0.565538177038077 0.422177870150063 0.518482662658456 0.531856972994677 0.540862778056336 0.418982249721466 0.445475205680036 0.41595135831412 0.447266594862722 0.461939802364958 0.493975666770655 0.485598880104839 0.492499461898999 0.537485681759193 0.440620831308126 0.447215910821064 0.450009403774771 0.448989842267339 0.453314711296645 0.513302171005882 0.557250295331708 0.582929629607934 0.527089770838762 0.442204475190349 0.490661038004463 0.472186355230124 0.503085986277052 0.464903806184893 0.60106188804224 0.394071253781241 0.38717421124974 0.587773593056346 0.490033540220066 0.487260558528789 0.465918110367138 0.486753492363715 0.504449193111186 0.46578764080171 0.466675717561287 0.399584754155716 0.442523136179551 0.50401447867944 0.414787536191573 0.456670467154684 0.396387940946084 0.469867028703203 0.485983440114569 0.549826991626823 0.431660407906314 0.485868129128755 0.519463487879212 0.53709428729688 0.442129291706798 0.453065802480315 0.564089154627751 0.447237035434631 0.451495144677568 0.587385795029172 0.610148960167701 0.626073894319119 0.547217096430414 0.651009505699976 0.62123457204029 0.639219591641326 0.602854257541938 0.571753171492768 0.598738338954929 0.535366380012585 0.391526494865631 0.559330881059399 0.478196462652056 0.465343070369303 0.399254996648161
"bhagavatapurana_skandha-09_u" 0.738191102002872 0.366154777412339 0.422240074359315 0.367846428993485 0.344671862586478 0.399405776766311 0.342642703110546 0.351518233011158 0.322795722943119 0 0.567302616488761 0.283128199475449 0.422424726764261 0.331268714248732 0.665750522696752 0.436684886292513 0.576954554789946 0.454961705797597 0.492747574097458 0.559812704347495 0.447711998287143 0.483018703064527 0.433131288063857 0.531869982355579 0.527144346955672 0.459978801120163 0.555532753324321 0.451828154015373 0.592545717728551 0.438523516502143 0.511968005902021 0.531610440586463 0.525950318219722 0.455353532533656 0.482273031122806 0.457713100782422 0.476498915051473 0.483616835316582 0.508542182520445 0.491001876393536 0.498985811410542 0.531705173769953 0.470999580270007 0.475717839733699 0.46170361892407 0.484642039153229 0.478513709111608 0.537031931351575 0.534634217828295 0.602411688127969 0.562113792287674 0.439363030312361 0.487158840451011 0.454351319390225 0.474205781095718 0.473638344329975 0.60362419013821 0.398335895286549 0.417072079580303 0.589171031468182 0.488124004099111 0.513491861813683 0.487266140393184 0.50278418140219 0.510850100388139 0.482961024786396 0.482622328355525 0.40459372490088 0.441009539988268 0.558468399623043 0.439685826130059 0.494355559890711 0.44584498962032 0.453767149629296 0.460926161111013 0.528971921225401 0.433453248680767 0.517519052868715 0.5501478215255 0.550416324988323 0.48093763788476 0.488406209453567 0.585565984473246 0.47548176785493 0.457026810117343 0.560059284915644 0.589263188940544 0.603078994430615 0.535852276935329 0.63600409015726 0.597896654373274 0.620161714864966 0.59963346010754 0.518536028552721 0.587291140956786 0.516170556932086 0.432043039537178 0.541175408219144 0.518842487621318 0.459920862654217 0.386634243514952
