Source,Target,Weight,Type
agnipurana_u,garudapurana_khanda-1_u,1,undirected
agnipurana_u,sivapurana_umasamhita,3,undirected
agnipurana_u,vayupurana_10_gaya-mahatmya_iast,2,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-03_u,1,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-04_u,4,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-09_u,1,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-10_u,6,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-03_u,5,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-04_u,3,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-05_u,1,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-11_u,1,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-01_u,1,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-02_u,5,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-04_u,6,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-05_u,2,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-11_u,2,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-01_u,4,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-02_u,3,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-03_u,6,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-05_u,3,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-09_u,2,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-10_u,1,undirected
bhagavatapurana_skandha-04_u,skandamahpurana_kasikhanda,2,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-02_u,1,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-03_u,2,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-04_u,3,undirected
bhagavatapurana_skandha-05_u,pranavakalpa,1,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-07_u,4,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-08_u,6,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-11_u,3,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-06_u,4,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-08_u,5,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-11_u,4,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-06_u,6,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-07_u,5,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-11_u,1,undirected
bhagavatapurana_skandha-09_u,bhagavatapurana_skandha-01_u,1,undirected
bhagavatapurana_skandha-09_u,bhagavatapurana_skandha-04_u,2,undirected
bhagavatapurana_skandha-09_u,bhagavatapurana_skandha-10_u,5,undirected
bhagavatapurana_skandha-09_u,bhagavatapurana_skandha-12_u,1,undirected
bhagavatapurana_skandha-09_u,skandamahpurana_kasikhanda,1,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,bhagavatapurana_skandha-10_u,1,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,pranavakalpa,6,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,skandamahpurana_kasikhanda,2,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-01_u,6,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-04_u,1,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-09_u,5,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,1,undirected
bhagavatapurana_skandha-11_u,bhagavatapurana_skandha-02_u,1,undirected
bhagavatapurana_skandha-11_u,bhagavatapurana_skandha-03_u,2,undirected
bhagavatapurana_skandha-11_u,bhagavatapurana_skandha-06_u,3,undirected
bhagavatapurana_skandha-11_u,bhagavatapurana_skandha-07_u,4,undirected
bhagavatapurana_skandha-11_u,bhagavatapurana_skandha-08_u,1,undirected
bhagavatapurana_skandha-12_u,bhagavatapurana_skandha-09_u,1,undirected
bhagavatapurana_skandha-12_u,naradapurana_khanda-1_u,3,undirected
