Source,Target,Weight,Type
agnipurana_u,devipurana,1,undirected
agnipurana_u,garudapurana_khanda-1_u,4,undirected
agnipurana_u,naradapurana_khanda-1_u,3,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-02_u,2,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-03_u,3,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-04_u,6,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-09_u,1,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,1,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-10_u,4,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-01_u,2,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-03_u,3,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-04_u,1,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-01_u,3,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-02_u,3,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-04_u,5,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-10_u,1,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-01_u,6,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-02_u,1,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-03_u,5,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-05_u,3,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-07_u,1,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-08_u,2,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-09_u,2,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-10_u,4,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-11_u,1,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-04_u,3,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-06_u,2,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-12_u,1,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-05_u,2,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-07_u,5,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-08_u,3,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-11_u,3,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-04_u,1,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-06_u,5,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-08_u,3,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-10_u,1,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-11_u,6,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-04_u,2,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-06_u,3,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-07_u,3,undirected
bhagavatapurana_skandha-09_u,bhagavatapurana_skandha-01_u,1,undirected
bhagavatapurana_skandha-09_u,bhagavatapurana_skandha-04_u,2,undirected
bhagavatapurana_skandha-09_u,bhagavatapurana_skandha-10_u,3,undirected
bhagavatapurana_skandha-09_u,bhagavatapurana_skandha-12_u,2,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,bhagavatapurana_skandha-01_u,1,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,bhagavatapurana_skandha-10_u,2,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,skandamahpurana_kasikhanda,3,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-01_u,4,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-03_u,1,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-04_u,4,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-07_u,1,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-09_u,3,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,2,undirected
bhagavatapurana_skandha-11_u,bhagavatapurana_skandha-04_u,1,undirected
bhagavatapurana_skandha-11_u,bhagavatapurana_skandha-06_u,3,undirected
bhagavatapurana_skandha-11_u,bhagavatapurana_skandha-07_u,6,undirected
bhagavatapurana_skandha-12_u,bhagavatapurana_skandha-05_u,1,undirected
bhagavatapurana_skandha-12_u,bhagavatapurana_skandha-09_u,2,undirected
bhagavatapurana_skandha-12_u,naradapurana_khanda-1_u,1,undirected
bhagavatapurana_skandha-12_u,visnupurana_u,3,undirected
bhavisyapurana_brahmaparvan_adhyaya-5,devipurana,1,undirected
bhavisyapurana_brahmaparvan_adhyaya-5,kalikapurana,3,undirected
bhavisyapurana_brahmaparvan_adhyaya-5,sivapurana_dharmasamhita,2,undirected
bhavisyapurana,devibhagavatapurana,4,undirected
bhavisyapurana,devipurana,2,undirected
bhavisyapurana,garudapurana_khanda-2_u,3,undirected
bhavisyapurana,matsyapurana_adhyaya-176_pu,3,undirected
bhavisyapurana,naradapurana_khanda-1_u,2,undirected
bhavisyapurana,nrsimhapurana_pu,1,undirected
bhavisyapurana,padmapurana_a,3,undirected
bhavisyapurana,sivapurana_dharmasamhita,1,undirected
bhavisyapurana,sivapurana_vayaviyasamhita_au,3,undirected
