Source,Target,Weight,Type
agnipurana_u,bhavisyapurana_brahmaparvan_adhyaya-5,12,undirected
agnipurana_u,devipurana,4,undirected
agnipurana_u,garudapurana_khanda-1_u,19,undirected
agnipurana_u,naradapurana_khanda-1_u,16,undirected
agnipurana_u,pranavakalpa,1,undirected
agnipurana_u,vayupurana_10_gaya-mahatmya_iast,2,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-02_u,3,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-03_u,2,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-04_u,12,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-09_u,7,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-10_u,19,undirected
bhagavatapurana_skandha-01_u,skandamahpurana_kasikhanda,2,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-01_u,3,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-03_u,9,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-04_u,12,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-05_u,3,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-06_u,1,undirected
bhagavatapurana_skandha-02_u,pranavakalpa,5,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-01_u,2,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-02_u,9,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-04_u,24,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-05_u,5,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-06_u,4,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,1,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-10_u,12,undirected
bhagavatapurana_skandha-03_u,pranavakalpa,4,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-01_u,12,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-02_u,12,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-03_u,24,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-05_u,11,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-06_u,6,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-07_u,5,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-08_u,12,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-09_u,8,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,4,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-10_u,20,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-11_u,6,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-12_u,2,undirected
bhagavatapurana_skandha-04_u,skandamahpurana_kasikhanda,9,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-02_u,3,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-03_u,5,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-04_u,11,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-12_u,5,undirected
bhagavatapurana_skandha-05_u,pranavakalpa,5,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-02_u,1,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-03_u,4,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-04_u,6,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-07_u,18,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-08_u,13,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-11_u,7,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-04_u,5,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-06_u,18,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-08_u,4,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-11_u,24,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-04_u,12,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-06_u,13,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-07_u,4,undirected
bhagavatapurana_skandha-09_u,bhagavatapurana_skandha-01_u,7,undirected
bhagavatapurana_skandha-09_u,bhagavatapurana_skandha-04_u,8,undirected
bhagavatapurana_skandha-09_u,bhagavatapurana_skandha-10_u,12,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,bhagavatapurana_skandha-03_u,1,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,bhagavatapurana_skandha-04_u,4,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,bhagavatapurana_skandha-10_u,7,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,skandamahpurana_kasikhanda,12,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-01_u,19,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-03_u,12,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-04_u,20,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-09_u,12,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,7,undirected
bhagavatapurana_skandha-11_u,bhagavatapurana_skandha-04_u,6,undirected
bhagavatapurana_skandha-11_u,bhagavatapurana_skandha-06_u,7,undirected
bhagavatapurana_skandha-11_u,bhagavatapurana_skandha-07_u,24,undirected
bhagavatapurana_skandha-12_u,bhagavatapurana_skandha-04_u,2,undirected
bhagavatapurana_skandha-12_u,bhagavatapurana_skandha-05_u,5,undirected
bhagavatapurana_skandha-12_u,matsyapurana_adhyaya-176_pu,8,undirected
bhagavatapurana_skandha-12_u,naradapurana_khanda-1_u,2,undirected
bhagavatapurana_skandha-12_u,visnupurana_u,12,undirected
bhavisyapurana_brahmaparvan_adhyaya-5,agnipurana_u,12,undirected
bhavisyapurana_brahmaparvan_adhyaya-5,garudapurana_khanda-1_u,8,undirected
bhavisyapurana_brahmaparvan_adhyaya-5,naradapurana_khanda-1_u,4,undirected
bhavisyapurana,brahmapurana_pu,6,undirected
bhavisyapurana,devibhagavatapurana,24,undirected
bhavisyapurana,devipurana,7,undirected
bhavisyapurana,garudapurana_khanda-2_u,11,undirected
bhavisyapurana,matsyapurana_adhyaya-176_pu,6,undirected
bhavisyapurana,naradapurana_khanda-1_u,10,undirected
bhavisyapurana,nrsimhapurana_pu,4,undirected
bhavisyapurana,padmapurana_a,4,undirected
bhavisyapurana,sivapurana_dharmasamhita,8,undirected
bhavisyapurana,sivapurana_sanatkumarasamhita,8,undirected
bhavisyapurana,sivapurana_vayaviyasamhita_au,10,undirected
bhavisyapurana,skandapurana_revakhanda,8,undirected
bhavisyapurana,vayupurana_10_gaya-mahatmya_iast,2,undirected
brahmandapurana_khanda-1_u,vayu_ba,20,undirected
brahmandapurana_khanda-1_u,vayupurana_01_frame-and-cosmogony_iast,12,undirected
brahmandapurana_khanda-1_u,vayupurana_05_jyotis-and-purvardha-close_iast,20,undirected
brahmandapurana_khanda-1_u,vayupurana_06_prthu-and-prajapati-lineages_iast,4,undirected
brahmandapurana_khanda-1_u,vayupurana_07_shraddha-kalpa_iast,4,undirected
brahmandapurana_khanda-1_u,vayupurana_09_upasamhara_iast,12,undirected
brahmandapurana_khanda-1_u,vayupurana,11,undirected
brahmandapurana_khanda-2_u,brahmandapurana,24,undirected
brahmandapurana_khanda-2_u,lingapurana_khanda-1_u,6,undirected
brahmandapurana_khanda-2_u,matsyapurana_adhyaya-176_pu,15,undirected
brahmandapurana_khanda-2_u,sivapurana_umasamhita,5,undirected
brahmandapurana_khanda-2_u,skandapurana,3,undirected
brahmandapurana_khanda-2_u,vayupurana_08_manu-candra-vishnu-vamsha_iast,16,undirected
brahmandapurana_khanda-3_u,brahmandapurana,12,undirected
brahmandapurana_khanda-3_u,devipurana,4,undirected
brahmandapurana_khanda-3_u,matsyapurana_adhyaya-176_pu,3,undirected
brahmandapurana_khanda-3_u,naradapurana_khanda-1_u,11,undirected
brahmandapurana,brahmandapurana_khanda-2_u,24,undirected
brahmandapurana,brahmandapurana_khanda-3_u,12,undirected
brahmandapurana,devipurana,2,undirected
brahmandapurana,garudapurana_khanda-3_u,1,undirected
brahmandapurana,lingapurana_khanda-1_u,6,undirected
brahmandapurana,matsyapurana_adhyaya-176_pu,20,undirected
brahmandapurana,sivapurana_umasamhita,7,undirected
brahmandapurana,vayupurana_03_kalpas-and-shiva-lineages_iast,6,undirected
brahmandapurana,vayupurana_04_bhuvana-vinyasa_iast,8,undirected
brahmandapurana,vayupurana_08_manu-candra-vishnu-vamsha_iast,8,undirected
brahmandapurana,vayupurana,9,undirected
brahmapurana_pu,bhavisyapurana,6,undirected
brahmapurana_pu,devibhagavatapurana,5,undirected
brahmapurana_pu,garudapurana_khanda-2_u,1,undirected
brahmapurana_pu,kalikapurana,12,undirected
brahmapurana_pu,mahabharata_12-santiparvan,4,undirected
brahmapurana_pu,mahabharata_13-anusasanaparvan,15,undirected
brahmapurana_pu,markandeyapurana_adhyaya-1-93_u,17,undirected
brahmapurana_pu,matsyapurana_adhyaya-1-32_pu,7,undirected
brahmapurana_pu,matsyapurana_adhyaya-176_pu,16,undirected
brahmapurana_pu,sivapurana_karvanamahatmya_au,12,undirected
brahmapurana_pu,skandapurana_adhyaya-1-31_pu,6,undirected
brahmapurana_pu,skandapurana_himavatkhanda_au,2,undirected
brahmapurana_pu,skandapurana_revakhanda,8,undirected
brahmapurana_pu,vamanapurana_saromahatmya_u,5,undirected
brahmapurana_pu,visnudharma_pu,4,undirected
brahmapurana_pu,visnupurana_u,1,undirected
devibhagavatapurana_u,devibhagavatapurana,5,undirected
devibhagavatapurana_u,kalikapurana,2,undirected
devibhagavatapurana_u,kurmapurana_khanda-1_u,5,undirected
devibhagavatapurana_u,saurapurana,12,undirected
devibhagavatapurana,bhavisyapurana,24,undirected
devibhagavatapurana,brahmapurana_pu,5,undirected
devibhagavatapurana,devibhagavatapurana_u,5,undirected
devibhagavatapurana,naradapurana_khanda-2_u,3,undirected
devibhagavatapurana,nrsimhapurana_pu,13,undirected
devibhagavatapurana,saurapurana,11,undirected
devibhagavatapurana,sivapurana_rudrasamhita,12,undirected
devibhagavatapurana,sivapurana_satarudrasamhita_au,4,undirected
devibhagavatapurana,skandapurana_adhyaya-1-31_pu,2,undirected
devibhagavatapurana,skandapurana_pasupata_adhyaya174-183_u,1,undirected
devibhagavatapurana,vamanapurana_saromahatmya_u,2,undirected
devipurana,agnipurana_u,4,undirected
devipurana,bhavisyapurana,7,undirected
devipurana,brahmandapurana_khanda-3_u,4,undirected
devipurana,brahmandapurana,2,undirected
devipurana,karatoyamahatmya_pu,8,undirected
devipurana,naradapurana_khanda-1_u,13,undirected
devipurana,nilamatapurana_au,9,undirected
garudapurana_khanda-1_u,agnipurana_u,19,undirected
garudapurana_khanda-1_u,bhavisyapurana_brahmaparvan_adhyaya-5,8,undirected
garudapurana_khanda-1_u,lingapurana_khanda-2_u,4,undirected
garudapurana_khanda-1_u,naradapurana_khanda-1_u,9,undirected
garudapurana_khanda-2_u,bhavisyapurana,11,undirected
garudapurana_khanda-2_u,brahmapurana_pu,1,undirected
garudapurana_khanda-2_u,mahabharata_13-anusasanaparvan,3,undirected
garudapurana_khanda-2_u,vayupurana_02_pashupata-yoga_iast,2,undirected
garudapurana_khanda-2_u,visnupurana_u,9,undirected
garudapurana_khanda-3_u,brahmandapurana,1,undirected
garudapurana_khanda-3_u,kurmapurana_khanda-2_u,11,undirected
garudapurana_khanda-3_u,lingapurana_khanda-1_u,8,undirected
garudapurana_khanda-3_u,lingapurana_khanda-2_u,4,undirected
kalikapurana,brahmapurana_pu,12,undirected
kalikapurana,devibhagavatapurana_u,2,undirected
kalikapurana,matsyapurana_adhyaya-1-32_pu,11,undirected
kalikapurana,matsyapurana_adhyaya-176_pu,6,undirected
karatoyamahatmya_pu,devipurana,8,undirected
karatoyamahatmya_pu,kurmapurana_khanda-2_u,2,undirected
karatoyamahatmya_pu,mahabharata_18-svargarohanaparvan,1,undirected
karatoyamahatmya_pu,saurapurana,4,undirected
karatoyamahatmya_pu,skandamahpurana_kasikhanda,9,undirected
kurmapurana_khanda-1_u,devibhagavatapurana_u,5,undirected
kurmapurana_khanda-1_u,kurmapurana_khanda-2_u,1,undirected
kurmapurana_khanda-1_u,lingapurana_khanda-1_u,8,undirected
kurmapurana_khanda-1_u,lingapurana_khanda-2_u,6,undirected
kurmapurana_khanda-1_u,padmapurana_a,1,undirected
kurmapurana_khanda-1_u,saurapurana,23,undirected
kurmapurana_khanda-1_u,sivapurana_dharmasamhita,1,undirected
kurmapurana_khanda-1_u,sivapurana_sanatkumarasamhita,4,undirected
kurmapurana_khanda-1_u,sivapurana_umasamhita,3,undirected
kurmapurana_khanda-1_u,skandapurana_himavatkhanda_au,12,undirected
kurmapurana_khanda-1_u,skandapurana_pasupata_adhyaya174-183_u,12,undirected
kurmapurana_khanda-1_u,sutasamhita_khanda-4_iast,12,undirected
kurmapurana_khanda-1_u,vamanapurana_u,3,undirected
kurmapurana_khanda-1_u,visnudharmottarapurana_khanda-3_adhyaya-343-353_pu,8,undirected
kurmapurana_khanda-2_u,garudapurana_khanda-3_u,11,undirected
kurmapurana_khanda-2_u,karatoyamahatmya_pu,2,undirected
kurmapurana_khanda-2_u,kurmapurana_khanda-1_u,1,undirected
kurmapurana_khanda-2_u,saurapurana,7,undirected
