Source,Target,Weight,Type
agnipurana_u,bhavisyapurana_brahmaparvan_adhyaya-5,8,undirected
agnipurana_u,bhavisyapurana,4,undirected
agnipurana_u,brahmandapurana_khanda-3_u,4,undirected
agnipurana_u,garudapurana_khanda-1_u,19,undirected
agnipurana_u,lingapurana_khanda-2_u,1,undirected
agnipurana_u,naradapurana_khanda-1_u,24,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-02_u,6,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-03_u,15,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-04_u,18,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-09_u,7,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,1,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-10_u,15,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-12_u,1,undirected
bhagavatapurana_skandha-01_u,vayupurana_10_gaya-mahatmya_iast,1,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-01_u,6,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-03_u,12,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-04_u,7,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-01_u,15,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-02_u,12,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-04_u,24,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-05_u,9,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,1,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-10_u,6,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-11_u,5,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-01_u,18,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-02_u,7,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-03_u,24,undirected
