Source,Target,Weight,Type
agnipurana_u,bhavisyapurana_brahmaparvan_adhyaya-5,12,undirected
agnipurana_u,brahmandapurana_khanda-3_u,2,undirected
agnipurana_u,garudapurana_khanda-1_u,24,undirected
agnipurana_u,lingapurana_khanda-2_u,16,undirected
agnipurana_u,naradapurana_khanda-1_u,9,undirected
agnipurana_u,vayupurana_10_gaya-mahatmya_iast,1,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-03_u,3,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-04_u,13,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-09_u,7,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-10_u,24,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-03_u,19,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-04_u,8,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-05_u,12,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-06_u,1,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-11_u,3,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-01_u,3,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-02_u,19,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-04_u,24,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-05_u,8,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-10_u,1,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-11_u,6,undirected
bhagavatapurana_skandha-03_u,skandamahpurana_kasikhanda,3,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-01_u,13,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-02_u,8,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-03_u,24,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-05_u,4,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-06_u,2,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-08_u,1,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-09_u,13,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-10_u,5,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-11_u,2,undirected
bhagavatapurana_skandha-04_u,skandamahpurana_kasikhanda,11,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-02_u,12,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-03_u,8,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-04_u,4,undirected
bhagavatapurana_skandha-05_u,pranavakalpa,4,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-02_u,1,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-04_u,2,undirected
