"agnipurana_u" "bhagavatapurana_skandha-01_u" "bhagavatapurana_skandha-02_u" "bhagavatapurana_skandha-03_u" "bhagavatapurana_skandha-04_u" "bhagavatapurana_skandha-05_u" "bhagavatapurana_skandha-06_u" "bhagavatapurana_skandha-07_u" "bhagavatapurana_skandha-08_u" "bhagavatapurana_skandha-09_u" "bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary" "bhagavatapurana_skandha-10_u" "bhagavatapurana_skandha-11_u" "bhagavatapurana_skandha-12_u" "bhavisyapurana_brahmaparvan_adhyaya-5" "bhavisyapurana" "brahmandapurana_khanda-1_u" "brahmandapurana_khanda-2_u" "brahmandapurana_khanda-3_u" "brahmandapurana" "brahmapurana_pu" "devibhagavatapurana_u" "devibhagavatapurana" "devipurana" "garudapurana_khanda-1_u" "garudapurana_khanda-2_u" "garudapurana_khanda-3_u" "kalikapurana" "karatoyamahatmya_pu" "kurmapurana_khanda-1_u" "kurmapurana_khanda-2_u" "lingapurana_khanda-1_u" "lingapurana_khanda-2_u" "mahabharata_01-adiparvan" "mahabharata_02-sabhaparvan" "mahabharata_03-aranyakaparvan" "mahabharata_04-virataparvan" "mahabharata_05-udyogaparvan" "mahabharata_06-bhismaparvan" "mahabharata_07-dronaparvan" "mahabharata_08-karnaparvan" "mahabharata_09-salyaparvan" "mahabharata_10-sauptikaparvan" "mahabharata_11-striparvan" "mahabharata_12-santiparvan" "mahabharata_13-anusasanaparvan" "mahabharata_14-asvamedhikaparvan" "mahabharata_15-asramavasikaparvan" "mahabharata_16-mausalaparvan" "mahabharata_17-mahaprasthanikaparvan" "mahabharata_18-svargarohanaparvan" "markandeyapurana_adhyaya-1-93_u" "matsyapurana_adhyaya-1-32_pu" "matsyapurana_adhyaya-176_pu" "naradapurana_khanda-1_u" "naradapurana_khanda-2_u" "nilamatapurana_au" "nrsimhapurana_pu" "padmapurana_a" "pranavakalpa" "ramayana_01-balakanda" "ramayana_02-ayodhyakanda_a" "ramayana_03-aranyakanda_a" "ramayana_04-kiskindhakanda" "ramayana_05-sundarakanda" "ramayana_06-yuddhakanda" "ramayana_07-uttarakanda" "saurapurana" "sivapurana_dharmasamhita" "sivapurana_karvanamahatmya_au" "sivapurana_rudrasamhita" "sivapurana_sanatkumarasamhita" "sivapurana_satarudrasamhita_au" "sivapurana_umasamhita" "sivapurana_vayaviyasamhita_au" "sivapurana_vidyesvarasamhita_au" "skandamahpurana_kasikhanda" "skandapurana_adhyaya-1-31_pu" "skandapurana_himavatkhanda_au" "skandapurana_pasupata_adhyaya174-183_u" "skandapurana_revakhanda" "skandapurana" "sutasamhita_khanda-4_iast" "vamanapurana_saromahatmya_u" "vamanapurana_u" "vayu_ba" "vayupurana_01_frame-and-cosmogony_iast" "vayupurana_02_pashupata-yoga_iast" "vayupurana_03_kalpas-and-shiva-lineages_iast" "vayupurana_04_bhuvana-vinyasa_iast" "vayupurana_05_jyotis-and-purvardha-close_iast" "vayupurana_06_prthu-and-prajapati-lineages_iast" "vayupurana_07_shraddha-kalpa_iast" "vayupurana_08_manu-candra-vishnu-vamsha_iast" "vayupurana_09_upasamhara_iast" "vayupurana_10_gaya-mahatmya_iast" "vayupurana_revakhanda" "vayupurana" "visnudharma_pu" "visnudharmottarapurana_khanda-3_adhyaya-343-353_pu" "visnupurana_u"
"a" 4.20874190767072 3.68358680624136 4.39824070371851 4.06899601946042 3.79497289305076 5.36244681705065 3.91784292435758 3.39790409653858 3.59894995342535 3.4126780991383 4.0307328605201 3.82265275707899 3.80504240734286 3.5146331685153 4.05405405405405 3.55370743727599 3.11754544706753 2.95617136748623 4.40151473574447 3.49666464523954 2.89551637859135 2.84974093264249 3.06907369136589 3.33536345072189 3.98895424712981 3.52265509210248 3.7834212371574 3.23059157098195 2.12071778140294 3.07930938032395 3.13233903681337 3.24494068387997 4.02029921571212 2.65535147197665 2.40338396462219 2.67032046890462 2.85760940561724 2.54553711085322 2.41386364300535 3.18973762312782 3.16185599006828 2.29717105420749 2.63019463440295 2.73769100169779 2.87759756715661 2.78455506597235 2.61803602417569 2.05523905675344 2.52918287937743 2.62548262548263 2.39623448866068 3.08578127154875 2.86414733317388 3.34616357148878 4.26123040208016 2.79049622571464 2.87081339712919 3.25864276568502 3.56729461216468 4.35429274797415 2.85204991087344 2.46995994659546 3.35724533715925 3.44299606869439 3.57630696634794 4.45417187779167 3.25479107759975 3.06731626981404 4.01608427629065 3.00546448087432 2.90110057504094 3.80644691136104 3.82898754991778 3.25252403119521 3.47538270583368 3.29744932596256 3.71551548431187 2.57160145219847 3.25250683682771 3.23519342690859 2.69292800938371 3.30415665838863 3.54009542865938 3.21242794882609 2.8046306241795 3.0623940399723 3.16677807486631 3.18566450970632 3.16479636867986 3.31971778685481 3.29765193370166 3.43370949248687 2.43579121789561 2.65001401064809 3.59447830763715 3.3875 2.726727611273 3.1080702065158 3.03825673174969 3.96739130434783 3.58836253205174
"ca" 3.67607300998115 1.94548686549477 1.7592962814874 1.58668730650155 1.42927550517496 1.09175563939953 1.58342381469417 1.49253731343284 1.71055974256923 1.61249040184285 1.50118203309693 1.55923994038748 1.69048448936912 2.32527061339035 2.8957528957529 3.32269265232975 4.80176030270626 3.59619548830962 3.01666575197117 3.75985445724682 3.59207385464899 2.47733160621762 3.24526414895321 2.86783935800523 3.76955230655747 3.10978191827228 4.1949940550593 2.81374104569395 2.36541598694943 2.65720751646452 2.81209015768445 4.30797859967434 3.67758518420879 3.35164363573942 3.86784592706531 3.28842201415848 3.00865447419987 3.71739240123114 3.8355884157924 3.1019828631716 3.33061762880199 4.12005653100822 3.32456601788532 3.25764006791171 3.78357830714648 4.08579439932996 3.66225839267548 4.442200908632 4.28015564202335 3.70656370656371 4.02225074882328 3.73224382843746 3.57569959339871 3.73294374362 2.78778740152806 1.88404900383616 3.90944100828568 2.36235595390525 2.3372231683563 1.70786747358703 3.01247771836007 3.20683988908288 2.51793400286944 3.4885164494103 2.97404693902893 3.08558156155083 2.6578699340245 2.36281708181797 2.08530648189688 3.33940497874924 2.65051982177539 2.9562513663857 2.184637068358 3.29786590895351 3.49705459345509 3.10833090873824 1.79781073530999 4.36163775716015 3.80309936189608 2.84149263950702 3.51522408484434 3.77478321051989 2.53963367708173 3.21242794882609 2.81656522258026 4.55359488048903 4.95487967914439 3.53409656545545 4.14827890556046 4.5302636464909 4.58103130755064 5.76308007965723 4.3993371996686 3.91097233897762 4.15919684474722 3.3 2.48372063665723 4.40562124499948 3.07035764190491 2.20108695652174 3.24170235929465
"sa" 1.19466892691695 1.28382381986964 1.15953618552579 1.58668730650155 1.35808553748426 1.15597655936421 1.25769091567137 1.16439081189796 1.47345245152003 1.57836362085146 1.30023640661939 1.38040238450075 1.49878006273963 1.81745289322464 0.868725868725869 1.75879256272401 1.88985769515505 2.01463695419785 1.60620529425754 1.86901152213463 1.84291507290558 1.19818652849741 1.79823653275931 1.29688675527532 1.37788201471506 1.46093584586068 2.01213377640926 1.49465323481641 1.22349102773246 2.1206804485468 2.04044285845 1.91207257501745 1.5817570684769 2.27233713844305 1.70159584695251 1.98294892288955 1.98807968647943 2.0157424693476 2.51030129460241 2.62672674745363 2.44607386716325 2.27082185546267 2.3250920568122 1.89940577249576 2.14964521033958 1.84382700314385 2.51929866554964 2.38696185187856 1.8899388549194 1.23552123552124 1.41206675224647 1.7721693559509 1.464960535757 1.81215407523951 1.79223385119532 2.26147753990843 1.31287198039445 1.85446009389671 1.14002356981246 1.18473689609191 2.16131907308378 1.99753517510527 2.0767575322812 2.23049865507966 2.51769526884391 2.54958013221369 2.41910147659441 1.90535007662572 1.99890334479837 1.60898603521554 1.93000495068358 1.81456020599023 1.6756714431133 1.86203977994075 1.8164982169947 1.5759868102027 1.3374177227331 2.228721258572 1.72105742935278 2.60184868195823 1.39045012462734 2.14468916663274 2.49345851931661 1.77140447068747 2.10730908904915 1.47926168246615 1.68783422459893 1.71727227476356 1.23565754633716 0.995172669884887 1.51933701657459 1.15261601593145 1.11847555923778 1.69328689804251 1.92721405521692 0.9625 1.97666712252391 1.40383508259156 1.87318252199856 1.57608695652174 1.90806343021673
"k" 1.21878151076298 1.80722891566265 0.879648140743703 1.27156125608138 1.16642023985543 0.875010034518744 0.977198697068404 1.10087858579443 1.01617410449657 1.44185649688593 1.66666666666667 1.92995529061103 1.11537120948066 1.21608980355472 0.193050193050193 1.51125672043011 1.08373776425105 1.18822465257791 1.06653495051497 1.14554275318375 1.38161111270887 0.7610103626943 1.14387064260684 1.20015763264429 1.33154281174935 1.67001905568495 0.74997713484345 1.00175565423939 1.22349102773246 0.956086149464744 1.12544606093879 1.10607117934403 0.929282277730179 1.25632992876148 1.62148304813177 1.1760675953414 1.20019595035924 1.45945809576669 1.05350828487098 1.27885307486763 1.24534450651769 1.30548302872063 1.8726985796949 1.71901528013582 1.31525595539787 1.33765461320904 1.16988809766022 1.18266387827216 1.61200667037243 1.46718146718147 1.06974753958066 1.14466970073093 0.801243721597704 1.10414969235524 1.19680140576673 1.37977973023141 1.12031742326993 1.20358514724712 1.18408583048619 0.54364550210278 1.12299465240642 1.11687378042518 0.893113342898135 1.17939168218498 1.11759592698373 0.921922458459889 1.08702481935281 1.08877147235756 1.10330159679644 1.70006071645416 1.06553943409879 0.76517599047781 1.11972437553833 1.16679765431352 1.2786413696633 1.19774997575405 1.41355042142746 1.05385235982251 1.00638103919781 0.924340979116741 1.06666340843556 1.06338802263567 0.615668770201632 1.1528187825109 1.06729408555402 1.07929988777191 1.27840909090909 0.671976107516177 0.996091287353423 0.913479391013739 1.1279926335175 0.766399131012009 0.869925434962717 1.25295224370522 1.22803872355683 1.3125 1.29393324146057 1.06726894291661 1.56727973110767 1.38586956521739 1.44823733329513
"am" 1.11210159435327 0.711040884850879 1.03958416633347 0.956435205661212 0.952850336783309 0.778678654571727 0.93195801664857 0.973854133587382 0.999237869421628 0.68253561982766 1.18203309692671 1.01900149031297 0.917857557801789 0.935453695042095 1.73745173745174 0.892977150537634 0.75882207781525 0.661952142093578 0.671386495435669 0.70952092177077 0.930085416007593 0.647668393782383 0.919628242041153 0.727259699781464 1.49231147509977 1.22538640694474 1.25301057894576 0.888154497573066 0.734094616639478 1.07305413583543 1.31759538841614 0.861828332170272 1.14018322019377 0.834692301090035 0.701788117669679 0.770343305168608 0.755225342913129 0.794691962258439 0.87962827668839 1.09742750372218 1.02032898820608 0.663520732028649 0.778537611783272 0.976230899830221 0.913583375570198 0.826626852627362 0.81383519837233 0.519218288021923 0.47248471372985 0.386100386100386 0.47068891741549 0.748172665839195 0.753408275532169 0.843798874310492 1.0121757920795 0.776512807820814 0.577663671373556 0.973111395646607 1.04350623690809 0.671863780900605 0.851158645276292 0.803635616719729 1.06169296987088 0.885578315745914 0.866136843412393 1.22744327318206 0.99277411247251 0.864612639813353 0.656331522190652 1.09289617486339 0.672531322594158 0.731168168678796 0.837835721556652 0.722447252282208 1.09541541068227 1.26078944816216 0.838658625774815 0.645421540943929 0.99179580674567 0.924340979116741 0.902937295342359 0.755608028335301 1.00559232466266 0.801349641501476 1.00080132303548 0.739033883330548 0.885695187165775 1.49328023892484 0.788046904551759 0.958039361307092 0.771178637200737 0.561221410898558 0.861640430820215 0.552419839077699 0.85155969881678 1.0875 0.862622160973711 0.790487578052345 1.03667056913025 0.978260869565217 0.800756349467834
"tu" 0.925046398456795 0.158009085522418 0.599760095961615 0.320654577620522 0.361425989814358 0.377297904792486 0.307636626854868 0.317561130517625 0.313320348886443 0.486306629127208 0.390070921985816 0.270119225037258 0.336935052863948 0.467726847521048 0.965250965250965 1.00806451612903 1.8425598420663 1.36638982539813 0.98055357371531 1.36810187992723 0.890397170055506 1.18199481865285 0.755548436749188 1.02640346791817 0.763178301904636 0.881325428752911 1.25605926648578 1.47587618412776 0.163132137030995 0.750120782159839 0.972946594686919 1.14096301465457 0.695314044684637 0.663033216032959 0.493494840735756 0.618862754053437 0.50620509470934 0.44275695040113 0.555247084952804 0.581745037912028 0.488826815642458 0.692265312477543 0.715412940557601 0.541171477079796 0.507475924987329 0.707670271779372 0.622344563461193 0.598543304247494 0.500277932184547 0.849420849420849 0.385109114249037 0.606812853399531 1.2437215977039 1.28021427434233 0.768185029296701 1.10134884296498 1.27202707433773 1.00725565514298 0.550778258421662 0.235921632987999 0.71301247771836 0.752285098079491 0.860832137733142 0.85247258431616 0.50602260027319 0.686081829551546 1.07445805843544 0.578695761568197 1.04348404034362 1.36612021857923 0.516394379070033 0.893919887288362 0.602928509905254 0.931019889970377 0.496483243690525 0.785568810008729 0.417231167647799 0.650463896732553 0.207839562443026 1.28380691543992 1.16441034162553 0.559377926149086 1.03124519008773 0.738085196119781 0.741650043476037 1.76460755987488 1.58756684491979 1.74216027874564 1.41848442819317 1.19569253620498 1.80133517495396 1.58711001146581 1.65700082850041 1.80537208278291 1.56866260308354 0.6125 1.05197824508989 1.54407097412279 0.583481249291892 0.597826086956522 0.637453623458293
"i" 0.909702026918412 0.869049970373296 0.819672131147541 0.63578062804069 0.744756585072011 0.971341414465762 0.723850886717336 0.603366147983487 0.753662460834956 0.776384267553963 0.271867612293144 0.661326378539493 0.836528407110491 0.801817452893225 0.772200772200772 0.905017921146953 1.12075347536399 0.782556259079571 0.814078993103196 0.91146149181322 0.832877973023497 0.7610103626943 0.669211205869369 0.866979543581844 0.69225095042651 0.725174677112005 0.487790006402244 0.857172363936796 1.22349102773246 0.770463040659089 0.710647512733705 0.83507792509886 0.817241152046398 0.861514033130203 0.791514452348907 0.816777041942605 0.922599608099282 0.702608607901509 0.932230632104971 0.895295753261223 0.962135319677219 0.709032984406065 1.08364018937401 0.732173174872666 0.822985301571211 0.914023524270784 0.861707857100114 0.771616066921468 1.30628126737076 0.849420849420849 0.984167736414206 0.9653840849538 0.861038029179622 0.906545294486744 0.860794661885793 0.57542383368395 0.577663671373556 0.627400768245839 0.694854856815138 0.743666017027387 1.1096256684492 0.821608298243812 0.703012912482066 0.757293606455618 0.645722091146157 0.71645524388065 0.684888469996858 0.718223198151833 1.08170081252181 0.63752276867031 0.564377927567691 1.28743896810552 0.438493461749276 0.770811921891059 0.762456409953307 0.756473668897294 0.869231599266249 0.675675675675676 0.627164995442115 0.650462170489558 0.961585455256341 0.648129300166918 0.728541378071931 0.724026430479404 0.668337510442774 1.0291554239595 0.952540106951872 0.7715281234445 0.71239440171479 1.50018566654289 1.32366482504604 0.639671715647818 1.05219552609776 1.00076057803931 0.806740767300108 0.6375 0.671162120367351 0.972794237042942 0.694890290418822 1.0054347826087 0.823676030311278
"na" 0.423796928202955 1.00730792020541 0.979608156737305 0.82375055285272 1.02951645583484 0.794733884562896 1.37531668476294 1.33375674817402 1.25328139554577 0.904359696271649 1.22931442080378 0.907228017883756 1.1850819100732 0.721635707603902 0.482625482625483 0.659442204301075 0.472978530887554 0.593427075624263 0.424418711011104 0.486355366889024 0.861062379569181 1.13341968911917 0.859856312970509 0.609035216565758 0.56079892568705 1.02688968875715 1.35056858022621 0.711650221099772 1.14192495921697 0.508556462481247 1.44874492939275 0.565247732030705 0.458050484413102 1.08145223585958 1.24975966160354 0.980436933850955 1.13487916394513 1.37494323628841 0.76419533007978 0.8045829676885 0.624612042209808 0.6587299686205 1.0731194108364 0.997453310696095 1.52559553978713 1.21627034703762 1.09209502722757 0.91584336914978 0.861589772095609 1.31274131274131 0.984167736414206 0.961936284650393 0.771346567806745 0.578765487595876 0.529537129932502 1.17869075609454 0.408449060567161 0.659411011523688 0.602184229207684 0.610319007077649 0.846702317290553 1.15538666940536 0.968436154949785 1.17111524932754 1.09896932820067 0.81472217259246 0.867106503298775 0.937807360644114 0.58488277420534 0.819672131147541 0.770021706843368 0.709305997522287 0.673400673400673 0.813131007798803 0.829442244419489 0.683735816118708 1.03048904768185 0.77148043565954 0.568824065633546 0.838753851420746 0.79541566883339 0.806090461262875 1.32881842901852 0.899761000984114 0.492728419688677 0.542037775496072 0.476270053475936 1.09507217521155 0.504350018913126 0.45302636464909 0.414364640883978 0.404320801400036 0.695940347970174 0.680517193066731 0.439225528863392 0.475 0.77635994487634 0.526991718701563 1.25193549605348 0.597826086956522 0.820811070205847
"ā" 0.80009937307282 0.54315623148331 0.579768092762895 0.685537372843874 0.832375006845189 0.786706269567312 0.669562070213536 0.984439504604636 0.702853755610128 0.528965105366436 0.768321513002364 0.715350223546945 0.813291506912978 0.77509020446345 0.675675675675676 0.702564964157706 1.04466562474295 0.851081325548886 0.945795144796297 0.971497877501516 0.770182048258606 0.680051813471503 0.746953780281514 1.01028194747967 0.762232603884927 0.775460512386195 0.554861132282552 0.64499169115507 0.407830342577488 0.717064612098558 0.561198035806875 0.847871598046057 0.721676662492586 0.654450261780105 0.672947510094213 0.749029458780544 0.714402351404311 0.565114284272668 0.571320026885648 0.576814995217859 0.63625077591558 0.699451457589767 0.852183061546554 0.668505942275042 0.769133299543842 0.842406807229647 0.960445215726168 0.656234225138819 0.75041689827682 0.386100386100386 0.855798031664527 0.818852572059026 0.651757952642908 0.853164011650231 0.764623120350967 0.717732953842346 0.711868362702766 0.544174135723432 0.690833301277456 0.471843265975998 0.659536541889483 0.734312416555407 0.796269727403156 0.782122905027933 0.903390040978517 0.757548686796498 0.600062833804587 0.645028477321073 0.716149078643471 0.789313904068002 0.72965459461518 0.702018607136784 0.430663221360896 0.837313342603228 0.699410918691018 0.470371447968189 0.790101550229597 0.731141589350545 0.700091157702826 0.530640191715166 0.82962709544988 0.837031307250743 0.85680570519727 0.808379024321665 0.758699469762843 1.12825043577927 1.01938502673797 0.995520159283225 0.91413440928004 1.46305235796509 1.11072744014733 1.33365518073743 0.985915492957746 0.912693647171851 1.09358192900681 0.7 0.732176858582565 1.06948319383553 0.828958797537671 0.597826086956522 0.796458909309688
"u" 0.841017697175174 0.750543156231483 0.75969612155138 0.807164971251659 0.684518920102952 0.858954804527575 0.687658342381469 0.899756536466603 0.804471166059785 0.656940534084123 0.567375886524823 0.644560357675112 1.05146973393749 0.828544701322999 0.386100386100386 0.702844982078853 1.03232705437197 0.694844173998849 0.894572196915647 0.840509399636143 0.726467458514279 0.518134715025907 0.588733968035691 0.938630745530756 0.798169128633845 0.886618674571247 0.890216761684095 0.740754649667177 0.815660685154976 0.658580618913215 0.823497117760088 0.68504303326355 0.869966387662295 0.81001630761308 0.586425687367814 0.745223414782675 0.702155453951666 0.769463645996266 0.701364738887752 0.646821601475069 0.552839851024209 0.646753060100127 0.483955812730142 0.477504244482173 0.907247845919919 0.805991527378221 0.846747651247681 0.807672892478546 0.694830461367426 0.463320463320463 0.641848523748395 0.829195972969246 0.867017459937814 0.894370615945083 0.94865508254724 0.58779853978468 0.735208309020889 0.857874519846351 0.75622729132498 0.7487947481793 0.53475935828877 0.569990756906645 0.390961262553802 0.537968135733499 0.42220290574941 0.419867786314097 0.521520578071002 0.580983096594158 0.659654719771364 0.667880995749848 0.703758711298983 0.777321641120315 0.610758750293634 1.04286318844084 0.667888173059873 0.693434196489186 0.607862649417915 0.584913271480436 0.659981768459435 0.616227319411161 0.664679145691804 0.5895045393478 0.71314965881689 0.632644453816955 0.755289584505481 0.973041381121803 0.927473262032086 1.04529616724739 0.977178161644181 0.794652803564798 1.04742173112339 0.875022629895601 1.01905550952775 0.604459389135743 1.29974901398351 0.95 0.705877402455317 0.915223713151174 1.31802560519657 0.543478260869565 1.03854803821857
