Source,Target,Weight,Type
agnipurana_u,devipurana,1,undirected
agnipurana_u,garudapurana_khanda-1_u,24,undirected
agnipurana_u,kurmapurana_khanda-2_u,1,undirected
agnipurana_u,lingapurana_khanda-2_u,2,undirected
agnipurana_u,naradapurana_khanda-1_u,9,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-02_u,6,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-03_u,3,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-04_u,20,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-05_u,1,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-06_u,2,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-07_u,1,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-08_u,2,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-10_u,15,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-12_u,7,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-01_u,6,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-03_u,7,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-11_u,11,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-01_u,3,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-02_u,7,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-04_u,10,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-06_u,1,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-10_u,10,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-12_u,2,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-01_u,20,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-03_u,10,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-05_u,6,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-07_u,1,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-08_u,12,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-10_u,18,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-11_u,3,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-01_u,1,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-04_u,6,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-06_u,11,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-10_u,3,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-12_u,7,undirected
bhagavatapurana_skandha-05_u,pranavakalpa,2,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-01_u,2,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-03_u,1,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-05_u,11,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-07_u,23,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-08_u,5,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-09_u,3,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-10_u,6,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-11_u,16,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-12_u,4,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-01_u,1,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-04_u,1,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-06_u,23,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-08_u,1,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-10_u,9,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-11_u,8,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-01_u,2,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-04_u,12,undirected
