Source,Target,Weight,Type
agnipurana_u,devipurana,1,undirected
agnipurana_u,garudapurana_khanda-1_u,6,undirected
agnipurana_u,naradapurana_khanda-1_u,5,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-02_u,2,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-03_u,2,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-04_u,5,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-10_u,3,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-12_u,2,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-01_u,2,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-03_u,3,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-04_u,1,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-01_u,2,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-02_u,3,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-04_u,6,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-10_u,2,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-01_u,5,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-02_u,1,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-03_u,6,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-05_u,3,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-10_u,3,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-04_u,3,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,1,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-10_u,2,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-12_u,1,undirected
bhagavatapurana_skandha-05_u,pranavakalpa,1,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-07_u,6,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-08_u,2,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-10_u,2,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-11_u,2,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-06_u,6,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-08_u,3,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-10_u,2,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-11_u,3,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-06_u,2,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-07_u,3,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-09_u,2,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-10_u,6,undirected
bhagavatapurana_skandha-09_u,bhagavatapurana_skandha-08_u,2,undirected
bhagavatapurana_skandha-09_u,bhagavatapurana_skandha-10_u,3,undirected
bhagavatapurana_skandha-09_u,bhagavatapurana_skandha-12_u,4,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,bhagavatapurana_skandha-05_u,1,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,pranavakalpa,6,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,skandamahapurana_kasikhanda,2,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-01_u,3,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-03_u,2,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-04_u,3,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-05_u,2,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-06_u,2,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-07_u,2,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-08_u,6,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-09_u,3,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-11_u,1,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-12_u,1,undirected
bhagavatapurana_skandha-11_u,bhagavatapurana_skandha-06_u,2,undirected
bhagavatapurana_skandha-11_u,bhagavatapurana_skandha-07_u,3,undirected
bhagavatapurana_skandha-11_u,bhagavatapurana_skandha-10_u,1,undirected
bhagavatapurana_skandha-12_u,bhagavatapurana_skandha-01_u,2,undirected
bhagavatapurana_skandha-12_u,bhagavatapurana_skandha-05_u,1,undirected
bhagavatapurana_skandha-12_u,bhagavatapurana_skandha-09_u,4,undirected
bhagavatapurana_skandha-12_u,bhagavatapurana_skandha-10_u,1,undirected
bhavisyapurana,brahmapurana_pu,1,undirected
bhavisyapurana,devibhagavatapurana,3,undirected
bhavisyapurana,devipurana,2,undirected
bhavisyapurana,garudapurana_khanda-2_u,4,undirected
bhavisyapurana,kalikapurana,2,undirected
bhavisyapurana,matsyapurana_adhyaya-1-176_pu,2,undirected
bhavisyapurana,naradapurana_khanda-1_u,1,undirected
bhavisyapurana,saurapurana,2,undirected
bhavisyapurana,sivapurana_umasamhita,6,undirected
bhavisyapurana,sivapurana_vayaviyasamhita_au,2,undirected
bhavisyapurana,skandamahapurana_revakhanda,1,undirected
bhavisyapurana,vayupurana_10_gaya-mahatmya_iast,2,undirected
bhavisyapurana,vayupurana_revakhanda,1,undirected
bhavisyapurana,visnupurana_u,2,undirected
brahmandapurana_khanda-1_u,vayu_ba,5,undirected
brahmandapurana_khanda-1_u,vayupurana_01_frame-and-cosmogony_iast,3,undirected
brahmandapurana_khanda-1_u,vayupurana_05_jyotis-and-purvardha-close_iast,5,undirected
brahmandapurana_khanda-1_u,vayupurana_06_prthu-and-prajapati-lineages_iast,2,undirected
brahmandapurana_khanda-1_u,vayupurana_07_shraddha-kalpa_iast,1,undirected
brahmandapurana_khanda-1_u,vayupurana_09_upasamhara_iast,1,undirected
brahmandapurana_khanda-1_u,vayupurana,2,undirected
brahmandapurana_khanda-2_u,brahmandapurana,6,undirected
brahmandapurana_khanda-2_u,lingapurana_khanda-1_u,1,undirected
brahmandapurana_khanda-2_u,matsyapurana_adhyaya-1-176_pu,5,undirected
brahmandapurana_khanda-2_u,sivapurana_umasamhita,1,undirected
brahmandapurana_khanda-2_u,vayupurana_03_kalpas-and-shiva-lineages_iast,1,undirected
brahmandapurana_khanda-2_u,vayupurana_08_manu-candra-vishnu-vamsha_iast,3,undirected
brahmandapurana_khanda-2_u,vayupurana,1,undirected
brahmandapurana_khanda-3_u,brahmandapurana,3,undirected
brahmandapurana_khanda-3_u,devipurana,2,undirected
brahmandapurana_khanda-3_u,karatoyamahatmya_pu,2,undirected
brahmandapurana_khanda-3_u,naradapurana_khanda-1_u,2,undirected
brahmandapurana,brahmandapurana_khanda-2_u,6,undirected
brahmandapurana,brahmandapurana_khanda-3_u,3,undirected
brahmandapurana,garudapurana_khanda-3_u,3,undirected
brahmandapurana,lingapurana_khanda-1_u,2,undirected
brahmandapurana,matsyapurana_adhyaya-1-176_pu,3,undirected
brahmandapurana,nilamatapurana_au,1,undirected
brahmandapurana,sivapurana_umasamhita,2,undirected
brahmandapurana,vayupurana_02_pashupata-yoga_iast,1,undirected
brahmandapurana,vayupurana_03_kalpas-and-shiva-lineages_iast,2,undirected
brahmandapurana,vayupurana_04_bhuvana-vinyasa_iast,2,undirected
brahmandapurana,vayupurana_08_manu-candra-vishnu-vamsha_iast,1,undirected
brahmandapurana,vayupurana,4,undirected
brahmapurana_pu,bhavisyapurana,1,undirected
brahmapurana_pu,devibhagavatapurana,2,undirected
brahmapurana_pu,kalikapurana,3,undirected
brahmapurana_pu,markandeyapurana_adhyaya-1-93_u,5,undirected
brahmapurana_pu,matsyapurana_adhyaya-1-176_pu,4,undirected
brahmapurana_pu,nilamatapurana_au,2,undirected
brahmapurana_pu,nrsimhapurana_pu,1,undirected
brahmapurana_pu,sivapurana_karvanamahatmya_au,2,undirected
brahmapurana_pu,skandamahapurana_himavatkhanda,1,undirected
brahmapurana_pu,skandamahapurana_revakhanda,2,undirected
brahmapurana_pu,skandapurana_adhyaya-1-31_pu,2,undirected
brahmapurana_pu,vamanapurana_saromahatmya_u,3,undirected
brahmapurana_pu,vamanapurana_u,1,undirected
brahmapurana_pu,visnudharma_pu,3,undirected
brahmapurana_pu,visnupurana_u,1,undirected
devibhagavatapurana_devigita_adhyaya-31-40,devibhagavatapurana,2,undirected
devibhagavatapurana_devigita_adhyaya-31-40,naradapurana_khanda-1_u,1,undirected
devibhagavatapurana_devigita_adhyaya-31-40,saurapurana,3,undirected
devibhagavatapurana,bhavisyapurana,3,undirected
devibhagavatapurana,brahmapurana_pu,2,undirected
devibhagavatapurana,devibhagavatapurana_devigita_adhyaya-31-40,2,undirected
devibhagavatapurana,markandeyapurana_adhyaya-1-93_u,2,undirected
devibhagavatapurana,naradapurana_khanda-2_u,1,undirected
devibhagavatapurana,nrsimhapurana_pu,2,undirected
devibhagavatapurana,sivapurana_rudrasamhita,1,undirected
devibhagavatapurana,vayupurana_10_gaya-mahatmya_iast,1,undirected
devipurana,agnipurana_u,1,undirected
devipurana,bhavisyapurana,2,undirected
devipurana,brahmandapurana_khanda-3_u,2,undirected
devipurana,naradapurana_khanda-1_u,5,undirected
garudapurana_khanda-1_u,agnipurana_u,6,undirected
garudapurana_khanda-1_u,lingapurana_khanda-2_u,2,undirected
garudapurana_khanda-1_u,naradapurana_khanda-1_u,2,undirected
garudapurana_khanda-2_u,bhavisyapurana,4,undirected
garudapurana_khanda-2_u,kurmapurana_khanda-2_u,1,undirected
garudapurana_khanda-2_u,naradapurana_khanda-1_u,1,undirected
garudapurana_khanda-2_u,naradapurana_khanda-2_u,2,undirected
garudapurana_khanda-2_u,sivapurana_umasamhita,2,undirected
garudapurana_khanda-2_u,visnudharma_pu,1,undirected
garudapurana_khanda-3_u,brahmandapurana,3,undirected
garudapurana_khanda-3_u,lingapurana_khanda-1_u,2,undirected
garudapurana_khanda-3_u,vayupurana,1,undirected
kalikapurana,bhavisyapurana,2,undirected
kalikapurana,brahmapurana_pu,3,undirected
kalikapurana,matsyapurana_adhyaya-1-176_pu,1,undirected
karatoyamahatmya_pu,brahmandapurana_khanda-3_u,2,undirected
karatoyamahatmya_pu,saurapurana,3,undirected
karatoyamahatmya_pu,skandamahapurana_kasikhanda,1,undirected
kurmapurana_khanda-1_u,kurmapurana_khanda-2_u,3,undirected
kurmapurana_khanda-1_u,saurapurana,2,undirected
kurmapurana_khanda-1_u,sivapurana_dharmasamhita,3,undirected
kurmapurana_khanda-1_u,sivapurana_sanatkumarasamhita,6,undirected
kurmapurana_khanda-1_u,vamanapurana_saromahatmya_u,1,undirected
kurmapurana_khanda-1_u,vamanapurana_u,3,undirected
kurmapurana_khanda-2_u,garudapurana_khanda-2_u,1,undirected
kurmapurana_khanda-2_u,kurmapurana_khanda-1_u,3,undirected
kurmapurana_khanda-2_u,naradapurana_khanda-1_u,2,undirected
kurmapurana_khanda-2_u,skandamahapurana_sutasamhita_khanda-4,2,undirected
kurmapurana_khanda-2_u,skandapurana_pasupata_adhyaya174-183_u,3,undirected
lingapurana_khanda-1_u,brahmandapurana_khanda-2_u,1,undirected
lingapurana_khanda-1_u,brahmandapurana,2,undirected
lingapurana_khanda-1_u,garudapurana_khanda-3_u,2,undirected
lingapurana_khanda-1_u,lingapurana_khanda-2_u,3,undirected
lingapurana_khanda-1_u,skandapurana_adhyaya-1-31_pu,1,undirected
lingapurana_khanda-1_u,vayupurana,3,undirected
lingapurana_khanda-2_u,garudapurana_khanda-1_u,2,undirected
lingapurana_khanda-2_u,lingapurana_khanda-1_u,3,undirected
lingapurana_khanda-2_u,sivapurana_vayaviyasamhita_au,5,undirected
lingapurana_khanda-2_u,sivapurana_vidyesvarasamhita_au,2,undirected
mahabharata_01-adiparvan,mahabharata_02-sabhaparvan,1,undirected
mahabharata_01-adiparvan,mahabharata_03-aranyakaparvan,6,undirected
mahabharata_01-adiparvan,mahabharata_10-sauptikaparvan,4,undirected
mahabharata_01-adiparvan,mahabharata_14-asvamedhikaparvan,5,undirected
mahabharata_01-adiparvan,mahabharata_15-asramavasikaparvan,2,undirected
mahabharata_01-adiparvan,mahabharata_16-mausalaparvan,1,undirected
mahabharata_01-adiparvan,skandapurana,2,undirected
mahabharata_02-sabhaparvan,mahabharata_01-adiparvan,1,undirected
mahabharata_02-sabhaparvan,mahabharata_03-aranyakaparvan,2,undirected
mahabharata_02-sabhaparvan,mahabharata_05-udyogaparvan,6,undirected
mahabharata_02-sabhaparvan,mahabharata_12-santiparvan,1,undirected
mahabharata_02-sabhaparvan,mahabharata_13-anusasanaparvan,1,undirected
mahabharata_02-sabhaparvan,mahabharata_17-mahaprasthanikaparvan,3,undirected
mahabharata_02-sabhaparvan,mahabharata_18-svargarohanaparvan,3,undirected
mahabharata_03-aranyakaparvan,mahabharata_01-adiparvan,6,undirected
mahabharata_03-aranyakaparvan,mahabharata_02-sabhaparvan,2,undirected
mahabharata_03-aranyakaparvan,mahabharata_04-virataparvan,5,undirected
mahabharata_03-aranyakaparvan,mahabharata_05-udyogaparvan,1,undirected
mahabharata_03-aranyakaparvan,mahabharata_10-sauptikaparvan,2,undirected
mahabharata_03-aranyakaparvan,mahabharata_11-striparvan,3,undirected
mahabharata_03-aranyakaparvan,mahabharata_14-asvamedhikaparvan,3,undirected
mahabharata_03-aranyakaparvan,mahabharata_15-asramavasikaparvan,1,undirected
mahabharata_04-virataparvan,mahabharata_03-aranyakaparvan,5,undirected
mahabharata_04-virataparvan,mahabharata_05-udyogaparvan,1,undirected
mahabharata_04-virataparvan,mahabharata_11-striparvan,3,undirected
mahabharata_05-udyogaparvan,mahabharata_02-sabhaparvan,6,undirected
mahabharata_05-udyogaparvan,mahabharata_03-aranyakaparvan,1,undirected
mahabharata_05-udyogaparvan,mahabharata_04-virataparvan,1,undirected
mahabharata_05-udyogaparvan,mahabharata_11-striparvan,2,undirected
mahabharata_05-udyogaparvan,mahabharata_12-santiparvan,4,undirected
mahabharata_05-udyogaparvan,mahabharata_13-anusasanaparvan,2,undirected
mahabharata_05-udyogaparvan,mahabharata_14-asvamedhikaparvan,1,undirected
mahabharata_05-udyogaparvan,mahabharata_17-mahaprasthanikaparvan,1,undirected
mahabharata_05-udyogaparvan,mahabharata_18-svargarohanaparvan,2,undirected
mahabharata_06-bhismaparvan,mahabharata_07-dronaparvan,4,undirected
mahabharata_06-bhismaparvan,mahabharata_08-karnaparvan,5,undirected
mahabharata_06-bhismaparvan,mahabharata_09-salyaparvan,4,undirected
mahabharata_06-bhismaparvan,mahabharata_18-svargarohanaparvan,1,undirected
mahabharata_07-dronaparvan,mahabharata_06-bhismaparvan,4,undirected
mahabharata_07-dronaparvan,mahabharata_08-karnaparvan,6,undirected
mahabharata_07-dronaparvan,mahabharata_09-salyaparvan,1,undirected
mahabharata_07-dronaparvan,ramayana_06-yuddhakanda,4,undirected
mahabharata_08-karnaparvan,mahabharata_06-bhismaparvan,5,undirected
mahabharata_08-karnaparvan,mahabharata_07-dronaparvan,6,undirected
mahabharata_08-karnaparvan,mahabharata_09-salyaparvan,3,undirected
mahabharata_09-salyaparvan,mahabharata_06-bhismaparvan,4,undirected
mahabharata_09-salyaparvan,mahabharata_07-dronaparvan,1,undirected
mahabharata_09-salyaparvan,mahabharata_08-karnaparvan,3,undirected
mahabharata_09-salyaparvan,mahabharata_16-mausalaparvan,3,undirected
mahabharata_10-sauptikaparvan,mahabharata_01-adiparvan,4,undirected
mahabharata_10-sauptikaparvan,mahabharata_03-aranyakaparvan,2,undirected
mahabharata_10-sauptikaparvan,mahabharata_11-striparvan,1,undirected
mahabharata_10-sauptikaparvan,ramayana_01-balakanda,1,undirected
mahabharata_10-sauptikaparvan,skandapurana,3,undirected
mahabharata_11-striparvan,mahabharata_03-aranyakaparvan,3,undirected
mahabharata_11-striparvan,mahabharata_04-virataparvan,3,undirected
mahabharata_11-striparvan,mahabharata_05-udyogaparvan,2,undirected
mahabharata_11-striparvan,mahabharata_10-sauptikaparvan,1,undirected
mahabharata_12-santiparvan,mahabharata_02-sabhaparvan,1,undirected
mahabharata_12-santiparvan,mahabharata_05-udyogaparvan,4,undirected
mahabharata_12-santiparvan,mahabharata_13-anusasanaparvan,6,undirected
mahabharata_13-anusasanaparvan,mahabharata_02-sabhaparvan,1,undirected
mahabharata_13-anusasanaparvan,mahabharata_05-udyogaparvan,2,undirected
mahabharata_13-anusasanaparvan,mahabharata_12-santiparvan,6,undirected
mahabharata_13-anusasanaparvan,visnudharma_pu,2,undirected
mahabharata_14-asvamedhikaparvan,mahabharata_01-adiparvan,5,undirected
mahabharata_14-asvamedhikaparvan,mahabharata_03-aranyakaparvan,3,undirected
mahabharata_14-asvamedhikaparvan,mahabharata_05-udyogaparvan,1,undirected
mahabharata_14-asvamedhikaparvan,mahabharata_15-asramavasikaparvan,3,undirected
mahabharata_14-asvamedhikaparvan,mahabharata_16-mausalaparvan,2,undirected
mahabharata_14-asvamedhikaparvan,mahabharata_17-mahaprasthanikaparvan,2,undirected
mahabharata_15-asramavasikaparvan,mahabharata_01-adiparvan,2,undirected
mahabharata_15-asramavasikaparvan,mahabharata_03-aranyakaparvan,1,undirected
mahabharata_15-asramavasikaparvan,mahabharata_14-asvamedhikaparvan,3,undirected
mahabharata_16-mausalaparvan,mahabharata_01-adiparvan,1,undirected
mahabharata_16-mausalaparvan,mahabharata_09-salyaparvan,3,undirected
mahabharata_16-mausalaparvan,mahabharata_14-asvamedhikaparvan,2,undirected
mahabharata_17-mahaprasthanikaparvan,mahabharata_02-sabhaparvan,3,undirected
mahabharata_17-mahaprasthanikaparvan,mahabharata_05-udyogaparvan,1,undirected
mahabharata_17-mahaprasthanikaparvan,mahabharata_14-asvamedhikaparvan,2,undirected
mahabharata_18-svargarohanaparvan,mahabharata_02-sabhaparvan,3,undirected
mahabharata_18-svargarohanaparvan,mahabharata_05-udyogaparvan,2,undirected
mahabharata_18-svargarohanaparvan,mahabharata_06-bhismaparvan,1,undirected
markandeyapurana_adhyaya-1-93_u,brahmapurana_pu,5,undirected
markandeyapurana_adhyaya-1-93_u,devibhagavatapurana,2,undirected
markandeyapurana_adhyaya-1-93_u,visnupurana_u,5,undirected
matsyapurana_adhyaya-1-176_pu,bhavisyapurana,2,undirected
matsyapurana_adhyaya-1-176_pu,brahmandapurana_khanda-2_u,5,undirected
