"agnipurana_u" "bhagavatapurana_skandha-01_u" "bhagavatapurana_skandha-02_u" "bhagavatapurana_skandha-03_u" "bhagavatapurana_skandha-04_u" "bhagavatapurana_skandha-05_u" "bhagavatapurana_skandha-06_u" "bhagavatapurana_skandha-07_u" "bhagavatapurana_skandha-08_u" "bhagavatapurana_skandha-09_u" "bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary" "bhagavatapurana_skandha-10_u" "bhagavatapurana_skandha-11_u" "bhagavatapurana_skandha-12_u" "bhavisyapurana" "brahmandapurana_khanda-1_u" "brahmandapurana_khanda-2_u" "brahmandapurana_khanda-3_u" "brahmandapurana" "brahmapurana_pu" "devibhagavatapurana_devigita_adhyaya-31-40" "devibhagavatapurana" "devipurana" "garudapurana_khanda-1_u" "garudapurana_khanda-2_u" "garudapurana_khanda-3_u" "kalikapurana" "karatoyamahatmya_pu" "kurmapurana_khanda-1_u" "kurmapurana_khanda-2_u" "lingapurana_khanda-1_u" "lingapurana_khanda-2_u" "mahabharata_01-adiparvan" "mahabharata_02-sabhaparvan" "mahabharata_03-aranyakaparvan" "mahabharata_04-virataparvan" "mahabharata_05-udyogaparvan" "mahabharata_06-bhismaparvan" "mahabharata_07-dronaparvan" "mahabharata_08-karnaparvan" "mahabharata_09-salyaparvan" "mahabharata_10-sauptikaparvan" "mahabharata_11-striparvan" "mahabharata_12-santiparvan" "mahabharata_13-anusasanaparvan" "mahabharata_14-asvamedhikaparvan" "mahabharata_15-asramavasikaparvan" "mahabharata_16-mausalaparvan" "mahabharata_17-mahaprasthanikaparvan" "mahabharata_18-svargarohanaparvan" "markandeyapurana_adhyaya-1-93_u" "matsyapurana_adhyaya-1-176_pu" "naradapurana_khanda-1_u" "naradapurana_khanda-2_u" "nilamatapurana_au" "nrsimhapurana_pu" "padmapurana_a" "pranavakalpa" "ramayana_01-balakanda" "ramayana_02-ayodhyakanda_a" "ramayana_03-aranyakanda_a" "ramayana_04-kiskindhakanda" "ramayana_05-sundarakanda" "ramayana_06-yuddhakanda" "ramayana_07-uttarakanda" "saurapurana" "sivapurana_dharmasamhita" "sivapurana_karvanamahatmya_au" "sivapurana_rudrasamhita" "sivapurana_sanatkumarasamhita" "sivapurana_satarudrasamhita_au" "sivapurana_umasamhita" "sivapurana_vayaviyasamhita_au" "sivapurana_vidyesvarasamhita_au" "skandamahapurana_himavatkhanda" "skandamahapurana_kasikhanda" "skandamahapurana_revakhanda" "skandamahapurana_sutasamhita_khanda-4" "skandapurana_adhyaya-1-31_pu" "skandapurana_pasupata_adhyaya174-183_u" "skandapurana" "vamanapurana_saromahatmya_u" "vamanapurana_u" "vayu_ba" "vayupurana_01_frame-and-cosmogony_iast" "vayupurana_02_pashupata-yoga_iast" "vayupurana_03_kalpas-and-shiva-lineages_iast" "vayupurana_04_bhuvana-vinyasa_iast" "vayupurana_05_jyotis-and-purvardha-close_iast" "vayupurana_06_prthu-and-prajapati-lineages_iast" "vayupurana_07_shraddha-kalpa_iast" "vayupurana_08_manu-candra-vishnu-vamsha_iast" "vayupurana_09_upasamhara_iast" "vayupurana_10_gaya-mahatmya_iast" "vayupurana_revakhanda" "vayupurana" "visnudharma_pu" "visnudharmottarapurana_khanda-3_adhyaya-343-353_pu" "visnupurana_u"
"agnipurana_u" 0 0.548449827973845 0.570386845650547 0.560806716098132 0.565366544575891 0.560336105205986 0.577997601277549 0.601042526741406 0.585420480428223 0.57451903647484 0.628968354880812 0.578102250782288 0.570162561938687 0.483408548146439 0.350249634382934 0.451618533549802 0.413622165719844 0.371158910191707 0.371379153932964 0.400702315380585 0.486016920576083 0.433500809443842 0.354149102358137 0.234337657116202 0.394781880382374 0.482308114867446 0.427665788193134 0.600630034985732 0.424717563140121 0.405994144925219 0.377845856357293 0.33775561677703 0.521203791141005 0.507510395808855 0.521093006282874 0.535341229988044 0.507743817902968 0.499150904433299 0.521464900621999 0.503529882725309 0.510437501935512 0.50454733543729 0.527591951689374 0.465216386178643 0.457902703686673 0.50328341785861 0.556308999642097 0.561768608227851 0.598522451042793 0.560451661543994 0.457197514920117 0.36902061964515 0.295419633690427 0.510315511670027 0.422978571995002 0.480315661757978 0.49306852505474 0.579828598754393 0.532023812741411 0.526535291701319 0.545269025440987 0.513344538373262 0.561564680524803 0.523396459222439 0.552434080664124 0.453928370367558 0.452578160817374 0.510367650167378 0.529092876008342 0.445489091542302 0.578628219428596 0.401708450564941 0.40642735027152 0.396313089676574 0.479919175828696 0.514094896005793 0.417355146088722 0.465643575597685 0.509657195253738 0.453597932004228 0.481141540631473 0.495653737848362 0.479315781588112 0.453541550857411 0.463269305023439 0.488021836271752 0.482572775181867 0.491627765254964 0.446886543746822 0.503021523274649 0.457345162704007 0.487469874295423 0.453100529515699 0.419883612738899 0.493109449365565 0.426223011216455 0.448845141056079 0.527349243926389 0.451063658877594
"bhagavatapurana_skandha-01_u" 0.548449827973845 0 0.350689178619049 0.304351401864991 0.258893156411821 0.378364185944576 0.329353617844145 0.351444145697161 0.329572187075936 0.364681520210437 0.545830301134041 0.278542110238129 0.365235421115882 0.342664231307065 0.470128856028728 0.588927992184939 0.500110425052169 0.528864530448582 0.522343661802024 0.457225407784035 0.533757690734982 0.438934221843365 0.527062218516568 0.557256018111932 0.471191965083765 0.582843010069564 0.46113448524633 0.597645417045758 0.4474688945771 0.501269926204448 0.550264833964256 0.546807674792758 0.450405950226574 0.45150454621745 0.438647286013632 0.431926372147161 0.443717122319515 0.489073423951228 0.482736462609469 0.460568203680797 0.521517522416265 0.46971735374331 0.433833243681784 0.440393045891318 0.467934144269283 0.467393224228773 0.521401232512037 0.570147692255181 0.586334515312095 0.546361696028291 0.4436139347607 0.463262890250869 0.479093866676504 0.448151536580707 0.575753827719154 0.431661977903699 0.420345979133325 0.592098491259092 0.499214656552124 0.473132356327449 0.454012992923358 0.47557437356872 0.481323213032302 0.455356530447051 0.465642974483429 0.44493250612674 0.438484708379984 0.541658783557927 0.466597368643797 0.489608433646011 0.465776398866898 0.480607613223371 0.486541419359076 0.557530973491208 0.528074671748993 0.431421888627217 0.484186803334376 0.586967893552697 0.524284512991721 0.528270471827723 0.468202553809734 0.500883238483568 0.479574697233785 0.58084462974326 0.602126175898633 0.61809034637833 0.556490071639315 0.651215683768089 0.605902245863225 0.639270225551338 0.60391320298027 0.575996325519205 0.593759491460974 0.519631861612636 0.462440593824269 0.55930292163525 0.470715105841287 0.491874678837549 0.438770151132398
"bhagavatapurana_skandha-02_u" 0.570386845650547 0.350689178619049 0 0.340849634630699 0.359102106303479 0.412971437079123 0.398276684332198 0.391409410303273 0.418887455670493 0.422491929860459 0.545012092408894 0.391392001514126 0.342542151341132 0.395362737450191 0.501214344104032 0.621636654153221 0.558532308275888 0.548264565376365 0.561474226744074 0.521734241527965 0.513640893067205 0.48401707514202 0.53593286790885 0.563880250767311 0.484414372866215 0.587260914829771 0.518099330190258 0.578401554745487 0.49880410043427 0.50655821514052 0.579528462285649 0.571282425683452 0.534920526078462 0.543423162385499 0.532737187587742 0.52765358924082 0.524200662359933 0.585635483214503 0.571566776721791 0.57440950946313 0.618552765704688 0.532130355193877 0.537057145782545 0.512112658985492 0.521397436449865 0.539050758964592 0.594583077568908 0.615474087560071 0.62525826446281 0.590462112184645 0.499241799089928 0.530340099895651 0.494853569958616 0.460577896436575 0.631368195354692 0.492139203784834 0.487576807346 0.595233366269628 0.568317541310223 0.552867092063226 0.536967779393139 0.551829967378331 0.554808701871337 0.563493334165824 0.567229032289172 0.454058602948476 0.498389131823134 0.573201107171866 0.52147304515807 0.526066454730274 0.518850301484455 0.500652257695721 0.520555248431617 0.568476477776649 0.609625041154011 0.443329982696303 0.52776481164122 0.58472261911476 0.590627761235055 0.555510810804756 0.559329974320442 0.521803909911432 0.548124560283032 0.62218854678798 0.622485264638541 0.605471873820791 0.584380812678897 0.667445636675694 0.641849841335051 0.661789746574007 0.625312666194554 0.635790149792169 0.613502364239848 0.545526967582772 0.506393273569806 0.5984824751866 0.481031422261938 0.551666757859686 0.485615730039779
"bhagavatapurana_skandha-03_u" 0.560806716098132 0.304351401864991 0.340849634630699 0 0.258001375941593 0.384489460319482 0.346770129942655 0.354574182635724 0.350881292283628 0.367501551418843 0.533921655173606 0.295792298479988 0.373803360522291 0.371365134271666 0.470985256250034 0.584340854449187 0.499490370644489 0.5186334250492 0.511127820263679 0.483589469546167 0.545450039637839 0.474548458496122 0.508422251415886 0.554783154319255 0.497905181978087 0.589272173253001 0.467810249879425 0.595715909820399 0.449107550198867 0.508086457037737 0.544091892014519 0.557078798403712 0.504023680613852 0.513317458157995 0.495142247123038 0.494514507370756 0.486398246772418 0.533830403215671 0.524431828122953 0.510910118934223 0.565273933420792 0.501738048147374 0.496877325436923 0.480303652720592 0.491190732439826 0.510637697610851 0.565284246664509 0.591158740547544 0.61420667297853 0.57585854018685 0.474111510123722 0.479990128150536 0.479239409337645 0.465412984931339 0.601069413857865 0.435531576158076 0.449714515103954 0.581474060310315 0.523869290636436 0.513918920535232 0.499713465935382 0.527968151122297 0.534569582172811 0.500761377769668 0.511905833611184 0.445486732314825 0.454375041434201 0.577663569855889 0.460192029079616 0.495147847874407 0.471473351467884 0.470664266389647 0.505202166579204 0.571052425459411 0.555254442414122 0.447977266563373 0.514125758559173 0.604071392250995 0.532506616499451 0.542396552412115 0.487519754370688 0.491397677006832 0.471468205611635 0.580505350246392 0.581269869073926 0.61293308423691 0.547393250418454 0.658181486786835 0.609392135377045 0.636834734119198 0.594550407736772 0.586409827982389 0.578084117608251 0.525397295702106 0.496084958495414 0.558718742589143 0.45557808197238 0.530742590608481 0.457277185843258
"bhagavatapurana_skandha-04_u" 0.565366544575891 0.258893156411821 0.359102106303479 0.258001375941593 0 0.353758513579742 0.322131400752927 0.314965083516637 0.317077988920019 0.342690980479931 0.517222320799795 0.275575351099704 0.347276822799407 0.377535989307213 0.466689371064295 0.600944774109468 0.499019762495477 0.533240106349451 0.524753423846334 0.458670258641737 0.520784438237937 0.449912314800711 0.51471627586059 0.571442162728676 0.476678863815057 0.577181128965995 0.477590201859167 0.588964772569715 0.440114483071873 0.507038206465255 0.550500695850745 0.550386312714201 0.483765489546516 0.482882170865408 0.469090476123726 0.475318215424742 0.464813671582791 0.514056535933232 0.496525638011413 0.492938791957056 0.54913753553541 0.478650924013938 0.451588215323656 0.451312033672696 0.475070339076015 0.497770160678525 0.553216217031971 0.592447790556561 0.609509334343057 0.556812143754226 0.467024337862255 0.476789352864258 0.475446503612128 0.434194319518486 0.58712107147491 0.431716121550835 0.433300607372615 0.574106290611942 0.49917021172967 0.492384131518588 0.46577389587321 0.48508024889159 0.494394666020757 0.461036864398793 0.478927465856601 0.430624567141722 0.423532453020676 0.560701206398429 0.475343989745681 0.488309451917904 0.482725751867823 0.465423120733712 0.491453909770802 0.561548628618967 0.545786492921118 0.414636332044881 0.49954388625519 0.586270768211984 0.540973443373931 0.530341871706983 0.475757937173233 0.488194704220948 0.470188588424395 0.585691371590723 0.609007571111498 0.618103508096128 0.564153788589294 0.659855379207121 0.617215647698348 0.644848554092712 0.599781331689078 0.580060844950929 0.590456104124962 0.522157009547072 0.4866535191115 0.559791639880268 0.440782519031605 0.540544983338231 0.453260185144054
"bhagavatapurana_skandha-05_u" 0.560336105205986 0.378364185944576 0.412971437079123 0.384489460319482 0.353758513579742 0 0.36122957549223 0.399377534519942 0.437677542193589 0.397744805926327 0.494698256622623 0.364847187182749 0.404359888360601 0.366058835449727 0.448939248950156 0.58691969779672 0.511994090291942 0.500692545319166 0.515846215557904 0.506212474266469 0.520655014957025 0.492702449806146 0.506993779741327 0.52872189205208 0.48666340093769 0.564218340774303 0.489143191703995 0.570222074893536 0.475407510454043 0.515278464526974 0.527794067009756 0.501429184853409 0.534842259646859 0.546263833770446 0.525537279798628 0.545868697127591 0.521215021443242 0.572899363575857 0.575080691822745 0.566675782052579 0.590387481062983 0.549956402275508 0.525751989477114 0.502523810477261 0.527223867389871 0.539411977844514 0.58324188064931 0.601001557310836 0.647788829638894 0.601829202019955 0.490789608496688 0.493513029957518 0.462246931043891 0.512149907731277 0.615000014246797 0.465430387595881 0.454238740281707 0.531212653591795 0.568205676706685 0.557504674152611 0.554568260361923 0.576775257688779 0.579353378170553 0.565064734804731 0.562610289057306 0.425704245819404 0.470950391426367 0.613926316566455 0.499109289807001 0.487773110924717 0.510990158235155 0.482662052245289 0.484780797171029 0.509600078189641 0.594191251005409 0.422856142050938 0.526455886585692 0.550285867626297 0.570736309340477 0.568307432242905 0.527293664643809 0.530905054006847 0.515685743379017 0.585337853954423 0.615964095059064 0.587685083143262 0.549140111570822 0.6387478967888 0.609316901523856 0.630484916924726 0.583247043696116 0.591057304214555 0.589476489191965 0.540534306037722 0.51015666125092 0.555603452619532 0.513310163544437 0.536215136176768 0.457109044464451
"bhagavatapurana_skandha-06_u" 0.577997601277549 0.329353617844145 0.398276684332198 0.346770129942655 0.322131400752927 0.36122957549223 0 0.23508089374739 0.284151339114173 0.343203491195814 0.538637951912205 0.28576435443917 0.28832319619477 0.35753026302398 0.456658151219164 0.576960027221873 0.476323835422983 0.509395863980989 0.495081346725538 0.454654036228676 0.494040192200483 0.431666874502593 0.528820093675042 0.54362324449601 0.424902301858073 0.539136730870589 0.463884119024365 0.566265873197457 0.460519774219235 0.474942042305954 0.527638947000562 0.550036726983003 0.432781795026264 0.430903150095288 0.421664973811897 0.425195703482366 0.407278181331594 0.520416153312826 0.510256950378356 0.505389213254521 0.539479618211032 0.451633136182926 0.441092909167167 0.390906259742156 0.412472794960304 0.448098793587557 0.51768358787558 0.552364346977744 0.560428213825032 0.539600128474965 0.447703265035308 0.451204277743328 0.487574979523334 0.428560553977819 0.565985987766424 0.413117054065114 0.420051348451644 0.607864644832947 0.48659592923307 0.487615103027456 0.502561495415045 0.487348838840377 0.501823218569174 0.498873429188637 0.473192601212723 0.407420664470019 0.453585990093598 0.533558288991113 0.448274692163973 0.494319881387605 0.439881785793501 0.462927746599107 0.488528509945344 0.550788665581683 0.550621189834798 0.409764609495796 0.470399657127768 0.567935627716173 0.522575213040879 0.545238736612591 0.467966093479937 0.4812434677968 0.462667123243557 0.560655134026972 0.586145539215003 0.57111982702288 0.531594261861792 0.653556830102607 0.587530621523623 0.619246078818787 0.584415271467454 0.568561128153981 0.56186336133377 0.531457400466012 0.414293069475243 0.539421828122504 0.449955281880169 0.486834209322146 0.407046160098151
"bhagavatapurana_skandha-07_u" 0.601042526741406 0.351444145697161 0.391409410303273 0.354574182635724 0.314965083516637 0.399377534519942 0.23508089374739 0 0.285949629586445 0.35111909700756 0.529530950492567 0.277400004641655 0.293654688192546 0.386477360696152 0.503414999258439 0.618781738729825 0.539536823485802 0.544215938681303 0.550347837217206 0.512118179896847 0.505453100654694 0.458758336534113 0.55281128411122 0.579883959045497 0.470073021506801 0.556393774162896 0.517699504257755 0.567566400632371 0.50938107406522 0.526727165932003 0.567800469451789 0.56341956927256 0.482764617215255 0.476365683844762 0.480808598343351 0.476396948687763 0.464557923575163 0.565990522806744 0.553645513984637 0.550068753953841 0.598938540918273 0.497911658105366 0.471610324037065 0.439603496916931 0.465146586008035 0.489287590855538 0.563364113371249 0.61159054165204 0.589482636210868 0.566383095805933 0.491066810204454 0.516066193047345 0.521112068833756 0.46518461748776 0.601370685598973 0.463962838744437 0.463582221068072 0.592076405164563 0.55584598417679 0.525326156617891 0.528282748149266 0.529905490179429 0.538484960459734 0.539115819018046 0.536657516974552 0.449778511857811 0.493723478347428 0.58016857438056 0.487730720097995 0.534580076096858 0.471828384752495 0.492518427633266 0.534230362370615 0.565388714800039 0.557420689949921 0.447925487544492 0.512729716235237 0.586894192655262 0.560566752053794 0.571912309401596 0.531967682708973 0.524772266558314 0.525558733777654 0.615002729389401 0.632773418058178 0.61568496928544 0.586233943119751 0.679064039845229 0.638019212720255 0.661478752540839 0.61269709838987 0.620742978980756 0.618000673670169 0.552797014131885 0.462894306730218 0.594742659551587 0.478897326395416 0.518390229689932 0.442084361194639
"bhagavatapurana_skandha-08_u" 0.585420480428223 0.329572187075936 0.418887455670493 0.350881292283628 0.317077988920019 0.437677542193589 0.284151339114173 0.285949629586445 0 0.32087713773608 0.570846918774561 0.243729202091025 0.359265053037457 0.379502892545971 0.465755886399543 0.602072353432721 0.491488166169236 0.511284458219629 0.522377386818025 0.448039689357159 0.507811502061292 0.425101458341839 0.517023027772579 0.564750759317155 0.470872642533516 0.569263800510435 0.475575963403856 0.574831752630895 0.419247830791346 0.520869687706633 0.534581340167117 0.545017923286712 0.42628348406263 0.455045774642303 0.423698872082059 0.456309577473231 0.470560488394632 0.49855376266591 0.492565349953776 0.499909650007912 0.54022416362199 0.450514464087212 0.456823265913028 0.459490504228931 0.456600525502833 0.462030632721427 0.519615158780475 0.563800417139965 0.588567993771255 0.53303753776009 0.448994670669012 0.479158598853529 0.513151233410352 0.474882681524388 0.555601281779411 0.399953758757464 0.40140985778377 0.593667626426026 0.488517831204323 0.496891715492614 0.475388147221484 0.498006464298539 0.511086066074665 0.469911704354821 0.468741474678722 0.410381779158853 0.457607572499746 0.515172131191895 0.434566845157383 0.470186263175159 0.418821422964585 0.471888632190359 0.504657969476491 0.574682364639568 0.529723379224015 0.442828450879264 0.454024046543687 0.585531254627137 0.488191704172763 0.545768451041022 0.45953541073839 0.448176296840175 0.454759535016145 0.591105866145242 0.612728397902841 0.629128482822858 0.544976961472009 0.655905102397568 0.624128371626797 0.642093500175678 0.607465686031379 0.575269798861262 0.602296014744055 0.543155391844515 0.410128405749488 0.562258560854471 0.480167886462283 0.476413558836815 0.403166108960164
"bhagavatapurana_skandha-09_u" 0.57451903647484 0.364681520210437 0.422491929860459 0.367501551418843 0.342690980479931 0.397744805926327 0.343203491195814 0.35111909700756 0.32087713773608 0 0.568045928108916 0.285368246142549 0.422658997088834 0.332109043258232 0.44418814905589 0.580467410588344 0.457795618564339 0.499847255255939 0.495995490444068 0.45164438144575 0.500791488273266 0.438914725758285 0.540541220576733 0.540044200468207 0.465608954106707 0.561310741617516 0.456122424994639 0.601161954027828 0.436628376200756 0.516502390023076 0.532674478928942 0.529691268177904 0.458510910144407 0.48597906384648 0.461232922746147 0.480846612978136 0.488339621939197 0.511397005149315 0.4965597007995 0.503145438267471 0.532346296558247 0.47389749313645 0.480704207427878 0.46598162858446 0.487129929657667 0.48337532780618 0.539778981787091 0.539805434275047 0.604911125488364 0.563500225479012 0.443245006872804 0.458381930211378 0.487046222700369 0.48164927992729 0.56588889567726 0.39968339693104 0.424950922864498 0.593973438809926 0.485601140367476 0.519091815704669 0.492089203525183 0.509111159915157 0.514970075432046 0.484503957470857 0.483528548332222 0.415551456294058 0.452817469364142 0.566085126921292 0.454596309929786 0.504739396149897 0.460603979637985 0.454403198319983 0.483256055306007 0.557008374690447 0.555371109682705 0.443858794250878 0.487495200788656 0.600289073051517 0.514930397606846 0.558553612984068 0.489870373005651 0.474780087388245 0.456168666441136 0.563899797654542 0.592219212932984 0.605842285153874 0.530762076826505 0.640038192395892 0.602845076258067 0.622496700305788 0.603979489394072 0.519512462087654 0.589703414187034 0.52257250762277 0.45759610307632 0.544161637342987 0.517817251066686 0.474352085777317 0.399774037916353
