Source,Target,Weight,Type
agnipurana_u,garudapurana_khanda-1_u,22,undirected
agnipurana_u,matsyapurana_pu,4,undirected
agnipurana_u,naradapurana_khanda-1_u,22,undirected
agnipurana_u,pranavakalpa,1,undirected
agnipurana_u,sivapurana_vidyesvarasamhita_au,2,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-02_u,12,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-03_u,9,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-04_u,24,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-05_u,8,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-06_u,8,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-07_u,2,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-08_u,2,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,3,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-10_u,12,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-11_u,2,undirected
bhagavatapurana_skandha-01_u,bhagavatapurana_skandha-12_u,5,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-01_u,12,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-03_u,8,undirected
bhagavatapurana_skandha-02_u,bhagavatapurana_skandha-04_u,4,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-01_u,9,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-02_u,8,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-04_u,15,undirected
bhagavatapurana_skandha-03_u,bhagavatapurana_skandha-10_u,4,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-01_u,24,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-02_u,4,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-03_u,15,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-05_u,7,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-06_u,11,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-07_u,13,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-08_u,8,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-09_u,5,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-10_u,20,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-11_u,2,undirected
bhagavatapurana_skandha-04_u,bhagavatapurana_skandha-12_u,8,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-01_u,8,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-04_u,7,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,4,undirected
bhagavatapurana_skandha-05_u,bhagavatapurana_skandha-12_u,16,undirected
bhagavatapurana_skandha-05_u,pranavakalpa,1,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-01_u,8,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-04_u,11,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-07_u,6,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-08_u,3,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-10_u,4,undirected
bhagavatapurana_skandha-06_u,bhagavatapurana_skandha-11_u,8,undirected
bhagavatapurana_skandha-06_u,mahabharata_12-appendix-29_moksadharma,4,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-01_u,2,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-04_u,13,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-06_u,6,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-10_u,7,undirected
bhagavatapurana_skandha-07_u,bhagavatapurana_skandha-11_u,12,undirected
bhagavatapurana_skandha-07_u,visnupurana_amsa-5_u,1,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-01_u,2,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-04_u,8,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-06_u,3,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-09_u,6,undirected
bhagavatapurana_skandha-08_u,bhagavatapurana_skandha-10_u,20,undirected
bhagavatapurana_skandha-08_u,kurmapurana_khanda-1_u,2,undirected
bhagavatapurana_skandha-08_u,visnupurana_amsa-1_u,4,undirected
bhagavatapurana_skandha-08_u,visnupurana_amsa-5_u,3,undirected
bhagavatapurana_skandha-09_u,bhagavatapurana_skandha-04_u,5,undirected
bhagavatapurana_skandha-09_u,bhagavatapurana_skandha-08_u,6,undirected
bhagavatapurana_skandha-09_u,bhagavatapurana_skandha-10_u,1,undirected
bhagavatapurana_skandha-09_u,bhagavatapurana_skandha-12_u,12,undirected
bhagavatapurana_skandha-09_u,visnupurana_amsa-4_u,3,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,bhagavatapurana_skandha-01_u,3,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,bhagavatapurana_skandha-05_u,4,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,bhagavatapurana_skandha-10_u,3,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,sivapurana_vayaviyasamhita_au,2,undirected
bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,skandamahapurana_kasikhanda,12,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-01_u,12,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-03_u,4,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-04_u,20,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-06_u,4,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-07_u,7,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-08_u,20,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-09_u,1,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-10_adhyaya-29-33_w_commentary,3,undirected
bhagavatapurana_skandha-10_u,bhagavatapurana_skandha-12_u,4,undirected
bhagavatapurana_skandha-11_u,bhagavatapurana_skandha-01_u,2,undirected
bhagavatapurana_skandha-11_u,bhagavatapurana_skandha-04_u,2,undirected
bhagavatapurana_skandha-11_u,bhagavatapurana_skandha-06_u,8,undirected
bhagavatapurana_skandha-11_u,bhagavatapurana_skandha-07_u,12,undirected
bhagavatapurana_skandha-12_u,bhagavatapurana_skandha-01_u,5,undirected
bhagavatapurana_skandha-12_u,bhagavatapurana_skandha-04_u,8,undirected
bhagavatapurana_skandha-12_u,bhagavatapurana_skandha-05_u,16,undirected
bhagavatapurana_skandha-12_u,bhagavatapurana_skandha-09_u,12,undirected
